NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,
As of 01 February 2012,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,19.3,(Nov '11),21.1,(Oct '11),19.3,10.3,(Nov '10)
,,GNI,,,3.5,(Q4 '11),2.1,(Q3 '11),2.6,FY '11,5.6,(Q4 '10),B.,NPL to total loans ratio,2.4,(Nov '11),2.5,(Oct '11),2.4,3.1,(Nov '10)
,,GDP,,,3.7,,3.6,,3.7,,6.1,,C.,M3 Growth /b,7.3,(Nov '11),6.9,(Oct '11),7.3,7.6,(Nov '10)
,,,Agriculture,,-2.5,,2.1,,2.6,,4.1,,,,,,,,,,
,,,Industry,,2.5,,0.8,,1.9,,6.5,,IV. PRICES,,Latest ,,Preceding,,Year to,Same Month,
,,,Services,,5.9,,5.4,,5,,6.4,,,,Month,,Month,,      Date,Year Ago,
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,A.,Headline Inflation Rate (%) (NSO)/c,4,(Dec '11),4.7,(Nov '11),4.4,3,(Dec '10)
,,,,,Month,,Month,,Date,,Year Ago ,,,  Food,4,,4.5,,4.1,2,
,,(2000 - based),,,,,,,,,,,,  Non-Food,4.2,,4.9,,4.8,3.9,
,,,,,,,,,,,,,,NCR,3.6,,4.4,,4.3,3.4,
,,Value of Production(% g.r.),,,-6,(Oct '11),1.9,(Sept '11),4.3,(Jan-Oct '11),9.5,(Oct '10),,AONCR,4.2,,4.9,,4.5,2.8,
,,Volume of Production(% g.r.),,,-6.3,,2.5,,4.1,,16.8,,,,,,,,,,
,,Value of Sales(% g.r.),,,12.3,,7.6,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.4,,5.4,,B.,Core Inflation Rate (%) (NSO)/c,3.4,(Dec '11),3.7,(Nov '11),3.6,3.4,(Dec '10)
,,Volume of Sales(% g.r.),,,12,,8.2,,10.3,,12.4,,C.,"Lending Rate (Low, %)",5.7,(Dec '11),5.7,(Nov '11),5.6,5.4,(Dec'10)
,,Weighted Ave. Capacity Utilization (%),,,83.1,,83.2,,83.1,,83.3,,,,,,,,,,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,,,Latest ,,                Preceding,,Year to,                      Same Week,
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,,,Week,,               Week,,   Date,                      Year Ago,
,,Residential,,,3.8,(Nov '11),-3.6,(Oct '11),-2.3,(Jan-Nov '11),5.1,(Nov '10),D.,BSP Overnight Borrowing Policy Rates(RP),6.3,(01 Feb '12),6.5,(23 Jan '12),6.25,6,(01 Feb '11)
,,Commercial,,,3.5,,-0.1,,1.5,,5.7,,E.,BSP Overnight Lending Policy Rates(RRP),4.3,(23 Jan '12),4.5,(23 Jan '12),4.25,4,(01 Feb '11)
,,Industrial,,,7.9,,6.9,,3.1,,8.7,,F.,91-Day T-Bill Rate (%),1.7,(21 Jan '12),1.4,(12 Jan '12),1.5,0,(26 Jan '11)
,,Others,,,-10.8,,-9.3,,-0.8,,1.7,,G.,"Forex (Average, P:$1)",42.9,(01 Feb '12),43.2,(25 Jan '12),43.3,44.3,(01 Feb '11)
,,Total,,,4.8,,0.8,,0.7,,6.4,,H.,PSEi,"4,682.44",(31 Jan '12),"4,714.35",(24 Jan '12),"4,601.50","3,881.50",(31 Jan '11)
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,                     Same Month/Quarter,
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,,,               Month/Quarter,,                 Month/Quarter,,   Date,                     Year Ago,
,,Number of Permits,,,5.4,(Q3'11),-3,(Q2'11),-1.5,Q1-Q3 '11,-9.2,Q3 '10,A.,Merchandise Exports (% g.r.),-19.4, (Nov '11) ,-14.6, (Oct '11) ,-5.6,11.5,(Nov '10)
,,Value of Construction,,,-10,,13.4,,5.2,,25.1,,, - Electronic Products/d (% g.r.),-34.4,,-36.5,,-23,8.5,
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,B.,Merchandise Imports (% g.r.),0.6, (Nov '11) ,2.3, (Oct '11) ,11,35.6,(Nov '10)
,,,,,Period,,Period,,Date,,Year Ago ,,,- Raw mat. & intermediate goods (% g. r.),0.1,,-1,,22.8,46.1,
,,,,,,,,,,,,,,- Capital goods (% g. r.),-13.8,,-10.8,,-7.2,33,
,,Total Approved Foreign Direct Investment,,,32,(Q3 '11),194.5,(Q2 '11),9.9,(Q1-Q23 '11),82.9,(Q3 '10),,,,,,,,,
,,,BOI Investment,,17.2,,333.6,,74,,6217.3,,C.,Current Account ($ M),"2,033",(Q3 '11),"2,072",(Q2 '11),"5,057","3,392.00",(Q3 '10)
,,,PEZA Investment,,20.2,,156.8,,22.9,,19.2,,,,,,,,,,
,,,SBMA Investment,,681.7,,-98,,-84.6,,-80.6,,D.,Capital & Financial Accounts ($ M),"2,254",(Q3 '11),-267,(Q2 '11),"5,075","1,717.00",(Q3 '10)
,,,CDC Investment,,"1,141.20",,1524.8,,-23.1,,-89.9,,,"- Direct Investments,  net'",-94,,439,,699,281,
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,E.,Balance of Payments ($ M),-114,(Dec '11),364,(Nov '11),"10,179","1,226",(Dec '10)
     AND WAGES,,,,,Period,,Period,,Date,,Year Ago ,,,,,,,,,,
,,,,,,,,,,,,,F.,Gross International Reserves ($ M),"75,302",(Dec '11),"76,206",(Nov '11),"75,302","62,373",(Dec '10)
