NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,
As of 4 January 2012,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,21.1,(Oct '11),18.9,(Sep '11),21.1,9.1,(Oct '10)
,,GNI,,,1.6,(Q3 '11),1.5,(Q2'11),2.1,(Q1-Q3 '11),6.9,(Q3 '10),B.,NPL to total loans ratio,2.5,(Oct '11),2.6,(Sep '11),2.5,3.1,(Oct '10)
,,GDP,,,3.2,,3.1,,3.6,,7.3,,C.,M3 Growth /b,6.9,(Oct '11),7.4,(Sep '11),6.9,7.8,(Oct '10)
,,,Agriculture,,1.8,,8.2,,4.7,,-2,,,,,,,,,,
,,,Industry,,-0.2,,-2.3,,1.4,,9.8,,IV. PRICES,,Latest ,,Preceding,,Year to,Same Month,
,,,Services,,5.3,,5.4,,4.7,,7.8,,,,Month,,Month,,      Date,Year Ago,
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,A.,Headline Inflation Rate (%) (NSO)/c,4.7,(Nov '11),5.3,(Oct '11),4.5,3.1,(Nov '10)
,,,,,Month,,Month,,Date,,Year Ago ,,,  Food,4.5,,5,,4.1,2,
,,(2000 - based),,,,,,,,,,,,  Non-Food,4.9,,5.5,,4.8,4.2,
,,,,,,,,,,,,,,NCR,4.4,,5.6,,4.3,3.6,
,,Value of Production(% g.r.),,,-6,(Oct '11),1.9,(Sept '11),4.3,(Jan-Oct '11),9.5,(Oct '10),,AONCR,4.9,,5.1,,4.4,2.8,
,,Volume of Production(% g.r.),,,-6.3,,2.5,,4.1,,16.8,,,,,,,,,,
,,Value of Sales(% g.r.),,,12.3,,7.6,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.4,,5.4,,B.,Core Inflation Rate (%) (NSO)/c,3.7,(Nov '11),3.9,(Oct '11),3.6,3.6,(Nov '10)
,,Volume of Sales(% g.r.),,,12,,8.2,,10.3,,12.4,,C.,"Lending Rate (Low, %)",5.7,(Oct '11),5.6,(Sep '11),5.6,6.5,(Oct '10)
,,Weighted Ave. Capacity Utilization (%),,,83.1,,83.2,,83.1,,83.3,,,,,,,,,,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,,,Latest ,,                Preceding,,Year to,                      Same Week,
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,,,Week,,               Week,,   Date,                      Year Ago,
,,Residential,,,3.8,(Nov '11),-3.6,(Oct '11),-2.3,(Jan-Nov '11),5.1,(Nov '10),D.,BSP Overnight Borrowing Policy Rates(RP),6.5,(29 Dec '11),6.5,(22 Dec '11),6.5,6,(29 Dec '10)
,,Commercial,,,3.5,,-0.1,,1.5,,5.7,,E.,BSP Overnight Lending Policy Rates(RRP),4.5,(29 Dec '11),4.5,(22 Dec '11),4.5,4,(29 Dec '10)
,,Industrial,,,7.9,,6.9,,3.1,,8.7,,F.,91-Day T-Bill Rate (%),1.6,(14 Dec '11),1,(16 Dec 11),1.5,0.8,(01 Dec '10)
,,Others,,,-10.8,,-9.3,,-0.8,,1.7,,G.,"Forex (Average, P:$1)",43.8,(04 Jan '12),43.7,(28 Dec '11),43.8,43.8,(04 Jan '11)
,,Total,,,4.8,,0.8,,0.7,,6.4,,H.,PSEi,"4,422.22",(03 Jan '12),"4,361.43",(27 Dec '11),"4,409.70","4,215.20",(03 Jan '11)
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,                     Same Month/Quarter,
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,,,               Month/Quarter,,                 Month/Quarter,,   Date,                     Year Ago,
,,Number of Permits,,,5.4,(Q3'11),-3,(Q2'11),-1.5,Q1-Q3 '11,-9.2,Q3 '10,A.,Merchandise Exports (% g.r.),-14.6, (Oct '11) ,-27, (Sep '11) ,-4.3,27.8,(Oct '10)
,,Value of Construction,,,-10,,13.4,,5.2,,25.1,,, - Electronic Products/d (% g.r.),-36.5,,-47.9,,-22,38.2,
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,B.,Merchandise Imports (% g.r.),2.3, (Oct '11) ,10.4, (Sep '11) ,12.2,28.8,(Oct '10)
,,,,,Period,,Period,,Date,,Year Ago ,,,- Raw mat. & intermediate goods (% g. r.),-1,,11.2,,25.3,20.8,
,,,,,,,,,,,,,,- Capital goods (% g. r.),-10.8,,5.1,,-6.4,27.9,
,,Total Approved Foreign Direct Investment,,,32,(Q3 '11),194.5,(Q2 '11),9.9,(Q1-Q23 '11),82.9,(Q3 '10),,,,,,,,,
,,,BOI Investment,,17.2,,333.6,,74,,6217.3,,C.,Current Account ($ M),"2,033",(Q3 '11),"2,072",(Q2 '11),"5,057","3,392.00",(Q3 '10)
,,,PEZA Investment,,20.2,,156.8,,22.9,,19.2,,,,,,,,,,
,,,SBMA Investment,,681.7,,-98,,-84.6,,-80.6,,D.,Capital & Financial Accounts ($ M),"2,254",(Q3 '11),-267,(Q2 '11),"5,075","1,717.00",(Q3 '10)
,,,CDC Investment,,"1,141.20",,1524.8,,-23.1,,-89.9,,,"- Direct Investments, net'",-94,,439,,699,281,
,,,,,,,,,,,,,,,,,,,,,
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,E.,Balance of Payments ($ M),364,(Nov '11),208,(Oct '11),"10,293","3,903",(Nov '10)
     AND WAGES,,,,,Period,,Period,,Date,,Year Ago ,,,,,,,,,,
,,,,,,,,,,,,,F.,Gross International Reserves ($ M),"76,206",(Nov '11),"75,832",(Oct '11),"76,206","60,566",(Nov '10)
