NEDA updates on the Economy,,,,,,,,,,
As of 5 June 2013,,,,,,,,,,
,,,,,,,,,,
,,,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
I. Real Sector (percent growth),A. National Income (% g.r.)(NSCB),GNI,7.1,(Q1'13),6.4,(Q4'12),7.1,Q1 '13,5.7,(Q1 '12)
,,GDP,7.8,,7.1,,7.8,,6.5,
,,Agriculture,3.3,,4.9,,3.3,,1.1,
,,Industry,10.9,,8.9,,10.9,,5.3,
,,Service,7.0,,6.5,,7.0,,8.4,
,B. Manufacturing (MISSI-NSO) (2000 - based),,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,,Volume of Production (% g.r.),-7.9,(Mar '13),-2.0,(Feb '13),-2.8,(Jan-Mar '13),13.6,(Mar '12)
,,Value of Production (%g.r.),1.2,,8.3,,7.3,,11.7,
,,Volume of Sales (%g.r.),-0.8,,2.3,,1.3,,5.5,
,,Value of Sales (% g.r.),9.0,,13.1,,11.7,,3.7,
,,Weighted Average (Capacity Utilization(%)),82.9,,82.8,,82.8,,82.7,
,C. Electric Consumption (%g.r.) (Meralco kWh Sales),Residential,-1.4,(Feb '13),2.7,(Jan '13),0.7,(Jan- Feb '13),7.1,(Feb '12)
,,Commercial,2.1,,3.2,,2.6,,6.3,
,,Industrial,2.7,,6.1,,4.3,,11.5,
,,Others,-0.9,,2.8,,0.9,,-10.0,
,,Total,1.3,,3.9,,2.5,,8.0,
,D. Building Permits (% g.r.) (NSO),,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
,,Number of Permits,-17.5,(Q1 '13),13.5,(Q4 '12),-17.5,Q1 '13,4.4,(Q1 '12)
,,Value of Construction,19.3,,53.1,,19.3,,-6.8,
,E. Investment Indicators (% g.r.),,Latest_Period,,Preceding_Period,,Year_to_date,,Same_Period_Year_ago,
,,Total Foreign Direct Investment (g.r.),37.1,(Q4 '12),-36.7,(Q3 '12),12,FY 2012,44,(Q4 '11)
,,BOI Investment (g.r.),4122.6,,-30.2,,218.8,,-86.3,
,,PEZA Investment (g.r.),16.8,,-30.5,,7.1,,39.9,
,,SBMA Investment,-98.9,,-75.5,,-96.8,,23407.3494,
,,CDC Investment,1048.4,,-98.3,,-76,,-90.1,
Employment (NSO-LFS) and Wages,A. Unemployment Rate (%) /f new definition,,7.1,(Jan '13),6.8,(Oct '12),7.1,(Jan '13),7.3,(Jan '12)
,B. Employment Generated ('000),,606,(Jan '13),590/h,(Oct '12),606,(Jan '13),666.5,(Jan '12)
,,Agriculture,-571,,g,,-571,,154,
,,Industry,330,,g,,330,,g,
,,Service,847,,g,,847,,g,
,B. Underemployment Rate (%),,20.9,(Jan '13),19,(Oct '12),20.9,(Jan '13),18.8,(Jan '12)
,D. Minimum Wage (in pesos) (NWPC),NCR,419-456,(Jun '13),419-456,(May '13),419-456,(Jun '13),409-446,(Jun '12)
,,AOMM,205-349.5,,205-349.5,,205-349.5,,228-349.5,
,E. Index of Compensation Per Employee (QEI-NSCB),Nominal (1978=100),2613.3,(Q4 '12),2509,(Q3 '12),2403.8,(FY '12),2419,(Q4 '11)
,,Constant (1978=100),127.1,(Q4 '12),120.8,(Q3 '12),117.1,(FY '12),121.1,(Q4 '11)
III. Monetary and Banking Sector (%),,,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,A. Growth of U/KBs Outside Loans /a,,13.7,(April '13),14.7,(Mar '13),13.7,(April '13),16,(April '12)
,B. NPL to total loans ratio,,1.87,(Dec '12),1.98,(Nov '12),1.87,(Dec'12),2.23,(Dec '11)
,c. M3 Growth /b,,13.2,(April '13),11.4,(March'13),13.2,(April'13),7.3,(Apr '12)
IV. Prices ,A. Headline Inflation Rate (%) (NSO) /c,,2.6,(May '13),2.6,(Apr '13),3.0,(Jan - May '13),2.9,(May '12)
