NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,,
As of 10 October 2012,,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,15.2,(Jul '12),12.2,(Jun '12),15.2,(Jul '12),23.6,(Jul '11)
,,GNI,,,5.6,(Q2'12),5.1,(Q1 '12),5.4,(S1'12),2.4,(Q2 '11),B.,NPL to total loans ratio,2.2,(Jul '12),2.1,(Jun '12),2.2,(Jul '12),2.5,(Jul '11)
,,GDP,,,5.9,,6.3,,6.1,,3.6,,C.,M3 Growth /b,8.7,(Jul '12),7.1,(Jun '12),8.7,(Jul '12),8.3,(Jul '11)
,,,Agriculture,,0.7,,1,,0.8,,8.3,,IV. PRICES,,Latest ,,Preceding,,Year to,,Same Month,
,,,Industry,,4.6,,5.3,,4.9,,-1.4,,,,Month,,Month,,      Date,,Year Ago,
,,,Services,,7.6,,8.1,,7.8,,5.6,,A.,Headline Inflation Rate (%) (NSO)/c,3.6,(Sep '12),3.8,(Aug '12),3.2,Jan - Sep '12,4.7,(Sep '11)
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,,  Food and Non-Alcoholic Beverages,3.7,,3.3,,2.3,,5,
,,(2000 - based),,,Month,,Month,,Date,,Year Ago ,,,  Non-Food,3.7,,4.1,,3.8,,4.6,
,,Value of Production(% g.r.),,,4.6,(Jul '12),8.7,(Jun '12),6.4,(Jan-Jul '12),4.2,(Jul '11),,NCR,3.5,,4.4,r,2.9,,4.1,
,,Volume of Production(% g.r.),,,4.7,,11.2,,5.5,,4.6,,,AONCR,3.7,,3.6,,3.3,,4.9,
,,Value of Sales(% g.r.),,,-0.3,,3.2,,4.9,,15.1,,B.,Core Inflation Rate (%) (NSO)/c,3.8,(Sep '12),4.3,(Aug '12),3.8,Jan - Sep '12,4.5,(Sep '11)
,,Volume of Sales(% g.r.),,,-0.2,,5.6,,4.1,,15.6,,C.,"Lending Rate (Low, %)",5.5,(Aug '12),5.7,(Jul '12),5.7,Jan - Aug '12,5.8,(Aug '11)
,,Weighted Ave. Capacity Utilization (%),,,0.1,,0.3,,0.4,,0.1,,,,Latest ,,                Preceding,,Year to,,                      Same Week,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,,,Week,,               Week,,   Date,,                      Year Ago,
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,D.,BSP Overnight Borrowing Policy Rates(RP),5.8,(08 Oct '12),5.8,(01 Oct '12),5.8,,6.5,(07 Oct '11)
,,Residential,,,-3.3,(Aug '12),4.3,(Jul '12),5.9,(Jan-Aug '12),-0.1,(Aug '11),E.,BSP Overnight Lending Policy Rates(RRP),3.8,(08 Oct '12),3.8,(01 Oct '12),3.8,,4.5,(07 Oct '11)
,,Commercial,,,-1,,5.5,,6.3,,2.8,,F.,91-Day T-Bill Rate (%),0.7,(01 Oct '12),0.7,(17 Sept '12),1.7,,3.9,(05 Oct  '11)
,,Industrial,,,4.4,,18.7,,13.7,,11.5,,G.,"Forex (Average, P:$1)",41.4,(10 Oct '12),41.6,(03 Oct '12),42.5,,43.6,(10 Oct '11)
,,Others,,,-14.2,,-9.9,,-10.3,,8.5,,H. ,PSEi,"5,394.90",(09 Oct '12),"5,348.70",(02 Oct '12),"5,086.90",,"4,040.60",(10 Oct '11)
,,Total,,,-0.1,,8.9,,8.3,,4.4,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,,                     Same Month/Quarter,
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,,,               Month/Quarter,,                 Month/Quarter,,   Date,,                     Year Ago,
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,A.,Merchandise Exports (% g.r.),-9, (Aug '12) ,6, (Jul '12) ,5.4,Jan- Aug '12,-12.6,(Aug '11)
,,Number of Permits,,,4.4,(Q2 '12),4.4,(Q1 '12),7.7,(Q2 '12),-3,(Q2 '11),, - Electronic Products/d (% g.r.),-14.9,,-25.6,,-8.1,,-30.6,
,,Value of Construction,,,15.5,,-6.8,,6.1,,-4.9,,B.,Merchandise Imports (% g.r.),-0.8, (Jul '12) ,13, (Jun '12) ,0.2,Jan-Jul '12,6.7,(Jul '11)
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,,- Raw mat. & intermediate goods (% g. r.),-2.8,,5.4,,-17.2,,-9.6,
,,,,,Period,,Period,,Date,,Year Ago ,,,- Capital goods (% g. r.),10.6,,62.8,,20.9,,-7.3,
,,Total Approved Foreign Direct Investment,,,9.4,(Q2'12),-16.3,(Q1'12),0.4,(Jan-Jun '12),192.5,(Q2'11),C.,Current Account ($ M),"2,831",(Q2 '12),844,(Q1 '12),"3,675",Jan-Jun '12,"1,906",(Q2 '11)
,,,BOI Investment,,-24,,53.3,,-7.3,,333.6,,D.,Capital & Financial Accounts ($ M),"-1,541",(Q2 '12),335,(Q1 '12),"-1,206",Jan-Jun '12,70,(Q2 '11)
,,,PEZA Investment,,118.8,,-27.7,,43.6,,152.4,,,"- Direct Investments, net'",-361,,694,,333,,464,
,,,SBMA Investment,,27.6,,139.4,,69.4,,-97.6,,E.,Balance of Payments ($ M),582,(Aug '12),"3,182",(Jul '12),"5,080",Jan- Aug '12,"2,719",(Aug '11)
,,,CDC Investment,,-96.4,,-13.4,,-87,,1524.8,,F.,Gross International Reserves ($ M),"81,878",(end Sep '12)/p,"80,728",(end Aug '12),"81,878",(end Sep '12),"75,174",(Sep '11)
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,,- Months' worth of imports,11.8,,11.7,,11.8,,11.1,
