region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),HK Express,-,-,-,-,-,-,-,-,-,-,-,1717,1717
I (Ilocos Norte),Laoag (International),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),China S. Air,793,-,-,-,700,-,-,-,-,-,-,-,1493
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,-,912,1766,2678
I (Ilocos Norte),Laoag (International),Mandarin Airlines,27346,20268,4113,3958,7215,3008,14471,13217,3510,-,-,5344,102450
I (Ilocos Norte),Laoag (Domestic),Pal,165281,163833,211020,225273,190055,169612,173501,123072,114849,127183,139999,174396,1978074
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,22146,18199,24400,26846,20985,15537,16206,15874,9555,16122,29361,33660,248891
I (Ilocos Norte),Laoag (Domestic),Paco,-,-,-,1965,217,-,-,-,-,-,-,-,2182
I (Ilocos Norte),Laoag (Domestic),Batanes Air,-,-,-,1287,2433,976,101,345,-,-,118,-,5260
I (Ilocos Norte),Laoag (Domestic),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),Sky Pasada,-,-,-,-,-,-,-,-,2745,1975,936,4931,10587
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Lingayen,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,G. Aviation,-,-,83,120,-,-,-,-,-,-,-,-,203
II (Cagayan Valley),Bagabag,Seair,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Bagabag,G. Aviation,2702,-,-,-,1725,-,1395,-,2128,1695,1059,276,10980
II (Cagayan Valley),Basco,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Basco,Total Domestic Cargo,23610,15859,31687,34210,38182,20090,16794,25794,22999,22025,29190,36681,317121
II (Cagayan Valley),Basco,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,G. Aviation,-,-,278,-,-,-,-,-,-,-,-,-,278
II (Cagayan Valley),Cauayan,Cebu Pacific,-,-,-,-,-,-,7853,8128,7608,22998,8089,9773,64449
II (Cagayan Valley),Cauayan,G. Aviation,4178,-,9345,-,-,13477,22909,13716,15341,-,-,-,78966
II (Cagayan Valley),Cauayan,Cyclone,-,7698,-,5437,5717,-,3227,90,214,815,1046,1080,25324
II (Cagayan Valley),Cauayan,WCC Skypasada,-,-,-,-,-,-,-,-,-,-,22405,24508,46913
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Itbayat,Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Itbayat,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Palanan,Cyclone,3748,4445,4456,2489,2265,4509,1761,1958,1846,2552,2973,2614,35616
II (Cagayan Valley),Palanan,WCC Skypasada,-,-,-,-,-,-,-,-,-,15676,16122,17562,49360
