region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,1184,-,-,1792,1274,765,-,-,-,-,-,1254,6269
CAR,Baguio,G. Aviation,216,-,-,461,128,118,-,-,-,-,-,581,1504
CAR,Baguio,Military,175,-,-,669,53,-,-,-,-,-,-,253,1150
I (Ilocos Norte),Laoag (International),PAL,1839,-,-,-,-,2358,-,2910,1978,2857,3445,-,15387
I (Ilocos Norte),Laoag (International),Air Macau,-,-,-,-,-,-,-,418,528,314,-,-,1260
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,-,-,2662,2095,798,158,3869,9582
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,2494,2349,3003,2606,2713,3868,2841,2366,5391,27631
I (Ilocos Norte),Laoag (International),Mandarin,3222,2036,1364,2770,3027,-,441,-,-,-,-,-,12860
I (Ilocos Norte),Laoag (Domestic),PAL,1089,1317,1995,2098,1892,1841,2628,2758,1913,1805,1951,3520,24807
I (Ilocos Norte),Laoag (Domestic),LIA,1222,503,1154,1327,930,1056,876,1124,717,1115,2506,1560,14090
I (Ilocos Norte),Laoag (Domestic),Seair,-,-,-,356,242,-,-,-,-,-,-,-,598
I (Ilocos Norte),Laoag (Domestic),Chemtrad,70,-,45,278,312,197,49,-,4,19,27,14,1015
I (Ilocos Norte),Laoag (Domestic),G. Aviation,24,57,56,192,50,144,86,60,30,42,23,34,798
I (Ilocos Norte),Laoag (Domestic),Military,-,-,63,-,36,47,-,54,30,15,-,-,245
I (Ilocos Norte),Lingayen,G. Aviation,36,51,72,66,62,20,26,38,25,88,87,78,649
I (Ilocos Norte),Rosales,G. Aviation,-,-,4,-,-,-,-,-,-,-,-,-,4
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),San Fernando,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,G. Aviation,21,84,89,55,83,156,178,24,34,4,69,-,797
I (Ilocos Norte),Vigan,Military,-,-,-,-,-,-,-,-,-,-,-,95,95
II (Cagayan Valley),Bagabag,Seair,99,62,61,203,121,221,47,28,114,315,355,9,1635
II (Cagayan Valley),Bagabag,G. Aviation,214,7,316,32,-,-,10,-,-,4,17,110,710
II (Cagayan Valley),Bagabag,Military,-,385,14,212,74,-,-,-,99,-,319,-,1103
II (Cagayan Valley),Basco,LIA,882,771,1134,1617,1541,1015,730,888,701,1028,931,1260,12498
II (Cagayan Valley),Basco,Seair,-,-,-,327,-,-,-,-,-,-,-,-,327
II (Cagayan Valley),Basco,Chemtrad,667,749,782,1367,814,801,601,614,573,800,615,829,9212
II (Cagayan Valley),Basco,G. Aviation,21,24,63,24,-,63,-,-,18,-,40,52,305
