region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
CAR,Baguio,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CAR,Baguio,G. Aviation,187,214,134,223,no passenger recorded during these months,-,-,-,-,-,101,277,1136,-
CAR,Baguio,Military,37,189,278,367,no passenger recorded during these months,-,-,-,-,-,156,116,1143,-
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,0,-
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0,-
I (Ilocos Norte),Laoag (International),China S. Air,270,-,-,163,165,-,-,-,-,-,-,-,598,-
I (Ilocos Norte),Laoag (International),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,-
I (Ilocos Norte),Laoag (International),Mandarin Airlines,1843,1482,304,403,625,204,1287,1212,220,150,-,511,8241,-
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,131,708,708,1547,-
I (Ilocos Norte),Laoag (Domestic),PAL,8115,7465,8688,8691,8539,7762,7936,7220,6507,6244,7624,7732,92523,-
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,2729,2386,2993,2997,2791,2209,2213,2086,1611,1964,3442,3986,31407,-
I (Ilocos Norte),Laoag (Domestic),Paco,-,-,-,178,18,-,-,-,-,-,-,-,196,-
I (Ilocos Norte),Laoag (Domestic),Batanes Air,-,-,-,171,219,89,5,2,-,-,6,-,492,-
I (Ilocos Norte),Laoag (Domestic),Sky Pasada,-,-,-,-,-,-,-,-,57,80,74,78,289,-
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,10,-,10,-,-,-,95,35,-,22,-,172,-
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,-,-,-,-,-,8,-,-,-,8,-
I (Ilocos Norte),Lingayen,G. Aviation,2064,1863,2432,-,2466,1179,1684,2039,-,1646,3094,2042,20509,-
I (Ilocos Norte),Lingayen,Military,-,-,-,-,-,-,-,-,-,88,-,-,-,-
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Lion Air,124,74,160,-,50,-,-,-,-,-,-,24,432,-
I (Ilocos Norte),Vigan,Seair,53,-,-,-,-,-,-,-,-,-,-,-,53,-
I (Ilocos Norte),Vigan,InterIsland,-,-,83,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,North South Air,-,-,-,-,-,-,-,-,-,-,-,331,-,-
I (Ilocos Norte),Vigan,G. Aviation,2734,5687,5796,3731,2563,393,W I P,W I P,W I P,W I P,73,376,21353,-
I (Ilocos Norte),Vigan,Military,-,-,14,-,-,-,-,-,-,-,-,71,85,-
II (Cagayan Valley),Bagabag,G. Aviation,57,-,-,16,149,-,22,-,108,213,94,294,953,-
II (Cagayan Valley),Basco,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Basco,Total Domestic Passenger,1350,1487,2412,2847,2988,1258,926,1300,958,822,1186,1676,19210,-
II (Cagayan Valley),Basco,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Basco,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Basco,Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Basco,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Basco,G. Aviation,-,26,44,-,-,-,5,-,-,-,-,-,75,-
II (Cagayan Valley),Basco,Military,-,-,-,-,-,-,-,-,16,7,-,-,23,-
II (Cagayan Valley),Cauayan,Cyclone,-,1417,-,1307,1655,-,1042,1000,690,607,728,712,9158,-
II (Cagayan Valley),Cauayan,Cebu Pacific,-,-,-,-,-,-,1515,1443,1267,1364,1396,1463,-,-
II (Cagayan Valley),Cauayan,WCC,-,-,-,-,-,-,-,-,-,833,837,983,-,-
II (Cagayan Valley),Cauayan,G. Aviation,1981,224,1984,213,164,2575,877,563,625,26,40,54,-,-
II (Cagayan Valley),Itbayat,Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Itbayat,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Palanan,Cyclone,262,255,338,164,139,275,111,142,105,161,187,118,2257,-
II (Cagayan Valley),Palanan,WCC,-,-,-,-,-,-,-,-,-,698,547,647,-,-
II (Cagayan Valley),Palanan,G. Aviation,-,2,13,-,33,128,491,395,413,-,-,-,1475,-
II (Cagayan Valley),Palanan,Military,45,-,48,-,22,25,121,-,-,-,-,22,283,-
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,480,395,875,-
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,3370,3496,4324,3603,3703,3264,3706,4611,4238,3647,3335,4885,46182,-
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippines,1995,480,123,-,-,-,212,-,-,-,-,-,2810,-
II (Cagayan Valley),Tuguegarao (Domestic),PAL Express,1474,2353,3622,2982,2871,3284,3344,3147,2864,2431,2975,3735,35082,-
II (Cagayan Valley),Tuguegarao (Domestic),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,-
II (Cagayan Valley),Tuguegarao (Domestic),Chemtrad,264,257,408,197,273,239,218,100,71,108,121,90,2346,-
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,205,210,215,364,273,225,50,92,77,97,185,87,2080,-
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Air,16,-,15,-,17,25,6,36,46,15,25,7,208,-
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,-,-,-,-,-,-,-,216,213,278,281,358,1346,-
II (Cagayan Valley),Tuguegarao (Domestic),ACC,-,578,621,406,323,99,-,10,9,8,16,-,2070,-
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,-,41,36,85,42,570,81,55,18,100,89,69,1186,-
II (Cagayan Valley),Tuguegarao (Domestic),Military,-,-,16,79,53,-,17,-,-,-,-,-,165,-
III (Central Luzon),Iba,G. Aviation,387,612,680,426,794,317,609,435,263,565,806,749,6643,-
III (Central Luzon),Subic,International,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Subic,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,International,-,-,-,-,-,-,-,-,-,-,-,-,0,-
III (Central Luzon),Diosdado Macapagal International Airport,Asiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Hongkong Airlines,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Tiger Airways,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Air Asia,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Deer Air,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Shanghai Airlines,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0,-
III (Central Luzon),Diosdado Macapagal International Airport,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Seair,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Plaridel,G. Aviation,20260,17455,19800,15526,19772,16112,18954,16996,15352,20798,23698,17802,222525,-
NCR,NAIA,International,997564,831362,978820,1052976,1020107,878236,907794,932771,799917,865481,920160,1018056,11203244,-
NCR,NAIA,Domestic,938782,885695,1107993,1250719,1345021,1060780,1012338,1054647,962554,1004919,974074,1082620,12680142,-
NCR,NAIA,G. Aviation,22059,17917,22124,21022,19716,15363,17307,18226,14516,16834,19537,20547,225168,-
IV-A (CALABARZON)),Alabat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Baler,Seair,-,14,282,-,-,-,-,-,32,-,-,-,328,-
III (Central Luzon),Baler,G. Aviation,188,254,-,108,-,-,14,-,-,-,102,-,666,-
III (Central Luzon),Baler,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IV-B (MIMAROPA),Busuanga,PAL Express,3798,4272,5334,6760,8646,4011,2646,3739,2995,2501,3497,2308,50507,-
IV-B (MIMAROPA),Busuanga,Cebu Pacific,3900,4153,5778,8702,8658,5480,5172,5278,4521,4192,5144,6502,67480,-
IV-B (MIMAROPA),Busuanga,Zest Air,653,752,1584,2658,2785,2136,1473,1885,1911,1918,1617,2579,21951,-
IV-B (MIMAROPA),Busuanga,Seair,217,15,189,-,-,-,-,-,-,-,-,-,421,-
IV-B (MIMAROPA),Busuanga,G. Aviation,23,38,37,14,183,-,3,149,81,61,65,80,734,-
IV-B (MIMAROPA),Calapan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IV-B (MIMAROPA),Calapan,G. Aviation,-,-,604,-,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Cuyo,Seair,-,-,-,-,-,-,-,103,-,-,-,-,103,-
IV-B (MIMAROPA),Cuyo,G. Aviation,-,-,130,142,110,71,-,-,-,-,-,-,453,-
IV-A (CALABARZON)),Jomalig,G. Aviation,12,-,22,-,-,-,-,-,-,-,-,-,34,-
IV-B (MIMAROPA),Lubang,Seair,745,923,-,564,-,-,-,1317,1295,-,-,-,4844,-
IV-B (MIMAROPA),Lubang,G. Aviation,-,-,1117,-,1849,958,2008,-,-,-,263,-,6195,-
IV-B (MIMAROPA),Mamburao,Paco,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IV-B (MIMAROPA),Mamburao,G. Aviation,105,223,248,-,-,-,-,-,-,159,216,188,1139,-
IV-B (MIMAROPA),Mamburao,Military,-,-,62,-,-,-,-,-,-,-,-,-,62,-
IV-B (MIMAROPA),Marinduque,Zest Air,740,808,1104,663,1682,1302,1583,1640,1466,1401,1488,1510,15387,-
IV-B (MIMAROPA),Marinduque,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IV-B (MIMAROPA),Marinduque,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Puerto Princesa ,PAL,15681,15681,21199,21385,22401,18049,15644,17859,16356,17990,19160,20569,221974,-
IV-B (MIMAROPA),Puerto Princesa ,Air Philippines,3461,3461,6549,7954,7918,7245,5523,3274,-,-,-,-,45385,-
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,21074,21074,25817,30936,29657,22233,21331,26207,5043,23884,22019,26512,275787,-
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,-,-,1311,3260,231,5860,5267,5108,5363,4666,3546,5698,40310,-
IV-B (MIMAROPA),Puerto Princesa ,Seair,289,-,95,246,-,55,45,-,-,-,-,-,730,-
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,-,-,-,46,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,296,294,552,158,142,492,111,655,225,325,40,277,3567,-
IV-B (MIMAROPA),Romblon,Seair,878,748,798,957,725,370,653,596,-,532,565,624,7446,-
IV-B (MIMAROPA),Romblon,Zest Air,-,-,-,188,404,418,454,559,-,399,689,1016,-,-
IV-B (MIMAROPA),Romblon,G. Aviation,8,14,31,57,26,39,-,30,-,17,-,-,222,-
IV-B (MIMAROPA),Romblon,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IV-B (MIMAROPA),San Jose,PAL,4192,3364,3562,3458,3926,1653,2187,2984,1788,2452,2776,2222,34564,-
IV-B (MIMAROPA),San Jose,Cebu Pacific,3393,2818,3970,4988,5886,2429,2854,3417,3305,3744,3587,3230,43621,-
IV-B (MIMAROPA),San Jose,Zest Air,528,-,1959,2845,2762,1033,2712,2633,2645,2775,2380,2946,25218,-
IV-B (MIMAROPA),San Jose,G. Aviation,272,768,288,129,139,30,113,234,141,-,174,235,2523,-
IV-B (MIMAROPA),San Jose,Military,46,314,239,61,-,2,-,140,74,-,46,108,1030,-
IV-B (MIMAROPA),Pinamalayan,G. Aviation,-,74,-,-,-,-,-,-,-,-,-,-,-,-
IV-B (MIMAROPA),Wasig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V (Bicol Region),Bulan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
V (Bicol Region),Daet,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0,-
V (Bicol Region),Daet,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
V (Bicol Region),Legaspi,PAL,9448,9513,10831,12050,10992,10327,10022,10907,9814,8366,9065,8793,120128,598849
V (Bicol Region),Legaspi,Air Philippines,18413,-,-,-,-,-,-,-,-,-,-,-,18413,28447
V (Bicol Region),Legaspi,Cebu Pacific,-,21815,26732,28606,27058,26528,26143,22856,20603,21941,23299,28029,273610,882168
