region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,58,56,58,54,58,34,26,18,28,42,44,50,526
CAR,Baguio,Corp. Air,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,G. Aviation,60,116,136,62,50,32,24,32,22,46,88,96,764
CAR,Baguio,Military,68,56,132,12,78,38,4,26,8,46,28,110,606
I (Ilocos Norte),Laoag (International),Far East Trans,26,30,26,26,28,24,28,26,28,24,26,26,318
I (Ilocos Norte),Laoag (International),China S. Air,26,22,26,26,28,24,28,34,24,26,26,20,310
I (Ilocos Norte),Laoag (International),C.R. Airways,56,50,66,58,56,48,62,56,50,56,50,66,674
I (Ilocos Norte),Laoag (International),PEAC,0,0,0,0,0,0,0,48,58,34,104,102,346
I (Ilocos Norte),Laoag (International),Deer Jet,0,12,0,0,0,0,0,0,0,0,0,0,12
I (Ilocos Norte),Laoag (Domestic),PAL,34,32,42,42,44,44,36,34,34,36,34,38,450
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,0,0,0,2,0,0,0,0,0,0,0,0,2
I (Ilocos Norte),Laoag (Domestic),Air Philippines,0,0,0,4,0,0,0,0,0,0,0,0,4
I (Ilocos Norte),Laoag (Domestic),Paco,48,30,58,52,72,24,18,8,20,16,18,22,386
I (Ilocos Norte),Laoag (Domestic),Chemtrad,42,36,36,78,72,20,2,2,2,0,0,0,290
I (Ilocos Norte),Laoag (Domestic),G. Aviation,46,50,44,38,100,30,16,20,8,10,22,18,402
I (Ilocos Norte),Laoag (Domestic),Military,20,8,16,20,4,6,0,0,16,4,26,4,124
I (Ilocos Norte),Lingayen,G. Aviation,42,64,0,28,26,10,40,14,30,34,30,20,338
I (Ilocos Norte),Rosales,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),San Fernando,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Vigan,Asian Spirit,0,0,0,2,34,0,24,28,18,20,0,40,166
I (Ilocos Norte),Vigan,Chemtrad,0,0,0,0,0,0,0,0,0,14,0,0,14
I (Ilocos Norte),Vigan,G. Aviation,52,54,58,32,54,62,4,14,22,20,90,0,462
II (Cagayan Valley),Bagabag,G. Aviation,72,90,70,76,48,54,124,82,92,62,52,42,864
II (Cagayan Valley),Bagabag,Military,0,0,0,0,0,0,0,-,0,2,0,0,-
II (Cagayan Valley),Basco,Asian Spirit,32,44,32,76,64,68,34,26,64,68,30,76,614
II (Cagayan Valley),Basco,Seair,0,4,0,0,0,0,0,0,0,0,0,0,4
II (Cagayan Valley),Basco,Chemtrad,84,60,106,392,290,140,28,42,12,48,20,44,1266
II (Cagayan Valley),Basco,Paco,92,80,100,204,204,154,52,32,126,112,40,134,1330
II (Cagayan Valley),Basco,G. Aviation,0,6,8,0,0,0,4,0,8,0,0,0,26
II (Cagayan Valley),Basco,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
II (Cagayan Valley),Cauayan,G. Aviation,162,282,154,200,130,128,124,98,96,142,94,80,1690
II (Cagayan Valley),Itbayat,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
II (Cagayan Valley),Palanan,Chemtrad,0,0,0,0,0,0,0,0,0,0,0,0,0
II (Cagayan Valley),Palanan,Cyclone,140,108,116,132,86,88,110,0,78,106,72,68,1104
II (Cagayan Valley),Palanan,G. Aviation,0,0,2,6,4,0,2,0,4,0,6,6,30
II (Cagayan Valley),Palanan,Military,0,4,0,0,8,10,0,0,0,0,4,4,30
II (Cagayan Valley),Tuguegarao ,Air Philippines,28,24,24,26,26,26,26,28,22,26,22,0,278
II (Cagayan Valley),Tuguegarao ,Asian Spirit,32,2,0,0,30,54,50,36,44,42,36,0,326
II (Cagayan Valley),Tuguegarao ,Chemtrad,74,80,82,100,86,100,78,104,64,86,86,0,940
II (Cagayan Valley),Tuguegarao ,G. Aviation,28,24,26,10,42,18,32,18,6,8,6,0,218
II (Cagayan Valley),Tuguegarao ,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
III (Central Luzon),Iba,G. Aviation,38,48,22,66,44,22,18,20,38,48,48,58,470
III (Central Luzon),Iba,Military,0,0,0,0,0,0,0,0,0,0,0,20,20
III (Central Luzon),Subic,International,Grand Total for the whole year,-,-,-,-,0,0,0,0,0,0,0,0
III (Central Luzon),Subic,Domestic,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Subic,G. Aviation,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Subic,Military,Grand Total for the whole year,-,-,-,-,0,0,0,0,0,0,0,0
III (Central Luzon),Diosdado Macapagal International Airport,International,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,PEAC,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,UPS,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Cebu Pacific,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Asian Spirit,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Seair,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,PEAC,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,G. Aviation,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,Military,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Plaridel,G. Aviation,376,0,330,498,426,344,290,206,282,250,414,336,3752
NCR,NAIA,International,3850,3687,3950,3933,4107,3958,4102,4040,3880,4052,3982,4205,47746
NCR,NAIA,Domestic,7300,6473,7190,7830,7884,6526,6467,6550,5865,7065,6847,7276,83273
NCR,NAIA,G. Aviation,3573,3488,3877,3780,3821,2924,2935,2872,2818,3514,3364,3346,40312
IV-A (CALABARZON)),Alabat,G. Aviation,0,0,0,0,0,0,0,0,0,0,2,0,2
III (Central Luzon),Baler,Seair,0,0,0,0,0,0,0,6,0,0,0,0,6
IV-B (MIMAROPA),Baler,G. Aviation,0,20,2,0,4,0,6,0,0,0,0,0,32
IV-B (MIMAROPA),Busuanga,Asian Spirit,0,76,80,92,102,68,40,30,22,56,56,62,684
IV-B (MIMAROPA),Busuanga,Seair,0,188,200,198,214,154,116,130,120,188,192,204,1904
IV-B (MIMAROPA),Busuanga,G. Aviation,0,130,172,160,172,96,220,194,144,258,188,174,1908
IV-B (MIMAROPA),Busuanga,Military,0,0,0,10,18,0,0,0,0,0,0,2,30
IV-B (MIMAROPA),Calapan,Seair,2,0,0,0,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),Calapan,G. Aviation,36,0,38,0,0,0,0,0,0,0,0,0,74
IV-B (MIMAROPA),Calapan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Cuyo,Seair,0,0,10,0,8,14,10,8,0,0,10,14,74
IV-B (MIMAROPA),Cuyo,Paco,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,Chemtrad,0,0,0,0,0,0,4,0,0,0,0,0,4
IV-B (MIMAROPA),Cuyo,G. Aviation,0,0,30,70,30,56,110,0,0,0,78,72,446
IV-B (MIMAROPA),Cuyo,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-A (CALABARZON)),Jomalig,G. Aviation,0,42,0,14,0,8,0,8,0,0,14,0,86
IV-B (MIMAROPA),Lubang,Seair,0,0,0,0,0,0,0,6,0,0,0,0,6
IV-B (MIMAROPA),Lubang,G. Aviation,78,64,58,52,82,90,100,214,102,0,130,38,1008
IV-B (MIMAROPA),Mamburao,G. Aviation,26,30,10,14,6,4,14,0,28,6,4,0,142
IV-B (MIMAROPA),Mamburao,Military,0,0,0,0,0,0,0,32,0,0,0,0,32
IV-B (MIMAROPA),Marinduque,Asian Spirit,0,0,0,0,0,28,24,0,0,0,0,0,52
IV-B (MIMAROPA),Marinduque,G. Aviation,0,0,0,0,0,0,22,0,0,0,0,0,22
IV-B (MIMAROPA),Puerto Princesa (International),Layang-Layang,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Puerto Princesa (Domestic),PAL,64,56,62,60,64,60,62,62,60,62,60,62,734
IV-B (MIMAROPA),Puerto Princesa (Domestic),Air Philippines,62,56,60,60,62,56,56,62,60,62,78,98,772
IV-B (MIMAROPA),Puerto Princesa (Domestic),Cebu Pacific,92,86,92,94,98,78,80,24,0,0,0,44,688
IV-B (MIMAROPA),Puerto Princesa (Domestic),Asian Spirit,-,52,44,44,42,32,28,26,22,24,28,32,374
IV-B (MIMAROPA),Puerto Princesa (Domestic),Seair,42,38,44,44,42,32,28,26,22,24,28,32,402
IV-B (MIMAROPA),Puerto Princesa (Domestic),G. Aviation,86,58,92,110,110,30,84,40,82,82,88,84,946
IV-B (MIMAROPA),Romblon,Seair,0,0,0,2,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),Romblon,InterIsland,0,0,0,26,36,0,0,0,0,0,0,0,62
IV-B (MIMAROPA),Romblon,G. Aviation,2,10,6,0,0,12,6,0,0,2,2,0,40
IV-B (MIMAROPA),Romblon,Military,0,0,0,6,0,0,0,0,0,0,0,2,8
IV-B (MIMAROPA),San Jose,Asian Spirit,60,56,60,60,0,60,62,62,60,62,60,60,662
IV-B (MIMAROPA),San Jose,Air Philippines,2,0,0,0,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),San Jose,Seair,0,6,60,60,0,60,62,66,60,62,60,62,558
IV-B (MIMAROPA),San Jose,G. Aviation,74,70,84,90,0,18,24,20,32,32,32,56,532
IV-B (MIMAROPA),San Jose,Military,34,80,12,24,0,2,8,100,42,26,12,30,370
IV-B (MIMAROPA),Pinamalayan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Pinamalayan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Wasig,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
V (Bicol Region),Bulan,G. Aviation,0,0,0,0,0,4,0,0,0,0,0,0,4
V (Bicol Region),Daet,G. Aviation,12,0,0,0,0,0,0,6,6,0,0,0,24
V (Bicol Region),Legaspi,PAL,64,56,62,60,60,60,60,62,58,62,60,56,720
V (Bicol Region),Legaspi,G. Aviation,20,24,20,30,40,24,8,26,24,14,20,20,270
V (Bicol Region),Legaspi,Military,4,10,2,110,6,128,10,46,0,0,2,0,318
V (Bicol Region),Masbate,Asian Spirit,60,56,58,60,66,62,60,62,58,60,62,52,716
V (Bicol Region),Masbate,G. Aviation,46,2,12,6,16,16,6,0,6,0,6,12,128
V (Bicol Region),Masbate,Military,0,2,12,2,4,6,12,0,4,0,4,0,46
V (Bicol Region),Naga,PAL,36,32,0,36,34,34,38,36,36,0,40,44,366
V (Bicol Region),Naga,G. Aviation,0,16,0,32,46,0,0,0,0,0,8,6,108
