city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Hadji Panglima Tahil Marunggas,Mayor,"Luib, Ronald Olarte",Dodoy,Lakas-Christian Muslim Democrats,1966
Hadji Panglima Tahil Marunggas,Vice-Mayor,"Torotoro, Domingo Lospe",Doming,Lakas-Christian Muslim Democrats,1830
Hadji Panglima Tahil Marunggas,Councilor,"Lasco, Emcil Crisostomo",Cil,Lakas-Christian Muslim Democrats,2092
Hadji Panglima Tahil Marunggas,Councilor,"Manto, Benjie Bacor",Balonglong,Lakas-Christian Muslim Democrats,1878
Hadji Panglima Tahil Marunggas,Councilor,"Curada, Jaime Jr. Luib",Erick,Puwersa ng Masang Pilipino,1788
Hadji Panglima Tahil Marunggas,Councilor,"Luib, Santiago Jr. Bag-ao",Jun,Lakas-Christian Muslim Democrats,1697
Hadji Panglima Tahil Marunggas,Councilor,"Llamera, Nacencia Gumato",Nacing Llamera,Puwersa ng Masang Pilipino,1670
Hadji Panglima Tahil Marunggas,Councilor,"Taypa, Victor Compe",Betty,Lakas-Christian Muslim Democrats,1664
Hadji Panglima Tahil Marunggas,Councilor,"Torotoro, Enna Cantilado",En,Lakas-Christian Muslim Democrats,1609
Hadji Panglima Tahil Marunggas,Councilor,"Jarabe, Revic T.",Bobong,Lakas-Christian Muslim Democrats,1587
