city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Atok,Mayor,"Balao, Concepcion Dalgis",Connie,Nationalist People's Coalition,5621
Atok,Vice-Mayor,"Lucas, Crispino Palasi",Cris,Nationalist People's Coalition,2594
Atok,Councilor,"Fianza, Santos Tio-Tio",Sonny,Nationalist People's Coalition,2794
Atok,Councilor,"Bodong, Adam Awas",Ads,Nationalist People's Coalition,2724
Atok,Councilor,"Tumayan, Andrew Carantes",Andy,Nationalist People's Coalition,2708
Atok,Councilor,"Lay-At, Marson Soguel",Mar,Nationalist People's Coalition,2564
Atok,Councilor,"Alos, Peter Banasen",Peter,Nationalist People's Coalition,2542
Atok,Councilor,"Sarac, Lolito Camsol",Lito,Nationalist People's Coalition,2248
Atok,Councilor,"Tad-o, Mario Anton",Mario,Nationalist People's Coalition,2179
Atok,Councilor,"Mayos, Edd Tioaquen",Kiri-Kid,Lakas-Christian Muslim Democrats,1964
Baguio City,Mayor,"Yaranon, Braulio Dacanay",Raul,Laban ng Demokratikong Pilipino,48147
Baguio City,Vice-Mayor,"Bautista, Reinaldo Jr. Asperin",Peter Rey,Philippine Democratic Socialist Party/Laban ng Demokratikong Pilipino,43369
Baguio City,Councilor,"Yangot, Leandro Jr. Bagto",Jun,Laban ng Demokratikong Pilipino,48135
Baguio City,Councilor,"Farinas, Daniel Tesaluna",Danny,Philippine Democratic Socialist Party/Laban ng Demokratikong Pilipino,45180
Baguio City,Councilor,"Balisong, Rocky Thomas Aspilan",Rocky,Lakas-Christian Muslim Democrats,38791
Baguio City,Councilor,"Tenefrancia, Edilberto Boncato",Tene,Lakas-Christian Muslim Democrats,38295
Baguio City,Councilor,"Olowan, Faustino Atiwag",Ulo,Philippine Democratic Socialist Party,38207
Baguio City,Councilor,"Datuin, Elmer Orzal",Elmer,Lakas-Christian Muslim Democrats,37728
Baguio City,Councilor,"Weygan, Galo Dapiosen",Galo,Laban ng Demokratikong Pilipino,37673
Baguio City,Councilor,"Mandapat, Federico Jr. Javier",Bong,Lakas-Christian Muslim Democrats,34267
Baguio City,Councilor,"Rondez, Perlita Chan",Pinky Chan-Rondez,Philippine Democratic Socialist Party/Laban ng Demokratikong Pilipino,34211
Baguio City,Councilor,"Bala Jadia, Erdolfo Villaruz",Erding,Lakas-Christian Muslim Democrats,33840
Baguio City,Councilor,"Tabora, Antonio Jr. Runez",Tony Boy,Lakas-Christian Muslim Democrats,33417
Baguio City,Councilor,"Molintas, Jose Mencio",Joe,Nationalist People's Coalition,32187
Bakun,Mayor,"Contada, Marcelo Balinggan",Katat,Nationalist People's Coalition,3166
Bakun,Vice-Mayor,"Suni-En, Belino Bacabac",Bilog,Independent,2253
Bakun,Councilor,"Labinio, Fausto Talbino",Adang,Independent,2720
Bakun,Councilor,"Atonen, Crispin Tio-Adan",-,Lakas-Christian Muslim Democrats,2481
Bakun,Councilor,"Contada, Carmen Monte",Car,Independent,2195
Bakun,Councilor,"Dalmones, Paulino Fianzo",Paul,Independent,2181
Bakun,Councilor,"Angluben, Cresencio Nasingao",Cris,Laban ng Demokratikong Pilipino,2095
Bakun,Councilor,"Dolinas, John T.",Dew-En,Independent,1806
Bakun,Councilor,"Donglal, Agusto Angkil",Agie/Augie,Independent,1720
Bakun,Councilor,"Soriano, Darwin Sab-it",Dar,Liberal Party,1714
Bokod,Mayor,"Celino, Raymundo Wakat",Ray,Independent,2741
Bokod,Vice-Mayor,"Wales, Thomas Jr. Kisal",Bong Bong,Independent,2963
Bokod,Councilor,"Basilio, Gerardo Chanao",Gerry,Independent,2406
Bokod,Councilor,"Tello, Reynaldo Badival",Rey,Independent,2281
Bokod,Councilor,"Sanchez, Felix Molintas",Bony,Independent,2193
Bokod,Councilor,"Doman, Benjamin Gusting",Ben,Independent,2108
Bokod,Councilor,"Camado, Maximo Almesa",Max,Independent,2090
Bokod,Councilor,"Alis, Marcelina Chanao",Helen,Independent,1970
Bokod,Councilor,"Besara, Ponciano Basco","Ponce, Poncing, Pons",Independent,1808
Buguias,Mayor,"Palileng, Thomas Sr. Rufino",Bedenio,Lakas-Christian Muslim Democrats,5292
Buguias,Vice-Mayor,"Bayacsan, Felicio Kitongan",Felicio,Nationalist People's Coalition,8767
Buguias,Councilor,"Calwag, Ireneo Colas",Ireneo,Lakas-Christian Muslim Democrats,5229
Buguias,Councilor,"Amos, Julius Matay-O",Bakkong,Independent,4779
Buguias,Councilor,"Kitongan, Vicente Benwisan",Vic,Lakas-Christian Muslim Democrats,4706
Buguias,Councilor,"Lesino, Francisco Sagapi",Isco,Nationalist People's Coalition,4556
Buguias,Councilor,"Og-Oget, Manuel Wagayan",Manny,Independent,4078
Buguias,Councilor,"Tumpap, Basilio Jr. Ta-ao","Junior, Dunggol",Lakas-Christian Muslim Democrats,3625
Buguias,Councilor,"Talabis, Arsebino Soligam",Balnet,Lakas-Christian Muslim Democrats,3355
Buguias,Councilor,"Vicente, Florencio Ngayawon",Kiangan,Independent,3337
Itogon,Mayor,"Godio, Mario Waklin",Mar,Independent,9670
Itogon,Vice-Mayor,"Ngolob, Noel Gabao",Noel,Nationalist People's Coalition,8424
Itogon,Councilor,"Tauli, Michael Gambican",Mike,Nationalist People's Coalition,7744
Itogon,Councilor,"Galiega, Junio Awisan",June,Independent,6601
Itogon,Councilor,"Fianza, Trazon Sumali",Trazon,Independent,6417
Itogon,Councilor,"Pacio, Gervacio Capulas",Gerry,Lakas-Christian Muslim Democrats,6346
Itogon,Councilor,"Liyo, Nena Singwa",Nena,Nationalist People's Coalition,5715
Itogon,Councilor,"Cornel, Gerard Sergio",Gerry,Aksyon Demokratiko,5509
Itogon,Councilor,"Camantiles, Oscar Maingdes",Oca,Independent,4757
Itogon,Councilor,"Galutan, Johnny Galleo",Jani,Lakas-Christian Muslim Democrats,4564
Kabayan,Mayor,"Matuday, Ernesto Todiano",Ernie,Nationalist People's Coalition,2781
Kabayan,Vice-Mayor,"Cosalan, Victor Adaoc",Vic,Nationalist People's Coalition,3808
Kabayan,Councilor,"Agustin, Romeo Ansem",Romy,Independent,2620
Kabayan,Councilor,"Mangusan, Gertrude Aroco",Etud,Independent,2190
Kabayan,Councilor,"Daoal, Basilio Louie Jr. Angso",Louie,Nationalist People's Coalition,2085
Kabayan,Councilor,"Tampoc, Henry Helario",Henry,Nationalist People's Coalition,1837
Kabayan,Councilor,"Aguinse, Telio Lorenzo",Leo,Nationalist People's Coalition,1831
Kabayan,Councilor,"Ganase, Elmer Moril",-,Independent,1746
Kabayan,Councilor,"Busilag, Senforiano Depago",Senfor,Independent,1707
Kabayan,Councilor,"Caliag, Basio Sinakey",Basio,Independent,1667
Kapangan,Mayor,"Leon, Rogelio Polon",Rogel,Lakas-Christian Muslim Democrats,7523
Kapangan,Vice-Mayor,"Dagupen, Rogelio Andiso",Rogel,Lakas-Christian Muslim Democrats,7246
Kapangan,Councilor,"Eslay, Mayo Dayao",Mayo,Lakas-Christian Muslim Democrats,4500
Kapangan,Councilor,"Comila, Warton E.",-,Lakas-Christian Muslim Democrats,4436
Kapangan,Councilor,"Lorenzo, Lauro Carino",Larry,Lakas-Christian Muslim Democrats,3915
Kapangan,Councilor,"Camhit, Dominga Accos",Dominga,Lakas-Christian Muslim Democrats,3421
Kapangan,Councilor,"Fermin, Manny Ediong","Manny Boy,Manuel",Independent,3227
Kapangan,Councilor,"Pudin, Arthur Alonzo",Art,Independent,2966
Kapangan,Councilor,"Dumaguing, Romeo Dayao",Romy,Lakas-Christian Muslim Democrats,2601
Kapangan,Councilor,"Begawen, Ruben Metua",Ben / Ruben,Lakas-Christian Muslim Democrats,2510
Kibungan,Mayor,"Paayas, Murphy Eslava",Murpe,Lakas-Christian Muslim Democrats,1999
Kibungan,Vice-Mayor,"Pongsayan, Patricio Nga-eo",Picos,Nationalist People's Coalition,5014
Kibungan,Councilor,"Sacpa, Aureiana Benawe",Auring,Lakas-Christian Muslim Democrats,2219
Kibungan,Councilor,"Postino, Reynaldo Sadey",Bogawen,Lakas-Christian Muslim Democrats,2160
Kibungan,Councilor,"Pantaleon, Joseph Walang",Joe,Nationalist People's Coalition,1837
Kibungan,Councilor,"Olayo, Marcos Bela-o",Macoy,Nationalist People's Coalition,1736
Kibungan,Councilor,"Menzi, Mendel Amayag",-,Lakas-Christian Muslim Democrats,1687
Kibungan,Councilor,"Atayoc, Susan Sadey",Kuykuyan,Nationalist People's Coalition,1681
Kibungan,Councilor,"Bokilis, Patricio Babate",Pat,Lakas-Christian Muslim Democrats,1628
Kibungan,Councilor,"Wayan, Bobby Tibao",Ty,Nationalist People's Coalition,1469
La Trinidad,Mayor,"Fongwan, Nestor Bagtang",Nes,Nationalist People's Coalition,16432
La Trinidad,Vice-Mayor,"Galwan, Artemio Abenoja",Tim,Lakas-Christian Muslim Democrats,11208
La Trinidad,Councilor,"Esguerra, Samuel Macaraeg",Sammy,Lakas-Christian Muslim Democrats,11613
La Trinidad,Councilor,"Kipas, Henry Mangiga",Henry,Lakas-Christian Muslim Democrats,10716
La Trinidad,Councilor,"Esteban, William Hidalgo",Botsu/Butch,Nationalist People's Coalition,10559
La Trinidad,Councilor,"Salda, Romeo Kimo",Romy,Nationalist People's Coalition,9317
La Trinidad,Councilor,"Lacamen, Frank Luquey",Frank,Lakas-Christian Muslim Democrats,9103
La Trinidad,Councilor,"Chamos, Thomas Lacamen",Tommy,Nationalist People's Coalition,8851
La Trinidad,Councilor,"Literato, Dionisio Ancheta",Dionie,Nationalist People's Coalition,8408
La Trinidad,Councilor,"Botiwey, Jim Galipen",-,Independent,8071
Mankayan,Mayor,"Galuten, Manalo Bekesan",-,Nationalist People's Coalition,5737
Mankayan,Vice-Mayor,"Guanso, James Jr. Marcos",Jimmy,Lakas-Christian Muslim Democrats,7337
Mankayan,Councilor,"Dacanay, Paterno Sab-it",Pat,Independent,6152
Mankayan,Councilor,"Kilaan, Richard Baltazar",Atty. Kilaan,Nationalist People's Coalition,5806
Mankayan,Councilor,"Labi, Polido Bagano",Pol,Lakas-Christian Muslim Democrats,5554
Mankayan,Councilor,"Banario, Dario Sakito",Dar,Lakas-Christian Muslim Democrats,5159
Mankayan,Councilor,"Banagui, Peter Sr. Saddot",Lino,Independent,4763
Mankayan,Councilor,"Ambas, Marciana Linggoy",Ansing,Lakas-Christian Muslim Democrats,4142
Mankayan,Councilor,"Tingbaoen, Florence Belino",Flor,Lakas-Christian Muslim Democrats,4073
Mankayan,Councilor,"Campos, Cellong Kattel",Cellong,Independent,3661
Sablan,Mayor,"Tacio, Bony Lubid",Bony,Nationalist People's Coalition,2202
Sablan,Vice-Mayor,"Martin, Demetrio Ananayo",Demy,Nationalist People's Coalition,2232
Sablan,Councilor,"Gayaman, Julio Rafael",Jrg,Nationalist People's Coalition,2136
Sablan,Councilor,"Baldo, Arthur Camacho",Art,Nationalist People's Coalition,1995
Sablan,Councilor,"Sito, Rogelio Olila",Roger,Nationalist People's Coalition,1805
Sablan,Councilor,"Polon, Romulo Colansong","Mulong , Roman",Nationalist People's Coalition,1606
Sablan,Councilor,"Juanitas, Caridad Mangosan",Caring,Nationalist People's Coalition,1596
Sablan,Councilor,"Paran, Erlinda Dongael",Arlene,Nationalist People's Coalition,1559
Sablan,Councilor,"Munar, Manuel Jr. Banasen",Manny,Independent,1546
