city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alilem,Mayor,"Bangaoil, Samson Liguden",Samson,Liberal Party,2405
Alilem,Vice-Mayor,"Bistoyong, Onofre Baguitan",Ofring,Liberal Party,2348
Alilem,Councilor,"Sumabat, Mar Ruel Payaqui",Ruel,Liberal Party,1832
Alilem,Councilor,"Tiglao, Bonifacio Pilayan",Pacio,Liberal Party,1472
Alilem,Councilor,"Liyo, Cesario Binay-an",Sario,Independent,1337
Alilem,Councilor,"Valencia, Caridad Dapiaser",Caring,Liberal Party,1329
Alilem,Councilor,"Bangaoil, Alejo Mutong",Alex,Independent,1329
Alilem,Councilor,"Javier, Noemi Quinsay",Mimi,Liberal Party,1274
Alilem,Councilor,"Luoang, Godofredo Eleng",Fred,Independent,1125
Alilem,Councilor,"Ligayo, Gaudencio Sr. Bulay",Dencio,Liberal Party,1082
Banayoyo,Mayor,"Sorio, Elena Pagaduan",Lina,Liberal Party,1527
Banayoyo,Vice-Mayor,"Garcia, Miguel Jr. Gorospe",Pedro,Liberal Party,1592
Banayoyo,Councilor,"Dacanay, Ruby Mariano",Delia,Lakas-Christian Muslim Democrats,1954
Banayoyo,Councilor,"Vicente, Rolando Cayabo",Medel,Liberal Party,1448
Banayoyo,Councilor,"Banasan, Rodolfo Rafael",Ollong,Independent,1394
Banayoyo,Councilor,"Gamboa, Andres Sr. Ferrer",-,Lakas-Christian Muslim Democrats,1365
Banayoyo,Councilor,"Martinez, Filemon Adam",Bonglog,Liberal Party,1342
Banayoyo,Councilor,"Gameng, Loreto Sr. Garnace",Eto,Liberal Party,1295
Banayoyo,Councilor,"Bolinget, Cosme Tangliben",Cosme,Liberal Party,1272
Banayoyo,Councilor,"Tudlong, Bernardo Aglis",Pastor,Liberal Party,1261
Bantay,Mayor,"Parilla, Chinita Go-Favis",Chining,Lakas-Christian Muslim Democrats,5151
Bantay,Vice-Mayor,"Peredo, Floro Palma",Popoy,Lakas-Christian Muslim Democrats,6074
Bantay,Councilor,"Reboroso, Roger Rabara",Roger,Aksyon Demokratiko,4977
Bantay,Councilor,"Ramos, Jasmine Paz",Jasmin,Lakas-Christian Muslim Democrats,4716
Bantay,Councilor,"Mercurio, Edilberto Prades",Eddie,Lakas-Christian Muslim Democrats,4623
Bantay,Councilor,"Calderon, Paternia Madriaga",Pat,Lakas-Christian Muslim Democrats,4088
Bantay,Councilor,"Bundoc, Criselda Peria",Sel,Aksyon Demokratiko,4086
Bantay,Councilor,"Leones, George Corpuz",Judy,Lakas-Christian Muslim Democrats,3947
Bantay,Councilor,"Quintinita, Ireneo Piano",Reny,Lakas-Christian Muslim Democrats,3779
Bantay,Councilor,"Lucero, Paul Anthony Benito",Pol,Lakas-Christian Muslim Democrats,3422
Burgos,Mayor,"Escobar, Nathaniel Devadeb",Boy,Liberal Party,3103
Burgos,Vice-Mayor,"Balbalan, Riolita Rivera",Rio,Liberal Party,2992
Burgos,Councilor,"Bello, Arnoldo Buis",Anol,Liberal Party,2950
Burgos,Councilor,"Reinante, Lorena De Leon",Oret,Liberal Party,2894
Burgos,Councilor,"Belen, Constante Escobar",Tante,Lakas-Christian Muslim Democrats,2767
Burgos,Councilor,"Escobar, Bernardo Sison",Ondong,Liberal Party,2759
Burgos,Councilor,"Escobar, Delfin Sison",Siding,Lakas-Christian Muslim Democrats,2657
Burgos,Councilor,"Dalit, Ma Corazon Daguro",Coralyn,Lakas-Christian Muslim Democrats,2529
Burgos,Councilor,"Degracia, Roger Filart",Roger,Lakas-Christian Muslim Democrats,2437
Burgos,Councilor,"Reinante, Francisco Bulal-lon",Icoy,Lakas-Christian Muslim Democrats,2255
Cabugao,Mayor,"Suero, Diocaesar Sadang",Dr. Dioc,Independent,10426
Cabugao,Vice-Mayor,"Morales, Rex Augustus Savellano",Atty. Rex,Independent,8833
Cabugao,Councilor,"Pano, Luciamar Santella",Milou,Independent,9277
Cabugao,Councilor,"Vallejo, Josefina Somera",-,Independent,9085
Cabugao,Councilor,"Santella, Dodgie Somera",Kap. Dodjie,Independent,9008
Cabugao,Councilor,"Serna, Jessie Pat Malinit",Pat,Independent,8831
Cabugao,Councilor,"Sivila, Noel Modesto Braceros",Vidal,Independent,7761
Cabugao,Councilor,"Sandi, Rodrigo S.",Roger,Independent,6767
Cabugao,Councilor,"Soller, Cesar Savella",Dr. Soller,Independent,6360
Cabugao,Councilor,"Soller, Thaddeus Ugalino",Teddy,KNP or Laban ng Demokratikong Pilipino,6136
Caoayan,Mayor,"Tugade, Mario Ragasa",Mario,Lakas-Christian Muslim Democrats,4165
Caoayan,Vice-Mayor,"Padaong, Gemma Pamani",Gemma Pamani,Independent,4885
Caoayan,Councilor,"Belarmino, Pedro Bermio",Peter,Lakas-Christian Muslim Democrats,3432
Caoayan,Councilor,"Rabena, Clemente Quton",Menteng,Lakas-Christian Muslim Democrats,3350
Caoayan,Councilor,"Quodala, Rey Barut",Rey,Independent,3132
Caoayan,Councilor,"Atendido, Leonardo Querubin",Narding,Nationalist People's Coalition,3093
Caoayan,Councilor,"Balallo, Romel Riboroso",Mel,Independent,2919
Caoayan,Councilor,"Carasi, Antonio Bumanglab",Tony,Independent,2663
Caoayan,Councilor,"Aquino, Terencio Jr. Quatchon",Terry,Lakas-Christian Muslim Democrats,2587
Caoayan,Councilor,"Querubin, Ernesto Subido",Bugnot,Lakas-Christian Muslim Democrats,2578
Cervantes,Mayor,"Amilao, Rufino Lacbongan",Lupin,Laban ng Demokratikong Pilipino,3077
Cervantes,Vice-Mayor,"Harnois, Robert Mendoza",Lobet,Laban ng Demokratikong Pilipino,2980
Cervantes,Councilor,"Gaburno, Salvador A.",Badong,Independent,2729
Cervantes,Councilor,"Pe, Rosario Coliwet",Rose,Independent,2714
Cervantes,Councilor,"Gaburno, Rodolfo Basinga",Dolfo,Independent,2567
Cervantes,Councilor,"Pusayen, Alma Bencila",Alma,Liberal Party,2356
Cervantes,Councilor,"Mendoza, Constante Corpuan",Tante,Independent,2329
Cervantes,Councilor,"Cudiamat, Ruben Balbin",Ruben,Lakas-Christian Muslim Democrats,2281
Cervantes,Councilor,"Edal, Johnson Basinga",John,Laban ng Demokratikong Pilipino,2265
Cervantes,Councilor,"Sebio, Luis Aniban",Sebio,Lakas-Christian Muslim Democrats,2101
Galimuyod,Mayor,"Balingsat, Juanito Balbino",Ito,Lakas-Christian Muslim Democrats,3204
Galimuyod,Vice-Mayor,"Daguasi, Alberto Bayudang",Berting,Lakas-Christian Muslim Democrats,1438
Galimuyod,Councilor,"Jose, Elmo Pangayan",Elmo,Liberal Party,2754
Galimuyod,Councilor,"Trinidad, Kulapu Ramirez",Roy,Lakas-Christian Muslim Democrats,2571
Galimuyod,Councilor,"Tungbaban, Manuel Bugarin",Maning,Lakas-Christian Muslim Democrats,2487
Galimuyod,Councilor,"Galangco, Moises Tungbaban",Moy,Lakas-Christian Muslim Democrats,2483
Galimuyod,Councilor,"Ammogao, Aniceto Dangeo",Cito,Lakas-Christian Muslim Democrats,2382
Galimuyod,Councilor,"Balicdang, Henry Bugarin",Henry,PMP,2326
Galimuyod,Councilor,"Bugarin, Florence Tolentino",Polen,Aksyon Demokratiko,2173
Galimuyod,Councilor,"Dugat, Ruben Zapata",Ruben,Lakas-Christian Muslim Democrats,2074
Gregorio Del Pilar Conception,Mayor,"Ciriaco, Gilbert Maog",Berting,Liberal Party,1313
Gregorio Del Pilar Conception,Vice-Mayor,"Gallando, Henry Sidingan",Henry,Liberal Party,1185
Gregorio Del Pilar Conception,Councilor,"Ciriaco, Jacob Balaleng",Jacob,Liberal Party,1077
Gregorio Del Pilar Conception,Councilor,"Postin, Gregorio Quila",Gorio,Liberal Party,1020
Gregorio Del Pilar Conception,Councilor,"Baliling, Francisco Benedbed",Balinio,Liberal Party,944
Gregorio Del Pilar Conception,Councilor,"Burgos, Domingo Buagayan",Doming,Independent,877
Gregorio Del Pilar Conception,Councilor,"Lockey, Luis Alazan",Luis,PMP,875
Gregorio Del Pilar Conception,Councilor,"Ambrocio, Julius Segundo",Julius,PMP,866
Gregorio Del Pilar Conception,Councilor,"Bisoy, Hilario Intioz",Larry,Liberal Party,789
Gregorio Del Pilar Conception,Councilor,"Dadpaas, Arnold Cadangan",Batalaw or Amboy,PMP,773
Lidlidda,Mayor,"Sagay, Jesus Manugan",Isus,Liberal Party,1188
Lidlidda,Vice-Mayor,"Tomas, Sherwin Pasco",Wing-Wing,Liberal Party,1342
Lidlidda,Councilor,"Joven, Prudencio Dumagay",Lading,Lakas-Christian Muslim Democrats,964
Lidlidda,Councilor,"Meliton, Saturnino Balacday",Itol,Lakas-Christian Muslim Democrats,894
Lidlidda,Councilor,"Arola, Antonio Antonio",-,Lakas-Christian Muslim Democrats,887
Lidlidda,Councilor,"Collo, Rose Amante Tilan",Amante,Lakas-Christian Muslim Democrats,827
Lidlidda,Councilor,"Tamayo, Constante Cablay",Tante,Liberal Party,826
Lidlidda,Councilor,"Miguel, Ruben Ciriaco",Ruben,Liberal Party,826
Lidlidda,Councilor,"Lais, Olga Jane Bagbaguen",Oj,Lakas-Christian Muslim Democrats,816
Lidlidda,Councilor,"Salupen, Francisco Jr. Languey",Budget,Liberal Party,816
Magsingal,Mayor,"Favis, Arlyn Apostol",Arlyn,Lakas-Christian Muslim Democrats,7350
Magsingal,Vice-Mayor,"Favis, Alfonso Jr. Venzon",Boy,Lakas-Christian Muslim Democrats,8070
Magsingal,Councilor,"Tomaneng, Emmanuel Oandasan",Maning,Lakas-Christian Muslim Democrats,6858
Magsingal,Councilor,"Arquero, Freddy Rita Rita",Freddy,Lakas-Christian Muslim Democrats,6614
Magsingal,Councilor,"Ugale, Randy Robino",Randy,Lakas-Christian Muslim Democrats,5452
Magsingal,Councilor,"Isaguirre, Erwin Baldoria",Erwin,Lakas-Christian Muslim Democrats,5364
Magsingal,Councilor,"Maranon, Carlos Garcia",Caloy,Lakas-Christian Muslim Democrats,4740
Magsingal,Councilor,"Udarbe, Aquiles Jr. Urubio",Flor,Nationalist People's Coalition,4447
Magsingal,Councilor,"Tiri, Romeo Avelino",Romy,Lakas-Christian Muslim Democrats,4362
Magsingal,Councilor,"Encarnacion, Raul Udarbe",357,Lakas-Christian Muslim Democrats,3879
Nagbukel,Mayor,"Ciubal, Amparo Mendoza",Paring,Lakas-Christian Muslim Democrats,1313
Nagbukel,Vice-Mayor,"Cabrera, Timoteo Manzano",Timot,Liberal Party,2028
Nagbukel,Councilor,"Cabang, Orlando C.",-,-,1434
Nagbukel,Councilor,"Delos Santos, Rodolfo R.",Boying,Liberal Party,1421
Nagbukel,Councilor,"Verzosa, Carmen Nartates",Carmen,Nationalist People's Coalition,1332
Nagbukel,Councilor,"Calpito, Dario Cadabis",Dar,Lakas-Christian Muslim Democrats,1319
Nagbukel,Councilor,"Montante, Ruben Supnet",Ruben,Lakas-Christian Muslim Democrats,1245
Nagbukel,Councilor,"Sambajon, Mario Jose Cachola",Mario,Liberal Party,1202
