city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Abulug,Mayor,"Alfonso, Babyaline Vargas",Aline,Puwersa ng Masang Pilipino,9912
Abulug,Vice-Mayor,"Barroga, Rommel Tamondong",Rommel,Puwersa ng Masang Pilipino,5228
Abulug,Councilor,"Vargas, Precy Perez",Peth,Lakas-Christian Muslim Democrats,5266
Abulug,Councilor,"Bayani, Samuel Ringor",Sammy,Puwersa ng Masang Pilipino,4797
Abulug,Councilor,"Tubbali, Demetrio Dalluay",Demy,Puwersa ng Masang Pilipino,4170
Abulug,Councilor,"Guillermo, Sherlito M.",Edward,Puwersa ng Masang Pilipino,4070
Abulug,Councilor,"Rivera, Roberto Carlos",Obet,Puwersa ng Masang Pilipino,3944
Abulug,Councilor,"Tolero, Christian Alonzo",Benjie,Puwersa ng Masang Pilipino,3899
Abulug,Councilor,"Gomez, Allan Padua",Allan,Puwersa ng Masang Pilipino,3707
Abulug,Councilor,"Maquera, Ernesto Gabuco",Erning,Puwersa ng Masang Pilipino,3657
Alcala,Mayor,"Antonio, Alvaro Trinidad",Ambong,Nationalist People's Coalition,9283
Alcala,Vice-Mayor,"Castillo, Ener Guntang",Ener,Nationalist People's Coalition,6476
Alcala,Councilor,"Te, Ma Josefina Paz",Marjo,Nationalist People's Coalition,6776
Alcala,Councilor,"Pestejo, Alberto Villaspin",Berting,Nationalist People's Coalition,6480
Alcala,Councilor,"Lazaro, Arthur Sales",Art,Nationalist People's Coalition,5178
Alcala,Councilor,"Duruin, Joy Capili",Joy,Nationalist People's Coalition,5148
Alcala,Councilor,"Cabildo, Eliseo Aresta",Ely,Independent,5127
Alcala,Councilor,"Caraang, Alfredo Battad",Fred,Nationalist People's Coalition,5042
Alcala,Councilor,"Canicula, EusebioJr. Solancho",Jun,Nationalist People's Coalition,4735
Alcala,Councilor,"Sumabat, Daniel III Antonio",Denden,Nationalist People's Coalition,3837
Allacapan,Mayor,"Onia, Nathaniel Postadan",Taniel,Lakas-Christian Muslim Democrats,6260
Allacapan,Vice-Mayor,"Alvarado, Wilfredo Pablo",Willy,Lakas-Christian Muslim Democrats,5135
Allacapan,Councilor,"Dalire, John Agron",John,Lakas-Christian Muslim Democrats,4079
Allacapan,Councilor,"Agcaoili, Edison Raymundo",Boy,Lakas-Christian Muslim Democrats,4077
Allacapan,Councilor,"Ganaden, Sabino Jr. Bayani",Jun,Puwersa ng Masang Pilipino,3847
Allacapan,Councilor,"Osillos, Jose Jr. Garcia",Jun,Nationalist People's Coalition,3709
Allacapan,Councilor,"Salud, Elmer Estrelles",Elmer,Puwersa ng Masang Pilipino,3566
Allacapan,Councilor,"Viloria, Mario Leano",Mar,Lakas-Christian Muslim Democrats,3447
Allacapan,Councilor,"Mallari, Merlina Jabalde",Merlye or Merly,Puwersa ng Masang Pilipino,3292
Allacapan,Councilor,"Reynoso, Ferdinand Ragual",Dinan,Puwersa ng Masang Pilipino,3126
Amulung,Mayor,"De Leon, Nicanor De La Cruz",Nick,Independent,8655
Amulung,Vice-Mayor,"Morgado, Anastacio Baccay",Tacio,Independent,6706
Amulung,Councilor,"Battung, Efren Mariano",Efren,Lakas-Christian Muslim Democrats,6699
Amulung,Councilor,"Antonio, Edward Martirez",Ed,Lakas-Christian Muslim Democrats,6254
Amulung,Councilor,"Ortiz, Angelita Rigor",Lita,Lakas-Christian Muslim Democrats,6185
Amulung,Councilor,"De Leon, Fernando De La Cruz",Fer,Independent,6127
Amulung,Councilor,"Malamug, John John Balinag",Jogn or Jong-Jogn,Lakas-Christian Muslim Democrats,5637
Amulung,Councilor,"Feri, Jose Michael Fantolgo",Mike,Independent,4976
Amulung,Councilor,"Quilang, Fe Bucatan",Fe Matote,Lakas-Christian Muslim Democrats,4886
Amulung,Councilor,"Castro , Leonardo Visalda",Narding,Independent,4675
Aparri,Mayor,"Tumaru, Ismael Villamor",Mael,Nationalist People's Coalition,10095
Aparri,Vice-Mayor,"Ignacio, Norman Natividad",Tanney,Independent,10471
Aparri,Councilor,"Chan, Ireneo Rapanan",Rene,Independent,11029
Aparri,Councilor,"Tumaru, Shalimar Decierto",Shalie,Nationalist People's Coalition,8636
Aparri,Councilor,"Capina, Ria Palma",Ria,Nationalist People's Coalition,8381
Aparri,Councilor,"Tamayo, Reginald Bansi",Regie,Lakas-Christian Muslim Democrats,7068
Aparri,Councilor,"Alameda, Rommel Gerau",Boy Singkit,Nationalist People's Coalition,6641
Aparri,Councilor,"Mabbagu, Cesar Furagganan",Phong,Nationalist People's Coalition,6097
