city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aglipay,Mayor,"Martin, Leonard Bangloy",Leo,Puwersa ng Masang Pilipino,8043
Aglipay,Vice-Mayor,"Agsalda, Jerry Tiburcio",Jerry,Laban ng Demokratikong Pilipino,7765
Aglipay,Councilor,"Quebral, Teresita Dela Cruz",Tita,Liberal Party,6112
Aglipay,Councilor,"Soriano, Flor Marquez",Flor,Liberal Party,5448
Aglipay,Councilor,"Saladino, Magdalena Angel",Dolly,Independent,4703
Aglipay,Councilor,"Domingo, Fernando Reyes",Boyet,Liberal Party,4252
Aglipay,Councilor,"Alberto, Warlita Gollayan",Warlie,Liberal Party,4229
Aglipay,Councilor,"Santos, Romulo Opido","Mulong, Rome",Independent,4171
Aglipay,Councilor,"Ganitano, Nardito C.",Pastor,Liberal Party,4085
Aglipay,Councilor,"Blanza, Rolando Medina",Lando,Liberal Party,3696
Cabarroguis,Mayor,"Longid, David Richard Omengan",Dave,Liberal Party,5926
Cabarroguis,Vice-Mayor,"Agustin, Avelino Jr. Noveda",Ave,Liberal Party,7606
Cabarroguis,Councilor,"Aduca, Gilbert Agaloos",Bong,Liberal Party,5624
Cabarroguis,Councilor,"Gumarac, Ventura Furoc",Ben,Liberal Party,4974
Cabarroguis,Councilor,"Valdez, Diomedes Lopez",Bert,Liberal Party,4971
Cabarroguis,Councilor,"Sanidad, Gloria Pascua",Glo,Liberal Party,4896
Cabarroguis,Councilor,"Ubando, Roldan Eclar",Dan,Independent,4746
Cabarroguis,Councilor,"Pastor, Alipio Natividad",Alip,Liberal Party,4590
Cabarroguis,Councilor,"Abuan, Willard Sr. Viloria",Willard,Independent,3896
Cabarroguis,Councilor,"Delmas, Rogel Domingo",Rogel,Independent,3861
Diffun,Mayor,"Calaunan, May Garnace",Mayo Garnace,Liberal Party,12958
Diffun,Vice-Mayor,"Rosario, Jimmy Tabita",Jim,Independent,6055
Diffun,Councilor,"Cabe, Mario Caba",Mario,Liberal Party,8194
Diffun,Councilor,"Unite, Corazon Pimentel",Azon Pimemtel,Liberal Party,7721
Diffun,Councilor,"Madarang, Pedro Natividad",Pete,Liberal Party,7314
Diffun,Councilor,"Parungao, Ceferino Bungan",Piring,Liberal Party,7229
Diffun,Councilor,"Agustin, Cesar Matias",Cesar,Liberal Party,6947
Diffun,Councilor,"Vaquilar, Julius Ceasar Sinense","Jojo, Urbon",Liberal Party,6940
Diffun,Councilor,"Cariaga, Basilio Jr. Montemayor","Jun, Carton",Liberal Party,5168
Diffun,Councilor,"Corpuz, Marcelino Villanueva",Celin,Independent,4428
Maddela,Mayor,"Ruiz, Florante Tomas",Pong,Liberal Party,8000
Maddela,Vice-Mayor,"Ylanan, Alegre Maranion",Aleg,Liberal Party,11170
Maddela,Councilor,"Olay, Perla Abuan",Dr. Olay,Liberal Party,7517
Maddela,Councilor,"Bacani, Joselito Turingan",Lito,Liberal Party,7379
Maddela,Councilor,"Gadingan, Mariano Jr. Basilio",Jun,Liberal Party,7112
Maddela,Councilor,"Tolentino, Ricarte Corpuz",Carte or Lippooc,Independent,6527
Maddela,Councilor,"Saure, Elizabeth Bilayon",Beth,Liberal Party,6460
Maddela,Councilor,"Villamar, Dennis Gaffud",Den,Liberal Party,6431
Maddela,Councilor,"Castillo, Pedro Vispo",Pete,Puwersa ng Masang Pilipino,5613
Maddela,Councilor,"Blanco, Alfonso Jr. Imperio",Jun,Independent,5120
Nagtipunan,Mayor,"Camma, Rosario Kiw-Kiw",Sario,Liberal Party,4633
Nagtipunan,Vice-Mayor,"Decapia, Rexmel Cuntapay",Rex,Liberal Party,4197
Nagtipunan,Councilor,"Baccac, Tomas Lingayo",Tom,Liberal Party,3866
Nagtipunan,Councilor,"Tigas, Nolie Santos",Nolie,Liberal Party,3607
Nagtipunan,Councilor,"Abellera, Mildred Balando","Mil, Mba, Blando",Liberal Party,3292
Nagtipunan,Councilor,"Baingan, Edralin Batallones",Edrong,Liberal Party,3087
Nagtipunan,Councilor,"Fiesta, Arnel Reyes",Nel,Liberal Party,2779
Nagtipunan,Councilor,"Canangat, Dante Dawang",Calpe,Liberal Party,2670
Nagtipunan,Councilor,"Ebenga, Yomie Esede",Pastor or Yomie,Liberal Party,2433
Nagtipunan,Councilor,"Cumlat, Nestor Ancheta",Siso,Independent,2367
