province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Pampanga,Apalit,Mayor,"Lacanilao, Tirso Gonzales",Tgl or Pogi,Lakas- Christian Muslim Democrats,14747
Pampanga,Apalit,Vice-Mayor,"Nabong, Pablo Enriquez",Pol,Aksyon Demokratiko,11947
Pampanga,Apalit,Councilor,"Nucom, Pedro Cortez",Peter,Lakas- Christian Muslim Democrats,12117
Pampanga,Apalit,Councilor,"Lopez, Maxima Silvestre",Thelma,Lakas- Christian Muslim Democrats,11093
Pampanga,Apalit,Councilor,"Nunag, Kenneth Tiglao",Neth,Lakas- Christian Muslim Democrats,10792
Pampanga,Apalit,Councilor,"Mendoza, Sanny Dungo",Sonny,Lakas- Christian Muslim Democrats,8774
Pampanga,Apalit,Councilor,"Cabrera, Francis Carlo Mercado",Kikko,Lakas- Christian Muslim Democrats,8031
Pampanga,Apalit,Councilor,"Vergara, Guilbert Nabong",Gilbert,Aksyon Demokratiko,7797
Pampanga,Apalit,Councilor,"Asuncion, Mary Grace Cuellar",Grace,Lakas- Christian Muslim Democrats,7595
Pampanga,Apalit,Councilor,"Bungay, Tito Pangilinan",Tito,Independent,7454
Pampanga,Arayat,Mayor,"Espino, Luis Alonzo",Chito,Buklod Capampangan,13163
Pampanga,Arayat,Vice-Mayor,"Trinidad, Hilario Mallari",Larry,Buklod Capampangan,13136
Pampanga,Arayat,Councilor,"Changcoco, Ramon Martinez",Monching,Independent,12978
Pampanga,Arayat,Councilor,"Guevarra, Rizalde Manicdao",Zalde,Buklod Capampangan,11517
Pampanga,Arayat,Councilor,"Timbol, Mariano Narciso",Mar,Buklod Capampangan,10708
Pampanga,Arayat,Councilor,"Balagtas, Francisco Villanueva",Jun,Kabalikat ng Malayang Pilipino,8912
Pampanga,Arayat,Councilor,"Tungol, Jose Cortez",Joe,Buklod Capampangan,8835
Pampanga,Arayat,Councilor,"Abad, Chona Oronce",Chon,Aksyon Demokratiko,8718
Pampanga,Arayat,Councilor,"Gulapa, Virgilio Jr. Pangilinan",Jr.,Buklod Capampangan,8589
Pampanga,Arayat,Councilor,"Buan, Gloria Pangan",Glo,Liberal Party,7378
