city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Agdangan,Mayor,"Aguilar, Rhadam Padilla",Adam,Laban ng Demokratikong Pilipino,3415
Agdangan,Vice-Mayor,"Tapan, Donald Cajayon",Donald,Laban ng Demokratikong Pilipino,3121
Agdangan,Councilor,"Par, Arnold Manalo",Buco,Laban ng Demokratikong Pilipino,3269
Agdangan,Councilor,"Conchada, Gilberto Francia",Bilog,Laban ng Demokratikong Pilipino,3037
Agdangan,Councilor,"Salvatierra, Mario Hernandez",Mario,Laban ng Demokratikong Pilipino,2930
Agdangan,Councilor,"Parafina, Juancho Saavedra",Chu-One,Liberal Party,2825
Agdangan,Councilor,"Decena, Larry Amparo",Larry,Laban ng Demokratikong Pilipino,2736
Agdangan,Councilor,"Lapina, Fernaline Mapaye",Nancy,Liberal Party,2730
Agdangan,Councilor,"Rama, Norman Coronel",Oman,Laban ng Demokratikong Pilipino,2697
Agdangan,Councilor,"Legaspi, Ma Lily O.",Mother Lily,Liberal Party,2577
Alabat,Mayor,"Mascarina, Artemio Sanchez",Artem,Liberal Party,1970
Alabat,Vice-Mayor,"Caparros, Concepcion Polo",Conching,Liberal Party,2776
Alabat,Councilor,"De Los Santos, Noel Diamante",Noel,Liberal Party,2519
Alabat,Councilor,"Malabunga, Efren Martinez",Efren,Philippine Democratic Socialist Party,2254
Alabat,Councilor,"Llamas, Emelita Ng",Milet,Philippine Democratic Socialist Party,2129
Alabat,Councilor,"Sarturio, Teodora Barral",Tuding,Lakas-Christian Muslim Democrats,1982
Alabat,Councilor,"Hervera, Juanito Aton",Aning,Independent,1949
Alabat,Councilor,"Mesa, Redentor Obliga",Reden,Lakas-Christian Muslim Democrats,1871
Alabat,Councilor,"Seco, Robert Feliciano",Obet,Liberal Party,1814
Alabat,Councilor,"Astrera, Elsa Cabangon",Elsa,Liberal Party,1810
Atimonan,Mayor,"Veranga, Florante Manalo",Ante,KNP,11345
