city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Abra De Ilog,Mayor,"Constantino, Maria Gloria Montenegro",Meg Montenegro,Nationalist People's Coalition,5123
Abra De Ilog,Vice-Mayor,"Alcantara, Leonardo Dela Fuente",Nardo,Lakas-Christian Muslim Democrats,5050
Abra De Ilog,Councilor,"Alvarez, Maximino Hernandez",Simy,Nationalist People's Coalition,4434
Abra De Ilog,Councilor,"Quito, Orlando Ramos",Boyet,Nationalist People's Coalition,4371
Abra De Ilog,Councilor,"Castillo, Floro Agoncillo",Purong,Nationalist People's Coalition,3852
Abra De Ilog,Councilor,"Belen, Reynaldo Tano",Inod,Nationalist People's Coalition,3847
Abra De Ilog,Councilor,"Abeleda, Emmanuel Jr. Rivera",Jun,Nationalist People's Coalition,3473
Abra De Ilog,Councilor,"Panganiban, Manuel Cabral",Tsong Lolly,Nationalist People's Coalition,3327
Abra De Ilog,Councilor,"Zoleta, Manolo Atienza",Noling,Lakas-Christian Muslim Democrats,3227
Abra De Ilog,Councilor,"Quinones, Nolasco Damiray",Askoy,Independent,3112
Calintaan,Mayor,"Paulino, Renato Antoy",Rene,Nationalist People's Coalition,4839
Calintaan,Vice-Mayor,"Estoya, Lily Racca",Lily,Nationalist People's Coalition,5511
Calintaan,Councilor,"Oreiro, George Isidro",Jorge,Nationalist People's Coalition,3602
Calintaan,Councilor,"Cariaso, Rommel Tadeja",Mel,Nationalist People's Coalition,3323
Calintaan,Councilor,"Batolio, Efren Olano",Boy,Independent,3181
Calintaan,Councilor,"Guiral, Lamberto Jimenez",Bitoy,Nationalist People's Coalition,2808
Calintaan,Councilor,"Labrador, Nonakyn Zausa",Nonay,Lakas-Christian Muslim Democrats,2656
Calintaan,Councilor,"Janolo, Thomas Labrador",Tom,Lakas-Christian Muslim Democrats,2538
Calintaan,Councilor,"Samson, Arsenio Cruz",Boy,Lakas-Christian Muslim Democrats,2423
Calintaan,Councilor,"Omanio, Daisy Oriero",Daisy,Nationalist People's Coalition,2382
Looc,Mayor,"Telebrico, Ariel Arellano",Nel,Lakas-Christian Muslim Democrats,2919
Looc,Vice-Mayor,"Juano, Carlito Verdera",Chito,Nationalist People's Coalition,2083
Looc,Councilor,"Canals, Bernardo Viguilla",Nardo,Nationalist People's Coalition,2892
Looc,Councilor,"Valles, Wilmer Tanala",Mher,Lakas-Christian Muslim Democrats,2363
Looc,Councilor,"Tristan, Joselito De Lara",Lito,Nationalist People's Coalition,2230
Looc,Councilor,"Nunez, Roland Torreliza",Allan Boy,Lakas-Christian Muslim Democrats,2144
Looc,Councilor,"De Lara, Pepito De Veas",Pepe,Lakas-Christian Muslim Democrats,2117
Looc,Councilor,"Villar, Rommel Tristan",Rommel,Lakas-Christian Muslim Democrats,2058
Looc,Councilor,"Ambrocio, Jose Miembro",Joey,Nationalist People's Coalition,2023
Looc,Councilor,"Tria, Edgardo Liboro",Ed,Nationalist People's Coalition,1897
Lubang,Mayor,"Tesorio, Policarpo Cajayon",Polly,Lakas-Christian Muslim Democrats,5356
Lubang,Vice-Mayor,"Taneca, Jeremias De Lara",Jerry,REPORMA LM,3852
Lubang,Councilor,"Valisno, Cecilito Morales",Lito,Lakas-Christian Muslim Democrats,4629
Lubang,Councilor,"Daulat, Wilbert Tangi",Buli Buli,REPORMA LM,4584
Lubang,Councilor,"Pates, Alberto Buhion",Bert,Lakas-Christian Muslim Democrats,4513
Lubang,Councilor,"Tardio, Jaime Sr. Tarras",Jimmy,Lakas-Christian Muslim Democrats,4137
Lubang,Councilor,"Tangi, Florencito Tria",Chito,Lakas-Christian Muslim Democrats,4100
Lubang,Councilor,"Alegre, Florante Insigne",Dante,REPORMA LM,3883
Lubang,Councilor,"Magpantay, MaBlanca Alegre",Blanca,REPORMA LM,3851
Lubang,Councilor,"Tesalona, Bernard Tesalona",Bonaks,Lakas-Christian Muslim Democrats,3735
Magsaysay,Mayor,"Barrera, Marleo Reyes",Leo,Lakas-Christian Muslim Democrats,6255
Magsaysay,Vice-Mayor,"Abesamis, Leodegario Ramos",Leo,Lakas-Christian Muslim Democrats,5867
Magsaysay,Councilor,"Pagayonan, Emmanuel Calaranan",Manny,Lakas-Christian Muslim Democrats,4799
Magsaysay,Councilor,"Sagana, Feliciano Sagnip",Ano,Lakas-Christian Muslim Democrats,4720
Magsaysay,Councilor,"Limos, Efren Nifas",Bata,Lakas-Christian Muslim Democrats,4656
Magsaysay,Councilor,"Serna, Lucia Sim",Lucy,Lakas-Christian Muslim Democrats,4270
Magsaysay,Councilor,"Pacunla, Antonio Adupina",Tony,Lakas-Christian Muslim Democrats,4157
Magsaysay,Councilor,"Garcia, Lauro Reyes",Boy,Lakas-Christian Muslim Democrats,4078
