city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aurora,Mayor,"Cabahug, Enrique Jr. Judilla",Jun,Lakas-Christian Muslim Democrats,10661
Aurora,Vice-Mayor,"Lagare, Matias Semense",Matt,Nationalist People's Coalition,9564
Aurora,Councilor,"Vercede, Aquilina Elbina",Aking,Lakas-Christian Muslim Democrats,10567
Aurora,Councilor,"Palma, Emmanuel II Lumanso",Jojo,Lakas-Christian Muslim Democrats,9440
Aurora,Councilor,"Anoling, Cornelio Jr. Cabahug",Jun,Lakas-Christian Muslim Democrats,8443
Aurora,Councilor,"Dongallo, Jerecho Lagare",Jerry,Lakas-Christian Muslim Democrats,8228
Aurora,Councilor,"Taporco, Felicito Sitoy",Peping,Lakas-Christian Muslim Democrats,8014
Aurora,Councilor,"Quino, Flaviana Ovillo",Bebe,Lakas-Christian Muslim Democrats,7542
Aurora,Councilor,"Baldesco, Romeo Cosmo",Romy,Lakas-Christian Muslim Democrats,7491
Aurora,Councilor,"Godoy, Allan Romarate",Allan,Nationalist People's Coalition,7291
Bayog,Mayor,"Guerrero, Mary Ann Lucero",Ann,Nationalist People's Coalition,6471
Bayog,Vice-Mayor,"Anlap, Pedro Tewaja",Pendot,Nationalist People's Coalition,6084
Bayog,Councilor,"Matias, Celso Aragon",Dodong,Nationalist People's Coalition,6227
Bayog,Councilor,"Caberte, Baltazar Rosario",Bobby,Nationalist People's Coalition,5846
Bayog,Councilor,"Godin, Romualdo Sta Ana",Dodong,Nationalist People's Coalition,5801
Bayog,Councilor,"Sarno, Alejandro Alone",Andoc,Nationalist People's Coalition,5634
Bayog,Councilor,"Maala, Aquilino Tipan",Coloy,Nationalist People's Coalition,5633
Bayog,Councilor,"Rodriguez, Norelyn Briol",Lyn,Nationalist People's Coalition,5559
Bayog,Councilor,"Amor, Saturnino Odchigue",Tony,Nationalist People's Coalition,5470
Bayog,Councilor,"Gadaingan, Jose Cordero",Joe,Nationalist People's Coalition,5456
Dimataling,Mayor,"Baya, Maria Dolores Albarico",Giging,Nationalist People's Coalition,5970
Dimataling,Vice-Mayor,"Carbero, Benny De Guzman",Benny,Lakas-Christian Muslim Democrats,4629
Dimataling,Councilor,"Bonga, Puti Abdul",Puts,Nationalist People's Coalition,5139
