province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Zamboanga Sibugay,Alicia,Mayor,"Sotto, Remberto Gonzalo",Bert,Lakas-Christian Muslim Democrats,8565
Zamboanga Sibugay,Alicia,Vice-Mayor,"Balawag, Jaime Araneta",Jimmy,Labang ng Demokratikong Pilipino,7427
Zamboanga Sibugay,Alicia,Councilor,"Tiu, Richard Sr. Villanueva",Chard,Labang ng Demokratikong Pilipino,5152
Zamboanga Sibugay,Alicia,Councilor,"Roa, Rogelio Jr. Subong",Juno,Labang ng Demokratikong Pilipino,4523
Zamboanga Sibugay,Alicia,Councilor,"Ahiron, Abdusaid Amuali",Said,Lakas-Christian Muslim Democrats,4517
Zamboanga Sibugay,Alicia,Councilor,"Zamoras, Lolito Jr. Bation",Loloy,Labang ng Demokratikong Pilipino,3928
Zamboanga Sibugay,Alicia,Councilor,"Tan, Filemon Bilbao",Mon,Lakas-Christian Muslim Democrats,3877
Zamboanga Sibugay,Alicia,Councilor,"Hadjirul, Matal A.",Matal,Independent,3692
Zamboanga Sibugay,Alicia,Councilor,"Musa, Galwas Alih",Gally,Lakas-Christian Muslim Democrats,3561
Zamboanga Sibugay,Alicia,Councilor,"Ocampos, Balmes Jr. Alforque",Bal,Lakas-Christian Muslim Democrats,3430
Zamboanga Sibugay,Buug,Mayor,"Famor, Teresita Pague",Tessie,Lakas-Christian Muslim Democrats,6737
Zamboanga Sibugay,Buug,Vice-Mayor,"Lim, Arnulfo Dondoyano",Arnold,Lakas-Christian Muslim Democrats,6451
Zamboanga Sibugay,Buug,Councilor,"Curiba, Flordeliz Cinches",Flor,Labang ng Demokratikong Pilipino,5067
Zamboanga Sibugay,Buug,Councilor,"Gako, Marvin Jessie Gonzales",Vin,Labang ng Demokratikong Pilipino,4952
Zamboanga Sibugay,Buug,Councilor,"Paderanga, Ernita Acosta",Allen,Labang ng Demokratikong Pilipino,4729
Zamboanga Sibugay,Buug,Councilor,"Motus, Roy Dolorosa",Roy Maganay,Lakas-Christian Muslim Democrats,4671
Zamboanga Sibugay,Buug,Councilor,"Becada, Alfonso Bareno",Fons,Labang ng Demokratikong Pilipino,4500
