city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Basud,Mayor,"Quinones, Silverio III Genorga",Jojo,Lakas-Christian Muslim Democrats,8239
Basud,Vice-Mayor,"Coreses, Eulogio Jr. Salamero",Loyo,Lakas-Christian Muslim Democrats,6204
Basud,Councilor,"Barrameda, Ramir Abines",Mir,Nationalist People's Coalition,6991
Basud,Councilor,"Flores, Marilyn Lopez",Malyn,Lakas-Christian Muslim Democrats,6816
Basud,Councilor,"Garcia, Reynaldo Aspe",Rey,Lakas-Christian Muslim Democrats,6491
Basud,Councilor,"Arciga, Isagani Corea",Gani,Lakas-Christian Muslim Democrats,6015
Basud,Councilor,"Lopez, Norial Romero",Otoy,Lakas-Christian Muslim Democrats,5813
Basud,Councilor,"Ablaneda, Pablo Ribita",Pabs,Lakas-Christian Muslim Democrats,5776
Basud,Councilor,"Obusan, Noel Lachica",Boy,Lakas-Christian Muslim Democrats,5628
Basud,Councilor,"Ababa, Gerundio Abasula",Gerry,Nationalist People's Coalition,5540
Capalonga,Mayor,"Jalgalado, Ernesto Menddoza",Boy,Lakas-Christian Muslim Democrats,6234
Capalonga,Vice-Mayor,"Esturas, Rolando Olila",Andos,Lakas-Christian Muslim Democrats,4775
Capalonga,Councilor,"Arguelles , Mariano Lauce",Naning,Independent,5321
Capalonga,Councilor,"Portugal, Julian Jr. Ollesca",Jaypee,Lakas-Christian Muslim Democrats,4679
Capalonga,Councilor,"Cadag, Alexander Seguerra",Sandy,Lakas-Christian Muslim Democrats,4268
Capalonga,Councilor,"Jacob, Veronica Roll",Onie,Lakas-Christian Muslim Democrats,4148
Capalonga,Councilor,"Juego, Abraham Ramores",Abe,Lakas-Christian Muslim Democrats,4084
Capalonga,Councilor,"Oliva, Alma Archivido",Alma,Lakas-Christian Muslim Democrats,4005
Capalonga,Councilor,"Florante, Felix Larry Alto",Daga,Lakas-Christian Muslim Democrats,3945
Capalonga,Councilor,"Indias, Monchito Aler",Monching,Independent,3868
Daet,Mayor,"Panotes, Elmer Ellaga",Eming,Puwersa ng Masang Pilipino,15999
Daet,Vice-Mayor,"Abogado, Felix Quiozon",Felix,Lakas-Christian Muslim Democrats,13880
Daet,Councilor,"Bandelaria, Marlon Tolentino",Mtb,Puwersa ng Masang Pilipino,13005
Daet,Councilor,"Bacerdo, Corazon Yuzon",Cora,Lakas-Christian Muslim Democrats,11948
Daet,Councilor,"Marmol, Romeo Robles",Mr. Suave,Lakas-Christian Muslim Democrats,11438
Daet,Councilor,"Bacuno, Elmer Manago",Boy,Lakas-Christian Muslim Democrats,11202
Daet,Councilor,"Avellana, Lilia Del Pilar",Ate Lil,Lakas-Christian Muslim Democrats,10938
