city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bagamonoc,Mayor,"Pascua, Odilon Fajardo",Hadi,Lakas-Christian Muslim Democrats,2725
Bagamonoc,Vice-Mayor,"Presentacion, Leo Villarino",Mr. Lee,Lakas-Christian Muslim Democrats,1819
Bagamonoc,Councilor,"Villaluna, Rafael Jr. Urgel",Dondon,Nationalist People's Coalition,2638
Bagamonoc,Councilor,"Fajardo, Salvador Vitalicio",Bading,Lakas-Christian Muslim Democrats,2174
Bagamonoc,Councilor,"Villarino, Rey Santos",Kaka Rey,Nationalist People's Coalition,2094
Bagamonoc,Councilor,"De Leon, Esteban Fajardo",Steve,Lakas-Christian Muslim Democrats,1899
Bagamonoc,Councilor,"Velchez, Juan Arcilla",Toho,Nationalist People's Coalition,1878
Bagamonoc,Councilor,"Taduran , Noel Baylon",Tads,Independent,1842
Bagamonoc,Councilor,"Evangelista, Mila Vienes",Mila,Lakas-Christian Muslim Democrats,1819
Bagamonoc,Councilor,"Villacorta, Victor Valerio",Vic,Lakas-Christian Muslim Democrats,1739
Baras,Mayor,"Teves, Jose Jr. Joson",Bong,Lakas-Christian Muslim Democrats,3389
Baras,Vice-Mayor,"Chi, Chito Siao",Chit,Lakas-Christian Muslim Democrats,3357
Baras,Councilor,"Tanael, Diolito Rojas",Choy,Nationalist People's Coalition,3769
Baras,Councilor,"Soledad, Reinhard Torrente",Len-Len,Independent,3767
Baras,Councilor,"Belaro, Joseph Molina",Joey,Nationalist People's Coalition,3619
Baras,Councilor,"Tomagan, Edna Sarmiento",Ed,Lakas-Christian Muslim Democrats,3499
Baras,Councilor,"Torrenueva, Jose Taopa",Joe,Lakas-Christian Muslim Democrats,3420
Baras,Councilor,"Guerrero, David Jr. Cervantes",Tabo,Lakas-Christian Muslim Democrats,3146
Baras,Councilor,"Carranza, Ma Perpetua Deliza Tablate",Liza,Lakas-Christian Muslim Democrats,3143
Baras,Councilor,"Torres, Manuel Temporada",Awe,Lakas-Christian Muslim Democrats,2908
Bato,Mayor,"Templonuevo, Lorenzo Jr. Timajo",Bolotoy,REPORMA,5703
Bato,Vice-Mayor,"Tasarra, Felicito Temones",Tongkos,Nationalist People's Coalition,3055
Bato,Councilor,"Almanza, Reynato Valenzuela",Atoy,REPORMA,4826
Bato,Councilor,"Alberto, Joselito Tanon",Lito,REPORMA,4243
Bato,Councilor,"Teves, Cenon Avelino Rodulfo",Steve,REPORMA,3937
Bato,Councilor,"Taroy, Jelly Barba",Jelly,Nationalist People's Coalition,3845
Bato,Councilor,"Triumfante, Rogelio Buenaflor","Roger, Ging, Atron",REPORMA,3723
Bato,Councilor,"Terrobias, Romeo Sr. Guerrero",Bensoy,Nationalist People's Coalition,3602
Bato,Councilor,"Toledana, Francisco Rodulfo",Ingkoy,Nationalist People's Coalition,3497
Bato,Councilor,"Alberto, Juan Rojas",Uban,Independent,2955
Caramoran,Mayor,"Qua, Maria Theresa Sales",Tess,Independent,3099
Caramoran,Vice-Mayor,"Idanan, Ronald Tabuzo",Osoy,Independent,3339
Caramoran,Councilor,"Palero, Rodulfo Dela Rosa",Rudy,Nationalist People's Coalition,4142
Caramoran,Councilor,"Miraran, Felicisimo Nares",Peling,Independent,4066
Caramoran,Councilor,"Bien, Zosimo Villegas",Simo,Independent,3924
Caramoran,Councilor,"Jose, Artemio Cabrera",Tim,Independent,3813
Caramoran,Councilor,"Valenzuela, Jose Araojo",Joval,Independent,3689
Caramoran,Councilor,"Advincula, Fausto Jr. Xuga",Etot,Independent,3511
Caramoran,Councilor,"Fernandez, Antonio Rodriguez",Tony,Independent,3404
Caramoran,Councilor,"Dela Rosa, Salvador Rubio",Badong,Nationalist People's Coalition,3321
Gigmoto,Mayor,"Guerrero, Armando Tatad",Ding,Nationalist People's Coalition,1657
Gigmoto,Vice-Mayor,"Sarmiento, Amparo Azicate",Paro,Independent,1203
Gigmoto,Councilor,"Joson, Jose Tatad",Ping,Lakas-Christian Muslim Democrats,2341
Gigmoto,Councilor,"Anonuevo, Joselito Tayo",Lito,Philippine Democratic Socialist Party,1978
Gigmoto,Councilor,"Ibatuan, Leonardo Domingo",Nards,Independent,1792
Gigmoto,Councilor,"Jimenez, Antonio Tanael",Tony,Philippine Democratic Socialist Party,1750
Gigmoto,Councilor,"Turado, Fanny Brazil",Fanny,Philippine Democratic Socialist Party,1722
Gigmoto,Councilor,"Caballero, Freddie Tejada",Caballero,Independent,1613
Gigmoto,Councilor,"Tatel, Domingo Laurenciana",Inggo,Nationalist People's Coalition,1530
Gigmoto,Councilor,"Tayo, Melchor Tendencia",Etsing,Nationalist People's Coalition,1479
Pandan,Mayor,"Verceles, Eulalia Villaluna",Laling,Lakas-Christian Muslim Democrats,4063
Pandan,Vice-Mayor,"Namata, Ninfa De Leon",Impay,Lakas-Christian Muslim Democrats,4023
Pandan,Councilor,"Isorena, Avelino Palomer",Velin,Lakas-Christian Muslim Democrats,5513
Pandan,Councilor,"Borromeo, Napoleon Icalabis",Taga,Nationalist People's Coalition,4263
Pandan,Councilor,"Rima, Veronica B.",Banbina,REPORMA,3904
Pandan,Councilor,"Santelices, Felicisima Rodriguez",Felicing,Lakas-Christian Muslim Democrats,3823
Pandan,Councilor,"Sanchez, Venerando Garcia",Jun,Lakas-Christian Muslim Democrats,3752
Pandan,Councilor,"Tabirara, Mariano Dela Rosa",Anoy,Lakas-Christian Muslim Democrats,3703
Pandan,Councilor,"Fernandez, Bella Dela Rosa",Bel,Independent,3632
Pandan,Councilor,"Briones, Milagros Suquina",Ferrer,Independent,3605
Panganiban Payo,Mayor,"Urgel, Carmen Sanchez",Mencing,Lakas-Christian Muslim Democrats,2332
Panganiban Payo,Vice-Mayor,"Fernandez, Robert Aquino",Obet,Lakas-Christian Muslim Democrats,2659
Panganiban Payo,Councilor,"Camantigue, Norma Aquino",Nor,PDR-LM,2590
Panganiban Payo,Councilor,"Villamor, Tito Velasco",Tiay,Lakas-Christian Muslim Democrats,2545
Panganiban Payo,Councilor,"Velasco, Melchor Jacob",Palen,Lakas-Christian Muslim Democrats,2521
Panganiban Payo,Councilor,"Cabrera, Remelito Suarez",Bingbong,Nationalist People's Coalition,2431
Panganiban Payo,Councilor,"Atencia, Arvin Vega",Arvs,Nationalist People's Coalition,2322
Panganiban Payo,Councilor,"Vela, Salvador Eusebio",Badoy,Lakas-Christian Muslim Democrats,2153
Panganiban Payo,Councilor,"Cabrera, Eduardo Concepcion",Eddie,Lakas-Christian Muslim Democrats,2127
Panganiban Payo,Councilor,"Villaranda, Socito Capistrano",Cito,Nationalist People's Coalition,2094
San Andres Calolbon,Mayor,"Romano, Aly Toledo",Aly,Kabalikat ng Malayang Pilipino,7287
San Andres Calolbon,Vice-Mayor,"Del Valle, Alan Sanchez",Al,Lakas-Christian Muslim Democrats,5351
San Andres Calolbon,Councilor,"Somido, Alfeo Lopez",Alping,Kabalikat ng Malayang Pilipino,5929
San Andres Calolbon,Councilor,"Arcilla, Ma Ruby Valdez",Jing,Independent,5838
San Andres Calolbon,Councilor,"Niemeyer, Imelda Villarena",Imis,Lakas-Christian Muslim Democrats,5385
San Andres Calolbon,Councilor,"Zafe, Medin Tapado",Din,Kabalikat ng Malayang Pilipino,5115
San Andres Calolbon,Councilor,"Tivar, Ronaldo Araojo",Ronnie,Kabalikat ng Malayang Pilipino,4790
San Andres Calolbon,Councilor,"Aquino, Nenito Facundo",Nito,Kabalikat ng Malayang Pilipino,4708
San Andres Calolbon,Councilor,"Salvador, Gregorio Subion",Greg,Independent,4631
San Andres Calolbon,Councilor,"Noble, Ramiro Jr. Borre",Jun,Kabalikat ng Malayang Pilipino,4235
San Miguel,Mayor,"Camano, Francisco Jr. Ted",Jun,Lakas-Christian Muslim Democrats,3658
San Miguel,Vice-Mayor,"Taule, Angelita Alemania",Alen,Lakas-Christian Muslim Democrats,2983
San Miguel,Councilor,"Teves, Mary Ann Tapel",May Ann,Independent,3653
San Miguel,Councilor,"Molina , David Tapel",Avid,Lakas-Christian Muslim Democrats,2945
