city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Barcelona,Mayor,"Falcotelo, Celso Fedillaga",Falcon,Lakas-Christian Muslim Democrats,4043
Barcelona,Vice-Mayor,"Azore, Greg Fulay",Boy,Lakas-Christian Muslim Democrats,2674
Barcelona,Councilor,"Fortades, Larry Floralde",Larry,Nationalist People's Coalition,4446
Barcelona,Councilor,"Esmeria, Isabel Dy",Nobing,Independent,4279
Barcelona,Councilor,"Encinares, Nestor Estuye",Entoy,Lakas-Christian Muslim Democrats,3797
Barcelona,Councilor,"Torrella, Ralph Angelo Navarro",Angelo,Lakas-Christian Muslim Democrats,3707
Barcelona,Councilor,"De Los Reyes, Virginia Sy",Viring,Lakas-Christian Muslim Democrats,3642
Barcelona,Councilor,"Estopace, Rolando Feliciano",Nono,Laban ng Demokratikong Pilipino,3466
Barcelona,Councilor,"Bailon, Orencio Jr. Gamba",Onying,Lakas-Christian Muslim Democrats,3259
Barcelona,Councilor,"Olbes, Rogelio Jr. Escalante",Dodong,Lakas-Christian Muslim Democrats,2874
Bulan,Mayor,"De Castro, Helen Cheng",Baby,Lakas-Christian Muslim Democrats,16958
Bulan,Vice-Mayor,"Gogola, Manuel Jr. Dreu",Awel,Independent,10651
Bulan,Councilor,"Gocoyo, Ronaldo Mercado",Ding,Lakas-Christian Muslim Democrats,14145
Bulan,Councilor,"Guran, Patricia Lim",Tessie,Lakas-Christian Muslim Democrats,13114
Bulan,Councilor,"Gilbas, Serafin Bansuela",Jack Apin,Lakas-Christian Muslim Democrats,10149
Bulan,Councilor,"Gerona, Simplicio Uy",Simmy,Lakas-Christian Muslim Democrats,9201
Bulan,Councilor,"Tan, Jose Gotladera",Joe Tan,Lakas-Christian Muslim Democrats,8995
Bulan,Councilor,"Gordola, Estelito Lobusta",Telly,Lakas-Christian Muslim Democrats,8820
Bulan,Councilor,"Burias, Elmer Chua",Emie,Lakas-Christian Muslim Democrats,8704
Bulan,Councilor,"Geronga, Augusto Golpeo",Guto,Lakas-Christian Muslim Democrats,8645
Bulusan,Mayor,"Guysayko, Juan Gutierrez",Jhonny,Nationalist People's Coalition,6607
Bulusan,Vice-Mayor,"Frayna, Menandro Freo",Menan,Nationalist People's Coalition,6616
Bulusan,Councilor,"Din, Reynaldo Dolontap",Rey,Lakas-Christian Muslim Democrats,6320
Bulusan,Councilor,"Garalde, Leticia Furio",Letty,Nationalist People's Coalition,5941
Bulusan,Councilor,"Frando, Pedro Grabador",Eddie,Lakas-Christian Muslim Democrats,5906
Bulusan,Councilor,"Geva, Pierre Son",Perry,Lakas-Christian Muslim Democrats,5792
Bulusan,Councilor,"Firmanes, Leonardo Ferreras",Boboy,Nationalist People's Coalition,5448
Bulusan,Councilor,"Yap, Vicente Gayon",Ente,Lakas-Christian Muslim Democrats,5438
Bulusan,Councilor,"Fortades, Nelly Gacosta",Nelly,Nationalist People's Coalition,5433
Bulusan,Councilor,"Banares, Manuel ",Aloy,Lakas-Christian Muslim Democrats,5300
Casiguran,Mayor,"Hamor, Jose Edwin Brondial",Boboy,Lakas-Christian Muslim Democrats,8206
Casiguran,Vice-Mayor,"Hapal, Lucito Jr. Banu",Lito,Lakas-Christian Muslim Democrats,7104
Casiguran,Councilor,"Hamto, Loreto Grajo",Brother,Lakas-Christian Muslim Democrats,6340
Casiguran,Councilor,"Basilan, Angel Dogillo",Angie Pilay,Lakas-Christian Muslim Democrats,5885
Casiguran,Councilor,"Abotanatin, Rey Dogillo",Bobot,Lakas-Christian Muslim Democrats,5699
Casiguran,Councilor,"Habal, Ligaya Hicarte",Gaya,Lakas-Christian Muslim Democrats,5633
Casiguran,Councilor,"Hibo, Clodualdo Fernandez",Dadoy,Lakas-Christian Muslim Democrats,5536
Casiguran,Councilor,"Garcia, Romeo Espanero",Romy,Lakas-Christian Muslim Democrats,5501
Casiguran,Councilor,"Hapin, Larry Halum",Larry,Lakas-Christian Muslim Democrats,4768
Casiguran,Councilor,"Escudero, Ramon Banares",Mon,Nationalist People's Coalition,4699
Castilla,Mayor,"Laurinaria, Renato Gimpaya",Ato,Nationalist People's Coalition,8444
Castilla,Vice-Mayor,"Hao, Jose Marcayda",Marcayda,Nationalist People's Coalition,8771
Castilla,Councilor,"Bermillo, Olivia Marantal",Padi Olive,Lakas-Christian Muslim Democrats,7358
