city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Ajuy,Mayor,"Rojas, Jett Castor",Jett,Lakas-Christian Muslim Democrats,11834
Ajuy,Vice-Mayor,"Rojas, Ramon, Jr. Margoma",Nonoy Amon,Lakas-Christian Muslim Democrats,9768
Ajuy,Councilor,"Biclar, Abner Molina",Bok,Lakas-Christian Muslim Democrats,10081
Ajuy,Councilor,"Rojas, Jesus Jr. Degayo",Toto Jessie,Lakas-Christian Muslim Democrats,9865
Ajuy,Councilor,"Espinosa, Loida Juridico",Nene,Laban ng Demokratikong Pilipino,8944
Ajuy,Councilor,"Asumbra, Emmanuel Asong",Potit,Laban ng Demokratikong Pilipino,8735
Ajuy,Councilor,"Dumayao, Pepe Diocos",Pepe,Lakas-Christian Muslim Democrats,8619
Ajuy,Councilor,"Azucena, Rogelio Apelesor",Kap Pano,Lakas-Christian Muslim Democrats,8535
Ajuy,Councilor,"Rojas, Jose IV Castor",Joe,Lakas-Christian Muslim Democrats,8416
Ajuy,Councilor,"Tijam, Carlos Sr. Guerra",Chief,Laban ng Demokratikong Pilipino,7713
Alimodian,Mayor,"Alipao, Juanito Tuzon",Juaning,Ugyon Party,9006
Alimodian,Vice-Mayor,"Alonsabe, Geefre Alojepan",Calay,Ugyon Party,9753
Alimodian,Councilor,"Altubar, Larriette Amba",Bing-Bing,Ugyon Party,8253
Alimodian,Councilor,"Almacen, Job Almeria",Job,Ugyon Party,6776
Alimodian,Councilor,"Allones, Nicanor Altamarino",Nick,Liberal Party,6319
Alimodian,Councilor,"Anico, Emmanuel Alonsabe",Manny,Ugyon Party,6146
Alimodian,Councilor,"Amamanglon, Juan Emmanuel Alingas",Juaning,Liberal Party,5628
Alimodian,Councilor,"Amba, Felicita Alinsao",Bingbing,Ugyon Party,5545
Alimodian,Councilor,"Almira, Bana-ag Octaviano",Banny,Lakas-Christian Muslim Democrats,5517
Alimodian,Councilor,"Anas, Romeo Amaguin",Roming,Ugyon Party,5343
Anilao,Mayor,"Debuque, Joel Arandilla",Batok,Kabalikat ng Malayang Pilipino,7178
Anilao,Vice-Mayor,"Sargado, June Deocampo",Pitsik,Lakas-Christian Muslim Democrats,5397
