city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alburquerque,Mayor,"Molina, Bienvenido Jr. Corre",Ben,Lakas- Christian Muslim Democrats,7924
Alburquerque,Vice-Mayor,"Madrinan, Virgenio Abrea",Benny,Lakas- Christian Muslim Democrats,6899
Alburquerque,Councilor,"Ayuban, Marnilou Salas",Along,Lakas- Christian Muslim Democrats,7172
Alburquerque,Councilor,"Tan, Julita Senen Amora",Senen,Lakas- Christian Muslim Democrats,6505
Alburquerque,Councilor,"Miasco, Gleceria Cardeno",Ring-Ring,Lakas- Christian Muslim Democrats,5914
Alburquerque,Councilor,"Ayuban, Pedro Burato",Edot,Lakas- Christian Muslim Democrats,5397
Alburquerque,Councilor,"Rances, Cesar Baygan",Sario,Lakas- Christian Muslim Democrats,5050
Alburquerque,Councilor,"Curit, Domingo Handugan",Dodong,Independent,4716
Alburquerque,Councilor,"Canete, Gregorio Nineza",Jojie,Lakas- Christian Muslim Democrats,4508
Alicia,Mayor,"Amper, Paulino Tima-an",Paul,Lakas- Christian Muslim Democrats,4045
Alicia,Vice-Mayor,"Tan , Edil Felisarta",Eddie,Lakas- Christian Muslim Democrats,3758
Alicia,Councilor,"Bersabal, Nilo Jandayan",Nilo,Lakas- Christian Muslim Democrats,3881
Alicia,Councilor,"Deligero, Domenciano Ampong",Ayot,Lakas- Christian Muslim Democrats,3872
Alicia,Councilor,"Felicitas, Concordio Olaco",Cording,Lakas- Christian Muslim Democrats,3776
Alicia,Councilor,"Tongco, Alejandra Bernido",Alie,Independent,3644
Alicia,Councilor,"Makinano, Reinerio Madera",Enie,Lakas- Christian Muslim Democrats,3563
Alicia,Councilor,"Makinano, Agustin Cruz",Oting,Lakas- Christian Muslim Democrats,3512
Alicia,Councilor,"Escobido, Hermenegildo Makinano",Dodong,Lakas- Christian Muslim Democrats,3467
Alicia,Councilor,"Tinio, Erminio Escobido",Herminio,Independent,3456
Anda,Mayor,"Rebosura, Samuel Ombina",Amet,Lakas- Christian Muslim Democrats,3961
Anda,Vice-Mayor,"Rebosura, Cecelia Bangao",Cecille,Lakas- Christian Muslim Democrats,4529
Anda,Councilor,"Pahang, Jose Mario Jabines",Boy,Lakas- Christian Muslim Democrats,4685
Anda,Councilor,"Jadulco, Simon Leo Coquilla",Leo,Lakas- Christian Muslim Democrats,4563
Anda,Councilor,"Coresis, Esmeraldo Rellita",Esmer,Lakas- Christian Muslim Democrats,3480
Anda,Councilor,"Merencillo, Eduardo Jadulco",Nonoy,Lakas- Christian Muslim Democrats,3332
Anda,Councilor,"Coquilla, Asterio Naparan",Ating,Laban ng Demokratikong Pilipino,3243
Anda,Councilor,"Rebosura, Salvador Merencillo",Badoy,Lakas- Christian Muslim Democrats,3052
