city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alcantara,Mayor,"Lobitana, Benjamin Maquililng",Benlo,Lakas-Christian Muslim Democrats,4650
Alcantara,Vice-Mayor,"Basilisco, Margarito Otordoz",Garitoy,Lakas-Christian Muslim Democrats,3069
Alcantara,Councilor,"Canete, Fredo Celeste",Fred,Lakas-Christian Muslim Democrats,4541
Alcantara,Councilor,"Caburnay, Beatriz Yosores",Betty,Lakas-Christian Muslim Democrats or Nationalist People's Coalition,4173
Alcantara,Councilor,"Nasibog, Aquim Sanopao",Akim,Independent,4073
Alcantara,Councilor,"Barino, Joe Marie Villanueva",Jojo,Lakas-Christian Muslim Democrats or Nationalist People's Coalition,3718
Alcantara,Councilor,"Odever, Asterio Sr. Ricafranca",Terio,Independent,3670
Alcantara,Councilor,"Tabanao, Godofredo Tapales",Dodoy,Independent,3404
Alcantara,Councilor,"Marcellania, Sergio De Roxas",Jun or  Jhun,Lakas-Christian Muslim Democrats,3240
Alcantara,Councilor,"Lamosao, Balgame Sotelliza",Gamy,Lakas-Christian Muslim Democrats,3183
Alcoy,Mayor,"Plando, Antonio Medellin",Tony,Lakas-Christian Muslim Democrats,3342
Alcoy,Vice-Mayor,"De Los Santos, Nicomedes Antig",Nick,Lakas-Christian Muslim Democrats,4830
Alcoy,Councilor,"Abajon, Jimmy Montalbo",Jim,Lakas-Christian Muslim Democrats,3308
Alcoy,Councilor,"Costin, Ailee Romarate",Ailee,Lakas-Christian Muslim Democrats,3177
Alcoy,Councilor,"Niere, Pedro Carungay",Pet,Lakas-Christian Muslim Democrats,3149
Alcoy,Councilor,"Sestoso, Michael Angelo De Los Santos",Angke,Lakas-Christian Muslim Democrats,3008
Alcoy,Councilor,"Maglalang, Adoracion Jesusa Singson",Daday,Independent,2662
Alcoy,Councilor,"Osorio, John Nieves",Jonny,Lakas-Christian Muslim Democrats,2624
Alcoy,Councilor,"De Los Santos, Catalino Jr. Medez",Ompong,Lakas-Christian Muslim Democrats,2565
