city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Enrique Villanueva,Mayor,"Orquillas, Ellery Clint Alcala",Clint,Lakas-Christian Muslim Democrats,1586
Enrique Villanueva,Vice-Mayor,"Pal-Ing, Gerold Viernes",Titing,Laban ng Demokratikong Pilipino,1575
Enrique Villanueva,Councilor,"Sumalpong, Norma Billones",Norm,Lakas-Christian Muslim Democrats,1718
Enrique Villanueva,Councilor,"Maglangit, Teresita Tuale",Tessie,Lakas-Christian Muslim Democrats,1702
Enrique Villanueva,Councilor,"Matas, Earl Stanley Orquillas",Bebe,Lakas-Christian Muslim Democrats,1657
Enrique Villanueva,Councilor,"Paculba, Leonardo Pagente",Nardo,Philippine Democratic Socialist Party,1653
Enrique Villanueva,Councilor,"Kitong, Jerry Lomosad",Aye,Philippine Democratic Socialist Party,1620
Enrique Villanueva,Councilor,"Aqui, Marcial Limatoc",Cialy,Lakas-Christian Muslim Democrats,1541
Enrique Villanueva,Councilor,"Patay, Wilfredo Suminguit",Dodong Fredo,Lakas-Christian Muslim Democrats,1497
Enrique Villanueva,Councilor,"Cabrera, Henry Sr. Viernes",Ray,Lakas-Christian Muslim Democrats,1489
Larena,Mayor,"Calibo, Gold Lomongo",Dodong,Nationalist People's Coalition,4404
Larena,Vice-Mayor,"Villa, Ronnie Samson",Ron,Nationalist People's Coalition,4396
Larena,Councilor,"Lucero, Clare Bulahan",Clare,Nationalist People's Coalition,4536
Larena,Councilor,"Gom-os, Jucito Dominguez",Boboy,Nationalist People's Coalition,4169
Larena,Councilor,"Jimenez, Greg Yurong",Gorio,Nationalist People's Coalition,3758
Larena,Councilor,"Woo, Rene Francisco Mehor",Dodong,Nationalist People's Coalition,3706
Larena,Councilor,"Enrera, Dominador Butuanon",Nono,Nationalist People's Coalition,3682
Larena,Councilor,"Duhaylongsod, Li Sugabo",Nonoy,Nationalist People's Coalition,3291
Larena,Councilor,"Cuaresma, Pacita Tagbo",Mandie,Nationalist People's Coalition,3115
Larena,Councilor,"Achay, Danilo Laure",Danny,Nationalist People's Coalition,3044
Lazi,Mayor,"Fua, Orville Anoos",Bongbong,Lakas-Christian Muslim Democrats,6829
Lazi,Vice-Mayor,"Aljas, Desiderio Sr. Sumalpong",Deriong,Lakas-Christian Muslim Democrats,5510
Lazi,Councilor,"Monte, James Duhaylungsod",Jamesiao,Independent,5627
Lazi,Councilor,"Dimagnaong, Rommel Omandam",Rod,Lakas-Christian Muslim Democrats,4908
Lazi,Councilor,"Sierras, Remegio Dele Pena",Remy,Lakas-Christian Muslim Democrats,4859
Lazi,Councilor,"Tumapon, Melvin Omictin",Tito,Lakas-Christian Muslim Democrats,4612
Lazi,Councilor,"Ligutom, Maribel Monte",Beng,Lakas-Christian Muslim Democrats,4428
Lazi,Councilor,"Orano, Francisco Lumingkit",Pikong,Lakas-Christian Muslim Democrats,4019
Lazi,Councilor,"Paglinawan, Dexter Ganhinhin",Dicken,Lakas-Christian Muslim Democrats,3835
Lazi,Councilor,"Siong, Evacueto Sr. L",-,-,3684
Maria,Mayor,"Padayhag, Rebecca Bolodo",Becky,Lakas-Christian Muslim Democrats,4103
Maria,Vice-Mayor,"Enot, Vitaliano Tabilon",Betel,Lakas-Christian Muslim Democrats,3872
Maria,Councilor,"Tiguman, Salome Tingcang",Me,Lakas-Christian Muslim Democrats,4225
Maria,Councilor,"Magpiong, Ronald Guy Bangay",Guy,Lakas-Christian Muslim Democrats,4213
Maria,Councilor,"Parami, Jaime Arrieta",Jim,Lakas-Christian Muslim Democrats,3785
Maria,Councilor,"Omongos, Erlinda Magdalan",Linda,Lakas-Christian Muslim Democrats,3645
Maria,Councilor,"Fernando, Orlando Dominguez",Lando,Lakas-Christian Muslim Democrats,3497
Maria,Councilor,"Aso, Milagrosa Lomongo",Novel,Independent,3164
Maria,Councilor,"Vios, Ramon Jr. Tayros",Bebe,Lakas-Christian Muslim Democrats,2801
Maria,Councilor,"Camero, Evangelito Sario",Bebie,Lakas-Christian Muslim Democrats,2791
San Juan,Mayor,"Quimno, Edwin Maata",Win,Lakas-Christian Muslim Democrats,3277
