city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Anahawan,Mayor,"Minana, Jose Ma Garcia",Pepe,Lakas-Christian Muslim Democrats,2276
Anahawan,Vice-Mayor,"Vestal, Gerardo Bolijuan",Rald,Nationalist People's Coalition,2308
Anahawan,Councilor,"Ang, Felipe Bicar",Yohok,Lakas-Christian Muslim Democrats,2150
Anahawan,Councilor,"Lopiba, Mamerto Elepian",Mamer,Lakas-Christian Muslim Democrats,2074
Anahawan,Councilor,"Lagumbay, Nicolas Demiao",Nick,Nationalist People's Coalition,1944
Anahawan,Councilor,"Caones, Judito Gomera",Titing,Nationalist People's Coalition,1808
Anahawan,Councilor,"Miones, Benito Ultado",Lolong,Nationalist People's Coalition,1752
Anahawan,Councilor,"Luta, Enrita Miones",Ern,Lakas-Christian Muslim Democrats,1590
Anahawan,Councilor,"Siasol, Jame Escobal",Jame,Nationalist People's Coalition,1553
Anahawan,Councilor,"Ang, Pedro Adaro",Lolong,Puwersa ng Masang Pilipino,1547
Bontoc,Mayor,"Fustanes, Pedro Jr. Valdez",Pet,Nationalist People's Coalition,7757
Bontoc,Vice-Mayor,"Ruales, Matias Mervin Cretecio",King,Lakas-Christian Muslim Democrats,7970
Bontoc,Councilor,"Nablea, Rodulfo Villafane",Rudy,Nationalist People's Coalition,6248
Bontoc,Councilor,"Quisado, Wenceslao Orillo",Wennie,Nationalist People's Coalition,5883
Bontoc,Councilor,"Alinsub, Alfredo Elona",Al,Nationalist People's Coalition,5787
Bontoc,Councilor,"Lampong, Amelita Ramos",Melly,Nationalist People's Coalition,5531
Bontoc,Councilor,"Obbus, Reynaldo Dulfo",Rene,Lakas-Christian Muslim Democrats,5384
Bontoc,Councilor,"Cuadra, Arturo Gorduiz",Atoy,Puwersa ng Masang Pilipino,5202
Bontoc,Councilor,"Palen, Bonifacio Aseniero",Boni,Puwersa ng Masang Pilipino,4441
Bontoc,Councilor,"Guasa, Prospero Abarca",Pros,Nationalist People's Coalition,4347
Hinunangan,Mayor,"Lagumbay, Roberto Maamo",Berting,Puwersa ng Masang Pilipino,6946
Hinunangan,Vice-Mayor,"Abada, Lani Juana Odilao",Lani,Puwersa ng Masang Pilipino,6716
Hinunangan,Councilor,"Maglinte, Levi Ogdoc",Levi,Lakas-Christian Muslim Democrats,6373
Hinunangan,Councilor,"Tagnipez, Vevencia Madera",Bebie,Puwersa ng Masang Pilipino,6172
Hinunangan,Councilor,"Modina, Roy Rizalino Capapas",Roy,Puwersa ng Masang Pilipino,5969
Hinunangan,Councilor,"Itom, Agricula Merquita",Agring,Lakas-Christian Muslim Democrats,5714
Hinunangan,Councilor,"Cupat, Salvador Perez",Badong,Puwersa ng Masang Pilipino,5112
Hinunangan,Councilor,"Adlao, Veronico Datoy",Yoyo,Puwersa ng Masang Pilipino,4941
Hinunangan,Councilor,"Matunog, Remy Labrador",Rem,Puwersa ng Masang Pilipino,4858
Hinunangan,Councilor,"Laplap, Sergio Jr. Esclamado",Titing,Nationalist People's Coalition,4700
Hinundayan,Mayor,"Molina, Joel Castil",Kidong,Nationalist People's Coalition,2917
Hinundayan,Vice-Mayor,"Lee, Evelyn Tan",Eboy,Nationalist People's Coalition,3081
Hinundayan,Councilor,"Cazon, Abito Lafuente",Abit,Nationalist People's Coalition,3186
Hinundayan,Councilor,"Abuyog, Jeannette Mole",Jenet,Nationalist People's Coalition,2991
Hinundayan,Councilor,"Toledo, Amparo Perez",Ching,Nationalist People's Coalition,2943
Hinundayan,Councilor,"Calungsod, Pedro Jr. Almosa",Pepe,Nationalist People's Coalition,2908
Hinundayan,Councilor,"Galang, Divina Resma",Divina,Nationalist People's Coalition,2879
Hinundayan,Councilor,"Tesado, Bienvenido Sr. Amoguis",Bienas,Nationalist People's Coalition,2839
Hinundayan,Councilor,"Serojales, Librado Jr. Bag-Ao",Odong,Nationalist People's Coalition,2718
Hinundayan,Councilor,"Palima, Diana Pedrera",Dianne,Puwersa ng Masang Pilipino,2692
Libagon,Mayor,"Espina, Rizalina Banez",Inday,Nationalist People's Coalition,3585
Libagon,Vice-Mayor,"Ranque, Oliver Escamis",Oliver,Lakas-Christian Muslim Democrats,2541
Libagon,Councilor,"Magaipo, Diosdado Millan",Dads,Puwersa ng Masang Pilipino,3104
Libagon,Councilor,"Mantilla, Constantino Paul Llemet",Bong,Nationalist People's Coalition,2695
Libagon,Councilor,"Paitan, Primitiva Bautista",Priming,Lakas-Christian Muslim Democrats,2652
Libagon,Councilor,"Cahucom, Dolores Cascas",Dolor,Puwersa ng Masang Pilipino,2539
Libagon,Councilor,"Ponla, Godofredo Dumadag",Gody,Nationalist People's Coalition,2372
Libagon,Councilor,"Salem, Julio Sr. Encinas",Julying,Nationalist People's Coalition,2364
Libagon,Councilor,"Rodriguez, Rodolfo Fallorina",Rudy,Lakas-Christian Muslim Democrats,2167
Libagon,Councilor,"Penaredondo, Edgar Amparo",Ega,Nationalist People's Coalition,2162
Liloan,Mayor,"Maamo, Marlo Pil",Marlo,Nationalist People's Coalition,5497
Liloan,Vice-Mayor,"Maamo, Antonio Arcega",Toning,Lakas-Christian Muslim Democrats,5533
Liloan,Councilor,"Amper, Nazario Marqueda",Lyndon,Nationalist People's Coalition,5084
Liloan,Councilor,"Chua, Welfredo Sacnanas",Willy Ekoy,Puwersa ng Masang Pilipino,4940
Liloan,Councilor,"Piramide, Alexandro Tiaozon",Bro Boy,Nationalist People's Coalition,4866
Liloan,Councilor,"Chua, Victor Sr. Maamo",Vic,Puwersa ng Masang Pilipino,4622
Liloan,Councilor,"Ticod, Antonio Tado",Tonio,Nationalist People's Coalition,4527
Liloan,Councilor,"Custodio, Rogelio Ty",Roger,Nationalist People's Coalition,4423
Liloan,Councilor,"Barba, Ramon Fernandez",Ramon,Puwersa ng Masang Pilipino,4406
Liloan,Councilor,"Lorezo, Vilma Abarca",Vi,Puwersa ng Masang Pilipino,4276
Limasawa,Not yet available,Not Yet Available,Not Yet Available,Not yet available,Not yet available
Maasin City,Mayor,"Esclamado, Albert Galvez",Bert,Puwersa ng Masang Pilipino,1610
Maasin City,Vice-Mayor,"Petracorta, Melchor Palero",Melpet,Puwersa ng Masang Pilipino,1738
Maasin City,Councilor,"Olojan, Sim Balane",Sim,Puwersa ng Masang Pilipino,2033
Maasin City,Councilor,"Guerrero, Editha Ombina",Edith,Puwersa ng Masang Pilipino,1646
Maasin City,Councilor,"Mercado, Natalio Juranes",Talio,Puwersa ng Masang Pilipino,1614
Maasin City,Councilor,"Bero, Jecnie Amogues",Jec,Puwersa ng Masang Pilipino,1549
Maasin City,Councilor,"Alatraca, Heriberto Jr. Aclao",Dodong,Puwersa ng Masang Pilipino,1500
Maasin City,Councilor,"Salomon, Dionesio Sr. Rogador",Dion,Puwersa ng Masang Pilipino,1449
Maasin City,Councilor,"Dagohoy, Epifania Salem",Nating,Puwersa ng Masang Pilipino,1359
Maasin City,Councilor,"Pagangpang, Esteban Sr. Senoc",Babing,Puwersa ng Masang Pilipino,1243
Macrohon,Mayor,"Boldo, Manuel Pelenio",Mawe,Lakas-Christian Muslim Democrats,5423
Macrohon,Vice-Mayor,"Aroy, Alan Jose Kuizon",Alan,Nationalist People's Coalition,6269
Macrohon,Councilor,"Dampog, Sarah Pagulong",Sarah,Puwersa ng Masang Pilipino,4917
Macrohon,Councilor,"Tantoy, Neil Parog",Ne,Lakas-Christian Muslim Democrats,4530
Macrohon,Councilor,"Padilla, Marcial Lolo",Mar,Nationalist People's Coalition,4466
Macrohon,Councilor,"Madrona, Wilfredo Ligtas",Loloy,Lakas-Christian Muslim Democrats,4308
Macrohon,Councilor,"Ligtas, Alberto Mibulos",Bert,Nationalist People's Coalition,4245
Macrohon,Councilor,"Simblante, Rolando Miras",Lando,Nationalist People's Coalition,4119
Macrohon,Councilor,"Galdo, Roland Juanico",Roland,Puwersa ng Masang Pilipino,4044
Macrohon,Councilor,"Lolo, Wilfredo Duterte",Fredo,Puwersa ng Masang Pilipino,4025
Malitbog,Mayor,"Go, Norma Lim",Nene,Puwersa ng Masang Pilipino,4949
Malitbog,Vice-Mayor,"Narona, Romeo Morales",Romy,Independent,4491
Malitbog,Councilor,"Escano, Ramon Rusca",Ramon,Nationalist People's Coalition,5175
Malitbog,Councilor,"Laplana, Camilo B",Yoyon,Puwersa ng Masang Pilipino,4452
Malitbog,Councilor,"Gonzales, Nestor Manaug",Nes,Puwersa ng Masang Pilipino,4450
Malitbog,Councilor,"Laplana, Ludinila Manaug",Ludie,Puwersa ng Masang Pilipino,4390
Malitbog,Councilor,"Oben, Salvador Sanchez",Nene,Puwersa ng Masang Pilipino,4294
Malitbog,Councilor,"Gabriel, Narciso Odar",Pilipin,Nationalist People's Coalition,4281
Malitbog,Councilor,"Galozo, Oscar Gide",Oka,Lakas-Christian Muslim Democrats,4120
Malitbog,Councilor,"Gabronino, Paterno Sr. Bonador",Pater,Nationalist People's Coalition,3998
Padre Burgos,Mayor,"Borces, Rimmon Esclamado",Rimmon,Puwersa ng Masang Pilipino,2385
Padre Burgos,Vice-Mayor,"Batalon, Wilson Mejala",Son,Independent,1788
Padre Burgos,Councilor,"Novero, Clementina Libres",Clemen,Nationalist People's Coalition,2861
Padre Burgos,Councilor,"Ramos, Elvira Cabel",Billy,Puwersa ng Masang Pilipino,2526
Padre Burgos,Councilor,"Limen, Virginia B",,,2502
Padre Burgos,Councilor,"Boniel, Herminio Abanilla",Bebot,Puwersa ng Masang Pilipino,2443
Padre Burgos,Councilor,"Borces, Ricardo Esclamado",Carding,Puwersa ng Masang Pilipino,2431
Padre Burgos,Councilor,"Rita, Yolanda Catre",Yolen,Puwersa ng Masang Pilipino,2222
Padre Burgos,Councilor,"Turcal, Meriem Abig",Hyem,Nationalist People's Coalition,2019
Padre Burgos,Councilor,"Rufin, Dominador Sr. Romero",Doming,Puwersa ng Masang Pilipino,1859
Pintuyan,Mayor,"Estrella, Celsa Amper",Cel,Lakas-Christian Muslim Democrats,2440
Pintuyan,Vice-Mayor,"Salinas, Roy Yap",Ongkoy,Puwersa ng Masang Pilipino,2318
Pintuyan,Councilor,"Tiempo, Eusebio Elman",Yoyon,Independent,3690
Pintuyan,Councilor,"Felicio, Jose Efren Velmonte",Efren,Puwersa ng Masang Pilipino,3559
Pintuyan,Councilor,"Lumangcas, Isabelo Sajol",Beloy,Nationalist People's Coalition,3463
Pintuyan,Councilor,"Rio, Diosdado Melendres",Lucky,Nationalist People's Coalition,3088
Pintuyan,Councilor,"Abalos, Ariel Babon",Aye,Puwersa ng Masang Pilipino,3066
Pintuyan,Councilor,"Gontinas, Jelito Ceniza",Lito,Puwersa ng Masang Pilipino,3033
Pintuyan,Councilor,"Tagoc, Marie Saycon",Marie,Lakas-Christian Muslim Democrats,2757
Pintuyan,Councilor,"Liquit, Olimpio Dangate",Olim,Puwersa ng Masang Pilipino,2671
Saint Bernard,Mayor,"Lim, Maria Yu",Iyan,Lakas-Christian Muslim Democrats,7868
Saint Bernard,Vice-Mayor,"Lim, Felix Bulabog",Felix,Lakas-Christian Muslim Democrats,7571
Saint Bernard,Councilor,"Castil, Hermenegildo Soler",Loloy,Lakas-Christian Muslim Democrats,6722
Saint Bernard,Councilor,"Kuizon, Nestor Famador",Nestor,Lakas-Christian Muslim Democrats,6001
Saint Bernard,Councilor,"Lompot, Necitas Magat",Inday,Lakas-Christian Muslim Democrats,5996
Saint Bernard,Councilor,"Cabug-Os, Epifania Opelenia",Panyang,Lakas-Christian Muslim Democrats,5860
Saint Bernard,Councilor,"Vasquez, Lelia Capili",Lelia,Lakas-Christian Muslim Democrats,5536
Saint Bernard,Councilor,"Caday, Eralin Dela Pena",Eralyn,Lakas-Christian Muslim Democrats,5262
Saint Bernard,Councilor,"Japon, Federico Calo",Fidel,Independent,4932
Saint Bernard,Councilor,"Avendula, Jesus Jr. Ramada",Boy,Independent,4898
San Francisco,Mayor,"Asares, Lorraine Napuli",Yoying,Puwersa ng Masang Pilipino,2604
San Francisco,Vice-Mayor,"Yuboc, Diego Baja",Eddie,Puwersa ng Masang Pilipino,2851
San Francisco,Councilor,"Dagami, Rolando Roa",Raul,Puwersa ng Masang Pilipino,3028
San Francisco,Councilor,"Gamutan, Samson Sr. P",Sam,Puwersa ng Masang Pilipino,3002
San Francisco,Councilor,"Ramiso, Dionisio Tupos",Diony,Puwersa ng Masang Pilipino,2907
San Francisco,Councilor,"Gloria, Sulpicio Pecolados",Londoc,Nationalist People's Coalition,2594
San Francisco,Councilor,"Engano, Malaquias Galope",Mely,Puwersa ng Masang Pilipino,2498
San Francisco,Councilor,"Mulig, Juanito Manzano",Nito,Lakas-Christian Muslim Democrats,2495
San Francisco,Councilor,"Tilaon, Ulga Bero",Ulga,Puwersa ng Masang Pilipino,2468
San Francisco,Councilor,"Aleria, Pedro Lutero",Peter,Lakas-Christian Muslim Democrats,2238
San Juan Cabalian,Mayor,"Mortera, Virgilio Aparri",Boy,Lakas-Christian Muslim Democrats,1662
San Juan Cabalian,Vice-Mayor,"Flores, Federico Ramos",Titing,Puwersa ng Masang Pilipino,3286
San Juan Cabalian,Councilor,"Mercado, Arturo Malubay",Arturo,Puwersa ng Masang Pilipino,3321
San Juan Cabalian,Councilor,"Alveniz, Apolonio Petate",Titing,Puwersa ng Masang Pilipino,3220
San Juan Cabalian,Councilor,"Lee, Jerry Ang",Jerry,Puwersa ng Masang Pilipino,3151
San Juan Cabalian,Councilor,"Orozco, Edith Malubay",Edith,Puwersa ng Masang Pilipino,3086
San Juan Cabalian,Councilor,"Ouano, Valentin Jr. Pajigar",Yongyong,Puwersa ng Masang Pilipino,2916
San Juan Cabalian,Councilor,"Nombrado, Lindy Jones",Lyn,Puwersa ng Masang Pilipino,2854
San Juan Cabalian,Councilor,"Laude, Fely Delos Santos",Fely,Lakas-Christian Muslim Democrats,2532
San Juan Cabalian,Councilor,"Labao, Norma Getes",Bebe,Lakas-Christian Muslim Democrats,2442
San Ricardo,Mayor,"Mejia, Virginia Silvosa",Virgie,Nationalist People's Coalition,2238
San Ricardo,Vice-Mayor,"Culpa, Fiel Virtudazo",Fiel,Nationalist People's Coalition,2229
San Ricardo,Councilor,"Yu, William Go",Boboy,Nationalist People's Coalition,2634
San Ricardo,Councilor,"Lubang, Florentino Agohot",Flor,Nationalist People's Coalition,2295
San Ricardo,Councilor,"Guias, Fidel Ranises",Lolong,Nationalist People's Coalition,2230
San Ricardo,Councilor,"Virtudazo, Julita Lim",Julie,Nationalist People's Coalition,2148
San Ricardo,Councilor,"Clerigo, Florencio Bonita",Rudy,Nationalist People's Coalition,1990
San Ricardo,Councilor,"Dudang, Nelia Sanchez",Bebie,Puwersa ng Masang Pilipino,1983
San Ricardo,Councilor,"Sajol, Ermalita Olaybar",Erma,Puwersa ng Masang Pilipino,1979
San Ricardo,Councilor,"Bagtasos, Bartolome Ligaya",Omie,Puwersa ng Masang Pilipino,1943
Silago,Mayor,"Tomol, Martin Sr. Palanca",Boy,Nationalist People's Coalition,3703
Silago,Vice-Mayor,"Labrador, Manuel Abetacion",Wel,Independent,2088
Silago,Councilor,"Honor, Rufina Cruzada",Ruping,Nationalist People's Coalition,3252
Silago,Councilor,"Sinahon, Levi Casicas",Levi,Puwersa ng Masang Pilipino,3103
Silago,Councilor,"Capangpangan, Independencio Kwan",Pen,Lakas-Christian Muslim Democrats,3063
Silago,Councilor,"Honor, Roberto Palarao",Berto,Nationalist People's Coalition,3053
Silago,Councilor,"Makiling, Constancio Wales",Costan,Puwersa ng Masang Pilipino,2799
Silago,Councilor,"Ando, Charlie Ong",Charls,Puwersa ng Masang Pilipino,2653
Silago,Councilor,"Guaca, Generoso Alilin",Gener,Nationalist People's Coalition,2455
Silago,Councilor,"Capena, Astaire Dangcal",Aster,Lakas-Christian Muslim Democrats,2376
Sogod,Mayor,"Tan, Sheffered Siongco",Pit,Lakas-Christian Muslim Democrats,10778
Sogod,Vice-Mayor,"Rio, Oscar Trajano",Oca,Lakas-Christian Muslim Democrats,8558
Sogod,Councilor,"Regis, Napoleon Pellano",Nap,Nationalist People's Coalition,8207
Sogod,Councilor,"Basilad, Aileen Estrera",Tata,Independent,7546
Sogod,Councilor,"Uy, Leoncio Jr. Tan",Jun,Independent,6905
Sogod,Councilor,"Casil, Alberto Maarat",Bert,Puwersa ng Masang Pilipino,6708
Sogod,Councilor,"Autida, Jose Boyles",Joe,Puwersa ng Masang Pilipino,6235
Sogod,Councilor,"Olo, Rufo Caindoy",Nono,Puwersa ng Masang Pilipino,5887
Sogod,Councilor,"Yong, Gil Lobrigo",Dondon,Lakas-Christian Muslim Democrats,5842
Sogod,Councilor,"Cuos, Melchor Libres",Mely,Lakas-Christian Muslim Democrats,5765
Tomas Oppus,Mayor,"Escano, Felicula Cruz",Felising,Lakas-Christian Muslim Democrats,5199
Tomas Oppus,Vice-Mayor,"Vecina, Castrence Cobile",Nene,Nationalist People's Coalition,4185
Tomas Oppus,Councilor,"Tahup, Nicanor Felicilda",Yort,Lakas-Christian Muslim Democrats,4781
Tomas Oppus,Councilor,"Escano, Gerry Cruz",Ger,Lakas-Christian Muslim Democrats,4002
Tomas Oppus,Councilor,"Siona, Pacifico Caderao",Pacing,Nationalist People's Coalition,3849
Tomas Oppus,Councilor,"Dizon, Anaclito Tidalgo",Kelit,Lakas-Christian Muslim Democrats,3710
Tomas Oppus,Councilor,"Callano, Ildefonso Cabilao",Eddie,Lakas-Christian Muslim Democrats,3505
Tomas Oppus,Councilor,"Amora, Wilfredo Isaga",Willy,Nationalist People's Coalition,3135
Tomas Oppus,Councilor,"Tambis, Cirilo Sr. Cabaong",Loy,Nationalist People's Coalition,2795
Tomas Oppus,Councilor,"Maunes, Monico Baay",Nic,Nationalist People's Coalition,2793
