city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Almagro,Mayor,"Talon, Rustico Espinosa",Rote,Liberal Party,3403
Almagro,Vice-Mayor,"Colitoy, Romeo Bacunawa",Bonoying,Liberal Party,3451
Almagro,Councilor,"Tomamak, Braulio Coliflores",Bruly,Liberal Party,4587
Almagro,Councilor,"Lahaylahay, Jaime Momo",Jimmy,Liberal Party,4295
Almagro,Councilor,"Prudenciado, Alejandro Ochiava",Ali,Liberal Party,3764
Almagro,Councilor,"Bruza, Napoleon Jr. Arididon",Onyot,Liberal Party,3648
Almagro,Councilor,"Baman, Alberto Patente",Berto,Liberal Party,3335
Almagro,Councilor,"Alarde, Editha Palonfon",Edith,Liberal Party,3315
Almagro,Councilor,"Estorninos, Julian B.",Julius,Liberal Party,3044
Almagro,Councilor,"Sarayan, Jesus",Jess,Nationalist People's Coalition,2809
Basey,Mayor,"Labuac, Vicente Jr. Cabantac",Vic,Lakas ng Bayan ng Demokratikong Pilipino,7177
Basey,Vice-Mayor,"Rebamontan, Edgardo Palmiano",Edgar,Lakas ng Bayan ng Demokratikong Pilipino,6175
Basey,Councilor,"Lugnasin, Virgilio Ecalne",Gil,Lakas ng Bayan ng Demokratikong Pilipino,7734
Basey,Councilor,"Wong, Dominador Cielo",Dady,Liberal Party,7305
Basey,Councilor,"Ponferrada, Igmedio Junji Elero",Junji,Lakas-Christian Muslim Democrats,6766
Basey,Councilor,"Adona, Paul Charles Yancha",Pol,Lakas-Christian Muslim Democrats,6683
Basey,Councilor,"Jadloc, Nestor Colinayo",Nonoy,Lakas ng Bayan ng Demokratikong Pilipino,6480
Basey,Councilor,"Avila, Anita Delovino",Nita,Lakas ng Bayan ng Demokratikong Pilipino,6400
Basey,Councilor,"Tabao, Diomedes Colinares",Dido,Lakas ng Bayan ng Demokratikong Pilipino,6276
Basey,Councilor,"Ogrimen, Anita Mendova",Anie,Lakas-Christian Muslim Democrats,5995
Calbayog City,Mayor,"Nacario, Luzviminda Latorre",Bebot,Philippine Democratic Socialist Party,4856
Calbayog City,Vice-Mayor,"Mutia, Sandra Matrona Abejuela",Rona,Lakas-Christian Muslim Democrats,5368
Calbayog City,Councilor,"Bacsal, David Daconos",D.B.D,Philippine Democratic Socialist Party,5576
Calbayog City,Councilor,"Jabonete, Inigo Cabuenas",Egoy,Philippine Democratic Socialist Party,4529
Calbayog City,Councilor,"Mendova, Irene Abaigar",Ening,Philippine Democratic Socialist Party,4132
Calbayog City,Councilor,"Rodriguez, Rosemarie Cabrigas",Rose,Philippine Democratic Socialist Party,4081
Calbayog City,Councilor,"Fallorina, Fenita Dacut",Meya-Metik,Philippine Democratic Socialist Party,4056
Calbayog City,Councilor,"Aduana, Leo Cabuenas",Leo,Philippine Democratic Socialist Party,4009
Calbayog City,Councilor,"David, Ponce Cabrales",Pons,Lakas-Christian Muslim Democrats,3816
Calbayog City,Councilor,"Nacario, Salvador Figueroa",Badoy,Philippine Democratic Socialist Party,3706
Calbiga,Mayor,"Uy, Coefredo Tan",Tekwa,Liberal Party,10404
Calbiga,Vice-Mayor,"Torrevillas, Manuel Van Arcales",Van,Lakas ng Bayan ng Demokratikong Pilipino,12651
Calbiga,Councilor,"Zosa, Arthur Vaughn Merida",Von,Independent,11366
Calbiga,Councilor,"Perez, Rodrigo Jr. Cui",Longlong,Lakas ng Bayan ng Demokratikong Pilipino,10221
Calbiga,Councilor,"Correche, Manuel Flores",Tawi,Lakas ng Bayan ng Demokratikong Pilipino,10144
Calbiga,Councilor,"Sabenecio, Perfecta Macacado",Preting,Lakas ng Bayan ng Demokratikong Pilipino,10141
Calbiga,Councilor,"Cabral, Herminia Siazon",Eday,Lakas ng Bayan ng Demokratikong Pilipino,9978
Calbiga,Councilor,"Aquino, Rodolfo Tolentino",Rudy,Liberal Party,9773
Calbiga,Councilor,"Ilagan, Teodoro Villarin",Teddy,Puwersa ng Masang Pilipino,9701
Calbiga,Councilor,"Gabon, Art Sherwin L.",Art,Lakas ng Bayan ng Demokratikong Pilipino,9422
Catbalogan City,Mayor,"Astorga, Benito Bucatcat",Ben,Lakas-Christian Muslim Democrats,8583
Catbalogan City,Vice-Mayor,"Figueroa, Bartolome Palanas",Ome,Lakas ng Bayan ng Demokratikong Pilipino,6694
Catbalogan City,Councilor,"Losa, Arthur Zamora",Art,Lakas ng Bayan ng Demokratikong Pilipino,8286
Catbalogan City,Councilor,"Astorga, Agapita Verzosa",Pita,Independent,8102
Catbalogan City,Councilor,"Dacallos, Reynaldo Maluto",Boboy,Liberal Party,8069
Catbalogan City,Councilor,"Agner, Isidro Lotoc",Essie Boy,Lakas ng Bayan ng Demokratikong Pilipino,6771
Catbalogan City,Councilor,"Amistoso, Benjamin Sauro","Ben, Bentot",Lakas-Christian Muslim Democrats,6754
Catbalogan City,Councilor,"Carcellar, Florentino Jr. Paragas",Jun,Lakas-Christian Muslim Democrats,5810
Catbalogan City,Councilor,"Honrales, Arturo Tabon",Turing,Lakas-Christian Muslim Democrats,5408
Catbalogan City,Councilor,"Redaja, Leo Guevarra",Leo,Lakas-Christian Muslim Democrats,5324
Daram,Mayor,"Cabuenos, Antonieto Tan",Nonoy,Liberal Party,7803
Daram,Vice-Mayor,"Bucatcat, Raul Ynto",Raul,Lakas-Christian Muslim Democrats,7454
Daram,Councilor,"Oakley, Lucila Diodoco",Lucy,Liberal Party,8261
Daram,Councilor,"Ramirez, Jorge Sembrero",Tating,Liberal Party,7837
Daram,Councilor,"Dapuran, Felimon III Uy",Pepot,Lakas-Christian Muslim Democrats,7380
Daram,Councilor,"Tan, Fernando N.",-,-,6988
Daram,Councilor,"Tan, Arma Orbeta",Arma,Lakas-Christian Muslim Democrats,6825
Daram,Councilor,"Dy, Prudencio Jr. Abenis",Tong,Lakas-Christian Muslim Democrats,6530
Daram,Councilor,"Isanan, Jonathan Yulo",Atan,Lakas-Christian Muslim Democrats,6170
