city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Baungon,Mayor,"Lago, Rogelio Sabio",Boy,KNP,6591
Baungon,Vice-Mayor,"Roa, Ardan Jarilla",Danro,KNP,5660
Baungon,Councilor,"Rara, Perla Lilangan",Laling,KNP,6103
Baungon,Councilor,"Baigad, Calixtro Jacutin",Jing,KNP,5987
Baungon,Councilor,"Balatayo, Virginia Palanan",Daday,KNP,4867
Baungon,Councilor,"Bas, Jesus Benig",Jess,KNP,4387
Baungon,Councilor,"Rosacina, Paul Anthony Lilangan",Paul,Lakas-Christian Muslim Democrats,4380
Baungon,Councilor,"Daanoy, Rebenie Sacay",Nene,KNP,4216
Baungon,Councilor,"Bacarro, Emmanuel Las Pinas",Maning,Lakas-Christian Muslim Democrats,4060
Baungon,Councilor,"Pabillore, Benito Klonisala",Ben,Lakas-Christian Muslim Democrats,3929
City of Malaybalay,Mayor,"Lopez, Aurelio Balagot",Bobot,Lakas-Christian Muslim Democrats,12142
City of Malaybalay,Vice-Mayor,"Cabanez, Eriberto Yangga",Eri,Lakas-Christian Muslim Democrats,7371
City of Malaybalay,Councilor,"Calingasan, Leonardo Genesis Tejano",Toton,Lakas-Christian Muslim Democrats,8742
City of Malaybalay,Councilor,"Buta, Vicentico Anino",Nonoy,Lakas-Christian Muslim Democrats,7060
City of Malaybalay,Councilor,"Edralin, Ernesto Octat",Along,Lakas-Christian Muslim Democrats,6207
City of Malaybalay,Councilor,"Porminal, Rodrigo Miculob",Rudy,Lakas-Christian Muslim Democrats,6197
City of Malaybalay,Councilor,"Cabardo, Jacinta Arriesgado",Cinta,Lakas-Christian Muslim Democrats,5987
City of Malaybalay,Councilor,"Abas, Israel Cabaneros",Toto,Liberal Party,5829
City of Malaybalay,Councilor,"Eduria, Renee Wayan",Ren,Lakas-Christian Muslim Democrats,5608
City of Malaybalay,Councilor,"Auxtero, Virgilio Furog",Vir,Lakas-Christian Muslim Democrats,5490
Damulog,Mayor,"Dionaldo, Agustin Handumon",Osting,Lakas-Christian Muslim Democrats,5539
Damulog,Vice-Mayor,"Madelo, Cerilo Abao",Doc,Lakas-Christian Muslim Democrats,6617
Damulog,Councilor,"Akiatan, Charles Abalde",Dodo,Lakas-Christian Muslim Democrats,6527
Damulog,Councilor,"Deles, Ric Laanan",Tata,Laban ng Demokratikong Pilipino,6169
Damulog,Councilor,"Encarguez, Alejandrino Orlares",Pangga,Lakas-Christian Muslim Democrats,6135
Damulog,Councilor,"Politud, Noel Magtulis",Wel,Lakas-Christian Muslim Democrats,5475
Damulog,Councilor,"Ravelo, Arturo Lagra",Tata,Lakas-Christian Muslim Democrats,5319
Damulog,Councilor,"Cesar, Mario Cantaros",Marix,Lakas-Christian Muslim Democrats,4291
Damulog,Councilor,"Villanueva, Carmencita Villaluz",Carmen,Independent,3512
Damulog,Councilor,"Tamayo, Rafael Manzano",Boy,Laban ng Demokratikong Pilipino,3486
Dangcagan,Mayor,"Gudito, Fortunato Enderes",Tatoy,Lakas-Christian Muslim Democrats,5208
Dangcagan,Vice-Mayor,"Estudillo, Tomas Sr. Capablanca",Tomas,Lakas-Christian Muslim Democrats,3620
Dangcagan,Councilor,"Tero, Tomas Jr. Gogo",Tatan,Lakas-Christian Muslim Democrats,4949
Dangcagan,Councilor,"Tirado, Ulyses Tero",Yoly,Lakas-Christian Muslim Democrats,4083
Dangcagan,Councilor,"Dones, Grace Ellen Luis",Grace/Luis,Lakas-Christian Muslim Democrats,4069
Dangcagan,Councilor,"Ayco, Armando Llano",Arman,Lakas-Christian Muslim Democrats,4056
Dangcagan,Councilor,"Ocdenaria, Roberto Reselosa",Berto,Lakas-Christian Muslim Democrats,3605
Dangcagan,Councilor,"Cabillar, Ernesto Sumalinog",Erning,Philippine Democratic Socialist Party,3160
