city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Asuncion Saug,Mayor,"Monteroso, Leopoldo Sr. Artajo",Pol,Lakas-Christian Muslim Democrats,19810
Asuncion Saug,Vice-Mayor,"Parrenas, Joseph Nilo Ferraris",Toto or Joenil,Independent,13042
Asuncion Saug,Councilor,"Dayaday, Eufracio Jr. Palma",Yuri,Philippine Democratic Socialist Party,14711
Asuncion Saug,Councilor,"Abelita, Romano U.",Boboy,Lakas-Christian Muslim Democrats,13174
Asuncion Saug,Councilor,"Castillo, Edgar Trinisio",Ed,Lakas-Christian Muslim Democrats,12756
Asuncion Saug,Councilor,"Matobato, Silvino Jr. Perales",Junjun,Independent,12133
Asuncion Saug,Councilor,"Panisal , Reynaldo Jr. D.",Kabayan Jun,Lakas-Christian Muslim Democrats,11748
Asuncion Saug,Councilor,"Campomanes, Generoso Pintor",Gener,Lakas-Christian Muslim Democrats,10697
Asuncion Saug,Councilor,"Domecillo, Tessie Valiao",Domecillo,Lakas-Christian Muslim Democrats,9270
Asuncion Saug,Councilor,"Binasbas, Eduardo Salvador",Eddie,Lakas-Christian Muslim Democrats,8991
Carmen,Mayor,"Gaviola, Jesus Muico","Jess, Boboy",Lakas-Christian Muslim Democrats,19228
Carmen,Vice-Mayor,"Bulseco, Ireneo Peralta",Iren,Lakas-Christian Muslim Democrats,10084
Carmen,Councilor,"Sarin, Alberto Lasay",Abet,Lakas-Christian Muslim Democrats,12015
Carmen,Councilor,"Cuarenta, Arlene Sta. Iglesia",Arlene 40,Lakas-Christian Muslim Democrats,11488
Carmen,Councilor,"Soriano, Lynneo Ochoco",Bong,Lakas-Christian Muslim Democrats,11089
Carmen,Councilor,"Villar, Joevynar Miedes",Miedes,Lakas-Christian Muslim Democrats,10498
Carmen,Councilor,"De Ramos, Danilo Fueconcillo",Nene,Lakas-Christian Muslim Democrats,8678
Carmen,Councilor,"Paeldon, Francisco Famentera",Frank,Lakas-Christian Muslim Democrats,8665
Carmen,Councilor,"Claudio, Marcelino Zapanta",Mar,Lakas-Christian Muslim Democrats,8302
Carmen,Councilor,"Salaysay, Restituto Sr. Viana",Resty,Lakas-Christian Muslim Democrats,6009
Kapalong,Mayor,"Cruda, Dominador Poliquit",Doming,Lakas-Christian Muslim Democrats,21749
Kapalong,Vice-Mayor,"Timbol, Edgardo Lingad",Gardo,Independent,15238
Kapalong,Councilor,"Balinggao, Gaspar Timmangao",Gapa,Lakas-Christian Muslim Democrats,13769
Kapalong,Councilor,"Manos, Mitchel Cutaran",Coco,Lakas-Christian Muslim Democrats,13619
Kapalong,Councilor,"Estrada, Romy Cariaga",Mimi,Lakas-Christian Muslim Democrats,13485
Kapalong,Councilor,"Caminero, Helario Traya",Larry,Lakas-Christian Muslim Democrats,13207
Kapalong,Councilor,"Quesada, Leslie Pasion",Les,Lakas-Christian Muslim Democrats,12693
Kapalong,Councilor,"Cruda, Dominador Solon",Boyet,Lakas-Christian Muslim Democrats,12568
Kapalong,Councilor,"Corpuz, Glenn Arrosas",Okidok,Lakas-Christian Muslim Democrats,11830
Kapalong,Councilor,"Ganiera, Edwin Escabosa",Edwin,Lakas-Christian Muslim Democrats,11558
New Corella,Mayor,"Federiso , Jose Recarido Paja",Joe,Lakas-Christian Muslim Democrats,13525
New Corella,Vice-Mayor,"Martos , Luis Jr. Ponte",Jun,Lakas-Christian Muslim Democrats,6545
New Corella,Councilor,"Alcoran, Nestor Lorente",Bebot,Lakas-Christian Muslim Democrats,10985
New Corella,Councilor,"Lacia, Virgilio Tayabas",Tambok,Lakas-Christian Muslim Democrats,10891
New Corella,Councilor,"Tambis, Edwin Baquero",Rostam,Lakas-Christian Muslim Democrats,8789
New Corella,Councilor,"Jocson, Petronilo Paypa",Nilo,Lakas-Christian Muslim Democrats,8507
New Corella,Councilor,"Abenoja, Berlito Apresa",Boy,Lakas-Christian Muslim Democrats,8243
New Corella,Councilor,"Lagumbay, Pedro Jr. Hernandez",Jun,Lakas-Christian Muslim Democrats,8221
New Corella,Councilor,"Getizo, Virgilio Balansag",Helie,Lakas-Christian Muslim Democrats,8137
New Corella,Councilor,"Bermejo, Enrique Jr. Fuentes",Eking,Lakas-Christian Muslim Democrats,7157
San Isidro,Mayor,"Antalan, Rogelio Paraiso",Dodong,Lakas-Christian Muslim Democrats,21015
San Isidro,Vice-Mayor,"Obenza, Austerio Flores",Bebot,Lakas-Christian Muslim Democrats,22078
San Isidro,Councilor,"Fernandez, Mariano Kiong",An-An Or An,Lakas-Christian Muslim Democrats,6706
San Isidro,Councilor,"Requina, Isidro Sr. Pitos",Sedong,Puwersa ng Masang Pilipino,5851
San Isidro,Councilor,"Colmenares, Abelardo Diaz",Larry Col,Lakas-Christian Muslim Democrats,5788
San Isidro,Councilor,"Olden, Guillermo Ebeles",Gemo,Puwersa ng Masang Pilipino,4861
San Isidro,Bacon District,"Amit, Orly Adormeo",Orly,Puwersa ng Masang Pilipino,8600
San Isidro,Bacon District,"Villarica, Napoleon Palma Gil",Dr. Napoleon Poly,Lakas-Christian Muslim Democrats,6605
San Isidro,Bacon District,"Pichon, Jaime Adormeo",James,Lakas-Christian Muslim Democrats,5391
San Isidro,Bacon District,"Olaer, Timoteo Maputol",Muting,Lakas-Christian Muslim Democrats,5077
San Isidro,East District,"Prieto, Jeffrey Salinas",Jeff,Lakas-Christian Muslim Democrats,6044
San Isidro,East District,"Parilla, Jesus Soria",Jess,Lakas-Christian Muslim Democrats,5511
San Isidro,East District,"Ligan, Charles Comedia",Dodong,Lakas-Christian Muslim Democrats,5484
San Isidro,East District,"Gonato, Metodio Donaire",Todyong,Lakas-Christian Muslim Democrats,5047
Santo Tomas,Mayor,"Estela, Maximo Madjos",Max,Lakas-Christian Muslim Democrats,17659
Santo Tomas,Vice-Mayor,"Lu, Daniel Aboyme",Lu,Kabalikat ng Malayang Pilipino,27728
Santo Tomas,Councilor,"Batosalem, Daniel Jr. Servera",Jun,REPORMA-LM,16718
Santo Tomas,Councilor,"Cocamas, Conrado Dalen",Conrad,Kabalikat ng Malayang Pilipino,13936
Santo Tomas,Councilor,"Cabigas, Rogelio Cervantes",Eliong,Lakas-Christian Muslim Democrats,12995
Santo Tomas,Councilor,"Evangelista, Ernesto Tayco",Erning,Lakas-Christian Muslim Democrats,12207
Santo Tomas,Councilor,"Recto , Virgilio Rubis",Veo,Lakas-Christian Muslim Democrats,11426
Santo Tomas,Councilor,"Taray, Isidro Paderog",Isid,Kabalikat ng Malayang Pilipino,11021
Santo Tomas,Councilor,"Inodio-an, Ricky Caumanday",Gaga,Lakas-Christian Muslim Democrats,10760
Santo Tomas,Councilor,"Salino, Wilma Padillo",Inday- Manit,Independent,9591
Talaingod,Mayor,"Libayao, Pilar Anastacio",Anton,Lakas-Christian Muslim Democrats,3001
Talaingod,Vice-Mayor,"Sibogan, Alexander Mabanag",Alex,Lakas-Christian Muslim Democrats,2845
Talaingod,Councilor,"Gipulla, Francisco Jr. Gedaro",DondonorDon,Lakas-Christian Muslim Democrats,2901
Talaingod,Councilor,"Solmeron, Juber Villanueva",Ber,Lakas-Christian Muslim Democrats,2856
Talaingod,Councilor,"Paemban, Pio Jr. Chuchon",Master,Lakas-Christian Muslim Democrats,2586
Talaingod,Councilor,"Inocando, Bernardino Barcenas",Bernie,Independent,2214
Talaingod,Councilor,"Fuertes, Joel Caspillo",Joel,Lakas-Christian Muslim Democrats,2117
Talaingod,Councilor,"Gaila, Sylveth Santander",Bebing,Kabalikat ng Malayang Pilipino,2023
Talaingod,Councilor,"Nepa, Salvador Traya",Romeo,Lakas-Christian Muslim Democrats,1877
Talaingod,Councilor,"Manlapaz, Armando Man-ao",Andot,Lakas-Christian Muslim Democrats,1847
