city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alabel,Mayor,"Grafilo, Narciso Jr. Ragudo",June,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,13095
Alabel,Vice-Mayor,"Galzote, Hermie Cariaso",Pastor,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,10376
Alabel,Councilor,"Salarda, Vic Paul Molina",Nonoy,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,10654
Alabel,Councilor,"Jabilles, Danilo Jore",Danny,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,9778
Alabel,Councilor,"Alaba, Moises Araquin",Dodo,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,8974
Alabel,Councilor,"Flores, Marivic Orencio",Vic-Vic,Lakas-Christian Muslim Democrats or Philippine Democratic Socialist Party,8897
Alabel,Councilor,"Villamora, Paul Saberon",Pol,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,8733
Alabel,Councilor,"Dambong, Menandro Alonto",Bong,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,7885
Alabel,Councilor,"Lim, Dionisio Jr. Elbore",Danny,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,7632
Alabel,Councilor,"Espanol, Ronnel Saldua",Nel,Lakas-Christian Muslim Democrats or Philippine Democratic Socialist Party,7456
Glan,Mayor,"Yap, Enrique Jr. Barrera",Yoyong,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,18031
Glan,Vice-Mayor,"Wata, Venancio Jr. Sitchon",Jun,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,14686
Glan,Councilor,"Villorente, Gildo Sr. Inamarga",Gil,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,15768
Glan,Councilor,"Alegado, Vannevar Baltazar",Vanny,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,13827
Glan,Councilor,"Carino, Amelito Arnold Barcelona",Nold,Sarangani Reconciliation and Reformation Organization-Lakas-Christian Muslim Democrats,13438
