city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Buenavista,Mayor,"Chan, Francisco Yanez",Bobong,Liberal Party,11902
Buenavista,Vice-Mayor,"Bungabong, Ramon Gerona",Rambu,Lakas-Christian Muslim Democrats,10430
Buenavista,Councilor,"De Lara, Apolinar Galanida",Pol Cacayan,Liberal Party,9238
Buenavista,Councilor,"Amoroso, Jose Sanoria",Jojo Otik,Lakas-Christian Muslim Democrats,9179
Buenavista,Councilor,"Zafra, Leonarda Miole",Narda,Lakas-Christian Muslim Democrats,8829
Buenavista,Councilor,"Acuna, Laura Olano",Inday,Liberal Party,8430
Buenavista,Councilor,"Pitogo, Rodulfo Agua",Rudy Fr. Pitogo,Liberal Party,8302
Buenavista,Councilor,"Sarsaba, Andres Bolivar",Bombo Andres,Liberal Party,6813
Buenavista,Councilor,"Jundis, Lucia Espina",Daday,Lakas-Christian Muslim Democrats,6562
Buenavista,Councilor,"Balansag, Maribel Monroy",Bel,Lakas-Christian Muslim Democrats,6190
Cabadbaran City,Mayor,"Libarnes, Herman Mambatac",Eman,Lakas-Christian Muslim Democrats,13825
Cabadbaran City,Vice-Mayor,"Cong, Robert N.",Obeth,Lakas-Christian Muslim Democrats,17848
Cabadbaran City,Councilor,"Puyot, Glenn Dagani",Glenn,Lakas-Christian Muslim Democrats,12415
Cabadbaran City,Councilor,"Jamboy, Rey Gabisan",Manoy,Lakas-Christian Muslim Democrats,12212
Cabadbaran City,Councilor,"Ramirez, Phillip Diamonon",Phillip,Lakas-Christian Muslim Democrats,11499
Cabadbaran City,Councilor,"Maraganas, Loreto Quimado",Rito,Lakas-Christian Muslim Democrats,11261
Cabadbaran City,Councilor,"Alli, Victoria Galamiton",Vicky,Lakas-Christian Muslim Democrats,11251
Cabadbaran City,Councilor,"Ong Oh, Ceasar Jomer Ypil",Jom-Jom,Lakas-Christian Muslim Democrats,10400
Cabadbaran City,Councilor,"Racaza, Daniel Ortizano",Danracz,Lakas-Christian Muslim Democrats,9957
Cabadbaran City,Councilor,"Dagani, Ramon Manlapaz",Monching,Lakas-Christian Muslim Democrats,9746
Carmen,Mayor,"Calo, Jovitte Cabrera",Vit,Liberal Party,5000
Carmen,Vice-Mayor,"Palang-At, Diosdado Recemiento",Dado,Liberal Party,4942
Carmen,Councilor,"Ledesma, Maria Riza Pacon",Riz,Liberal Party,4719
Carmen,Councilor,"Taglucop, Wilfredo  Trocio",Willy,Liberal Party,4242
Carmen,Councilor,"Cabatingan, Alfreda Baay",Pedang,Liberal Party,4192
Carmen,Councilor,"Ladao, Athanacio Balisado",Boy,Liberal Party,3838
Carmen,Councilor,"Morre, Vivencio Tordos",Ben,Liberal Party,3827
Carmen,Councilor,"Noble, Isabel Vargas",Billy,Liberal Party,3694
Carmen,Councilor,"Estoque, Apolinario F.",Nary,Liberal Party,3214
Carmen,Councilor,"Yumo, Dionesio Amoy",Gen-Gen,Liberal Party,3200
Jabonga,Mayor,"Monton, Glicerio Jr. Montero",Lolong,Lakas-Christian Muslim Democrats,5489
Jabonga,Vice-Mayor,"Moran, Danny Monteroso",Niay,Lakas-Christian Muslim Democrats,5156
Jabonga,Councilor,"Orilla, Apolinario B.",Enar,Lakas-Christian Muslim Democrats,4504
Jabonga,Councilor,"Dejolde, Jimmy Monoy",Lolong,Lakas-Christian Muslim Democrats,4296
Jabonga,Councilor,"Serrano, Emmanuel Aguillon",Manny,Independent,4274
Jabonga,Councilor,"Macatigue, Alvaroque Gacusan",Loloy,Liberal Party,4223
Jabonga,Councilor,"Kwan, Noel Monterola",Bembot,Lakas-Christian Muslim Democrats,4049
Jabonga,Councilor,"Maldo, Wenifredo Solmeilano",Bimbot,Liberal Party,3748
Jabonga,Councilor,"Montero, Neil Boniza",Nel,Lakas-Christian Muslim Democrats,3383
Jabonga,Councilor,"Morada, Elson Flores",Yoyoy,Lakas-Christian Muslim Democrats,3383
Kitcharao,Mayor,"Montante, Aristotle Edkadan",Oloy,Lakas-Christian Muslim Democrats,4993
Kitcharao,Vice-Mayor,"Morales, Jessie Sr. Calubag",Jess,Lakas-Christian Muslim Democrats,4828
Kitcharao,Councilor,"Nueva, Visminda Larcena",Min,Lakas-Christian Muslim Democrats,4370
Kitcharao,Councilor,"Agan, Ricardo Montederamos",Cardo,Lakas-Christian Muslim Democrats,4316
Kitcharao,Councilor,"Orias, Celesio Cornites",Celes,Lakas-Christian Muslim Democrats,4295
Kitcharao,Councilor,"Montil, Edgardo Siscon",Daday,Lakas-Christian Muslim Democrats,4278
Kitcharao,Councilor,"Cebrian, Merlina Mante",Inday,Lakas-Christian Muslim Democrats,3861
Kitcharao,Councilor,"Jalasan, Ignacio Subijana",Nase,Lakas-Christian Muslim Democrats,3750
Kitcharao,Councilor,"Morada, Reynaldo M.",Rene,Lakas-Christian Muslim Democrats,3505
Kitcharao,Councilor,"Tiu, Charlito Acabe",Lalo,Liberal Party,3475
Las Nievas,Mayor,"Rosales, Reinario Putane",Nario/Adie,Lakas-Christian Muslim Democrats,4661
Las Nievas,Vice-Mayor,"Biong, Manuel Napuli",Wel,Lakas-Christian Muslim Democrats,4497
Las Nievas,Councilor,"Abasolo, Javier S.",Ver,Lakas-Christian Muslim Democrats,4099
Las Nievas,Councilor,"Buslon, Elisa Tulba","Tata, Lisa",Liberal Party,3904
Las Nievas,Councilor,"Radam, Ruel Noval",Padre Ruel,Liberal Party,3701
Las Nievas,Councilor,"Sinajon, Baltazar Visaya",Long-Long,Liberal Party,3506
Las Nievas,Councilor,"Soliman, Antonio Sr. Duyapat",Tony,Liberal Party,3347
