city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alegria,Mayor,"Aguilera, Jesie Umipig",Dra,Lakas-Christian Muslim Democrats,3289
Alegria,Vice-Mayor,"Odjinar, Ernesto Sr. Cordero",Boy,Lakas-Christian Muslim Democrats,2054
Alegria,Councilor,"Edilo, Rogelio Mahinay",Roger,Lakas-Christian Muslim Democrats,3080
Alegria,Councilor,"Esma, Roldan Guiral",Dan,Lakas-Christian Muslim Democrats,2886
Alegria,Councilor,"Dagcuta, Suzeth Zamora",Jogie,Independent,2813
Alegria,Councilor,"Bale, Jesus Calamba",Jake,Lakas-Christian Muslim Democrats,2729
Alegria,Councilor,"Natad, Rosalinda Moril",Rose,Lakas-Christian Muslim Democrats,2704
Alegria,Councilor,"Ugay, Rolando Sal",B-Bong,Lakas-Christian Muslim Democrats,2620
Alegria,Councilor,"Martinez, Edilberto Madelo","Dodong, Balodok",Puwersa ng Masang Pilipino,2438
Alegria,Councilor,"Coquilla, Marlene Juanite",Marlene,Independent,1927
Bacuag,Mayor,"Orquina, Reynaldo Sanchez",Loloy,Lakas-Christian Muslim Democrats,4247
Bacuag,Vice-Mayor,"Tadifa, Constancio Sr. Ochavillo",Tancio,Lakas-Christian Muslim Democrats,4391
Bacuag,Councilor,"Ugay, Rolly Bayang",Rolly,Lakas-Christian Muslim Democrats,4726
Bacuag,Councilor,"Chua, Esterlina Ugay",Ester,Independent,3905
Bacuag,Councilor,"Abucejo, Nicomer Go",Nonon,Independent,3674
Bacuag,Councilor,"Cabanez , Gina Ugay",Gin,Lakas-Christian Muslim Democrats,3520
Bacuag,Councilor,"Taliman, Pablito Jamero",Pabling,Lakas-Christian Muslim Democrats,3383
Bacuag,Councilor,"Manliguis, Columbano Jr. Japol",Baby,Puwersa ng Masang Pilipino,3258
Bacuag,Councilor,"Caberte, Aries Cecilio Orquina",Philcom,Lakas-Christian Muslim Democrats,3217
Bacuag,Councilor,"Dalagan, Leonora Galindo",Nolie,Puwersa ng Masang Pilipino,2979
Burgos,Mayor,"Rayos, Sulueta Pomoy",Lita,Lakas-Christian Muslim Democrats,1614
Burgos,Vice-Mayor,"Arcena, Artemio Cagas",Peping,Lakas-Christian Muslim Democrats,1209
Burgos,Councilor,"Dominos, Crisanto Pomoy",Antoy,Independent,1536
Burgos,Councilor,"Virtudazo, Marlon Malinao",Dasoy,Lakas-Christian Muslim Democrats,1497
Burgos,Councilor,"Bernal, Sulueta Salvacion",Becbec,Lakas-Christian Muslim Democrats,1455
Burgos,Councilor,"Maquiling, Jaime Mirva",Jaime,Lakas-Christian Muslim Democrats,1426
Burgos,Councilor,"Macaldo, Franklin Gona",Frank,Lakas-Christian Muslim Democrats,1338
Burgos,Councilor,"Orejas, Emmanuel Sr. Escobia",Lolong,Lakas-Christian Muslim Democrats,1273
Burgos,Councilor,"Virtudazo, Rosalino Chung",Salino,Lakas-Christian Muslim Democrats,1237
Burgos,Councilor,"Espanto, Agustin Aparente",Osting,Independent,1234
