city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bacolod- Kalawi Bacolod,Mayor,"Dipatuan, Diarangan Ringka",Jaffar,-,2196
Bacolod- Kalawi Bacolod,Vice-Mayor,"Mamandi, Amoran Disalongan",Amor-Datu,-,1943
Bacolod- Kalawi Bacolod,Councilor,"Tarosan, Habib Saripada Bali",Datu A Mala,-,1581
Bacolod- Kalawi Bacolod,Councilor,"Sumbi, Mayaman Inguan",Maya,-,1866
Bacolod- Kalawi Bacolod,Councilor,"Hadjinor, Paisal Hadji Latip",Panny,-,1498
Bacolod- Kalawi Bacolod,Councilor,"Amanoddin, Tamim Cali",H. Ibrahim,-,1683
Bacolod- Kalawi Bacolod,Councilor,"Aloyod, Ustad Acasa Said",Ustad,-,1906
Bacolod- Kalawi Bacolod,Councilor,"Adapun, Ombra Guro",Bert,-,1606
Bacolod- Kalawi Bacolod,Councilor,"Abdulmanan, Sihabudden Ditucalan",Sihab,-,1852
Bacolod- Kalawi Bacolod,Councilor,"Tarusan, Acsaran Esmail",Acsah,-,1715
Balabagan,Mayor,"Sampiano, Amer Ragodotan",Datu Blo,Lakas-Kabalikat ng Malayang Pilipino,5274
Balabagan,Vice-Mayor,"Sampiano, Quirino Ragodotan",Moda,Lakas-Kabalikat ng Malayang Pilipino,4825
Balabagan,Councilor,"Maute, Alimoden Alioden",Into,Nationalist People's Coalition,2306
Balabagan,Councilor,"Inog, Saga Mamenting",Sags,Lakas-Christian Muslim Democrats,3039
Balabagan,Councilor,"Maronsing, King Sampiano",King,Lakas-Kabalikat ng Malayang Pilipino,2132
Balabagan,Councilor,"Solaiman, Margarita Pelen",Ging-Ging,Lakas-Kabalikat ng Malayang Pilipino,2226
Balabagan,Councilor,"Tampogao, Salic Ragondutan",Salik,Lakas-Kabalikat ng Malayang Pilipino,2262
Balabagan,Councilor,"Morrow, Boloto Daing",Ogka,Lakas-Kabalikat ng Malayang Pilipino,2268
Balabagan,Councilor,"Disalongan, Acmad Abas",Mads,Lakas-Christian Muslim Democrats,2270
Balabagan,Councilor,"Abdullah, Somer Bationg",Mher,Independent,3890
Binidayan,Mayor,"Datumolok, Aman Misbac Ampuan",Misbac,Lakas-Christian Muslim Democrats,2104
Binidayan,Vice-Mayor,"Dimalna, Mohammad Mangondaya-Dicatanongan",Moka,Lakas-Christian Muslim Democrats,1932
Binidayan,Councilor,"Abdul Carim, Ali Satar Mahmod Sultan",Ustadz,Lakas-Christian Muslim Democrats,1185
Binidayan,Councilor,"Manirado, Ali Satar Macabenta",Ali,Independent,1333
