city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bongao,Mayor,"Que, Albert Tan",Bert,Lakas-Christian Muslim Democrats,15530
Bongao,Vice- Mayor,"Jumdail, Liela M",La,Lakas-Christian Muslim Democrats,12069
Bongao,Councilor,"Iddi, Edwin Bakil",Ed,Lakas-Christian Muslim Democrats,8556
Bongao,Councilor,"Lim, Boyboy Espaldon",Boyboy,Lakas-Christian Muslim Democrats,8621
Bongao,Councilor,"Jindi, Rufaida Akip",Fai,Lakas-Christian Muslim Democrats,8673
Bongao,Councilor,"Jumdail, Said Bahari",Said,Lakas-Christian Muslim Democrats,8734
Bongao,Councilor,"Nuridjan, Sophia Barlie",Pheng,Lakas-Christian Muslim Democrats,9697
Bongao,Councilor,"Ladjahali, Edzfar Sali",Papay,Lakas-Christian Muslim Democrats,10312
Bongao,Councilor,"Aksan, Dawasiya Jumdail",Daw,Lakas-Christian Muslim Democrats,10725
Bongao,Councilor,"Guevara, Nursida Gabil",Sidang,Lakas-Christian Muslim Democrats,6877
Languyan,Mayor,"Sali, Abduhasan Ismail",Ismail,Independent,5107
Languyan,Vice- Mayor,"Matra, Hasbi Dune",Amby,Lakas-Kabalikat ng Malayang Pilipino,6158
Languyan,Councilor,"Samsurin, Mammah Majaji",Mao,-,5352
Languyan,Councilor,"Mohammad, Pu-Ji Golino",Pudz,-,5040
Languyan,Councilor,"Ladjahasan, Amilkhan Amilkasan",Kan,-,3532
Languyan,Councilor,"Idlasan, Said Abdula",Tax,-,5152
Languyan,Councilor,"Hayudini, Harun Sahibul",Hars,-,3781
Languyan,Councilor,"Hamsani, Bensali Hadjirul",Bhen,-,3530
Languyan,Councilor,"Durie, Mujebor Daman",Mujib,-,4682
Languyan,Councilor,"Sangka, Albasir Salim",Bash,-,4631
Mapun Cagayan De Tawi-Tawi,Mayor,"Tan, Nickerson Lim",Nong,Lakas-Christian Muslim Democrats,5533
Mapun Cagayan De Tawi-Tawi,Vice- Mayor,"Muksin, Kennedy Hussien",Ken,Lakas-Christian Muslim Democrats,5151
Mapun Cagayan De Tawi-Tawi,Councilor,"Nasil , Manding Amsira",Ibbing,Independent,3237
Mapun Cagayan De Tawi-Tawi,Councilor,"Diaz, Nurhamsa Alinsangao",Bonsong,Lakas-Christian Muslim Democrats,3286
Mapun Cagayan De Tawi-Tawi,Councilor,"Kiram, Nurhamsar Jalaluddin",Ansar,Lakas-Christian Muslim Democrats,3303
Mapun Cagayan De Tawi-Tawi,Councilor,"Ibrahim, Julhari Abdurahman",Totto,Lakas-Christian Muslim Democrats,3401
Mapun Cagayan De Tawi-Tawi,Councilor,"Lao, Ginger Ray Tan",Tan,Lakas-Christian Muslim Democrats,3492
Mapun Cagayan De Tawi-Tawi,Councilor,"Japaal, Pilarica Sarail",Pinky,Lakas-Christian Muslim Democrats,3611
Mapun Cagayan De Tawi-Tawi,Councilor,"Yarraba, Armendra Esmael",Armen,-,4312
Mapun Cagayan De Tawi-Tawi,Councilor,"Kuyong, Anong Sulmi Tawasil",Nong,Independent,3061
Panglima Sugala Balimbin,Mayor,"Sahali, Nurbert Maquiso",Nur,Lakas-Christian Muslim Democrats,12268
Panglima Sugala Balimbin,Vice- Mayor,"Habe, Nasser Muhajil",Sea Rider,Lakas-Christian Muslim Democrats,11985
Panglima Sugala Balimbin,Councilor,"Buligah, Abdulpatta Jiklanon",Patta,Lakas-Christian Muslim Democrats,5638
Panglima Sugala Balimbin,Councilor,"Muhajil, Jerry Habe",Jeh,Lakas-Christian Muslim Democrats,6486
Panglima Sugala Balimbin,Councilor,"Jamasali, William Cabaha",Will,Lakas-Christian Muslim Democrats,6605
Panglima Sugala Balimbin,Councilor,"Yacob, Abdulmobin Matolo",Bombie,Lakas-Christian Muslim Democrats,6672
Panglima Sugala Balimbin,Councilor,"Abdurajan, Najir Hussin",Najz,Lakas-Christian Muslim Democrats,7872
Panglima Sugala Balimbin,Councilor,"Cabarrubias, Nestor Camilo",Nes,Lakas-Christian Muslim Democrats,8207
Panglima Sugala Balimbin,Councilor,"Soon, Zaffrullah Alam",Bons,Lakas-Christian Muslim Democrats,8684
Panglima Sugala Balimbin,Councilor,"Sammani, Taib Uddah",Nes,Lakas-Christian Muslim Democrats,5333
Sapa-Sapa,Mayor,"Mohammad Ali, Alsaggab Lee",Otong,-,3138
Sapa-Sapa,Vice- Mayor,"Mohammad Maulana, Alim Aplasin",Maralim,-,3164
Sapa-Sapa,Councilor,"Nami, Mashul Jr. Saikala",Jun,-,3498
Sapa-Sapa,Councilor,"Mohammad Ali, Margani Gayong",Mar,-,3203
Sapa-Sapa,Councilor,"Lipae, Alsadat Sawae",Mondot,-,3132
Sapa-Sapa,Councilor,"Joe, Benita Lee",Beni,-,3702
Sapa-Sapa,Councilor,"Hussin, Amrosi Gayong",Ams,-,3616
Sapa-Sapa,Councilor,"Bara, Akmid Ligaddong",Aks,-,3065
Sapa-Sapa,Councilor,"Arap, Rosna Nasil",Ros,-,2988
Sapa-Sapa,Councilor,"Sabal, Patricia Gayong",Pat,-,3849
Sibutu,Mayor,"Pajiji, Kuyoh Asih",Hk,Lakas-Christian Muslim Democrats,3832
Sibutu,Vice- Mayor,"Abdulwahid, Moh, Shan Jaafar",Doc Shan,Lakas-Christian Muslim Democrats,4060
Sibutu,Councilor,"Ibno, Jackaria Mohammad",Etteng,Lakas-Kabalikat ng Malayang Pilipino,2911
Sibutu,Councilor,"Jalil, Linda Sulaiman",Lj,Lakas-Christian Muslim Democrats,3081
Sibutu,Councilor,"Lim, Jong-Jong Lamansa",Jong,Lakas-Kabalikat ng Malayang Pilipino,3095
Sibutu,Councilor,"Sulaiman, Jainal Yusop",Jay,Independent,3123
Sibutu,Councilor,"Sapal, Bonifacio Carlos",Boni,Lakas-Kabalikat ng Malayang Pilipino,3384
Sibutu,Councilor,"Abu, Wahab Nahaya",Wahab,Lakas-Kabalikat ng Malayang Pilipino,3489
Sibutu,Councilor,"Nami, Hapsa Daluddin",Ekih,Independent,3783
Sibutu,Councilor,"Mudah, Abdullatif Alasa",Hji. Lating,Lakas-Kabalikat ng Malayang Pilipino,3825
Simunul,Mayor,"Tambut, Benzar Nur",Ben,Lakas-Christian Muslim Democrats,2376
Simunul,Vice- Mayor,"Sumbing, Jaafar Hamad",-,Liberal Party,1902
Simunul,Councilor,"Pansalang, Hadji Abdul P.",-,Lakas-Christian Muslim Democrats,2001
Simunul,Councilor,"Hussain, Sharmyn Hassan",Charm,Lakas-Christian Muslim Democrats,2002
Simunul,Councilor,"Junaid, Elaine Lasa Sali",Lasa,Lakas-Christian Muslim Democrats,2002
Simunul,Councilor,"Pamikilan, Naufal Buttuh",Nofs,Independent,2016
Simunul,Councilor,"Burugan, Omar Mortar Adiyong",Omar,Liberal Party,2178
Simunul,Councilor,"Bayo, Rasmia Saluan",Rasmia/Mia,Independent,2190
Simunul,Councilor,"Bulante, Sitti Zaida Ratag",Chiky,Independent,2392
Simunul,Councilor,"Usman, Kibut Tingih",Kibs,Liberal Party,1981
Sitangkai,Mayor,"Ahaya, Serbin Canon",Silent,Lakas-Christian Muslim Democrats,4190
Sitangkai,Vice- Mayor,"Ahaja, Tiblan Canon",Mco,Lakas-Christian Muslim Democrats,4310
Sitangkai,Councilor,"Jamalul, Amilbajar Taib",Bahang,Lakas-Christian Muslim Democrats,1753
Sitangkai,Councilor,"Jaafar, Mohammaden Bogo",Daham,Lakas-Christian Muslim Democrats,1834
Sitangkai,Councilor,"Takbirul, Pinglim Sauragal",Pings,Independent,1971
Sitangkai,Councilor,"Asaali, Radzhata Sulay",Radz,Lakas-Christian Muslim Democrats,2200
Sitangkai,Councilor,"Joe, Andersen Abusaman",Eteng,Lakas-Christian Muslim Democrats,3049
Sitangkai,Councilor,"Nawang, Julwahid Undali",Jul,Lakas-Christian Muslim Democrats,3325
Sitangkai,Councilor,"Ahaja, Allan King-King",Lan,Lakas-Christian Muslim Democrats,3594
Sitangkai,Councilor,"Asiri, Nasser Julie",Nas,Independent,1378
South Ubian,Mayor,"Omar, Salma Alik",Sal,Lakas-Christian Muslim Democrats,4841
South Ubian,Vice- Mayor,"Escandar, Alyasier Ajan",Tong,Lakas-Christian Muslim Democrats,3300
South Ubian,Councilor,"Kiptiani, Rojie Tallari",G-Joy,Lakas-Kabalikat ng Malayang Pilipino,3704
South Ubian,Councilor,"Umih, Mark Angelo Tan",Makoy,Lakas-Kabalikat ng Malayang Pilipino,3820
South Ubian,Councilor,"Tinggalan, Komti Sangogot",Koms,Lakas-Christian Muslim Democrats,3892
South Ubian,Councilor,"Basanon, Senghon Alsid",Nani,Lakas-Kabalikat ng Malayang Pilipino,4106
South Ubian,Councilor,"Maming, Mustapha Sarajan",Ukan,Lakas-Kabalikat ng Malayang Pilipino,4084
South Ubian,Councilor,"Mutuc, Romeo Salas",Romy,Lakas-Kabalikat ng Malayang Pilipino,4472
South Ubian,Councilor,"Hashim, Madhassan Tahali",Ln,Lakas-Christian Muslim Democrats,4472
South Ubian,Councilor,"Mohmina, Mohammad Asgar Kayting",Jj,Lakas-Christian Muslim Democrats,3588
Tandubas,Vice- Mayor,"Sulayman, Tahir Julaile",Doc,-,2758
Tandubas,Councilor,"Asdala, Putlinur Salih",Putli,-,2578
Tandubas,Councilor,"Asri, Rawda Sarani",Nining,Lakas-Christian Muslim Democrats,3243
Tandubas,Councilor,"Atong, Sharine Chio",Sha,-,2790
Tandubas,Councilor,"Hj Jul, Hajija Meran",Lain,-,2595
Tandubas,Councilor,"Ratag, Merza T.",Hadji,-,2513
Tandubas,Councilor,"Salih, Almurad Burong",Chong,-,2688
Tandubas,Councilor,"Salih, Altohamy Asri",Ameng,-,2592
Tandubas,Councilor,"Shariff, Honeylet Madsaik",Honey,-,2900
