city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Bangued,Mayor,"Valera, Dominic Bosuego",Nic,Lakas-Kampi,6976
Bangued,Vice-Mayor,"Alzate, Betzaida Bonnit",Betzy,-,7270
Bangued,Councilor,"Adame, Danilo Abella",Danny,Lakas-Kampi,6708
Bangued,Councilor,"Lucero, Nevelle Laborera",Bobby,Lakas-Kampi,6540
Bangued,Councilor,"Viado, Florencio Bersamina",Flor,Lakas-Kampi,6586
Bangued,Councilor,"Alzate, Fides Borjal",Debbie,Lakas-Kampi,6598
Bangued,Councilor,"Bachiller, Christopher Joy Lopez",Cris,Lakas-Kampi,6645
Bangued,Councilor,"Borja, Salvacion Bejarin",Salve,Lakas-Kampi,6685
Bangued,Councilor,"Balbin, Kathleen Maria Astudillo",Lian,Partido Demokratiko Sosyalista ng Pilipinas,6696
Bangued,Councilor,"Valera, Joseph Domino Acosta",Dom,Lakas-Kampi,6722
Boliney,Mayor,"Balao-As, Ronald Stimson",Onad,Lakas-Christian Muslim Democrats,1924
Boliney,Vice-Mayor,"Stimson, Querico Samonte",Iskong,Pwersa ng Masang Pilipino,1340
Boliney,Councilor,"Luis, Benjun Pio",Allang,Lakas-Christian Muslim Democrats,1313
Boliney,Councilor,"Basingan, Malbin Timmangen",Dalwinis,Lakas-Christian Muslim Democrats,1069
Boliney,Councilor,"Timmangen, Hailey Magallis",Hailey,Pwersa ng Masang Pilipino,1160
Boliney,Councilor,"Valera, Rowis Sagmayao",Lowis,-,1174
Boliney,Councilor,"Agsallong, Arnold Lizalis",Allupog,Pwersa ng Masang Pilipino,1196
Boliney,Councilor,"Boy-Os, Lino Tolagan",Tingli,Lakas-Christian Muslim Democrats,1205
Boliney,Councilor,"Balao-As, Balnawi Sulimen",Balnaw,Lakas-Christian Muslim Democrats,1259
Boliney,Councilor,"Balao-As, Benido Jr.. Stimson",Manchat,Pwersa ng Masang Pilipino,1359
Bucay,Mayor,"Bernardez, Rudolfo IV Alzate",Rex,Lakas-Kampi,4543
Bucay,Vice-Mayor,"Bides, Elmer Berras",Bobot,Nationalist People's Coalition ,3749
Bucay,Councilor,"Lizardo, Onesimo Cabiao",Ones,Lakas-Kampi,4159
Bucay,Councilor,"Zales, Juanito Alzate",Nito,-,3852
Bucay,Councilor,"Fernandez, Niciela Bernales",Ciela,Nationalist People's Coalition ,3598
Bucay,Councilor,"Palcon, Juan Sebastian",Johnny,Lakas-Kampi,4408
Bucay,Councilor,"Paligutan, Adonis Beronilla",Jong,Nationalist People's Coalition ,3536
Bucay,Councilor,"Astudillo, Jordan Gonzales",Jordan,Nationalist People's Coalition ,3529
Bucay,Councilor,"Bernardez, Rudolfo III Alzate",Ruy,Lakas-Kampi,4889
Bucay,Councilor,"Buen, Trina Claire Flores",Trina,Partido Demokratiko Sosyalista ng Pilipinas,3550
Bucloc,Mayor,"Cardenas, Gody Hermoso",Godi,Lakas-Christian Muslim Democrats,1047
Bucloc,Vice-Mayor,"Latawan, Macbey Lalin",Macbey,Independent,679
Bucloc,Councilor,"Valera, Jerry Marcos",Jerry,Liberal Party,436
Bucloc,Councilor,"Brillantes, Ruben Flores",Ben,Liberal Party,449
Bucloc,Councilor,"Lopez, Miriam Pasudag",Miriam,Partido Demokratiko Sosyalista ng Pilipinas,452
Bucloc,Councilor,"Magalong, Eunice Magallis",Eunice,Lakas-Christian Muslim Democrats,453
Bucloc,Councilor,"Agpad, Faustino Jr.. Salabao",Ogok,Partido Demokratiko Sosyalista ng Pilipinas,494
Bucloc,Councilor,"Calumnag, Pedro Magayam",Illo,Lakas-Christian Muslim Democrats,578
Bucloc,Councilor,"Cillo, Eugene Calumnag",Gene,Liberal Party,652
Bucloc,Councilor,"Balao-As, Ferdinand Diao-Yao",Tabiyo,Partido Demokratiko Sosyalista ng Pilipinas,424
Daguioman,Mayor,"Co Kue, Sally Quibayen",Solaya,Lakas-Christian Muslim Democrats,519
Daguioman,Vice-Mayor,"Balcanao, David Languia",Deave,Lakas-Christian Muslim Democrats,521
Daguioman,Councilor,"Dalieng, Susana Molina",Susan,Lakas-Kampi,478
Daguioman,Councilor,"Wayaway, Marcelo Batalao",Celo,Lakas-Christian Muslim Democrats,492
Daguioman,Councilor,"Baula, Diana Daipan",John,Lakas-Christian Muslim Democrats,497
Daguioman,Councilor,"Wacal, Ramsey Luis",Lamsit,Lakas-Christian Muslim Democrats,520
Daguioman,Councilor,"Gascid, Norman Quibayen",Norkz,Lakas-Christian Muslim Democrats,546
Daguioman,Councilor,"Bag-Ayan, Oliver Bradley",Omli,Lakas-Christian Muslim Democrats,549
Daguioman,Councilor,"Lomioan, Joshua Layugan",Jun-Jun,Lakas-Christian Muslim Democrats,577
Daguioman,Councilor,"Wilson, Barbero Poluto",Bilo,Lakas-Kampi,475
Danglas,Mayor,"Bernos, Esther Blando",Tering,Lakas-Kampi,1177
Danglas,Vice-Mayor,"Jenkins, Maria Elena Alcartado",Gina,Lakas-Kampi,1164
Danglas,Councilor,"Tan, Gilbert Sap-Il",Gil,Lakas-Kampi,925
Danglas,Councilor,"Agcalis, David Ocampo",David,Lakas-Christian Muslim Democrats,967
Danglas,Councilor,"Alita, Genaro Bacud",Naro,Lakas-Christian Muslim Democrats,1006
Danglas,Councilor,"Abaoag, Aniceto Manzano",Canuto,Lakas-Christian Muslim Democrats,1044
Danglas,Councilor,"Layugan, Michaela Barros",Marie,Partido Demokratiko Sosyalista ng Pilipinas,1260
Danglas,Councilor,"Gayyed, Marites Caddali",Tess,Lakas-Christian Muslim Democrats,1479
Danglas,Councilor,"Acnam, Carmelo Manube",Ponglot,Lakas-Christian Muslim Democrats,1494
Danglas,Councilor,"Colet, Jerry Martinez",Obbot,Lakas-Kampi,857
Dolores,Mayor,"Guzman, Albert Zapata",Paking,Lakas-Christian Muslim Democrats,2323
Dolores,Vice-Mayor,"Guzman, Socorro Valera",Corrit,Lakas-Christian Muslim Democrats,2773
Dolores,Councilor,"Cortez, Bernadette Eduarte",Det,Lakas-Kampi,2290
Dolores,Councilor,"Guzman, Clemente Balmaceda",Teng,Lakas-Christian Muslim Democrats,2337
Dolores,Councilor,"Castro, Mario Bermillo",Mario,Lakas-Christian Muslim Democrats,2069
Dolores,Councilor,"Tigrado, Noel Timbreza",Banog,Lakas-Kampi,2107
Dolores,Councilor,"Ariota, Sixto Jr. Ayunon",Boy,Lakas-Christian Muslim Democrats,2108
Dolores,Councilor,"Tadeo, Benjamin Asencio",Ben,Lakas-Christian Muslim Democrats,2115
Dolores,Councilor,"Britos, Pedrito Tauro",Ped,Lakas-Christian Muslim Democrats,2145
Dolores,Councilor,"Bumagat, Loreto Ballungay",Loreto,Lakas-Christian Muslim Democrats,2464
La Paz,Mayor,"Bernos, Joseph Sto. Nino Blando",Jb,Lakas-Kampi,4696
La Paz,Vice-Mayor,"Bernos, Menchie Beronilla",Ching,Lakas-Kampi,4372
La Paz,Councilor,"Badua, Jacobo Abella",Boy,Lakas-Kampi,4223
La Paz,Councilor,"Elpa, Reynaldo Beronilla",Rey,Lakas-Kampi,3257
La Paz,Councilor,"Manzano, Gamaliel Belena",Gamy,Lakas-Kampi,3864
La Paz,Councilor,"Barcena, Ruben Calayoan",Ben,Lakas-Kampi,3883
La Paz,Councilor,"Talingdan, Rogelio Pudol",Gil,Lakas-Kampi,3910
La Paz,Councilor,"Cortez, Robert Pons Labuguen",Pons,Lakas-Kampi,3990
La Paz,Councilor,"Pacis, John Nono",Doc,Lakas-Kampi,4088
La Paz,Councilor,"Afos, Anthony Espaldon",Tony,Lakas-Kampi,4433
Lacub,Mayor,"Barona, Cesar Sr. Pe Benito",Yukan,LUPDR or Lakas-Christian Muslim Democrats,930
Lacub,Vice-Mayor,"Barona, Lysander Dugayen",Sandy,Lakas-Kampi-LUPDR,935
Lacub,Councilor,"Eduarte, Caridad Babila",Idad,Lakas-Kampi-LUPDR,982
Lacub,Councilor,"Brillantes, Artemio Caban-Nag",Benido,Partido Demokratiko Sosyalista ng Pilipinas,814
Lacub,Councilor,"Banatao, Rodolfo Maguelang",Piding,Lakas-Kampi-LUPDR,790
Lacub,Councilor,"Reyes, Renato Dannang",Atong,Lakas-Kampi-LUPDR,880
Lacub,Councilor,"Bernardez, Ellen Bose",Lapok,-,882
Lacub,Councilor,"Balaoag, Conrado Daoagan",Pantoling,Lakas-Kampi-LUPDR,883
Lacub,Councilor,"Ortega, Eusebio Bersamin",Biyong,Partido Demokratiko Sosyalista ng Pilipinas,957
Lacub,Councilor,"Valera, Paulo Danao",Pd,Lakas-Kampi-LUPDR,1006
Lagangilang,Mayor,"Sinogo, Lizardo Jr. Ambobia",Jr,Lakas-Kampi,3671
Lagangilang,Vice-Mayor,"Aspacio, Cresencio Mercurio",Inciong,Lakas-Christian Muslim Democrats,3387
Lagangilang,Councilor,"Tuzon, Benito Sr.. Balneg",Itong,Independent,3419
Lagangilang,Councilor,"Casigay, Dionie Alvarez",Abat,Lakas-Kampi,2493
Lagangilang,Councilor,"Flores, Joseph Tuzon",Head,Lakas-Christian Muslim Democrats,2786
Lagangilang,Councilor,"Borgonia, Winifredo Bermillo",Kadong,Independent,2948
Lagangilang,Councilor,"Atmosfera, Roderick Tuzon",Jong,Lakas-Christian Muslim Democrats,2977
Lagangilang,Councilor,"Brillantes, Michael Amogong",Kael,Lakas-Kampi,3043
Lagangilang,Councilor,"Omli, Philbert Martinez",Imbong,Lakas-Christian Muslim Democrats,3166
Lagangilang,Councilor,"Villamor, Oswald Echave",Waldo,-,3707
Lagayan,Mayor,"Luna, Jendricks Seares",Jen,Lakas-Kampi,1694
Lagayan,Vice-Mayor,"Luna, Hans Roger Seares",Hans,Liberal Party,1674
Lagayan,Councilor,"Ruben, Aguinaldo Bawalan",Agui,Independent,1198
Lagayan,Councilor,"Daria, Marybel Estrella",Bel,Liberal Party,889
Lagayan,Councilor,"Parinas, Ma Cleofas Cuesta De La",Opas,Lakas-Kampi,903
Lagayan,Councilor,"Allen, Ferdinand Tool",Dinand,Liberal Party,1007
Lagayan,Councilor,"Haynes, Rolando Agcalis",Botog,-,1079
Lagayan,Councilor,"Andoy, Jhony Bobila",Onie,Liberal Party,1100
Lagayan,Councilor,"Alejandro, Dayawen Santos",Epoy,Liberal Party,1155
