city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Barlig,Mayor,"Lupoyon, Magdalena Kintapan",Dalen,-,647
Barlig,Vice-Mayor,"Sidchayao, Edmundo Challiis",Edmun,Independent,1484
Barlig,Councilor,"Ngaya, Clark Chatongna",Elak,Independent,1100
Barlig,Councilor,"Pinos-An, Benjamin Calwitan",Ben,-,1036
Barlig,Councilor,"Constancio, Jeb Gumafiay",Jeb,Lakas-Kabalikat ng Malayang Pilipino,949
Barlig,Councilor,"Changilan, Genesis Tenangag",Kamadchu,Lakas-Kabalikat ng Malayang Pilipino,1164
Barlig,Councilor,"Cablog, Fernando Yacam-Ma",Fernan,-,894
Barlig,Councilor,"Ingson, Quimson Agapito",Kimbo,Independent,878
Barlig,Councilor,"Banya-Ao, Ben Chuh-Yao",Polly,Lakas-Kabalikat ng Malayang Pilipino,860
Barlig,Councilor,"Dakilay, Rockybal Sabawel",Rocky,Independent,921
Bauko,Mayor,"Odsey, Franklin Chaokas",Frank,Lakas-Christian Muslim Democrats,5107
Bauko,Mayor,"Lacwasan, Simon Calde",Modawan,Lakas-Kabalikat ng Malayang Pilipino,7569
Bauko,Vice-Mayor,"Tanggacan, Jose Sr. Banggigui",Joe,Independent,6733
Bauko,Vice-Mayor,"Diaz, John Tobfongan",Johnny,-,6263
Bauko,Councilor,"Padngaran, Wilbert Aniwasal",Wilbur,Independent,3333
Bauko,Councilor,"Bacala, Cyril Lonzo",Cyr,Laban ng Demokratikong Pilipino,3224
Bauko,Councilor,"Fana-Ang, Eva Mila Felwa",Mila,Lakas-Christian Muslim Democrats,2906
Bauko,Councilor,"Cayabo, Mario Sover",Lacsigen,Independent,2798
Bauko,Councilor,"Bellang, Brain Byrd Bumogao",Bryan,Lakas-Christian Muslim Democrats/NUCD,2537
Bauko,Councilor,"Afidchao, Ignacio Ferwa",Bolalog,Lakas-Christian Muslim Democrats,3407
Bauko,Councilor,"Kabluyen, Eusebio Suagen",Puapu,Laban ng Demokratikong Pilipino,3628
Bauko,Councilor,"Fakat, Alexander Khawed",Kawi,Independent/Lakas-Kabalikat ng Malayang Pilipino,3685
Bauko,Councilor,"Paicot, Luis Awangan",Bokayog,Independent,3793
Bauko,Councilor,"Pussan, Sabado Togmey",Sabado,Lakas-Kabalikat ng Malayang Pilipino,3859
Bauko,Councilor,"Bandao, Tomas Bulaglag",Masto,Independent,4080
Bauko,Councilor,"Pagedped, Romeo Mangawili",Romy,Lakas-Kabalikat ng Malayang Pilipino,4135
Bauko,Councilor,"Pasngadan, Willy Galatic",-,Independent,4289
Bauko,Councilor,"Taganas, Arcadio Bosnoyan",Sabilo,Independent,4331
Bauko,Councilor,"Masidong, Carmelita Moises",Meling,Independent,4344
Bauko,Councilor,"Badecao, Bartolome Baungot",Bbb,Independent,4890
Besao,Mayor,"Pooten, Wellington Bagano",Dalapus,Independent,1835
Besao,Vice-Mayor,"Ballang, David Siwalen",Dampo,Independent,1757
Besao,Councilor,"Estangki, Orville Botengan",-,Independent,1961
Besao,Councilor,"Santong, Doroteo Buking",Dolot,Independent,1352
Besao,Councilor,"Bal-O, Gabriel Tanglib",Donyul,Independent,1395
Besao,Councilor,"Magario, Pedro Sr. Yog-Ao",Mannog,Lakas-Christian Muslim Democrats,1480
Besao,Councilor,"Pokkis, Daguio Dewe-An",Daguio,Independent,1514
Besao,Councilor,"Busacay, Juaquin Piluden",Wakin,-,1747
