city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
City of Las Pinas,Mayor,"Aguilar, Vergel Ampaya",Nene,Independent,158031
City of Las Pinas,Vice-Mayor,"Medina, Henry De Castro",Engineer,Lakas-Christian Muslim Democrats,88167
City of Las Pinas,Councilor-1st District,"Miranda, Alfredo Lim",Steve,-,41882
City of Las Pinas,Councilor-1st District,"Lezarda, Eduardo Perido",Eddie,-,42052
City of Las Pinas,Councilor-1st District,"Cristobal, Demetrio Reyes",Metring,-,42638
City of Las Pinas,Councilor-1st District,"Riguera, Rex Hans",Rex,-,49014
City of Las Pinas,Councilor-1st District,"Pena, Oscar Cavas",Oca,Lakas-Christian Muslim Democrats,53326
City of Las Pinas,Councilor-1st District,"Aguilar, Dennis Santos",Dennis,Lakas-Christian Muslim Democrats,59969
City of Las Pinas,Councilor-2nd District,"Bustamante, Luis Imperial",Louie,-,55978
City of Las Pinas,Councilor-2nd District,"Camila, Perpetuo F.",-,-,42696
City of Las Pinas,Councilor-2nd District,"Ramos, Ruben Casas",Ben,-,51143
City of Las Pinas,Councilor-2nd District,"Dumlao, Renato Pangan",Rene,-,43552
City of Las Pinas,Councilor-2nd District,"Benedicto, Leopoldo Fondevilla",Dong,-,42855
City of Las Pinas,Councilor-2nd District,"Hernandez, Danilo Venzon",Davhez,-,38593
City of Makati,Mayor,"Binay, Jejomar Cabauatan",Jojo,United Opposition-Partido ng Demokratikong Pilipino-Lakas ng Bayan,198814
City of Makati,Vice-Mayor,"Mercado, Ernesto Salvador",Nestor,Padayon Pilipino,151431
City of Makati,Councilor-1st District,"Javier, Luis Jr. Soriano",Oloy,Independent,49467
City of Makati,Councilor-1st District,"Magpantay, Arnold Castillo",Idol,Nationalist People's Coalition,51813
City of Makati,Councilor-1st District,"Gonzales, Erlinda Sunico",Linda,Liberal Party,53235
City of Makati,Councilor-1st District,"Padilla, Armando Ples",Armand,Partido ng Demokratikong Pilipino-Lakas ng Bayan,55573
City of Makati,Councilor-1st District,"Hilario, Virgilio Velasco",Jhong,Partido ng Demokratikong Pilipino-Lakas ng Bayan,60974
City of Makati,Councilor-1st District,"Puno, Tosca Camille Tayag",Tosca,-,61828
City of Makati,Councilor-1st District,"Lagdameo, Monique Yazmin Maria Quirino",Nik,Partido ng Demokratikong Pilipino-Lakas ng Bayan,68606
City of Makati,Councilor-1st District,"Binay, Jejomar Erwin Sombillo",Jun Jun,Partido ng Demokratikong Pilipino-Lakas ng Bayan,78372
City of Makati,Councilor-2nd District,"De Lara, Maria Theresa Nillo",Tetchie Nillo,Partido ng Demokratikong Pilipino-Lakas ng Bayan,61742
City of Makati,Councilor-2nd District,"Jacome, Henry Alora",Divine,Partido ng Demokratikong Pilipino-Lakas ng Bayan,65427
City of Makati,Councilor-2nd District,"Pangilinan, Salvador Dizon",Buddy,Partido ng Demokratikong Pilipino-Lakas ng Bayan,66751
City of Makati,Councilor-2nd District,"Tolentino, Elias Jr. Viray",Boy,-,67979
City of Makati,Councilor-2nd District,"Sese, Vincent Tejada",Vincent,-,68233
City of Makati,Councilor-2nd District,"Aspillaga, Ernesto Arre",Aspi,Partido ng Demokratikong Pilipino-Lakas ng Bayan,72291
City of Makati,Councilor-2nd District,"Cruzado, ISr.ael Santos",Boyet,Independent,73738
City of Makati,Councilor-2nd District,"Gatchalian, Angelito Domingo",Angie,Partido ng Demokratikong Pilipino-Lakas ng Bayan,57128
City of Muntinlupa,Mayor,"San Pedro, Aldrin Legaspi",Aldrin,Puwersa ng Masang Pilipino-United Opposition,71431
City of Muntinlupa,Vice-Mayor,"Simundac, Artemio Arevalo",Temy,Lakas-Christian Muslim Democrats,65411
City of Muntinlupa,Councilor-1st District,"Espeleta, Ermie Simundac",Lake,-,37202
City of Muntinlupa,Councilor-1st District,"Calalang, Marita Deang",Dra. Ning,-,26374
City of Muntinlupa,Councilor-1st District,"Dela Rea, Icasiano Maglian",Ike,-,39568
City of Muntinlupa,Councilor-1st District,"Teves, Melchor Gaspar Rosca",Action Man,-,43863
City of Muntinlupa,Councilor-1st District,"Labios, Margarita Amythyst Patdu",Amy Patdu,-,45079
City of Muntinlupa,Councilor-1st District,"Camilon, Allan Rey Aman",Bunso,-,47219
City of Muntinlupa,Councilor-1st District,"Ampaya, Allen Fresnedi",Allen,Lakas-Christian Muslim Democrats,48886
City of Muntinlupa,Councilor-1st District,"Echavez, Maria Luisa Babaran",Babran,-,45612
City of Muntinlupa,Councilor-2nd District,"Abas, Robert Arevalo",Bet,-,26859
City of Muntinlupa,Councilor-2nd District,"Sevilla, Mamerto Jr. Talplacido",Jun Metong,-,28944
City of Muntinlupa,Councilor-2nd District,"Ulanday, Vergel Cervantes",Vergel,-,27203
City of Muntinlupa,Councilor-2nd District,"Rongavilla, Marissa Cole",Marissa,-,29124
City of Muntinlupa,Councilor-2nd District,"Constatino, Luvi Pagsisihan",Lovi,-,30366
City of Muntinlupa,Councilor-2nd District,"Arevalo, Joselito Villorente",Lito,-,31443
City of Muntinlupa,Councilor-2nd District,"Bagatsing, Francis Ian  Tabora",Ryan,-,31907
City of Muntinlupa,Councilor-2nd District,"Bulay, Rey Echavarria",Rey,-,26579
City of Paranaque,Mayor,"Bernabe, Florencio Jr. Mayuga",Jun,-,102899
City of Paranaque,Vice-Mayor,"Tambunting, Gustavo Suarez",Gus,Aksyon Demokratiko,89144
City of Paranaque,Councilor-1st District,"Villafuerte-Densing, Joan Aringo",Joan,-,28042
City of Paranaque,Councilor-1st District,"Romey, Florante Jr. Cruz",Jun,-,28225
City of Paranaque,Councilor-1st District,"Olivarez, Eric De Leon",Eric,-,28282
City of Paranaque,Councilor-1st District,"Allanigue, Rufino Mendoza",Ruping,-,28987
City of Paranaque,Councilor-1st District,"Webb, Jason Pagaspas",Jason,-,30406
City of Paranaque,Councilor-1st District,"De Los Santos, Jaime Natividad",Kalinga,-,31686
City of Paranaque,Councilor-1st District,"Marquez, Vanesa Lacsamana",Ness,-,31999
City of Paranaque,Councilor-1st District,"Gabriel, Raquel Capuno",Dra. Raquel,Lakas-Christian Muslim Democrats,35080
City of Paranaque,Councilor-2nd District,"Bonsol, Norberto Atienza",Atty. Bert,-,44667
City of Paranaque,Councilor-2nd District,"Bustamante, Conchita Serrano",Baby,-,46197
City of Paranaque,Councilor-2nd District,"Benzon, Edwin Rondolo",Daddy Bong,-,47987
City of Paranaque,Councilor-2nd District,"Esplana, Giovanni Enriquez",Juvan,-,48642
City of Paranaque,Councilor-2nd District,"Amurao, Florencia Naguiat",Beng,-,51795
City of Paranaque,Councilor-2nd District,"Golez, Jose Enrico Toledo",Rico,-,52106
City of Paranaque,Councilor-2nd District,"Antipuesto, Carlito Digao",Doods Animal,-,52573
City of Paranaque,Councilor-2nd District,"Sotto, Valmar Castelo",Val,-,40252
Pasay City,Mayor,"Trinidad, Wenceslao Bayona",Peewee,United Opposition-Laban ng Demokratiking Pilipino Coalition,72446
Pasay City,Vice-Mayor,"Calixto, Antonino Gallardo",Tony,United Opposition-Laban ng Demokratiking Pilipino Coalition,77280
Pasay City,Councilor-1st District,"Santos, Mary Grace Bustonera",Grace,Lakas-Christian Muslim Democrats,24948
Pasay City,Councilor-1st District,"Petallo, Maria Luisa Bulaclac",Bing,United Opposition-Laban ng Demokratiking Pilipino Coalition,24799
Pasay City,Councilor-1st District,"Pesebre, Marlon Atienza",Marlon,Lakas-Christian Muslim Democrats,29945
Pasay City,Councilor-1st District,"Ibay, Lexter Navarro",Lex,United Opposition-Laban ng Demokratiking Pilipino ,25743
Pasay City,Councilor-1st District,"Cabrera, Jonathan Lacson",Rj,Lakas-Christian Muslim Democrats,22147
Pasay City,Councilor-1st District,"Advincula, Richard Manansala",Ric,United Opposition-Laban ng Demokratiking Pilipino ,25973
Pasay City,Councilor-2nd District,"Arceo, Arnel Regino Tolentino",Moti,United Opposition-Laban ng Demokratiking Pilipino Coalition,28685
Pasay City,Councilor-2nd District,"Bayona, Noel Cruz",Onie,United Opposition-Laban ng Demokratiking Pilipino ,32435
Pasay City,Councilor-2nd District,"Calixto-Rubiano, Imelda Gallardo",Emi,Laban ng Demokratikong Pilipino-United Opposition,40832
Pasay City,Councilor-2nd District,"Padua, Reynaldo Ordono",Rey Padua,United Opposition-Laban ng Demokratiking Pilipino Coalition,30532
Pasay City,Councilor-2nd District,"Vendivel, Ian Pineda",Ian,Lakas-Christian Muslim Democrats,20898
Pasay City,Councilor-2nd District,"Vergel De Dios, Edita Vistan",Edith,United Opposition-Laban ng Demokratiking Pilipino ,28348
Pateros City,Mayor,"Medina, Jaime Cruz",Joey,-,14351
Pateros City,Vice-Mayor,"Sanchez, Jose Jonathan Cruz",Jojo,-,15129
Pateros City,Councilor-1st District,"Capco, Lauro Sanchez",Larry,-,4808
Pateros City,Councilor-1st District,"Flores, Jaime Reyes",Jimmy,-,4821
Pateros City,Councilor-1st District,"Munoz, Getulio Jr. Pilar",Boyet,-,5004
Pateros City,Councilor-1st District,"German, Gerald Sangalang",Gerald,-,5015
Pateros City,Councilor-1st District,"Dionisio, Napoleon Jr. Flores",Nap,-,5121
Pateros City,Councilor-1st District,"Reyes, Pio Joel Reyes",Joel,-,5336
Pateros City,Councilor-2nd District,"Ampe, Ernesto Flores",Erning,-,5567
Pateros City,Councilor-2nd District,"Sanchez, Gerardo Cruz",Jeri,-,5552
Pateros City,Councilor-2nd District,"Reyes, Elmer Joseph Cruz",Elmer,-,5539
Pateros City,Councilor-2nd District,"Cuerdo, Ma Theresa Consolacion",Bebot,-,5195
Pateros City,Councilor-2nd District,"Reyes, Jeric Garcia",Eric,-,5123
Pateros City,Councilor-2nd District,"Mangoba, Allan Dennis Cagalingan",Alden,-,4838
Taguig City,Mayor,"Tinga, Sigfrido Rodriguez",Freddie,Kilusang Diwa ng Taguig,103620
Taguig City,Vice-Mayor,"Elias, George Aquino",George,Kilusang Diwa ng Taguig,71459
Taguig City,Councilor-1st District,"De Mesa, Baby Gloria Valenzuela",Gigi,-,26353
Taguig City,Councilor-1st District,"Icay, Darwin Bernabe",Win,-,26370
Taguig City,Councilor-1st District,"Labampa, Jaime Roldan",Jimmy,-,28898
Taguig City,Councilor-1st District,"Mariategeu, Baltazar Tinga",Bal,-,33116
Taguig City,Councilor-1st District,"Franco, Ronnette Osorio",Ronet,-,35026
Taguig City,Councilor-1st District,"San Pedro, Gamaliel Natividad",Gamie,Kilusang Diwa ng Taguig,35466
Taguig City,Councilor-1st District,"Santos, Delio Javier",Dingdong,-,37379
Taguig City,Councilor-1st District,"Cruz, Allan Paul Carlos",Allan,Kilusang Diwa ng Taguig,40112
Taguig City,Councilor-2nd District,"Gasgonia, Estela Acosta",Tita Estel,-,35169
Taguig City,Councilor-2nd District,"Balina-Eron, Marisse Lanuzo",Marisse,-,37198
Taguig City,Councilor-2nd District,"Jordan, Ricardo Jamandron",Ric,-,38982
Taguig City,Councilor-2nd District,"Bartolome, Aurelio Paulo Reyes",Ap,Kilusang Diwa ng Taguig,42471
