city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Angadanan,Mayor,"Panganiban, Jose Jr. Tallera",Bentot,Nationalist People's Coalition,12705
Angadanan,Mayor,"Dy, Napoleon Sanchez",Pol,Nationalist People's Coalition,16746
Angadanan,Mayor,"Uy, Ester  Resurreccion Go",Ester,Nationalist People's Coalition,9359
Angadanan,Vice-Mayor,"Alejandro, Manuel Alejandro",Manning,Nationalist People's Coalition,11963
Angadanan,Vice-Mayor,"Alog, Rommel Gonzales",Negro,Puwersa ng Masang Pilipino,8517
Angadanan,Vice-Mayor,"Duldulao, Damian Acoba",Dammy,Nationalist People's Coalition,8811
Angadanan,Councilor,"Cacal, Eleuterio Natividad",Terio,Nationalist People's Coalition,7095
Angadanan,Councilor,"Samson, Jessie Bondoc",Jessie,Nationalist People's Coalition,6193
Angadanan,Councilor,"Duque, Crispulo Jr. Pascual",Cris,Nationalist People's Coalition,7261
Angadanan,Councilor,"Alamani, Marcelino Reyes",Lino,Nationalist People's Coalition,6033
Angadanan,Councilor,"Nicolas, Alfredo Del Rosario",Fred,Lakas-Christian Muslim Democrats,5371
Angadanan,Councilor,"Bumatay, Eric Espejo",Eric,Nationalist People's Coalition,10357
Angadanan,Councilor,"Dasig, Primo Sr. Sicuan",Primo,-,13772
Angadanan,Councilor,"Dy, Ian Paul Laguatan",Ian,Nationalist People's Coalition,13719
Angadanan,Councilor,"Palacol, Agustin Hilario Coloma",Gus,Nationalist People's Coalition,7428
Angadanan,Councilor,"Martin, Melvin Santos",Melvin,Nationalist People's Coalition,7631
Angadanan,Councilor,"Reyes, Ramon Juan Jr. Navarro",Rj,Lakas-Christian Muslim Democrats,10274
Angadanan,Councilor,"Benitez, Rogelio Talamayan",Roger,Nationalist People's Coalition,9332
Angadanan,Councilor,"Lim-Hernando, Ronna Asana",Oni,Nationalist People's Coalition,9227
Angadanan,Councilor,"Abuan, Karen Galapia",Karen,Nationalist People's Coalition,14204
Angadanan,Councilor,"Siquian, Diosdado Subia",Dong,Nationalist People's Coalition,10836
Angadanan,Councilor,"Panganiban, Lourdes Segarra",Mayora,Nationalist People's Coalition,10114
Angadanan,Councilor,"Magaoay, Elsa Carabbacan",Elsa,Partido ng Demokratikong Pilipino-Lakas Ng Bayan,7642
Angadanan,Councilor,"Go, Rosemarie De Leon",Marit,Nationalist People's Coalition,6464
Angadanan,Councilor,"Siquian, Vicente Jr. Cruz",Vic,Nationalist People's Coalition,6194
Angadanan,Councilor,"Pua, Maria Louisa Guillermo",Malou,Partido ng Demokratikong Pilipino-Lakas Ng Bayan,6096
Angadanan,Councilor,"Lappay, Ruben Paggao",Ben,Nationalist People's Coalition,5618
Angadanan,Councilor,"Managuelod, Nelson Baquiran",Nel,Nationalist People's Coalition,5450
Angadanan,Councilor,"Urma, Hardy Vinoya",Hardy,Nationalist People's Coalition,7772
Angadanan,Councilor,"Mendoza, Bueniroso Regalado",Isong,Nationalist People's Coalition,10916
Benito Soliven,Mayor,"Sanglay, Benjamin Edillo",Ben,Lakas-Christian Muslim Democrats,3377
Benito Soliven,Vice-Mayor,"Lungan, Roberto Taguinod",Robert,Kilusang Bagong Lipunan,3980
Benito Soliven,Councilor,"Turingan, Edna Cerina",Edna,Lakas-Christian Muslim Democrats,2151
Benito Soliven,Councilor,"Ancheta, Marshal  Ostares",Mar,Liberal Party,2197
Benito Soliven,Councilor,"Flores, Virgilio Balgua",Virgil,Lakas-Christian Muslim Democrats,2402
Benito Soliven,Councilor,"Carreon, Jose Jr. Pereira",Jun,Liberal Party,2641
Benito Soliven,Councilor,"Quesada, Arnel Puruganan",Arnel,Lakas-Christian Muslim Democrats,2842
Benito Soliven,Councilor,"Reyes, Nelson Iniego",Nelson,Lakas-Christian Muslim Democrats,3002
Benito Soliven,Councilor,"Camaso, Janily Olermo",Jany,Lakas-Christian Muslim Democrats,3289
Benito Soliven,Councilor,"Rinion, Rommel Luyun",Mel,Nationalist People's Coalition,1978
Burgos,Mayor,"Tio, Manuel Acorda",Manny,Lakas-Christian Muslim Democrats,5111
Burgos,Vice-Mayor,"Perez, Atilano Angco",Boy,Nationalist People's Coalition,3779
Burgos,Councilor,"Alvarado, Christopher Roy Martinez",Roy,Nationalist People's Coalition,4406
Burgos,Councilor,"Agustin, Pedro Medina",Boy,Lakas-Christian Muslim Democrats,4947
Burgos,Councilor,"Ramel, Ponciano Olarte",Pons,Lakas-Christian Muslim Democrats,4121
Burgos,Councilor,"Antonio, Nelson Lampitoc",Nel,Lakas-Christian Muslim Democrats,4154
Burgos,Councilor,"Domingo, Andy Ramones",Andy,Lakas-Christian Muslim Democrats,4169
Burgos,Councilor,"Bautista, Elmer Eder",Elmer,Lakas-Christian Muslim Democrats,4339
Burgos,Councilor,"Ramones, Wilson Carlos",Wilson,Lakas-Christian Muslim Democrats,4374
Burgos,Councilor,"Medina, Franklin Cadang",Frank,Lakas-Christian Muslim Democrats,4607
Cabagan,Mayor,"Mamauag, Christopher Azurin",Topi,Lakas-Kabalikat ng Malayang Pilipino,13299
Cabagan,Vice-Mayor,"Albano, Rene Jr. Perez",Ed,Lakas-Kabalikat ng Malayang Pilipino,10136
Cabagan,Councilor,"Ramos, Stephen Pua",Boy,Lakas-Kabalikat ng Malayang Pilipino,6812
Cabagan,Councilor,"Ramos, Mary Jean Mabbayad",Ajean,-,6912
Cabagan,Councilor,"Baricaua, Eufrosina Allam",Siring,Lakas-Kabalikat ng Malayang Pilipino,6984
Cabagan,Councilor,"Aggabao, Marcial Cureg",Cial,Lakas-Kabalikat ng Malayang Pilipino,7221
Cabagan,Councilor,"Palogan, Aida Buraga",Aida,Lakas-Kabalikat ng Malayang Pilipino,8155
Cabagan,Councilor,"Zipagan, Melchor Jr. Mamauag",Boy Z,Lakas-Kabalikat ng Malayang Pilipino,8891
Cabagan,Councilor,"Masigan, Lovier Valencia",Ovie,Lakas-Kabalikat ng Malayang Pilipino,9845
Cabagan,Councilor,"Acorda, Domingo Lopez",Dom,Independent,6477
Cauayan City,Councilor,"Lucas, Edwin Gonzales",Edwin,Nationalist People's Coalition,12613
Cauayan City,Councilor,"Tumbaga, Ruben Gallarde",Ben,Nationalist People's Coalition,12934
Cauayan City,Councilor,"Maramag, James Banigan",Gaddang,Nationalist People's Coalition,13423
Cauayan City,Councilor,"Asirit, Eugenio Jr. Baccay",Jun,Nationalist People's Coalition,14405
Cauayan City,Councilor,"Delmendo, Michael John Dela Cruz",Michael,Nationalist People's Coalition,14841
