city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alfonso Castaneda,Mayor,"Gerdan, Florante Santiago",Tante,Lakas-Christian Muslim Democrats,3207
Alfonso Castaneda,Mayor,"Pasigian, Jerry Pelayo",Jerry,-,2002
Alfonso Castaneda,Vice-Mayor,"Tindaan, Jonathan Mijares",Boyet,Lakas-Christian Muslim Democrats,3202
Alfonso Castaneda,Vice-Mayor,"Bermudez, Domingo Palad",Boy,-,1978
Alfonso Castaneda,Councilor,"Aliwak, Watang Jr. Caanawan",Jun,Lakas-Kabalikat ng Malayang Pilipino,1155
Alfonso Castaneda,Councilor,"Camania, Terence Rivera",Tenten Ulupong,Lakas-Kabalikat ng Malayang Pilipino,1080
Alfonso Castaneda,Councilor,"Paladan, Luciano Basuel",Boy Paladan,Lakas-Kabalikat ng Malayang Pilipino,978
Alfonso Castaneda,Councilor,"Dela Cruz, Perfecto Beltijar",Pecto,Lakas-Kabalikat ng Malayang Pilipino,961
Alfonso Castaneda,Councilor,"Marcelo, Gabriel Tictic",-,Independent,958
Alfonso Castaneda,Councilor,"Valdez, Aldrine Montemayor",Aldrin,Lakas-Kabalikat ng Malayang Pilipino,838
Alfonso Castaneda,Councilor,"Eday, Benjamin Doyog",Ben,Lakas-Kabalikat ng Malayang Pilipino,1162
Alfonso Castaneda,Councilor,"Dulnuan, Alberto Bahingawan",Lituco,Nacionalista Party,2555
Alfonso Castaneda,Councilor,"Balasuit, Marcelino Habungan",-,Lakas-Christian Muslim Democrats,2579
Alfonso Castaneda,Councilor,"Benito, Tidong Amlos",Kolambo,Nacionalista Party,2728
Alfonso Castaneda,Councilor,"Tidang, Delbert Dinumla",Korenta,Lakas-Christian Muslim Democrats,2845
Alfonso Castaneda,Councilor,"Solonio, Quinto Ventura",Ken2,Nacionalista Party,2873
Alfonso Castaneda,Councilor,"Altuna, Henry Rillorta",Padilla,Lakas-Christian Muslim Democrats,2895
Alfonso Castaneda,Councilor,"Navarrete, Estefanio Jr. Ramos",Guyod,Lakas-Christian Muslim Democrats,2997
Alfonso Castaneda,Councilor,"Pindog, Ruben Rafael",Balinton,Lakas-Christian Muslim Democrats,3103
Alfonso Castaneda,Councilor,"Batino, Alfonso Pasiglao",Botie Bogi,Independent,880
Ambaguio,Mayor,"Amokla, Moises Gadingan",Moises,Lakas-Kabalikat ng Malayang Pilipino,1692
Ambaguio,Vice-Mayor,"Pasigon, Isidro Hulyo",Camti,Lakas-Kabalikat ng Malayang Pilipino,1930
Ambaguio,Councilor,"Banyaga, Pedro Dingcog",Alacdi,Nacionalista Party,1145
Ambaguio,Councilor,"Padiw, Romeo Balabal",Romy,Nacionalista Party,1179
Ambaguio,Councilor,"Baldino, Joseph Habiatan",Cat-M,Lakas-Kabalikat ng Malayang Pilipino,1207
Ambaguio,Councilor,"Ullanggi, Leonardo Magah-Ngoh",Nardo,Lakas-Kabalikat ng Malayang Pilipino,1215
Ambaguio,Councilor,"Gullunan, Francisco Gorenzo",Sico,Lakas-Kabalikat ng Malayang Pilipino,1492
Ambaguio,Councilor,"Tayaban, Mario Puguon",-,Lakas-Kabalikat ng Malayang Pilipino,1702
Ambaguio,Councilor,"Dinungon, Arnold Pinkihan",Engineer,Nacionalista Party,1896
Ambaguio,Councilor,"Kitong, Florencio Pindog",Polen,Independent,1025
Aritao,Mayor,"Tan, Lucing Lau",Solex,Lakas-Christian Muslim Democrats,5338
Aritao,Vice-Mayor,"Tubiera, Ariel Mangaoang",Ariel,Lakas-Christian Muslim Democrats,5878
Aritao,Councilor,"Solomon, Horace Tukay",Ace,Lakas-Christian Muslim Democrats,3172
Aritao,Councilor,"Quezon, Jonie Co",Caloy,Lakas-Kabalikat ng Malayang Pilipino,3353
Aritao,Councilor,"King, Alona Leal",Alona,Independent,3481
Aritao,Councilor,"Agmaliw, Berwasan Candoy",Ber,Lakas-Kabalikat ng Malayang Pilipino,3524
Aritao,Councilor,"Ortiz, Remigio De Guzman",Reming,Lakas-Christian Muslim Democrats,3963
Aritao,Councilor,"Lejao, Elma Pinao-An",Sk,Nacionalista Party,3997
Aritao,Councilor,"Doculan, Claverina Bassig",Clave,Lakas-Christian Muslim Democrats,4753
Aritao,Councilor,"Antonio, Virginia Tabuniar",Inyang,Lakas-Christian Muslim Democrats,3100
Bagabag,Mayor,"Sevillena, Nestor Macaroy",Katol,Nacionalista Party,8220
Bagabag,Vice-Mayor,"Castillo , Lita  Bermudez",Lita,Lakas-Christian Muslim Democrats,6220
Bagabag,Councilor,"Torio, Elpidio Agnol",Pidiong,Lakas-Christian Muslim Democrats,3885
Bagabag,Councilor,"Leodivico, Catalina Alfredo",Lina,Nacionalista Party,3952
Bagabag,Councilor,"Dumangeng, Melchor Bunoan",Mitching,Nacionalista Party,5318
Bagabag,Councilor,"Abon , Rodolfo Sr. Suni",Rudy,Nacionalista Party,5668
Bagabag,Councilor,"Afalla, Ed Gallardo",Pogi,Nacionalista Party,5699
Bagabag,Councilor,"Daniel, Sonny Blanco",Sonny,Nacionalista Party,6017
Bagabag,Councilor,"Jallorina, Revelita Lucena",Revy,Nacionalista Party,6028
Bagabag,Councilor,"Rebuta, Lenita Dela Pena",Lynnette,Lakas-Christian Muslim Democrats,4777
Bambang,Mayor,"Cuaresma, Benjamin III Lloren",Jamie,-,6152
Bambang,Vice-Mayor,"Balgos, Pepito Dizon",Ping,-,8478
Bambang,Councilor,"Tolentino, Rommel Guiao",Mel,-,6230
Bambang,Councilor,"Sierra, Sancho Mallari",Sancho,-,6310
Bambang,Councilor,"Ramel, Freddie Santiago",Eagle,-,7097
Bambang,Councilor,"Ngabbu, Antonio Corales",Bobet,-,7779
Bambang,Councilor,"Hernandez, Arnel Wenceslao Zamora",Arnel,-,8181
Bambang,Councilor,"Calulot, Alexander Jr. Dizon",Nonong,-,7784
Bambang,Councilor,"Agaran, Lucito Tactacan",Citong,-,7251
Bambang,Councilor,"Viloria, Reynaldo  Agaran",Kalbo,-,7259
Bayombong,Mayor,"Bagasao, John Severino Gonong",John,Lakas-Christian Muslim Democrats,9313
Bayombong,Vice-Mayor,"Cabauatan, Ramon Jr. Tumaliuan",-,-,8848
Bayombong,Councilor,"Barnacha, Rodinante Arzadon",Rodie,Independent,5065
Bayombong,Councilor,"Bautista, Noli Gonong",Jingy,Lakas-Christian Muslim Democrats,6110
Bayombong,Councilor,"Beleno, Joebel Dinamling",Joeb,Nacionalista Party,6396
Bayombong,Councilor,"Alindada, Louie Gonzales",Louie,Lakas-Christian Muslim Democrats,6418
Bayombong,Councilor,"Soriano, Jaime Quinto",Jimi,Lakas-Christian Muslim Democrats,6440
Bayombong,Councilor,"Libadia, Ronald Castillano",Onad,Lakas-Christian Muslim Democrats,6941
Bayombong,Councilor,"Palparan, Nicomedes Millare",Nick,Lakas-Christian Muslim Democrats,8256
Bayombong,Councilor,"Dulay, Carlos Jr. Kadil",Caloy,Nacionalista Party,4979
Diadi,Mayor,"Padilla, Marvic Sicat",Marvic,Lakas-Christian Muslim Democrats,4951
Diadi,Vice-Mayor,"Gayaton, Sandy Malih-Ag",Sandy,Lakas-Christian Muslim Democrats,4785
Diadi,Councilor,"Flores, Eduardo Cardino",Eddie,Lakas-Christian Muslim Democrats,2295
Diadi,Councilor,"Tumacder, Lolito Padilla",Lito,Lakas-Christian Muslim Democrats,2507
Diadi,Councilor,"Carino, Rommel Furigay",Romel,Lakas-Christian Muslim Democrats,2552
Diadi,Councilor,"Domingo, Dan Ian Camit",Dan,Independent,2740
Diadi,Councilor,"Dela Cruz, Joel Serdeniola",Joe,Lakas-Christian Muslim Democrats,2886
Diadi,Councilor,"Toledo, James Valdez",Jvt,Lakas-Kabalikat ng Malayang Pilipino,2931
Diadi,Councilor,"Marabe, Fely Baylon",Fely,Lakas-Christian Muslim Democrats,2968
Diadi,Councilor,"Furigay, Francisco Carag",Chito,Nacionalista Party,2193
Dupax Del Norte,Mayor,"Palugod, Antonio Gopilan",Tony,-,4400
Dupax Del Norte,Vice-Mayor,"Epi, Clarita Egmin",Doctora Epi,-,5557
Dupax Del Norte,Councilor,"Salud, Julius Joey Mabunot",Joey,-,3600
Dupax Del Norte,Councilor,"Prado, Victorino Jr. Viloria",Vic,-,3357
Dupax Del Norte,Councilor,"Martinez, Wilfred Bullecer",Fred,-,2691
Dupax Del Norte,Councilor,"Magpale, Ernesto Baloca",Erning,-,3557
Dupax Del Norte,Councilor,"Abustan, Filipina Guerrero",Bebot,-,3244
Dupax Del Norte,Councilor,"Abbagu, Catalino Jr. Valdez",Jun,-,2854
Dupax Del Norte,Councilor,"Balaw-Ing, Nestor Tuangkin",Pastor Balweg,-,3172
Dupax Del Norte,Councilor,"Wayan, William  Angawan",Willie,-,2575
Dupax Del Sur,Mayor,"Galutera, Romulo Lopez",Romy,Nacionalista Party,3909
Dupax Del Sur,Vice-Mayor,"Giron, Wilson Guiab",Wilson,Nacionalista Party,4187
Dupax Del Sur,Councilor,"Castro, Edgar Pating",Edgar,Nacionalista Party,2830
Dupax Del Sur,Councilor,"Basconcillo, Ruben Castaneda",Ben,Nacionalista Party,2898
Dupax Del Sur,Councilor,"Ascuncion, Silas  Ancheta",Nanding,Nacionalista Party,3062
Dupax Del Sur,Councilor,"Daran, Eduardo Palis",Eddie,Lakas-Christian Muslim Democrats,3073
Dupax Del Sur,Councilor,"Castaneda, Tito Sebbey",Uncle,Nacionalista Party,3150
Dupax Del Sur,Councilor,"Reyes, Bernard Baldovi",Ennad,Nacionalista Party,3497
Dupax Del Sur,Councilor,"Binay-An, Luis Elmo",Luis Binay-An,Lakas-Christian Muslim Democrats,3530
Dupax Del Sur,Councilor,"Dolinen, David Andres",David,Nacionalista Party,2767
Kasibu,Mayor,"Tayaban, Romeo Cahdingan",-,Nacionalista Party,8831
Kasibu,Vice-Mayor,"Bumolo, Alberto  Jr. Dumayanon",Chito,Lakas-Christian Muslim Democrats,5651
Kasibu,Councilor,"Hufalar, Romulo Sr. Asuncion",Boy,Lakas-Christian Muslim Democrats,4827
Kasibu,Councilor,"Canayan, Dennis Binallit",Kuwag- Baggang,Nacionalista Party,4325
Kasibu,Councilor,"Cadoy-Dulnuan, Charmaine Lamsis",Peb-Peb,Nacionalista Party,4285
Kasibu,Councilor,"Bunuan, Concepcion Runas",Connie,Nacionalista Party,3999
Kasibu,Councilor,"Andong, Prudencio Tukid",Buldog,Lakas-Christian Muslim Democrats,3603
Kasibu,Councilor,"Alupias, Reynaldo Alipio",Rey,Lakas-Christian Muslim Democrats,4668
Kasibu,Councilor,"Abance, Lauro Delfin",-,Nacionalista Party,3780
Kasibu,Councilor,"Kimayong, Romeo Banig",-,Nacionalista Party,3845
Kayapa,Mayor,"Balasya, John Dipas",-,Lakas-Kabalikat ng Malayang Pilipino,4450
Kayapa,Vice-Mayor,"Kitano, Wesley Liborio",Wesley,Nacionalista Party,3105
Kayapa,Councilor,"Pagnas, Tony Basilio",Tony,Lakas-Christian Muslim Democrats,2874
Kayapa,Councilor,"Pido, Gerry Dupiano",Gerry,Nacionalista Party,2921
Kayapa,Councilor,"Tamtaman, Paul Uloan",Pol,Nacionalista Party,3133
Kayapa,Councilor,"Dontogan, Valdez Anuma",Valdez,Lakas-Christian Muslim Democrats,3272
Kayapa,Councilor,"Tindaan, Jimmy Pido",Jimmy,Nacionalista Party,3690
Kayapa,Councilor,"Bay-An, Peter Lindawan",Peter,Nacionalista Party,3974
Kayapa,Councilor,"Wakit, Tony Sr. Palubos",Tony,Nacionalista Party,4646
Kayapa,Councilor,"Martes, Longcoy Molintas",Martes,Nacionalista Party,3062
Solano,Mayor,"Dacayo, Philip Agraan",Bin-I,Lakas-Christian Muslim Democrats,11907
Solano,Vice-Mayor,"Labasan, Alexander Delos Reyes",Alex,Nacionalista Party,14027
Solano,Councilor,"Evangelista, Jose Apellido",Joey,Lakas-Christian Muslim Democrats,7211
Solano,Councilor,"Valdez, Ma Regina Valino",Regie,Lakas-Christian Muslim Democrats,7388
Solano,Councilor,"Beting, Ferdinand Matterig",Jong,Nacionalista Party,7823
Solano,Councilor,"Carub, Roland Magalued",Caruba,Nacionalista Party,8303
Solano,Councilor,"Tamani, Domingo Bolusan",Doming,Lakas-Christian Muslim Democrats,8879
Solano,Councilor,"Tiongson, Michael De Leon",Mike,Lakas-Christian Muslim Democrats,9409
Solano,Councilor,"Calica, Clarita Gabatino",Claire,Nacionalista Party,10571
Solano,Councilor,"Marzo, Melchor Esmedina",Mel,Nacionalista Party,6968
Villaverde,Mayor,"Bajo, Esmenio Suriega",Meniong,Nacionalista Party,3920
Villaverde,Vice-Mayor,"Hernandez, Marciano Valdez",Boy,Nacionalista Party,2112
Villaverde,Councilor,"Panal, Jayson Pua",Panal,Nacionalista Party,2228
Villaverde,Councilor,"Urban, Alexander Serquina",Alex,Nacionalista Party,2245
Villaverde,Councilor,"Alaman, Roberto Tobias",Berto,Lakas-Kabalikat ng Malayang Pilipino,2520
Villaverde,Councilor,"Dacanay, Jose Emperador",Pogiit,Lakas-Kabalikat ng Malayang Pilipino,2713
Villaverde,Councilor,"Duro, Danilo Espiritu",Danny,Lakas-Kabalikat ng Malayang Pilipino,2751
Villaverde,Councilor,"Valdez, Emelita Castrosanto",Emy,Nacionalista Party,2958
Villaverde,Councilor,"Quines, Demetria Pleyto",Deming,Nacionalista Party,3131
Villaverde,Councilor,"Callejo, Avelino Arquero",Belen,Nacionalista Party,2014
