city_or_municipality,position,name,nickname,votes_obtained
Baler,Mayor,"Angara, Arturo Javier",Arthur,6924
Baler,Vice-Mayor,"Bihasa, Nelianto Carrasco",Pilot,9300
Baler,Councilor,"Gonzales, Nenita Delos Santos",Nitz,4676
Baler,Councilor,"Ong, Danilo Montes",Boyet,4714
Baler,Councilor,"Zabat, Marcelino Bihasa",Jing,4784
Baler,Councilor,"Buluag, Edith Sotero",Edith,5294
Baler,Councilor,"Hugo, Zaldy Razon",Sonny,5825
Baler,Councilor,"Mata, Benjamin Cruz",Kuya Ben,6204
Baler,Councilor,"Querijero, Zenaida Sindac",Zeny,6273
Baler,Councilor,"Sanchez, Arthur Lopez",Boy,4539
Casiguran,Mayor,"Bitong, Reynaldo Teh",Binsu,3342
Casiguran,Vice-Mayor,"Roxas, Lordan Brigancia",Daning,3856
Casiguran,Councilor,"Torre, Joel Viz",Kapuso,2540
Casiguran,Councilor,"Danay, Zosimo Jr. Cardenas",Manong Jun,2577
Casiguran,Councilor,"Chavez, Manuel Jr. Trucilla",Bobby,2867
Casiguran,Councilor,"Alipio, Ruben Jr. Soriano",Jojo,2953
Casiguran,Councilor,"Diaz, Corazon Baby Dela Vega",Mam 01,3068
Casiguran,Councilor,"Esteves, Onisimo Hermogenes",Imok,3290
Casiguran,Councilor,"Arana, Jennifer Aliangan",Jen,3447
Casiguran,Councilor,"Pena, Menandro Toribio",Ding,2392
Dilasag,Mayor,"Briones, Victorio Bagawisan",Vic/Capon,2768
Dilasag,Vice-Mayor,"Dela Cruz, Vicente Tud",Enteng,2432
Dilasag,Councilor,"Laurencio, Joel Olonan",Joe,1766
Dilasag,Councilor,"Pascion, Elbert Sana",Bert,1859
Dilasag,Councilor,"Bernabe, Emmanuel Gacilan",Boyet,2055
Dilasag,Councilor,"Bartolome, Reydee Gordo",,2255
Dilasag,Councilor,"Marzan, Domingo Jr. Embisan",Jhun,2333
Dilasag,Councilor,"Agustin, Romner Andres",Romner Agustin,2349
Dilasag,Councilor,"Soriben, Enrique Cacanindin",Ricky,2375
Dilasag,Councilor,"Romano, Gregorio Jr. Bautista",Tarake,1760
Dinalungan,Mayor,"Tubigan, Tito Torres",Tito/ Tits,2515
Dinalungan,Vice-Mayor,"Usman, Elena Castillo",Bebot,2317
Dinalungan,Councilor,"Rada, Larry Moral",Borong,1774
Dinalungan,Councilor,"Perpose, Joel Alombro",Manong,2150
Dinalungan,Councilor,"Marquez, Mario Bautista",Mar,1753
Dinalungan,Councilor,"Madridano, Marlyn Acosta",Lyn,2104
Dinalungan,Councilor,"Del Rosario, Severino  Escueta",Bola Bola,1754
Dinalungan,Councilor,"Alamani, Gene Tomas",Gene,1765
Dinalungan,Councilor,"Acosta, Virgilio Tagupin",Amang,1943
Dinalungan,Councilor,"Torres, Manuel Acosta",Tamang,2063
Dingalan,Mayor,"Padiernos, Zenaida Quejada",Zeny,4537
Dingalan,Vice-Mayor,"Liu, Hiram Maddara",Edgar,1941
Dingalan,Councilor,"Pronto, Ferdinand Violeta",Bongga,2448
Dingalan,Councilor,"De Guzman, Conrado Muncal",Boy,2497
Dingalan,Councilor,"Romantico, Faustino Jr. Ungriano",Intong,2724
Dingalan,Councilor,"Capulong, Christian Lim",Ian,2853
Dingalan,Councilor,"Orozco, Joel Renon",Jorox,3074
Dingalan,Councilor,"Tabanguil, Mahalia Padiernos",Mahal,3381
Dingalan,Councilor,"Bernardo, Peter Ramos",Peter,3611
Dingalan,Councilor,"Capulong, Virgilio Arocena",Beyo,2390
Dipaculao,Mayor,"Tolentino, Reynante Sr. Amansec",Kudyas,6604
Dipaculao,Vice-Mayor,"Amansec, Narciso Dela Cruz",Nar,4961
Dipaculao,Councilor,"Supnet, Amado Espanol",Bong,4605
Dipaculao,Councilor,"Vallejos, Patricio De Lena",Pat,4038
Dipaculao,Councilor,"Talavera, Arturo Ancheta",Tala,4363
Dipaculao,Councilor,"Monce, Eugenio Paulino",Talakitok,4518
Dipaculao,Councilor,"Gines, Melanio Alata",Berting,5067
Dipaculao,Councilor,"Reyes, Franklin Javar",Frank,5519
Dipaculao,Councilor,"Obillo, Teresita Apaan",Tessie,6377
Dipaculao,Councilor,"Rivera, Arturo Jr. Soriben",Balon,4355
Maria Aurora,Mayor,"Bitong, Ariel Saturno",Kagat,9171
Maria Aurora,Vice-Mayor,"Geneta, Amado Molina",Mads,7277
Maria Aurora,Councilor,"Simon, Jayson Galutan",Jayson,4297
Maria Aurora,Councilor,"Palmero, Jesus Valencia",Santy,5263
Maria Aurora,Councilor,"Catipon, Emilia Sagud",Mely,5629
Maria Aurora,Councilor,"Hungriano, Jonathan Sr. Ronquillo",Kap,5919
Maria Aurora,Councilor,"Nisperos, Loreto Maala",Lito,7412
Maria Aurora,Councilor,"Bitong, Freddie Babiera",Berting,7517
Maria Aurora,Councilor,"Gonzales, May Anne Agoy",Sk,8180
Maria Aurora,Councilor,"Palogan, Marichu Bitong",Ichu,4907
