city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aliaga,Mayor,"Vargas, Marcial Ramos",Boy,Lakas-Christian Muslim Democrats,11412
Aliaga,Vice-Mayor,"Vargas, Elizabeth Roman",Beth,Lakas-Christian Muslim Democrats,12417
Aliaga,Councilor,"Bumanlag, Alberto Manas",Al,Lakas-Christian Muslim Democrats,8982
Aliaga,Councilor,"Ordanes, Jesus Dawang",Jessie,Lakas-Christian Muslim Democrats,9454
Aliaga,Councilor,"Domingo, Alfredo Sardia",Fred,Lakas-Kabalikat ng Malayang Pilipino/Balane,10140
Aliaga,Councilor,"Celestino, Lourdes Sayson",Ondeng,Lakas-Kabalikat ng Malayang Pilipino/Balane,10385
Aliaga,Councilor,"Martin, Juanito Batalla",Balot,Lakas-Kabalikat ng Malayang Pilipino/Balane,10777
Aliaga,Councilor,"Cajucom, Cesar Mendoza",Cesar,Lakas-Kabalikat ng Malayang Pilipino/Balane,11338
Aliaga,Councilor,"De Leon, Mario Dayao",Marlon,Lakas-Kabalikat ng Malayang Pilipino/Balane,11353
Aliaga,Councilor,"Bernabe, Almario Ramos",Yoy,Lakas-Kabalikat ng Malayang Pilipino/Balane,8704
Bongabon,Mayor,"Gamilla, Amelia Aves",Beth,Lakas-Kabalikat ng Malayang Pilipino/Balane,13152
Bongabon,Vice-Mayor,"Arive, Edmond Espino",Edmond,Lakas-Kabalikat ng Malayang Pilipino/Balane,11775
Bongabon,Councilor,"Gervacio, Maximino Villamayor",Seming,Lakas-Christian Muslim Democrats,7550
Bongabon,Councilor,"Angeles, Elpidio De Guzman",Elpi,Lakas-Kabalikat ng Malayang Pilipino/Balane,7655
Bongabon,Councilor,"Ong, Jessie Ruiz",Jessie,Lakas-Kabalikat ng Malayang Pilipino/Balane,7974
Bongabon,Councilor,"Francisco, Alvino Mateo",Kaka Vino,Lakas-Kabalikat ng Malayang Pilipino/Balane,8542
Bongabon,Councilor,"Cudia, Ronnie Santiago",Ronnie,Lakas-Kabalikat ng Malayang Pilipino/Balane,9708
Bongabon,Councilor,"Ruz, Gerardo Sebastian",Gerry,Lakas-Kabalikat ng Malayang Pilipino/Balane,10464
Bongabon,Councilor,"Gamilla, Allan Xystus Aves",Allan,Lakas-Kabalikat ng Malayang Pilipino/Balane,12187
Bongabon,Councilor,"Mantile, Vivencio Villa",Ben,Lakas-Kabalikat ng Malayang Pilipino/Balane,8934
Cabanatuan City,Mayor,"Vergara, Alvin Pangilinan",Alvin,Lakas-Christian Muslim Democrats,54441
Cabanatuan City,Vice-Mayor,"Garcia, Marius Adriano",Jolly,Lakas-Christian Muslim Democrats,46988
Cabanatuan City,Councilor,"Valino, Froilan Monles",Froy,Lakas-Christian Muslim Democrats,34477
Cabanatuan City,Councilor,"Saclolo, Angelito Jr. Duran",Help,Lakas-Kabalikat ng Malayang Pilipino/Balane,38446
Cabanatuan City,Councilor,"Paulino, Cristina Wycoco",Tina,Lakas-Christian Muslim Democrats,41988
Cabanatuan City,Councilor,"Del Rosario, Rosendo Iii Driz",Jonjon,Lakas-Kabalikat ng Malayang Pilipino/Balane,43307
Cabanatuan City,Councilor,"Diaz, Jesus  Mendoza",Jess,Lakas-Kabalikat ng Malayang Pilipino/Balane,46532
Cabanatuan City,Councilor,"Ilagan, Ruben Iii Amurao",Jay,Lakas-Kabalikat ng Malayang Pilipino/Balane,47199
Cabanatuan City,Councilor,"Mercado, Johnero Escuadro",Nero,Lakas-Christian Muslim Democrats,47837
Cabanatuan City,Councilor,"Calling, Gabriel Leonardo",Gave,-,61813
Cabanatuan City,Councilor,"Roque, Joselito Carasig",Bunso,Lakas-Christian Muslim Democrats,46512
Cabanatuan City,Councilor,"Severino, Ariel Gamboa",Ariel,Lakas-Christian Muslim Democrats,34334
Cabiao,Mayor,"Garcia, Abundia Lumbang",Sister Biding,Lakas-Christian Muslim Democrats,16612
Cabiao,Vice-Mayor,"Simbillo, Marcelino Mercado",Mar,Lakas-Kabalikat ng Malayang Pilipino/Balane,17104
