city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Botolan,Mayor,"Yap, Rogelio Barretto",Roger,Lakas-Christian Muslim Democrats,17369
Botolan,Vice- Mayor,"Basa, Mely Blanco",Basa,Lakas-Christian Muslim Democrats,13481
Botolan,Councilor,"Huerta, Roy Abangan",Pinoy,Lakas-Christian Muslim Democrats,5423
Botolan,Councilor,"Domil, John Ebuenog",Bogs,Lakas-Christian Muslim Democrats,5981
Botolan,Councilor,"Caasi, Amor Blanco",Caasi,Lakas-Christian Muslim Democrats,6047
Botolan,Councilor,"Daria, Arthur Ramos",Art,Lakas-Christian Muslim Democrats,6519
Botolan,Councilor,"Jaring, Jesus Dilag",Botong,Lakas-Christian Muslim Democrats,7114
Botolan,Councilor,"Velasco, Celsa Williams",Celing,Lakas-Christian Muslim Democrats,8204
Botolan,Councilor,"Manzo, Nick Lao",Manzo,Lakas-Christian Muslim Democrats,8726
Botolan,Councilor,"Tabligan, Luis Sr. Alvarez",Louie,Lakas-Christian Muslim Democrats,1657
Cabangan,Mayor,"Apostol, Ronaldo Fidel",Ronald,Lakas-Christian Muslim Democrats,5025
Cabangan,Vice- Mayor,"Bada, Julius Abraham",Jul,Independent,3836
Cabangan,Councilor,"Toledo, Leonardo Viloria",Leonnie,Lakas Christian Muslim Democrats,4764
Cabangan,Councilor,"Santos, Apolinario Dantay",Bening,Lakas-Kabalikat ng Malayang Pilipino/PMP,3698
Cabangan,Councilor,"Ronquillo, Teofilo Jr. Dais",Inggo,Independent,3641
Cabangan,Councilor,"Obispo, Mateo Dagun",Mat,Lakas Christian Muslim Democrats,3205
Cabangan,Councilor,"Nagma, Crisolito Ecdao",Lito,Lakas-Kabalikat ng Malayang Pilipino/PMP,4638
Cabangan,Councilor,"Amante, Prospero Cebu",Poroy,Lakas-Kabalikat ng Malayang Pilipino/PMP,3488
Cabangan,Councilor,"Ablola, Carlos Sr. Dabalmat",Boy,Lakas-Kabalikat ng Malayang Pilipino/PMP,3187
Cabangan,Councilor,"Villalobos, Alex Delos Reyes",Alex,Lakas-Kabalikat ng Malayang Pilipino/PMP,3537
Candelaria,Mayor,"Morana, Jean Misa",Jean,Lakas Christian Muslim Democrats,6043
Candelaria,Vice- Mayor,"Ecunar, Pedro Cieto",Pete,Lakas Christian Muslim Democrats,5021
Candelaria,Councilor,"Ebuen, Jury Hermogino",Toman,Nationalist People's Coalition,3770
Candelaria,Councilor,"Alop, Roman Eding",Joseph,Lakas Christian Muslim Democrats,4050
Candelaria,Councilor,"Fallorina , Romeo Sagun",Rom,Lakas Christian Muslim Democrats,4306
Candelaria,Councilor,"Barrera, Bernard Polido",Dodoy,Puwersa ng Masang Pilipino,4620
Candelaria,Councilor,"Hermoso, Gilbert Austria",Bert,Lakas Christian Muslim Democrats,4850
Candelaria,Councilor,"Echon, Leonides Eclevia",Pico,Nationalist People's Coalition,5425
Candelaria,Councilor,"Edquid, Harold Kevin Eclarino",Kulot,Lakas Christian Muslim Democrats,5509
Candelaria,Councilor,"Atrero, Purificacion Carloy",Podee,Lakas Christian Muslim Democrats,3658
Castillejos,Mayor,"Billman, Wilma Dalit",Wilma,Liberal Party,6505
Castillejos,Vice- Mayor,"Viloria, Resty Domingo",Resty,Liberal Party,6121
Castillejos,Councilor,"Salih, Rizal Jr. Gonzales",Rizal,Liberal Party,5411
Castillejos,Councilor,"Ablao, Jorge Manuel",Jorge,Puwersa ng Masang Pilipino,5414
Castillejos,Councilor,"Padilla, Efren Mayor",Efren,Puwersa ng Masang Pilipino,5477
Castillejos,Councilor,"Esposo, Christian Tan",Niño,Liberal Party,6522
Castillejos,Councilor,"Fastidio, Felita Quimen",Pilita,Puwersa ng Masang Pilipino,6565
Castillejos,Councilor,"Pantaleon, Eric Joseph Bueno",Eric,Puwersa ng Masang Pilipino,6683
Castillejos,Councilor,"Rafanan, Ma Cecilia Felarca",Cecil Felarca,Liberal Party,7428
Castillejos,Councilor,"Avera, Voltaire Deonero",Voltaire,Liberal Party,4864
Iba,Mayor,"Pamoleras, Danilo Uy",Danny Pamo,Lakas Christian Muslim Democrats,8235
Iba,Vice- Mayor,"Huang, Pancho Reyes",Huang,Lakas Christian Muslim Democrats,7040
Iba,Councilor,"Mayormita, Lydia Yap",Lyd,Puwersa ng Masang Pilipino,4028
Iba,Councilor,"Bugarin, Ramon Sugay",Mon,Lakas Christian Muslim Democrats,4218
Iba,Councilor,"Pamplona, Senen Abrigo",Bong,Lakas Christian Muslim Democrats,4330
Iba,Councilor,"Uy, Henry Manzano",Kee Tee,Lakas Christian Muslim Democrats,4418
Iba,Councilor,"Butaran, Ruel Mas",Ruel,Puwersa ng Masang Pilipino,5230
Iba,Councilor,"Fortin, Zaldy Laguer",-,Lakas Christian Muslim Democrats,5896
Iba,Councilor,"Riberal, Virgilio Rocero",Eliong,Lakas Christian Muslim Democrats,7258
Iba,Councilor,"Nero, Oscar Villanueva",Oca,Lakas Christian Muslim Democrats,3704
Masinloc,Mayor,"Edora, Jessu Estella",Essu,Lakas Christian Muslim Democrats,8847
Masinloc,Vice- Mayor,"Eamilao, Roberto Madamba",Bob,Puwersa ng Masang Pilipino,6786
Masinloc,Councilor,"Eamilao, Daniel Ebueng",Dan,Lakas Christian Muslim Democrats,5646
Masinloc,Councilor,"Ejanda, Gigi Ejida",Gi,Lakas-Kabalikat ng Malayang Pilipino,6189
Masinloc,Councilor,"Edora, Quentin Estella",Kens,Lakas Christian Muslim Democrats,6313
Masinloc,Councilor,"Dimaculangan, Roy Norman Martinez",Boyet,Lakas Christian Muslim Democrats,6512
Masinloc,Councilor,"Nacin, Manuel De Guzman",Manny,Lakas-Kabalikat ng Malayang Pilipino,6881
Masinloc,Councilor,"Ebarle, Virgilio Ermita",Kayong,Lakas-Kabalikat ng Malayang Pilipino,6927
Masinloc,Councilor,"Enciso, Diosdado Bantog",Joey,Lakas Christian Muslim Democrats,7179
Masinloc,Councilor,"Estella, Rolex Eala",Rolex,Lakas Christian Muslim Democrats,5610
Olongapo City,Mayor,"Gordon, James Jr. Juico",Bong,Lakas Christian Muslim Democrats,44758
Olongapo City,Vice- Mayor,"Cajudo, Cynthia Gregorio",Cyn,Lakas Christian Muslim Democrats,37638
Olongapo City,Councilor,"Aquino, Anselmo Adamos",Elmo,Lakas Christian Muslim Democrats,34387
Olongapo City,Councilor,"Cortez, Aquilino Jr. Yorac",Jong,Lakas Christian Muslim Democrats,34472
Olongapo City,Councilor,"Baloy, Angelito Wong",Gie,Lakas Christian Muslim Democrats,35124
Olongapo City,Councilor,"Piano, Edwin Jadulco",Ed,Lakas Christian Muslim Democrats,36255
Olongapo City,Councilor,"Lipumano, Lugerna  Felizardo",Lugie,Nationalist People's Coalition,36524
Olongapo City,Councilor,"Marzan, Marey Beth Daduya",Bebeth,Lakas Christian Muslim Democrats,36796
Olongapo City,Councilor,"Cerezo, Rodel Sevilla",Sir Rodel,-,39958
Olongapo City,Councilor,"Delos Reyes, John Carlos Gordon",Jc,Ang Kapatiran,40257
Olongapo City,Councilor,"Perez, Gina Gulanes",Gina,Lakas Christian Muslim Democrats,40665
Olongapo City,Councilor,"Dabu, Elena Calma",Ellen,Lakas Christian Muslim Democrats,32523
Palauig,Mayor,"Amog, Generoso Fallorina",Gene,Puwersa ng Masang Pilipino,7498
Palauig,Vice- Mayor,"Amita, Joel Esmane",Joel,Lakas Christian Muslim Democrats,6961
Palauig,Councilor,"Maliberan, Crispin Corum",Cris,Independent,5162
Palauig,Councilor,"Sevilla, Romulo Santos",Romy,Independent,5274
Palauig,Councilor,"Paradeza, Eden Barnillo",Eden,Independent,5348
Palauig,Councilor,"Marcia, Nicanor Arana",Nick,Puwersa ng Masang Pilipino,5422
Palauig,Councilor,"Anaud, Arnold Anas",Nod,Lakas Christian Muslim Democrats,6373
Palauig,Councilor,"Alba, Eric Santos",Eric,Lakas Christian Muslim Democrats,6412
Palauig,Councilor,"Aranas, George Asiatico",Jojo,Independent,7007
Palauig,Councilor,"Aranda, Arden Arana",Arden,Lakas Christian Muslim Democrats,5075
San Antonio,Mayor,"Lonzanida, Romeo Dumlao",Doc Romy,Lakas Christian Muslim Democrats,7687
San Antonio,Vice- Mayor,"Ragadio, Lugil Sahagun",Vice Lugil,Lakas Christian Muslim Democrats,7968
San Antonio,Councilor,"Arcala, Raul Diaz",Engr. Raul,Liberal Party,4772
San Antonio,Councilor,"Garcia, Odon Arlantico",Odse,Lakas Christian Muslim Democrats,4904
San Antonio,Councilor,"Fabros, Nilfredo Quinsay",Boyet,Lakas Christian Muslim Democrats,4909
San Antonio,Councilor,"Echiverre, Romeo Amata",Butchaw,Lakas Christian Muslim Democrats,5265
San Antonio,Councilor,"Manangan, Rogelio Callo",Laly,Lakas Christian Muslim Democrats,5352
San Antonio,Councilor,"Cantil, Roberto Manglicmot",Bert,Liberal Party,5994
San Antonio,Councilor,"Aratea, Imelda Beltran",Mel,-,6281
San Antonio,Councilor,"Rizado, Jose Antonio",Lolo,Lakas Christian Muslim Democrats,4492
San Felipe,Mayor,"Abille, Edilberto Amagna",Bert,Lakas Christian Muslim Democrats,4600
San Felipe,Vice- Mayor,"Farinas, Carolyn Senador",Carol,Lakas Christian Muslim Democrats,6640
San Felipe,Councilor,"Arinduque, Nelly Ferrer",Nelly,Lakas Christian Muslim Democrats,3250
San Felipe,Councilor,"Aranda, Felixfifacion Fulinara",Felix,Independent,3876
San Felipe,Councilor,"Basa, Usafre Solis",Boy Marcel,Lakas Christian Muslim Democrats,3389
San Felipe,Councilor,"Corpuz, Honofre Flores",Nofre,Lakas-Kabalikat ng Malayang Pilipino,3881
San Felipe,Councilor,"Torres, Robert Reyes",Bert,Lakas Christian Muslim Democrats,3889
San Felipe,Councilor,"Ladringan, Alden Arcala",Alden,Lakas Christian Muslim Democrats,3998
San Felipe,Councilor,"Rosete, Richard Alferos",-,Lakas Christian Muslim Democrats,4006
San Felipe,Councilor,"Famuleras, Ferdinand Aguimatang",Ferdie,Lakas Christian Muslim Democrats,3202
San Marcelino,Mayor,"Rodriguez, Jose Fabelinia",Joe,Lakas Christian Muslim Democrats,6554
San Marcelino,Vice- Mayor,"Canlas, Irene Domingo",Babeth,Lakas Christian Muslim Democrats,8616
