city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Baco,Mayor,"Dela Chica, Graciano Politico",Gracing,-,8026
Baco,Vice-Mayor,"Zulueta, Conrado Nicasio",Rading,-,4989
Baco,Councilor,"Aguilar, Aries Zara",Boy,-,5045
Baco,Councilor,"Bautista, Clemen Aceveda",Pinsan,-,4693
Baco,Councilor,"Villas, Ariel Caraig",Matic,-,4344
Baco,Councilor,"Ical, Pastor Ramirez",Pando,-,5651
Baco,Councilor,"Hernandez, Dionisio Dalisay",Diony,-,6587
Baco,Councilor,"Consolacion, Antonio Lorica",Tony,-,4699
Baco,Councilor,"Castillo, Brederick  Victorio",Eric,-,4271
Baco,Councilor,"Blanco, Gonzalo Montalbo",Laloy,-,4634
Bansud,Mayor,"Morada, Ronaldo Mortel",Ronnie,Liberal Party,7131
Bansud,Vice-Mayor,"Manato, Donato Mijares",Atoy,Liberal Party,7551
Bansud,Councilor,"De Castro, Carlito Magnaye",Carling,Liberal Party,4464
Bansud,Councilor,"Evangelista, Nemesio Calderon",Nemie,Liberal Party,4940
Bansud,Councilor,"Castromero, Elias Sarasa",Castromero,Lakas-Christian Muslim Democrats,5198
Bansud,Councilor,"Tolentino, Rico Bayer",Iko,Liberal Party,5410
Bansud,Councilor,"Closa, Roberto Alo",Obet,Liberal Party,5472
Bansud,Councilor,"Cometa, Rogeto Guro ",Roget,Liberal Party,5491
Bansud,Councilor,"Calderon, Edgardo Florida",Edgar,Lakas-Christian Muslim Democrats,5994
Bansud,Councilor,"Mansalapuz, Efren Pajutrao",Mansalapuz,Lakas-Christian Muslim Democrats,4260
Bongabong,Mayor,"Umali, Hercules Almarez",Bobot,Liberal Party,11893
Bongabong,Vice-Mayor,"Montalbo, Alfonso Anthony",Alfie,Liberal Party,11165
Bongabong,Councilor,"Liwanag, Owen Caballero",Win,Liberal Party,7930
Bongabong,Councilor,"Enriquez, Jeremy Isler",Emy,Liberal Party,8504
Bongabong,Councilor,"Abanes, Octavio Delen",Tavio,Liberal Party,8826
Bongabong,Councilor,"Anthony, Anastacio Delen",Otoy,Liberal Party,9710
Bongabong,Councilor,"Alea, Evelyn Brucal",Belen,Liberal Party,10318
Bongabong,Councilor,"Salvacion, Elisa  Gordola",Ely,Liberal Party,10388
Bongabong,Councilor,"Sosa, Robert  Hernandez",Obet,Liberal Party,11661
Bongabong,Councilor,"Selda, Marieta Artiza",Mariet,Liberal Party,7858
Bulalacao San Pedro ,Mayor,"Villas, Ernilo Contreras",Ecv,Lakas-Kabalikat ng Malayang Pilipino,6445
Bulalacao San Pedro ,Vice-Mayor,"Bantugan, Teresita Salazar",Tessie,Liberal Party,5582
Bulalacao San Pedro ,Councilor,"Magbanua, Ramon Garao",Monching,Lakas-Kabalikat ng Malayang Pilipino,4611
Bulalacao San Pedro ,Councilor,"Andallon, Leonardo Alday",Nards,Liberal Party,4781
Bulalacao San Pedro ,Councilor,"Salas, Guillermo Jr. Gonzales",Totoy,Lakas-Christian Muslim Democrats,4834
Bulalacao San Pedro ,Councilor,"Abuel, Gideon Babista",Gids,Lakas-Kabalikat ng Malayang Pilipino,4928
Bulalacao San Pedro ,Councilor,"Cabagay, Rosalinda Mandreza",Rosie,Liberal Party,4178
Bulalacao San Pedro ,Councilor,"Aceron, Eduardo Contreras",Boy,Lakas-Kabalikat ng Malayang Pilipino,5120
Bulalacao San Pedro ,Councilor,"Osorio, Emelita Austria",Milet,Lakas-Kabalikat ng Malayang Pilipino,5511
Bulalacao San Pedro ,Councilor,"Familara, Senen Cusi",Senen,Lakas-Kabalikat ng Malayang Pilipino,4585
City of Calapan,Mayor,"Leachon, Paulino Salvador Cueto",Atty. Doy,Liberal Party,14997
City of Calapan,Vice-Mayor,"Infantado, Rafael Landayan",Raf,Liberal Party,16406
City of Calapan,Councilor,"Malapitan, Jojie Escobio",Jojie,Nationalist People's Coalition,12161
City of Calapan,Councilor,"Ilano, Edilberto Jr. Carena",Edel,Liberal Party,12535
