city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bacungan Leon T. Pustigo,Mayor,"Tablezo, Rolando Villanueva",Boy,Lakas-Kabalikat ng Malayang Pilipino,5466
Bacungan Leon T. Pustigo,Vice- Mayor,"Lecias, Solomon Camino",Bebot,Lakas-Kabalikat ng Malayang Pilipino,5734
Bacungan Leon T. Pustigo,Councilor,"Absin, Loreto Sr. Alforque",Reto,Independent,3878
Bacungan Leon T. Pustigo,Councilor,"Bayon, William Berja",Bong,Lakas-Kabalikat ng Malayang Pilipino,3958
Bacungan Leon T. Pustigo,Councilor,"Andong, Julieta Busca",Liling,Lakas-Kabalikat ng Malayang Pilipino,4002
Bacungan Leon T. Pustigo,Councilor,"Murcia, Justino Jr. Nueva",Jokno,Lakas-Kabalikat ng Malayang Pilipino,4441
Bacungan Leon T. Pustigo,Councilor,"Anadeo, William Penonal",William,Lakas-Kabalikat ng Malayang Pilipino,4559
Bacungan Leon T. Pustigo,Councilor,"Magallanes, Wilberth Gujezde",Jojo,Lakas-Kabalikat ng Malayang Pilipino,4701
Bacungan Leon T. Pustigo,Councilor,"Jaug, Cypress Baco",Bobong,Lakas-Kabalikat ng Malayang Pilipino,4938
Bacungan Leon T. Pustigo,Councilor,"Hambali, Aidaroz Akil",Daroz,Lakas-Kabalikat ng Malayang Pilipino,3806
Baliguian,Mayor,"Esmali, Gani Ali",Gan,-,4146
Baliguian,Vice- Mayor,"Suson, Teofilo Banaag",Piloy,Lakas-Kabalikat ng Malayang Pilipino,4601
Baliguian,Councilor,"Neri, Hermicio Magallanes",Hermie,-,3805
Baliguian,Councilor,"Borres, Dina Gumamay",Din,-,3967
Baliguian,Councilor,"Nunez, Danilo Abing",Dan,Lakas-Kabalikat ng Malayang Pilipino,3060
Baliguian,Councilor,"Ando, Romero Sr. Ucab",Titing,Independent,3381
Baliguian,Councilor,"Nalug, Jover Lacsayao",Ver,Lakas-Christian Muslim Democrats/NPC,3407
Baliguian,Councilor,"Suson, Jovina Berdiguel",Bebe,Lakas-Kabalikat ng Malayang Pilipino,3468
Baliguian,Councilor,"Bontia, Daniel Silo",Boyok,Lakas-Kabalikat ng Malayang Pilipino,3552
Baliguian,Councilor,"Vertudazo, Edgar Neri",Gary,-,3560
Dapitan City,Mayor,"Jalosjos, Dominador Jr. Garcia",Jun,-,20296
Dapitan City,Vice- Mayor,"Chan, Patri Bajamunde",Jing,-,17696
Dapitan City,Councilor,"Nielo, Artemio Aguinalde",Tem,Lakas-Kabalikat ng Malayang Pilipino,16599
Dapitan City,Councilor,"Zamora, Pete Tumapon",Pete,Lakas-Kabalikat ng Malayang Pilipino,18303
Dapitan City,Councilor,"Olario, Visitacion Tangcologan",Vis,-,15831
Dapitan City,Councilor,"Cadano, Arnulfo Lactuan",Arnold,-,16298
Dapitan City,Councilor,"Jamolod, Efren Quizo",Efren,-,17350
Dapitan City,Councilor,"Balisado, Hermogenes Sagarjo",Mening,-,17816
Dapitan City,Councilor,"Cad, Ruben Eguia",Ben,-,17845
Dapitan City,Councilor,"Agolong, Apple Marie Acaylar",Apol,-,17948
Dapitan City,Councilor,"Cabasag, Randy Bitancor",Ran,-,18001
Dapitan City,Councilor,"Jacinto, Emilio Adaza",Emil,Lakas-Kabalikat ng Malayang Pilipino,16446
Dipolog City,Mayor,"Uy, Evelyn Tang",Belen,-,24206
Dipolog City,Vice- Mayor,"Angeles, Senen Olvis",Nen,-,25206
Dipolog City,Councilor,"Rubia, Praxides Purlas",Praxy,Lakas-Christian Muslim Democrats,18120
Dipolog City,Councilor,"Bagarinao, Dante Gurdiel",-,Lakas-Christian Muslim Democrats,18684
Dipolog City,Councilor,"Pinsoy, Marvelita Naluyon",Velit,Lakas-Christian Muslim Democrats,19086
Dipolog City,Councilor,"Barbaso, Raul Cuenca",Butch,Lakas-Christian Muslim Democrats,19214
Dipolog City,Councilor,"Soliva, Romulo Puralan",Muling,-,18202
Dipolog City,Councilor,"Verduguez, James Paghacian",James V.,-,18245
Dipolog City,Councilor,"Napigquit, Julius Cabilin",Dodoy,-,18528
Dipolog City,Councilor,"Velasco, Horacio Bernus",Nonoy,-,19516
Dipolog City,Councilor,"Co, Peter Yap",Pete,-,21027
Dipolog City,Councilor,"Ong, Kenny Val Uy",Kenny,Lakas-Christian Muslim Democrats,18034
Godod,Mayor,"Te, Rolando Lim",Rolly,Lakas-Kabalikat ng Malayang Pilipino,5509
Godod,Vice- Mayor,"Caborverde, Ferdinand Jarmin",Banoy,Lakas-Kabalikat ng Malayang Pilipino,5470
Godod,Councilor,"Cinco, Cecilio Jatico",Celio,Lakas-Kabalikat ng Malayang Pilipino,4317
Godod,Councilor,"Laput, Maria Luzvilla Eyao",Beb,Lakas-Kabalikat ng Malayang Pilipino,4468
Godod,Councilor,"Labad, Samuel Abarquez",Lolong,Lakas-Kabalikat ng Malayang Pilipino,4848
Godod,Councilor,"Buhale, Roberto Alitao",Berting,Lakas-Kabalikat ng Malayang Pilipino,4868
Godod,Councilor,"Mangan, Helen Bansagon",Len,Lakas-Kabalikat ng Malayang Pilipino,4937
Godod,Councilor,"Antao, Badjia Amud",Jing,Lakas-Kabalikat ng Malayang Pilipino,5001
Godod,Councilor,"Buaya, Allan Garingo",Dodo,-,4486
Godod,Councilor,"Galleposo, Merlinda Bacus",Marlyn,Lakas-Kabalikat ng Malayang Pilipino,4254
Gutalac,Mayor,"Carloto, Angel Melicor",Angel,Lakas-Christian Muslim Democrats,6614
Gutalac,Vice- Mayor,"Dalogdog, Rosita Salrda",Sita,-,6181
Gutalac,Councilor,"Candelaria, Mariano Delos Reyes",Mar,Lakas-Kabalikat ng Malayang Pilipino,5510
Gutalac,Councilor,"Tendero , Teodoro Reluya",Adub,Lakas-Christian Muslim Democrats,5898
Gutalac,Councilor,"Garzon, Gina Montargo",Gina,Lakas-Kabalikat ng Malayang Pilipino,5993
Gutalac,Councilor,"Jamandron, Herminio Barroca",Ayok,Lakas-Christian Muslim Democrats,6349
Gutalac,Councilor,"Cabale, Ferlormino Salmorin",Moling Buyogon,Lakas-Kabalikat ng Malayang Pilipino,6522
Gutalac,Councilor,"Villanueva, Marcelino Mandag",Mancil,Lakas-Kabalikat ng Malayang Pilipino,6565
Gutalac,Councilor,"Luza, Herminio Virtudazo",Dodong,Lakas-Kabalikat ng Malayang Pilipino,6616
Gutalac,Councilor,"Tamayo, Leonora Sonogan",Moning,Lakas-Kabalikat ng Malayang Pilipino,5472
Jose Dalman Ponot,Mayor,"Adaza, Russell Hamoy",Dodong,Lakas-Christian Muslim Democrats,4994
Jose Dalman Ponot,Vice- Mayor,"Amahan, Benjamin Villahermosa",Ben,-,5610
Jose Dalman Ponot,Councilor,"Dalman, Nelson Taclap",Ogol,Lakas-Christian Muslim Democrats,3259
