city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Buug,Mayor,"Tiu, Richard Sr.  Villanueva",RMT,-,6453
Buug,Mayor,"Famor, Teresita Pague",Tessie,-,7139
Buug,Vice- Mayor,"Roa, Rogelio Jr. Subong",Jojo,-,6496
Buug,Vice- Mayor,"Lim, Arnold Dondoyano",Arnold,-,6855
Buug,Councilor,"Gako, Marvin Jessie Gonzales",Vin,-,5628
Buug,Councilor,"Piscos, Randie Lu",Randy,-,5381
Buug,Councilor,"Curiba, Flordeliz Cinches",Flor,-,5352
Buug,Councilor,"Famor, Rey Christian Pague",Kuku,-,5290
Buug,Councilor,"Becada, Alfonso Berenio",Fons,-,5280
Buug,Councilor,"Jumawan, Leo Jose Lagdamen",Leo,-,5231
Buug,Councilor,"Casas, Julieta Tulod",Jul,-,5718
Buug,Councilor,"Paderanga, Ernita Acosta",Allen,-,5851
Buug,Councilor,"Garcia, Leodegario Alfaro",Lody,-,4499
Buug,Councilor,"Ocampos, Balmes Jr. Alforque",Bal,-,4952
Buug,Councilor,"Babaran, Walfredo Ferrer",Ben,-,4958
Buug,Councilor,"Buhayan, Dante Dela Cruz",Nonoy,-,5006
Buug,Councilor,"Musa, Faizal Muksan",Fai,-,5632
Buug,Councilor,"Maca-Ampao, Jamerah Ibrahim",Jam,-,6097
Buug,Councilor,"Ahiron, Abdulsaid Amuali",Said,-,6258
Buug,Councilor,"Zamoras, Lolito Jr. Bation",Loloy,Lakas-Christian Muslim Democrats,4475
Diplahan,Mayor,"Palma, Wilter Yap",Toto Wilter,-,5992
Diplahan,Vice-Mayor,"Abico, Danilo Sr. Sangyao",Danny,-,6775
Diplahan,Councilor,"Ballesta, Victorino Jr. Camaso",Jun,-,3777
Diplahan,Councilor,"Yap, Richard Palencia",Boyet,-,3864
Diplahan,Councilor,"Evangelio, Lito Africa",Toto,-,4073
Diplahan,Councilor,"Dungog, Helen Villaruel",Hvd,-,4462
Diplahan,Councilor,"Alayon, Winifredo Aguilar",Dodoy,Lakas-Christian Muslim Democrats,4703
Diplahan,Councilor,"Doroteo, Mary Jane Javillo",Mimi,Independent,5211
Diplahan,Councilor,"Braganza, Nimitz Sr. Belaong",Mitz,-,5476
Diplahan,Councilor,"Castor, Rex Bringuel",Rex,Lakas-Christian Muslim Democrats,5230
Imelda,Mayor,"Gonzales, Expedito Boralo",Pedito,-,4081
Imelda,Vice- Mayor,"Paypon, Diosdado Nicolas",Toto,-,3538
Imelda,Councilor,"Bajada, Noe Asuncion",Noe,-,3054
Imelda,Councilor,"Ildefonso, Nilo Gamalinda",Tata,-,3060
Imelda,Councilor,"Claros, Ruby Juntilla",Bing,-,3216
Imelda,Councilor,"Mostrales, Albertine Jr. Eugenio",Jun,-,3307
