city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bacacay,Mayor,"Berango, Gloria  Belen",Glor,Lakas-Christian Muslim Democrats,14453
Bacacay,Vice-Mayor,"Betito, Tobias Bibon",Tobing,Liberal Party,11761
Bacacay,Councilor,"Bermundo, Nilda  Barcenas",Dada,Independent,10691
Bacacay,Councilor,"Lawenko, Rafael Pena",Raffy,Liberal Party,10906
Bacacay,Councilor,"Botabara, Jerwin Bercasio",Boy,Lakas-Christian Muslim Democrats,10999
Bacacay,Councilor,"Bercasio, Carlito Bequio",Lito,Liberal Party,11175
Bacacay,Councilor,"Banares, Wenifredo Banas",Weny,Lakas-Christian Muslim Democrats,11463
Bacacay,Councilor,"Cao, Dante Belleza",Dan,Liberal Party,11517
Bacacay,Councilor,"Berdin, Bryan Vergara",Yan,Lakas-Christian Muslim Democrats,13182
Bacacay,Councilor,"Belleza, Rodel Belbes",Dhing,Lakas-Christian Muslim Democrats,9888
Camalig,Mayor,"Baldo, Carlos Irwin Jr. Go",Caloy,-,14418
Camalig,Vice-Mayor,"Moyo, Vicente Obligacion",Ting,Lakas-Kampi,11871
Camalig,Councilor,"Grageda, Reden  Pradiez",Red,Independent,6192
Camalig,Councilor,"Yap, Rolando Fulay",Nono,-,7247
Camalig,Councilor,"Villanueva, Joan Navera",Jo,Lakas-Kampi,7315
Camalig,Councilor,"Vibar, Gilbert Eneria",Ibet,-,7322
Camalig,Councilor,"Mores, Jesus Luis Jr. Mora",Jess Oloy,Lakas-Kampi,7633
Camalig,Councilor,"Miraran, Restituta Nasol",Manay Tutay,Lakas-Kampi,8029
Camalig,Councilor,"Nebres, Elisa Galon",Ging,Lakas-Kampi,11187
Camalig,Councilor,"Nieva, Arn-Michael Nuyda",Dok,Lakas-Kampi,6169
Daraga Locsin,Mayor,"Triunfante, Cicerio Camacho",Ching,Independent,21251
Daraga Locsin,Vice-Mayor,"Magayanes, Marlene Requerque",Len,Lakas-Christian Muslim Democrats,18955
Daraga Locsin,Councilor,"Gallego, Danilo Aringo",Dany,Lakas-Christian Muslim Democrats,11901
Daraga Locsin,Councilor,"Brecia, Joselito Salazar",Lito B.,Lakas-Christian Muslim Democrats,13271
Daraga Locsin,Councilor,"Comia, Alex Lumanglas",Comia,Lakas-Christian Muslim Democrats,13509
Daraga Locsin,Councilor,"Lawenko, Ramon  Chavez",Mon,Lakas-Christian Muslim Democrats,14000
Daraga Locsin,Councilor,"Mier, Amado Jr.  Velasco",Jun,Lakas-Christian Muslim Democrats,14491
Daraga Locsin,Councilor,"Marcellana, Pedro III Tabuena",Nonoy,Independent,14947
Daraga Locsin,Councilor,"Tan, Maria Coleta Isabel Mediavillo",Mabel,Lakas-Christian Muslim Democrats,20236
Daraga Locsin,Councilor,"Bausa, Teresa L.",-,-,11022
Guinobatan,Mayor,"Garcia, Juan II Mitre",Juaning,-,18106
Guinobatan,Vice-Mayor,"Arevalo, Wilfredo Sr. Olaguer",Dong,Nationalist People's Coalition,13918
Guinobatan,Councilor,"Palevino, Christopher Oguan",Vines,Lakas-Christian Muslim Democrats,11394
Guinobatan,Councilor,"Orpiada, Sofia Opiana",Piang,Lakas-Christian Muslim Democrats,13492
Guinobatan,Councilor,"Olavario, Ruben Palomia",Ben,Lakas-Kampi,8965
Guinobatan,Councilor,"Ocfemia, Stephen Oropesa",Tepen,Lakas-Christian Muslim Democrats,11982
Guinobatan,Councilor,"Namia, Reynaldo Olaguer",Ando,Lakas-Kampi,9556
Guinobatan,Councilor,"Flores, Roberto Jose Suratos",Boy,Lakas-Christian Muslim Democrats,12081
Guinobatan,Councilor,"Banaga, Robert Morada",Bob,Lakas-Christian Muslim Democrats,9311
Guinobatan,Councilor,"Tingzon, Julio Iv Salvador",July,Lakas-Christian Muslim Democrats,10932
Jovellar,Mayor,"Arcangel, Jose Nunez",Boy,Lakas-Christian Muslim Democrats,4024
Jovellar,Vice-Mayor,"Clemente, Gilbert Alcantara",Embet,Nationalist People's Coalition,4544
