city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Baao,Mayor,"Bongcayao, Quirino Jr. Galicia",Jun,Lakas-Christian Muslim Democrats,9341
Baao,Vice-Mayor,"Badiola, Norman Eduardo Pastor",Maman,Lakas-Christian Muslim Democrats,9047
Baao,Councilor,"Bustilla, Jayson Pedro Jr. Benosa",Dodoy,Lakas-Kampi,6017
Baao,Councilor,"Vargas, Analyn Briones",Nalyn,Lakas-Kampi,6174
Baao,Councilor,"Ballesteros, Zeferino Jr. Barrameda",Boyet,Lakas-Christian Muslim Democrats,6189
Baao,Councilor,"Bedural, Edwin Panambo",Win,Lakas-Christian Muslim Democrats,6657
Baao,Councilor,"Briones, Victoria Badiola",Toying,Lakas-Christian Muslim Democrats,6780
Baao,Councilor,"Buena, Lucy Bustarga",,Lakas-Christian Muslim Democrats,7987
Baao,Councilor,"Bolalin, Miguel Jr. Breboneria",Mike,Lakas-Christian Muslim Democrats,8011
Baao,Councilor,"Bacsain, Eduardo Bustarga",Edbac,Independent,5926
Balatan,Mayor,"Borja, Nena Burce",Nena,Lakas-Christian Muslim Democrats,5214
Balatan,Vice-Mayor,"Nolasco, Gerald Balatan",Gerald,Lakas-Christian Muslim Democrats,5278
Balatan,Councilor,"Balatan, Nelson Cervantes",Son,Lakas-Christian Muslim Democrats,3779
Balatan,Councilor,"Landagan, Andres Bongalos",Andy,Lakas-Kampi,3825
Balatan,Councilor,"Mediado, Wenefredo Riparip",Wenie,Lakas-Kampi,4130
Balatan,Councilor,"Paranal, Jorge Zuniga",Ani,Lakas-Christian Muslim Democrats,4448
Balatan,Councilor,"Cuarto, Aurora Intia",Rora,Lakas-Kampi,4484
Balatan,Councilor,"Montenegro, Fidel Bon",Fidel,Lakas-Christian Muslim Democrats,5170
Balatan,Councilor,"Borja, Ma Isabel Buena",Minay,Lakas-Kampi,5466
Balatan,Councilor,"Celaje, Alberto Sanfuego",Berto,Lakas-Christian Muslim Democrats,3718
Bato,Mayor,"Borja, Nena Burce",Nena,Lakas-Christian Muslim Democrats,5214
Bato,Vice-Mayor,"Nolasco, Gerald Balatan",Gerald,Lakas-Christian Muslim Democrats,5278
Bato,Councilor,"Balatan, Nelson Cervantes",Son,Lakas-Christian Muslim Democrats,3779
Bato,Councilor,"Landagan, Andres Bongalos",Andy,Lakas-Kampi,3825
Bato,Councilor,"Mediado, Wenefredo Riparip",Wenie,Lakas-Kampi,4130
Bato,Councilor,"Paranal, Jorge Zuniga",Ani,Lakas-Christian Muslim Democrats,4448
Bato,Councilor,"Cuarto, Aurora Intia",Rora,Lakas-Kampi,4484
Bato,Councilor,"Montenegro, Fidel Bon",Fidel,Lakas-Christian Muslim Democrats,5170
Bato,Councilor,"Borja, Ma Isabel Buena",Minay,Lakas-Kampi,5466
Bato,Councilor,"Celaje, Alberto Sanfuego",Berto,Lakas-Christian Muslim Democrats,3718
Bombon,Mayor,"Angeles, Ma Luisa Del Castillo",Embot,Lakas-Kampi,3118
Bombon,Vice-Mayor,"Borja, Oscar Cea",Oca,Lakas-Kampi,3112
Bombon,Councilor,"Garcillanosa, Tito Viola",Sir Tito,-,2025
Bombon,Councilor,"Rosco, Noel Laguerta",Pakit,Lakas-Kampi,2145
Bombon,Councilor,"Eligoyo, Ma Ana Silva",Ana,Lakas-Kampi,2212
Bombon,Councilor,"Real, Marcelino Osea",Marcel,Aksyon Demokratiko/United Opposition,2270
Bombon,Councilor,"Abillon, Corazon Navarez",Azon,Lakas-Kampi,2298
Bombon,Councilor,"Alteza, Eddie Felix Sumangid",Ta Eddie,-,2817
Bombon,Councilor,"Hemady, Arnel Sr. Zabaldica",Nel,Aksyon Demokratiko/United Opposition,2959
Bombon,Councilor,"Aslor, Gerardo Nellasca",Doy,United Opposition,2014
Buhi,Mayor,"Lacoste, Rey Padrigone",Rpl,Lakas-Christian Muslim Democrats,12961
Buhi,Vice-Mayor,"Mercurio, Omar Morante",Omay,Lakas-Christian Muslim Democrats,13492
Buhi,Councilor,"Salvamante, Edwin Crescini",Emce,Lakas-Christian Muslim Democrats,8213
Buhi,Councilor,"Arcilla, Zaldy Nachor",Zaldy,Lakas-Christian Muslim Democrats,8724
Buhi,Councilor,"Rosana, Laureano Fabillano",Larry,Lakas-Kampi,8929
Buhi,Councilor,"Nonato, Maria Bella Zantua",Bel,Lakas-Christian Muslim Democrats,9178
Buhi,Councilor,"Camasis, Loreto Molina",Eyet,Lakas-Christian Muslim Democrats,9452
Buhi,Councilor,"Olano, Antonio Templonuevo",Tony,Lakas-Christian Muslim Democrats,10406
Buhi,Councilor,"Aguinillo, Margarita Moran",Margie,Lakas-Kampi,14382
Buhi,Councilor,"Jose, Jimmy Salvamante",Jimmyjoe,Lakas-Christian Muslim Democrats,7544
Bula,Mayor,"Decena, Benjamin Salva",Ben,Lakas-Kampi,11732
Bula,Vice-Mayor,"Rana, Gerry Delniguez",Embong,Lakas-Kampi,11457
Bula,Councilor,"Soliman, Noel Domagsang",Nosol,Lakas-Kampi,7484
Bula,Councilor,"Pontanal, Virgilio Destura",Bondying,Lakas-Kampi,7539
Bula,Councilor,"Rana, Evelyn Esta",Belen,Lakas-Kampi,7664
Bula,Councilor,"Gumba, Paulino Fornoles",Lino,Lakas-Kampi,7888
Bula,Councilor,"Ballebar, Ernesto Eloreta",Erning,Lakas-Kampi,9404
Bula,Councilor,"Mora, Edna Zantua",Edna,Lakas-Kampi,9419
Bula,Councilor,"Cariaga, Janice Jardinel",Natet,Lakas-Kampi,10557
Bula,Councilor,"Malanyaon, Nilo Ii Canet",Totoy,Lakas-Kampi,7331
Cabusao,Mayor,"Genova, Norberto Ursua",Totoy,Lakas-Kampi,4331
Cabusao,Vice-Mayor,"Santiago, Nebb Paglinawan",Bidoy-Bidoy,-,3492
Cabusao,Councilor,"Camalla, Wilfredo Regalario",Fred,Nationalist People's Coalition,1867
Cabusao,Councilor,"Avizola, Melchor Bermundo",Choy,Lakas-Kampi,1882
