cities,position,name,nickname,party_affiliation,votes_obtained
Alcantara,Mayor,"Lobitana, Benjamin Maquiling",Benlo,Lakas-Kabalikat ng Malayang Pilipino,6634
Alcantara,Mayor,"Guisadio, Raul Amacanin",Oto,Lakas-Kabalikat ng Malayang Pilipino,7610
Alcantara,Mayor,"Wagas, Ritchie Reyes",Ritchie,Liberal Party,8911
Alcantara,Vice-Mayor,"Quino, Joel Pareja",Jo,Barog Alang sa Kauswagan ug Demokrasya,9096
Alcantara,Vice-Mayor,"Magallon, Gilberto Fernandez",Maggie,Lakas-Kabalikat ng Malayang Pilipino,7328
Alcantara,Vice-Mayor,"Basilisco, Margarito Otordoz",Garitoy,Lakas-Kabalikat ng Malayang Pilipino,4274
Alcantara,Councilor,"Alocillo, Albert Abuyador",Bobog,Lakas-Kabalikat ng Malayang Pilipino,4760
Alcantara,Councilor,"Javierto, Restituto Homecillo",Dodong,Lakas-Kabalikat ng Malayang Pilipino,4717
Alcantara,Councilor,"Villaneza, Alejandro Cuevas",Ale,Lakas-Kabalikat ng Malayang Pilipino,4538
Alcantara,Councilor,"Pinez, Mariano Doria",Mar,Lakas-Kabalikat ng Malayang Pilipino,4070
Alcantara,Councilor,"Abing, Josephine Tapac",Joy,Barog Alang sa Kauswagan ug Demokrasya,8013
Alcantara,Councilor,"Calo, Wilfredo Tirado",Fredo Calo,Barog Alang sa Kauswagan ug Demokrasya,7230
Alcantara,Councilor,"Paradiang, Tessa Cabatingan",Tessa Cang,Barog Alang sa Kauswagan ug Demokrasya,7193
Alcantara,Councilor,"Reynes, Joselito Valencia",Cocoy,Barog Alang sa Kauswagan ug Demokrasya,6923
Alcantara,Councilor,"Gatdula, Venancio Jr. Madrid",Jun,Liberal Party,6706
Alcantara,Councilor,"Paradiang, Pepe Medillo",Pepe,Barog Alang sa Kauswagan ug Demokrasya,6615
Alcantara,Councilor,"Ferras, Joseph Mascardo",Seph,Lakas-Kabalikat ng Malayang Pilipino,5082
Alcantara,Councilor,"Homecillo, Dioscoro Baylosis",Orot,Lakas-Kabalikat ng Malayang Pilipino,5357
Alcantara,Councilor,"Aller, Nilo Alocillo",,Lakas-Kabalikat ng Malayang Pilipino,5542
Alcantara,Councilor,"Arceo, Duque Canen",Doke,-,9483
Alcantara,Councilor,"Caburnay, Beatriz Yosores",Betty,Lakas-Kabalikat ng Malayang Pilipino,5645
Alcantara,Councilor,"Tabanao, Godofredo Tapales",Dodoy,Lakas-Kabalikat ng Malayang Pilipino,5537
Alcantara,Councilor,"Canete, Fredo Celeste",Fred,Lakas-Kabalikat ng Malayang Pilipino,5420
Alcantara,Councilor,"Irojo, Edgar Masuela",Eddie,Lakas-Kabalikat ng Malayang Pilipino,5098
Alcantara,Councilor,"Barino, Joe Marie Villanueva",Jojo,Lakas-Kabalikat ng Malayang Pilipino,4945
Alcantara,Councilor,"Odever, Asterio Ricafranca",Terio,Lakas-Kabalikat ng Malayang Pilipino,4931
Alcantara,Councilor,"Marcellana, Sergio De Roxas",Jun,Lakas-Kabalikat ng Malayang Pilipino,4342
Alcantara,Councilor,"Lamosao, Balgame Sotelliza",Gamy,Lakas-Kabalikat ng Malayang Pilipino,4309
Alcantara,Councilor,"Magallon, Verna Villordon",Vern,Lakas-Kabalikat ng Malayang Pilipino,6669
Alcantara,Councilor,"Cabatingan, Joy Ann Pepito",Joy,-,8170
Alcoy,Mayor,"De Los Santos, Nicomedes A.",Nick-Nick,Lakas-Kabalikat ng Malayang Pilipino,4759
Alcoy,Vice-Mayor,"Plando, Antonio Medellin",Tony,Lakas-Kabalikat ng Malayang Pilipino,4016
Alcoy,Councilor,"Osorio, John Nieves",Johnny,Lakas-Kabalikat ng Malayang Pilipino,3107
Alcoy,Councilor,"Niere, Pedro Carungay",Uncle Pedro,Lakas-Kabalikat ng Malayang Pilipino,3246
Alcoy,Councilor,"De Los Santos, Catalino Jr. Medez",Ompong,Lakas-Kabalikat ng Malayang Pilipino,3265
Alcoy,Councilor,"Abajon, Jonathan Montalbo",Tata,Lakas-Kabalikat ng Malayang Pilipino,3684
Alcoy,Councilor,"Maglalang, Adoracion Jesusa Singson",Daday,Lakas-Kabalikat ng Malayang Pilipino,3871
Alcoy,Councilor,"Costin, Ailee Romarate",Bal,Lakas-Kabalikat ng Malayang Pilipino,3993
Alcoy,Councilor,"Sestoso, Michael Angelo De Los Santos",Angke,Lakas-Kabalikat ng Malayang Pilipino,4313
Alcoy,Councilor,"Sestoso, Ruel Antonio De Los Santos",Kadong,Independent,2602
Aloguinsan,Mayor,"Moreno, Cynthia Go",Cynth,Lakas-Kabalikat ng Malayang Pilipino,8218
Aloguinsan,Mayor,"Villamor, Virginio Erong",Benyong,-,11542
Aloguinsan,Vice-Mayor,"Moreno, Augustus Caesar Lim",Chonse,Lakas-Kabalikat ng Malayang Pilipino,6048
Aloguinsan,Vice-Mayor,"Pua, Sonia Quinto",Son,Liberal Party,12058
Aloguinsan,Councilor,"Capuno, Baltazar Batulan",Zaldy,Liberal Party,10678
Aloguinsan,Councilor,"Durano, Manuel Mari Amal",Manman,Barog Alang sa Kauswagan ug Demokrasya,9857
Aloguinsan,Councilor,"Into, Maximiano Jr. Tacugan",Gerger,-,10355
Aloguinsan,Councilor,"Awing, Antonio Casas",Tony,Barog Alang sa Kauswagan ug Demokrasya,9683
Aloguinsan,Councilor,"Bacula, Regel Cantalejo",Engr.,Liberal Party,9562
Aloguinsan,Councilor,"Camara, James Gimena",Jim,-,9510
Aloguinsan,Councilor,"Manigos, Nacianzino Almodien",Sinoy,Lakas-Kabalikat ng Malayang Pilipino,4153
Aloguinsan,Councilor,"Lana, Ricardo Jr. Mabano",Junior,Lakas-Kabalikat ng Malayang Pilipino,4286
Aloguinsan,Councilor,"Ripdos, Marilou Mancia",Malou,Lakas-Christian Muslim Democrats,4626
Aloguinsan,Councilor,"Margallo, Danilo Lopez",Danny,Lakas-Christian Muslim Democrats,4759
Aloguinsan,Councilor,"Mantalaba, Hipolito Sr. Georfo",Polito,Lakas-Kabalikat ng Malayang Pilipino,4781
Aloguinsan,Councilor,"Gacang, Claudio Ciniafranca",Odiong,Lakas-Kabalikat ng Malayang Pilipino,5179
Aloguinsan,Councilor,"Biton, Mariolito Raganas",Toto,Lakas-Kabalikat ng Malayang Pilipino,5264
Aloguinsan,Councilor,"Secuya, Ernesto Tribunalo",Nene,Lakas-Kabalikat ng Malayang Pilipino,5778
Aloguinsan,Councilor,"Villamor, Martin Gerard Teves",Gerard,-,11675
Aloguinsan,Councilor,"Seno, Imelda Maningo",Imelda,Liberal Party,9434
Argao,Mayor,"Galeos, Edsel Amatong",Edsel,Lakas-Kabalikat ng Malayang Pilipino,23345
Argao,Vice-Mayor,"Sesaldo, Azucena Minoza",Cena,Lakas-Kabalikat ng Malayang Pilipino,14495
Argao,Councilor,"Miranda, Marlon Chan",Miguel,Lakas-Kabalikat ng Malayang Pilipino,11242
