city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Almeria,Mayor,"Ty, Rolando Edicto",Lando,-,4619
Almeria,Vice-Mayor,"Jaguros, Jasmin Tonacao",Mick-Mick,-,3471
Almeria,Councilor,"Delos Reyes, Percival Barrina",Percy,-,3596
Almeria,Councilor,"Dela Pena, Orion Banquico",Doding,-,3798
Almeria,Councilor,"Barrina, Domingo Alabarca",Mingoy,-,3916
Almeria,Councilor,"Morillo, Leonardo Arante",Leonel,-,4174
Almeria,Councilor,"Quijano, Henry Onque",Hen,-,5367
Almeria,Councilor,"Salloman, Rebecca Merioles",Becky,-,5454
Almeria,Councilor,"Agajan, Dominador Olaer",Doming,-,5690
Almeria,Councilor,"Sabitsana, Supreo Rey  Castrodes",Rey,-,3573
Biliran,Mayor,"Chan, Carlos Laurente",Charlie,Laban ng Demokratikong Pilipino,3513
Biliran,Vice-Mayor,"Enage, Leandro Batongbacal",Klong,Lakas-Kampi,4990
Biliran,Councilor,"Mejia, Oscar II Antoc",Kaka,Lakas-Kampi,4684
Biliran,Councilor,"Gelizon, Ernesto Alburo",Erning,Independent,4625
Biliran,Councilor,"Penaflor, Richie Salas",Dodong,Lakas-Kampi,4640
Biliran,Councilor,"Cabrales, Ramoncito Mabute",Monching,Lakas-Kampi,4727
Biliran,Councilor,"Rondobio, Emmanuel Corpin",Butch,Lakas-Kampi,4776
Biliran,Councilor,"Tonelete-Regala, Julie Joanne Casaul",Julie,-,4796
Biliran,Councilor,"Gayrama, Edwin Gervacio",Drax,Lakas-Kampi,4962
Biliran,Councilor,"Tiu, Hospicio III Rosales",Jun-Jun,Lakas-Kampi,4070
Cabucgayan,Mayor,"Garing, Arnelito Sanoria",Arnel,Lakas-Kampi,5101
Cabucgayan,Vice-Mayor,"Adobo, Gemma Garcia",Gemma,Lakas-Kampi,5038
Cabucgayan,Councilor,"Palacio, John Garcia",John,Lakas-Kampi,3317
Cabucgayan,Councilor,"Igano, Edwin Tagalog",Chapen,Independent,3693
Cabucgayan,Councilor,"Villamor, Eladio Lepasana",Elad,Lakas-Kampi,3865
Cabucgayan,Councilor,"Veneracion, Philip Uy",Philip,Liberal Party,4052
Cabucgayan,Councilor,"Cordeta, Rustico Azores",Rusty,Lakas-Kampi,4339
Cabucgayan,Councilor,"Sabornido, Ruben Ayoste",Bebe,Lakas-Kampi,4646
Cabucgayan,Councilor,"Padar, Rosila Lagaras",Sila,Lakas-Kampi,4933
Cabucgayan,Councilor,"Juntilla, Paul Tan",Pol,Independent,3132
Caibiran,Mayor,"Delante, Floresca Sia",Bulak,Puwersa ng Masang Pilipino,4662
Caibiran,Vice-Mayor,"Maderazo, Eulalio Go",Laloy,Lakas-Kampi,4079
Caibiran,Councilor,"Mocorro, Gil Acala",Pards,-,3372
Caibiran,Councilor,"Baribe, Gracia Gervacio",Gracia,-,3528
Caibiran,Councilor,"Ramirez, Rodito Rosales",Odit,-,4210
Caibiran,Councilor,"Ong, Arthur Ang",Art,-,4265
Caibiran,Councilor,"Go, Naricres Corpin",Etet,-,4654
Caibiran,Councilor,"Joboco, Marilyn Canete",Malyn,-,4708
Caibiran,Councilor,"Salentes, Orlando Jr. Rosalia",Don,-,5205
Caibiran,Councilor,"Villasin, Marlou Reyes",Dhadhay,-,3927
Culaba,Mayor,"Uyvico, Enrico Bernardo",Eric,Lakas-Kampi,3148
Culaba,Vice-Mayor,"Punay, Epifanio Jr. Merwa",Intoy,Lakas-Kampi,2970
Culaba,Councilor,"Pedrosa, Jesse Clyde Pongos",Jc,Lakas-Kampi,3016
Culaba,Councilor,"Plecerda, Rodulfo Sr Gadugdug",Rudy,Lakas-Kampi,3093
Culaba,Councilor,"Fumar, Mailaine Managbanag",Mai-Mai,Puwersa ng Masang Pilipino,3307
Culaba,Councilor,"Reveldez, Lorenzo Sr  Macorol",Yoyong,Lakas-Kampi,3436
Culaba,Councilor,"Serdena, Carlota Surdano",Carling,-,3453
Culaba,Councilor,"Yu, Tommy Horfilla",Tommy,Puwersa ng Masang Pilipino,3790
Culaba,Councilor,"Colobong, Gemma Rosario",Gem,Liberal Party,3907
Culaba,Councilor,"Olimba, Humphrey Borromeo",Prix,Liberal Party,3852
Kawayan,Mayor,"Espina, Rodolfo Sr Jimenez",Rudy,Kabalikat ng Malayang Pilipino,5310
Kawayan,Vice-Mayor,"Ang, Caridad Atok",Caring,Lakas-Kampi,6309
Kawayan,Councilor,"Hartweg, Estelita Solayao",Telay,Liberal Party,4247
Kawayan,Councilor,"Docdoc, Rosfido Aguilar",Edo,Lakas-Kampi,4484
Kawayan,Councilor,"Tillada, Pascuala Dela Rosa",Payling,Lakas-Kampi,4837
Kawayan,Councilor,"Mendero, Adoracion Japson",Doras,Lakas-Kampi,5209
Kawayan,Councilor,"Seno, Edmund Docdoc",Aboy,Lakas-Kampi,5452
Kawayan,Councilor,"Lomallo, Eustacio Jr. Cabatingan",Tacio,Lakas-Kampi,6192
Kawayan,Councilor,"Victorioso, Conrado Esperanza",Conrad,Lakas-Kampi,6736
Kawayan,Councilor,"Ampong, Rizalinda Logro",Linda,Lakas-Kampi,6177
Maripipi,Mayor,"Albelda, Noel Mejarito",Noel,Liberal Party,1982
Maripipi,Mayor,"Parilla, Susan Velasquez",Susan,-,9711
Maripipi,Vice-Mayor,"Macorol, Nulkisam Sabdulla",Kisam,Lakas-Kampi,1962
Maripipi,Councilor,"Mulles, Felisa Sta Singh",Feling,Puwersa ng Masang Pilipino,1642
Maripipi,Councilor,"Manzanares, Cirilo Aguilar",Totoy,Lakas-Kampi,1666
Maripipi,Councilor,"Salonoy, Reynold Asis",Nonoy,Puwersa ng Masang Pilipino,1798
Maripipi,Councilor,"Albelda, Remedios Mejarito",Medina,Puwersa ng Masang Pilipino,1896
Maripipi,Councilor,"Radam, Nenita Roluna",Nene,Puwersa ng Masang Pilipino,1924
Maripipi,Councilor,"Cabogoy, Dionisio Jr. Nalcot",Boboy,Lakas-Kampi,1953
Maripipi,Councilor,"Casio, Getulio Ambrocio",Tolly,-,1988
Maripipi,Councilor,"Pulga, Roque Balasanos",Toting,Puwersa ng Masang Pilipino,1639
Naval,Vice-Mayor,"Curso, Vicente Jr. Villacrusis",Titing,Lakas-Kampi,8413
Naval,Councilor,"Casas, Merle Garcia",Merle,Lakas-Kampi,9543
Naval,Councilor,"Paras, Roselyn Espina",Roselyn,Lakas-Kampi,9186
Naval,Councilor,"Pitao, Edwin Salarza",Win,Lakas-Kampi,8703
Naval,Councilor,"Limpiado, Niceto Jr. Locquiao",Aim,Lakas-Kampi,8117
Naval,Councilor,"Velasquez, Gabino IV Sabonsolin",Gabby,Liberal Party,7695
Naval,Councilor,"Del Rosario, Victor Jr. Atok",Jun,Lakas-Kampi,7235
Naval,Councilor,"Genson, Jose Tahanlangit",Joe,Lakas-Kampi,7202
Naval,Councilor,"Tambis, Primo Caliao",Borot,Lakas-Kampi,7162
