city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Arteche,Mayor,"Evardone, Rolando Baldelobar",Rolly,Independent,3406
Arteche,Vice-Mayor,"Ramos, Thelma Tapalla",Matel,-,3679
Arteche,Councilor,"Moscosa, Luis Jr. Morallos",Boyboy,-,2938
Arteche,Councilor,"Lopega, Ralph Calda",Osay,-,3000
Arteche,Councilor,"Bordo, Jesus Barcial",Eyih,-,3003
Arteche,Councilor,"Mejica, Antonio Madeja",Tony,-,3187
Arteche,Councilor,"Osias, Sylvina Mejica",Selbing,-,3246
Arteche,Councilor,"Ribong, Jesus Mejica",Jessie,-,3442
Arteche,Councilor,"Kho, Norma Montances",Nene,-,3709
Arteche,Councilor,"Dionio, Henry Derilo",Oca,-,2800
Balangiga,Mayor,"De Lira, Viscuso Salazar",Viscoy,Independent,3238
Balangiga,Vice-Mayor,"Gamalo, Maximo Naporan",Simoy,Lakas-Christian Muslim Democrats,3394
Balangiga,Councilor,"Balderama, Angel Dulfo",Angel,Independent,3010
Balangiga,Councilor,"Eder, Modesto Abejer",Mode,Independent,3130
Balangiga,Councilor,"Espinosa, Oscar Quibal",Oca,Independent,3104
Balangiga,Councilor,"Sabido, Alpio Caliwan",Alpe,Independent,2910
Balangiga,Councilor,"Salazar, Cristita Bagunas",Tita,Lakas-Christian Muslim Democrats,2796
Balangiga,Councilor,"Enciso, Samuel Abing",Sammy,-,3205
Balangiga,Councilor,"Congzon, Evangeline Duran",Gina,-,3253
Balangiga,Councilor,"Alvarina, Dexter Abing",Dex,Lakas-Christian Muslim Democrats,2860
Balangkayan,Mayor,"Gesite, Vegerano Baris",Rano,Lakas-Christian Muslim Democrats,2645
Balangkayan,Vice-Mayor,"Alde, Nenita Baris",Nita,Lakas-Christian Muslim Democrats,2205
Balangkayan,Councilor,"Gesite, Arnold Azura",Noli,Lakas-Christian Muslim Democrats,2047
Balangkayan,Councilor,"Alota, Adelino Borja",Ade,Puwersa ng Masang Pilipino,2116
Balangkayan,Councilor,"Barbo, Urbano Ambal",Ubay,Lakas-Christian Muslim Democrats,2253
Balangkayan,Councilor,"Yadao, Ernesto Contado",Estoy,Lakas-Christian Muslim Democrats,2301
Balangkayan,Councilor,"Glino, Galo Jr. Elpedes",Indo,Lakas-Christian Muslim Democrats,2349
Balangkayan,Councilor,"Abunales, Alicia Guarino",Alice,Lakas-Christian Muslim Democrats,2553
Balangkayan,Councilor,"Gunda, Leon Matandag",Lyn,Lakas-Christian Muslim Democrats,2689
Balangkayan,Councilor,"Valera, Ronaldo O.",-,-,2289
Borongan City,Mayor,"Anacta, Fidel Jr. Vilches",Pangka,Lakas-Christian Muslim Democrats,13063
Borongan City,Vice-Mayor,"Abunda, Maria Fe Romerica",Fe,Lakas-Christian Muslim Democrats,14541
Borongan City,Councilor,"Badillo, Bonifacio Perez",Boni,Lakas-Christian Muslim Democrats,11174
Borongan City,Councilor,"Caharop, Rodrigo Justiniano",Rudy,Lakas-Christian Muslim Democrats,10469
Borongan City,Councilor,"Casillano, Edsel Antonio Picardal",Dok Elay,Lakas-Christian Muslim Democrats,10202
Borongan City,Councilor,"Amboy, Daniel Belizar",Danny,-,11401
Borongan City,Councilor,"Villarino, Daniel Amboy",Dan,Partido ng Demokratikong Pilipino-Lakas ng Bayan,9873
Borongan City,Councilor,"Apita, Leonilo Balano",Leo,Lakas-Christian Muslim Democrats,9657
Borongan City,Councilor,"Solidon, Jesse Cayago",Jess,Lakas-Christian Muslim Democrats,9028
Borongan City,Councilor,"Franco , Victor Libanan",Vic,Lakas-Christian Muslim Democrats,10094
Can-avid,Mayor,"Germino, Gil Norman Papiona",Toytoy,Lakas-Christian Muslim Democrats,5517
Can-avid,Vice-Mayor,"Cesista, Alicia Campomanes",Alice,Lakas-Christian Muslim Democrats,5556
Can-avid,Councilor,"Busa, Antonio Coles",Oyhoc,Independent,3689
Can-avid,Councilor,"Beato, Carmen Afable",Mambng,-,4100
Can-avid,Councilor,"Nic, Rolando Busa",Rolly,Lakas-Christian Muslim Democrats,4281
Can-avid,Councilor,"Portez, Cleopatra Acayen",Pata,Puwersa ng Masang Pilipino,4775
Can-avid,Councilor,"Coso, Michael Glenn Casillano",Biboy,Lakas-Christian Muslim Democrats,5081
Can-avid,Councilor,"Balla, Aurora Java",Auring,Lakas-Christian Muslim Democrats,5119
Can-avid,Councilor,"Germino, Vilma Aseo",Babie,Lakas-Christian Muslim Democrats,5653
Can-avid,Councilor,"Primo, Gulferic Grata",-,Lakas-Christian Muslim Democrats,4082
General Macarthur,Mayor,"Macawile, Rafael Jr.  Arias",Payling,Lakas-Christian Muslim Democrats,1644
General Macarthur,Mayor,"Ty, Jaime Sumiguin",Jimmy,Puwersa ng Masang Pilipino,2950
General Macarthur,Mayor,"Villacarillo, Emiliana Picardo",Ewit,Puwersa ng Masang Pilipino,7230
General Macarthur,Vice-Mayor,"Go , Emerita Ranit",Emy,Puwersa ng Masang Pilipino,2903
General Macarthur,Vice-Mayor,"Quiminales, Edwin Bagaindoc",Edwin,Puwersa ng Masang Pilipino,1573
General Macarthur,Vice-Mayor,"Oraya, Lucito Ditalo",Lowe,Lakas-Christian Muslim Democrats,8096
General Macarthur,Councilor,"Ablay, Daisy Macabocsit",Daisy,Puwersa ng Masang Pilipino,1425
General Macarthur,Councilor,"Santiago, Valentin Campomanes",Val,Lakas-Christian Muslim Democrats,7675
General Macarthur,Councilor,"Almazan, Artemio Placiente",Temio,Lakas-Christian Muslim Democrats,8262
General Macarthur,Councilor,"Carpeso, Nino Robin",Nino,Lakas-Christian Muslim Democrats,9127
General Macarthur,Councilor,"Laciste, Fidel Sr. Lacanaria",Calamay,Puwersa ng Masang Pilipino,1387
General Macarthur,Councilor,"Gagam, Candido Felecin",Dodie,Lakas-Christian Muslim Democrats,1866
General Macarthur,Councilor,"Anfone, Jesus Jr. Lopez",Toti,Independent,1852
General Macarthur,Councilor,"Naldo, Zacarias Macabare",Carling,Lakas-Christian Muslim Democrats,1400
General Macarthur,Councilor,"Waniwan, Primitivo Bagon",Priment,Lakas-Christian Muslim Democrats,1634
General Macarthur,Councilor,"Cablao, Renato Cabos",Ato,Lakas-Christian Muslim Democrats,1803
General Macarthur,Councilor,"Cortez, Arturo Jr. Fundavila",Jun,Puwersa ng Masang Pilipino,7129
General Macarthur,Councilor,"Lazarra, Hernando Acudisin",Nando,Lakas-Christian Muslim Democrats,7026
General Macarthur,Councilor,"Rivera, Arnel Baldago",Arnle,Lakas-Christian Muslim Democrats,6762
General Macarthur,Councilor,"Picardo, Melvyn Quitorio",Boyting,Lakas-Christian Muslim Democrats,6457
General Macarthur,Councilor,"Baldo, Josefa Dado",Efa,Puwersa ng Masang Pilipino,3188
General Macarthur,Councilor,"Miflores, Roberto Russel",Robbie,Lakas-Christian Muslim Democrats,2950
General Macarthur,Councilor,"Thong, Christopher Lopez",Chris,Lakas-Christian Muslim Democrats,2889
General Macarthur,Councilor,"Sumiguin, Jerry Calvadores",Jerry,Puwersa ng Masang Pilipino,2528
General Macarthur,Councilor,"Acebias, Pepe Ty",Pepay,Puwersa ng Masang Pilipino,2404
General Macarthur,Councilor,"Trencio, Nicanor Yakit",Nikoy,Lakas-Christian Muslim Democrats,2503
General Macarthur,Councilor,"Japson, Luzviminda Manuel",Luz,Lakas-Christian Muslim Democrats,2402
General Macarthur,Councilor,"Baston, John Cahanap",John,-,2400
General Macarthur,Councilor,"Cabos, Jovelino Arceno",-,Lakas-Christian Muslim Democrats,1621
General Macarthur,Councilor,"Camacho, Primitivo Tegio",Tibo,Puwersa ng Masang Pilipino,7223
Giporlos,Mayor,"Biong, Mateo Jr. Samuray",Dayon,Lakas-Christian Muslim Democrats,4405
Giporlos,Vice-Mayor,"Balagasay, Inigo Famador",Inying,Lakas-Christian Muslim Democrats,3469
Giporlos,Councilor,"Padua, Efren Sunit",Epoy,-,3299
Giporlos,Councilor,"Bagunas, Felix Tercio",Yopok,Lakas-Christian Muslim Democrats,3406
