city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Abuyog,Mayor,"Traya, Octavio Jr. Jervoso",Bebot,Lakas-Christian Muslim Democrats,17701
Abuyog,Vice-Mayor,"Gacis, Emmanuel Laporre",Boboy,-,17135
Abuyog,Councilor,"Traya, Lionel Kanen",Len-Len,Lakas-Christian Muslim Democrats,15536
Abuyog,Councilor,"Sy, Benito Caminong",Bemboy,Lakas-Christian Muslim Democrats,16103
Abuyog,Councilor,"Ganoza, Marcelo Gonzales",Seloc,Lakas-Christian Muslim Democrats,13567
Abuyog,Councilor,"Landia, Francisco Barquin",Boy,Lakas-Christian Muslim Democrats,13790
Abuyog,Councilor,"Allera, Arnold Requioma",Noli,Lakas-Christian Muslim Democrats,13853
Abuyog,Councilor,"Piscos, Nathaniel Descallar",Thaniel,Lakas-Christian Muslim Democrats,12575
Abuyog,Councilor,"Realino, Francis Raymund Agujar",Fray,Lakas-Christian Muslim Democrats,13227
Abuyog,Councilor,"Deloy, Placido Amplayo",Sidoy,Lakas-Christian Muslim Democrats,15033
Alangalang,Mayor,"Yu, Loreto Toledo",Intong,Liberal Party,11316
Alangalang,Vice-Mayor,"Gariando, Isidro Jr. Dagsa",Bodoy,Liberal Party,8745
Alangalang,Councilor,"Salazar, Ricardo Jr. Bascon",Junjun,Lakas-Kabalikat ng Malayang Pilipino,6338
Alangalang,Councilor,"Sydiongco, Jet Caones",Jet,Liberal Party,7549
Alangalang,Councilor,"Bidua , Antonio Jr.  Abatias",Boloy,Lakas-Kabalikat ng Malayang Pilipino,7626
Alangalang,Councilor,"Antoni, Lilia Villablanca",Lilia,Liberal Party,7786
Alangalang,Councilor,"Superada, Anastacio Murillo",Tasing,Liberal Party,8930
Alangalang,Councilor,"Apurillo, Eileen Alcober",Kikay,-,9514
Alangalang,Councilor,"Bague, Mario Villablanca",Mar,Liberal Party,11280
Alangalang,Councilor,"Yu, Virginia Empillo",Vinying,Lakas-Kabalikat ng Malayang Pilipino,6157
Albuera,Mayor,"Dela Victoria, Sixto Barte",Six,Lakas-Christian Muslim Democrats,11525
Albuera,Mayor,"Kuizon, Luis Espina",Luis,-,7524
Albuera,Vice-Mayor,"Barte, Mario Tupa",Mar,Lakas-Christian Muslim Democrats,9375
Albuera,Vice-Mayor,"Rances, Roderick Bulawan",Rikrik,Lakas-Christian Muslim Democrats,7522
Albuera,Councilor,"Barte, Atanacio Macamay",Tano,Lakas-Christian Muslim Democrats,8037
Albuera,Councilor,"Zaldivar, Buen Cornelius Gates",Neil,Lakas-Christian Muslim Democrats,8015
Albuera,Councilor,"Retuya, Miguel Dy",Igi,Lakas-Christian Muslim Democrats,7678
Albuera,Councilor,"Tolero, Catalina Loreto",Cathy,Lakas-Christian Muslim Democrats,7515
Albuera,Councilor,"Junco, Romeo Mandras",Meo,Lakas-Christian Muslim Democrats,7092
Albuera,Councilor,"Salinas, Antonio Torrefranca",Tony,Lakas-Christian Muslim Democrats,6894
Albuera,Councilor,"Mesina, Norman Simpliciano",Oman,Lakas-Christian Muslim Democrats,8330
Albuera,Councilor,"Cayanong, Rodanimod Cortes",Dandy,Lakas-Christian Muslim Democrats,9685
Albuera,Councilor,"Avila, Cresenciano Rallos",Cris,Laban ng Demokratikong Pilipino,6350
Albuera,Councilor,"Rosal, Bernardo Kuizon",Dodong,Lakas-Christian Muslim Democrats,6400
Albuera,Councilor,"Sido, Roberto Jr. Kuizon",Junior,Lakas-Christian Muslim Democrats,6466
Albuera,Councilor,"Echevarre, Marc Sanoria",Mac-Mac,Laban ng Demokratikong Pilipino,6509
Albuera,Councilor,"Salazar, Herbert Bohol",Ebet,Lakas-Christian Muslim Democrats,6693
Albuera,Councilor,"Morata, James Arellano",Jim,-,6914
Albuera,Councilor,"Kinanahan, Francisco Patindol",Ikot,-,6968
Albuera,Councilor,"Borong, Jose Que",Boy,Lakas-Christian Muslim Democrats,6237
Babatngon,Mayor,"Dela Victoria, Sixto Barte",Six,Lakas-Christian Muslim Democrats,11525
Babatngon,Mayor,"Kuizon, Luis Espina",Luis,-,7524
Babatngon,Vice-Mayor,"Barte, Mario Tupa",Mar,Lakas-Christian Muslim Democrats,9375
Babatngon,Vice-Mayor,"Rances, Roderick Bulawan",Rikrik,Lakas-Christian Muslim Democrats,7522
Babatngon,Councilor,"Barte, Atanacio Macamay",Tano,Lakas-Christian Muslim Democrats,8037
Babatngon,Councilor,"Zaldivar, Buen Cornelius Gates",Neil,Lakas-Christian Muslim Democrats,8015
Babatngon,Councilor,"Retuya, Miguel Dy",Igi,Lakas-Christian Muslim Democrats,7678
Babatngon,Councilor,"Tolero, Catalina Loreto",Cathy,Lakas-Christian Muslim Democrats,7515
Babatngon,Councilor,"Junco, Romeo Mandras",Meo,Lakas-Christian Muslim Democrats,7092
Babatngon,Councilor,"Salinas, Antonio Torrefranca",Tony,Lakas-Christian Muslim Democrats,6894
Babatngon,Councilor,"Mesina, Norman Simpliciano",Oman,Lakas-Christian Muslim Democrats,8330
Babatngon,Councilor,"Cayanong, Rodanimod Cortes",Dandy,Lakas-Christian Muslim Democrats,9685
Babatngon,Councilor,"Avila, Cresenciano Rallos",Cris,Laban ng Demokratikong Pilipino,6350
Babatngon,Councilor,"Rosal, Bernardo Kuizon",Dodong,Lakas-Christian Muslim Democrats,6400
