city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Catarman,Mayor,"Gabucan, Jose Antonio Gonzalez",Tony,Independent,4442
Catarman,Vice-Mayor,"Jacot, Nestor Ares",Nestor,Lakas-Christian Muslim Democrats,4295
Catarman,Councilor,"Abesamis, Librado Burgonoz",Dongdong,Lakas-Christian Muslim Democrats,3156
Catarman,Councilor,"Apugan, Godofredo Salarda",Godoy,Liberal Party,3169
Catarman,Councilor,"Acido, Rogelio Pagute",Ondoy,Liberal Party,3178
Catarman,Councilor,"Abregana, Wilfredo Ragay",Fredo,Lakas-Christian Muslim Democrats,3458
Catarman,Councilor,"Maiso, Claudia Echanco",Meding,Lakas-Christian Muslim Democrats,4261
Catarman,Councilor,"Babarin, Adam Salcedo",Sonny,Lakas-Christian Muslim Democrats,3650
Catarman,Councilor,"Rodriguez, Marve Go",Bing,Lakas-Christian Muslim Democrats,4305
Catarman,Councilor,"Babael, Thompson Ihong",Thomp,Lakas-Christian Muslim Democrats,3091
Guinsilaban,Mayor,"Llacuna, Raul Macariola",Loloy,Liberal Party,2329
Guinsilaban,Vice-Mayor,"Abecia, Helenio Napone",Tata,Lakas-Christian Muslim Democrats,2292
Guinsilaban,Councilor,"Tabalba, Rajah Rex Villaruel",Rajah,Lakas-Christian Muslim Democrats,2513
Guinsilaban,Councilor,"Abecia, Leodegario Ladera",Loloy,Liberal Party,2983
Guinsilaban,Councilor,"Jadman, Medardo Aban",Loloy,Lakas-Christian Muslim Democrats,1747
Guinsilaban,Councilor,"Malaton, Jimmy Balisado",Jim,Lakas-Christian Muslim Democrats,2049
Guinsilaban,Councilor,"Cordero, Rogelio Gabutan",Loloy,-,2160
Guinsilaban,Councilor,"Galla, Erlito Fajardo",Elmo,Lakas-Christian Muslim Democrats,2340
Guinsilaban,Councilor,"Salon, Roldan Cruz",Dan,Independent,2462
Guinsilaban,Councilor,"Roxas, Alfredo Estrada",Zamora,Lakas-Christian Muslim Democrats,2521
Mahinog,Mayor,"Jajalla, Alex Rullon",Victory,Lakas-Christian Muslim Democrats,4931
Mahinog,Vice-Mayor,"Acle, Rogerio Cagas",Dodong,-,4555
Mahinog,Councilor,"Tabamo, Manolo Sr. Villadores",Nol,Independent,2879
Mahinog,Councilor,"Somobay, Leoncio Pajalla",Leony,Lakas-Christian Muslim Democrats,3034
Mahinog,Councilor,"Abao, Kaiser Acebu",Kamacs,Lakas-Christian Muslim Democrats,3092
Mahinog,Councilor,"Labadan, Jonard Baculanta",Nard,Lakas-Christian Muslim Democrats,3205
Mahinog,Councilor,"Galochino, Nerio Yamit",Loloy,Lakas-Christian Muslim Democrats,3477
Mahinog,Councilor,"Babanto, Valentin Feniza",Tony,Independent,4234
Mahinog,Councilor,"Tan, Rey Lawrence Khu",Ensoy,-,5523
Mahinog,Councilor,"Babanto, Liberato Elpanag",Liber,Lakas-Christian Muslim Democrats,2469
Mambajao,Mayor,"Romualdo, Maria Luisa De La Fuente",Baby,Lakas-Christian Muslim Democrats,8920
Mambajao,Vice-Mayor,"Ederango, James Abao",Jim,Lakas-Christian Muslim Democrats,7353
Mambajao,Councilor,"Magallones, Rolando Castil",Lando,Lakas-Christian Muslim Democrats,7026
Mambajao,Councilor,"Jansol, Ma Victoria Japuz",Marivic,Lakas-Christian Muslim Democrats,7076
Mambajao,Councilor,"Baclayo, Jaime Micabalo",Jamjam,Lakas-Christian Muslim Democrats,7361
Mambajao,Councilor,"Sabacajan, Argenito Cajilla",Gening,Lakas-Christian Muslim Democrats,7405
Mambajao,Councilor,"Bacasnot-Ranara, Raquel Camo",Quel,Lakas-Christian Muslim Democrats,7783
Mambajao,Councilor,"Salcedo, Rodolfo Delada",Loloy,Lakas-Christian Muslim Democrats,7916
Mambajao,Councilor,"Chan, Roldan Acas",Dan,Lakas-Christian Muslim Democrats,8973
Mambajao,Councilor,"Menciano, Reyne Salas",Rey,Lakas-Christian Muslim Democrats,6301
Sagay,Mayor,"Talian, Domingo Kwinsala",Enggoy,Lakas-Christian Muslim Democrats,4229
Sagay,Vice-Mayor,"Ong, Eugenio Gadot",Dodo,Lakas-Christian Muslim Democrats,3394
Sagay,Councilor,"Chaves, Judith Tongol",Judith,Lakas-Christian Muslim Democrats,3172
Sagay,Councilor,"Pabatao, Reynardo Narita",Ricric,Lakas-Christian Muslim Democrats,2745
Sagay,Councilor,"Bato, Mary Jane Ong",Jane,Lakas-Christian Muslim Democrats,2957
Sagay,Councilor,"Banto, Gloria Caparida",Aming,Lakas-Christian Muslim Democrats,3290
Sagay,Councilor,"Bonachita, Virgilio Abadies",Balyok,Lakas-Christian Muslim Democrats,3323
Sagay,Councilor,"Ebcas, Bienvenido Cedenio",Ben,Independent,3507
Sagay,Councilor,"Tongol, Nestor Epan",Bradnes,Independent,4041
Sagay,Councilor,"Nacaytuna, Marites Pamplona",Tes,Lakas-Christian Muslim Democrats,2452
