city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aloran,Mayor,"Regalado, Jimmy Roa",Jim,Lakas-Kabalikat ng Malayang Pilipino,6662
Aloran,Vice-Mayor,"Regalado, Lenard Natalia",Cho,Lakas-Kabalikat ng Malayang Pilipino,6410
Aloran,Councilor,"Maghuyop, Artemio Bentana",Jun,Lakas-Kabalikat ng Malayang Pilipino,7076
Aloran,Councilor,"Omega, Elias Ugab",Tibo,Lakas-Kabalikat ng Malayang Pilipino,7364
Aloran,Councilor,"Tejano, Oscar Bugas",Oca,Lakas-Kabalikat ng Malayang Pilipino,7413
Aloran,Councilor,"Baz, Rolf Allan Olegario",Dr. Baz,Lakas-Kabalikat ng Malayang Pilipino,8270
Aloran,Councilor,"Roa, Junipher Arquiza",Insek,Lakas-Kabalikat ng Malayang Pilipino,6834
Aloran,Councilor,"Durac, Mario Golucino",Mar,Partido ng Demokratikong Pilipino-Lakas ng Bayan/United Opposition,6112
Aloran,Councilor,"Aleman, Editha Sagrado",Edith,Lakas-Kabalikat ng Malayang Pilipino,6381
Aloran,Councilor,"Paderanga, Alberto Lusterio",Abet,Lakas-Kabalikat ng Malayang Pilipino,6774
Baliangao,Mayor,"Chiong, Haneya Theresa Yap",Snooky,Lakas-Christian Muslim Democrats,3756
Baliangao,Vice-Mayor,"Yap, Agne Sr. Villanueva",Agne-Ne,Lakas-Kabalikat ng Malayang Pilipino,5007
Baliangao,Councilor,"Yap, Agne Jr. Libredo",Jan-Jan,Lakas-Kabalikat ng Malayang Pilipino,3956
Baliangao,Councilor,"Borbon, Rommel Cardino",Ying-Ying,Lakas-Kabalikat ng Malayang Pilipino,4542
Baliangao,Councilor,"Puyod, Jaime Bendula",Me,Lakas-Kabalikat ng Malayang Pilipino,3585
Baliangao,Councilor,"Armada, Manuel Salado",Manny,Lakas-Kabalikat ng Malayang Pilipino,3932
Baliangao,Councilor,"Yap, Ma Lourdes III Echem",Nita,Independent,3340
