city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Alubijid,Mayor,"Jamis, Fortunato Labis",Tuan,Lakas-Kabalikat ng Malayang Pilipino,6299
Alubijid,Vice-Mayor,"Elarmo, Armando Macalla",Kangking,Lakas-Kabalikat ng Malayang Pilipino,5866
Alubijid,Councilor,"Madrid, Gonzalo Laurente",Otik,Lakas-Christian Muslim Democrats,4543
Alubijid,Councilor,"Labis, Whirly Abriol",Dodong,Lakas-Kabalikat ng Malayang Pilipino,4936
Alubijid,Councilor,"Vacalares, Francisco Jr. Galarrita",Junie,Lakas-Kabalikat ng Malayang Pilipino,5317
Alubijid,Councilor,"Aranjuez, Mona Lisa Ebabacol",Mona,Lakas-Christian Muslim Democrats,5351
Alubijid,Councilor,"Ubay-Ubay, Ed Madjos",Eddie,Lakas-Christian Muslim Democrats,5467
Alubijid,Councilor,"Ubay-Ubay, Ricky Labis",Ricky,Lakas-Christian Muslim Democrats,5654
Alubijid,Councilor,"Somo, Melania Lagsa",Lanie,Lakas-Kabalikat ng Malayang Pilipino,5209
Alubijid,Councilor,"Tomampoc, Roy Enerio",Roy,Lakas-Christian Muslim Democrats/NPC,4462
Balingasag,Mayor,"Quina, Alexis Salvacion",Alex,Lakas-Christian Muslim Democrats,12720
Balingasag,Vice-Mayor,"Borromeo, Felix Hojas",Boy,Lakas-Kabalikat ng Malayang Pilipino,15635
Balingasag,Councilor,"Mundo, Maria Imelda Pancho",Ging,Lakas-Kabalikat ng Malayang Pilipino,10993
Balingasag,Councilor,"Galvez, Nathaniel Galapin",Taniel,Independent,10075
Balingasag,Councilor,"Paclar, Teresito Maestre",Sito,Lakas-Kabalikat ng Malayang Pilipino,11041
Balingasag,Councilor,"Cubillo, Nestor Lorenzo Macas",Nelo,Lakas-Kabalikat ng Malayang Pilipino,11514
Balingasag,Councilor,"Sausa, Julieta Namoc",Bebie,Lakas-Kabalikat ng Malayang Pilipino,8052
Balingasag,Councilor,"Saarenas, Ramonito Valmoria",Monet,Lakas-Christian Muslim Democrats,8406
Balingasag,Councilor,"Valmores, Redeemer Jr. Cabiluna",Leri,Lakas-Kabalikat ng Malayang Pilipino,8781
Balingasag,Councilor,"Olano, Baldomero Pelaez",Bobby,Lakas-Kabalikat ng Malayang Pilipino-Akbayan,9181
Balingoan,Mayor,"Espero, Perlita Ilogon",Bebie,Lakas-Christian Muslim Democrats,2512
Balingoan,Vice-Mayor,"Panulaya, Pedro Querol",Dong,Lakas-Christian Muslim Democrats,2529
Balingoan,Councilor,"Santos, Alberto Jr. Brodith",Jun,Lakas-Kabalikat ng Malayang Pilipino,2363
Balingoan,Councilor,"Fernandez, Aurora Pilapil",Maam Rorit,Lakas-Kabalikat ng Malayang Pilipino,2391
Balingoan,Councilor,"Mercado, Agosto Chuy",Andy,Lakas-Kabalikat ng Malayang Pilipino,2428
Balingoan,Councilor,"Legaspi, Rammil Danar",Dok,Lakas-Kabalikat ng Malayang Pilipino,2496
Balingoan,Councilor,"Budlao, Rogelio Pajaron",Tata,Lakas-Christian Muslim Democrats,2641
Balingoan,Councilor,"Cabresos, Wilfredo Abian",Boy,Lakas-Christian Muslim Democrats,2714
Balingoan,Councilor,"Lituanas, Pedro Sista",Pedring,Lakas-Christian Muslim Democrats,3069
Balingoan,Councilor,"Asilo, Samuel Sr. Pueblos",Sam,Lakas-Kabalikat ng Malayang Pilipino,2196
Binuangan,Mayor,"Ty, Cresencio Yap",Sencio,Lakas-Kabalikat ng Malayang Pilipino,1959
Binuangan,Vice-Mayor,"Kho, Arsenionito Santos",Toting,Lakas-Kabalikat ng Malayang Pilipino,2033
Binuangan,Councilor,"Abao, Marcelo Zulita",Mar,Lakas-Christian Muslim Democrats/Padayon Pilipino,2005
Binuangan,Councilor,"Gumahin, Tirso Cascon",Loloy,Lakas-Christian Muslim Democrats/Padayon Pilipino,2165
Binuangan,Councilor,"Ranido, Juanito Pahunang",Nitoy,Lakas-Kabalikat ng Malayang Pilipino,2366
Binuangan,Councilor,"Tagupa, Ricardo Samon",Cardo,Lakas-Kabalikat ng Malayang Pilipino,2400
Binuangan,Councilor,"Gumahin, Tomas Rayos",Tommy,-,2496
Binuangan,Councilor,"Abao, Reynaldo Yap",Eni,Lakas-Kabalikat ng Malayang Pilipino,2565
Binuangan,Councilor,"Pabellan, Dahlia Palamine",Tata,Independent,2686
Binuangan,Councilor,"Bodiongan, Rico Valmoria",Tata,Lakas-Christian Muslim Democrats,1876
Cagayan De Oro City,Mayor,"Jaraula, Constantino Galagnara",Tinnex,Lakas-Christian Muslim Democrats,76344
Cagayan De Oro City,Vice-Mayor,"Emano, Vicente Yap",Dongkoy,Lakas-Christian Muslim Democrats/Padayon Pilipino,92777
Cagayan De Oro City,1St District,"Barba, Adrian Lagamon",Addie,Lakas-Christian Muslim Democrats,22240
Cagayan De Oro City,1St District,"Ocon, Zaldy O.",-,-,26812
Cagayan De Oro City,1St District,"Licayan, Simeon Verula",Sim,Lakas-Christian Muslim Democrats,27000
Cagayan De Oro City,1St District,"Bacal, Alden Dacanay",Alden,Lakas-Christian Muslim Democrats,31514
Cagayan De Oro City,1St District,"Acenas, Caesar Ian Enerio",Ian,-,31901
Cagayan De Oro City,1St District,"Abaday, Roger Gabatan",Roger,Partido ng Demokratikong Pilipino-Lakas ng Bayan/United Opposition,22806
Cagayan De Oro City,1St District,"Callizo, Mary Cor Reyes",Cor,Lakas-Christian Muslim Democrats,20319
Cagayan De Oro City,1St District,"Pajo, Dante Betonio",Dante,Lakas-Christian Muslim Democrats,20444
Cagayan De Oro City,2Nd District,"Tabor, Ramon Galvez",Botar,Lakas-Christian Muslim Democrats,42499
Cagayan De Oro City,2Nd District,"Advincula, Reynaldo Navarro",Nanding,Lakas-Christian Muslim Democrats,42506
Cagayan De Oro City,2Nd District,"Nacaya, Ian Mark Quiblat",Ian,Lakas-Christian Muslim Democrats,44060
