city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bansalan,Mayor,"Reyes, Edwin Granada",Win,Lakas-Christian Muslim Democrats,9565
Bansalan,Vice-Mayor,"Arches, Peter Melchor Jocson",Mayong,Nationalist People's Coalition,10272
Bansalan,Councilor,"Abril, Liza Rosello",Liza,Lakas-Kabalikat ng Malayang Pilipino,6356
Bansalan,Councilor,"Rodaje, Josue Sr. Marin",Jess,Lakas-Kabalikat ng Malayang Pilipino,6885
Bansalan,Councilor,"Bonilla, Nestor Martin",Nestor,Lakas-Kabalikat ng Malayang Pilipino,7018
Bansalan,Councilor,"Sarte, Quirina Tubil",Inday Quilin,Nationalist People's Coalition,7751
Bansalan,Councilor,"Lao, Fe Saguitguit",Fe,Lakas-Christian Muslim Democrats,7977
Bansalan,Councilor,"Gallardo, Arnel Melo",Atong,Lakas-Kabalikat ng Malayang Pilipino,9265
Bansalan,Councilor,"Humol, Virgilio Carcallas",Ver,Nationalist People's Coalition,9832
Bansalan,Councilor,"Calit, Casiano Cutin",Loloy,Lakas-Christian Muslim Democrats,6348
Davao City,Mayor,"Duterte, Rodrigo Roa",Rody,Partido Demokratiko Pilipino-Lakas ng Bayan,382185
Davao City,Vice-Mayor,"Duterte, Sara Zimmerman",Inday,Partido Demokratiko Pilipino-Lakas ng Bayan,338095
Davao City,1St District - Councilor,"Ibuyan, Edgar Ramos",Kapitan,Partido Demokratiko Pilipino-Lakas ng Bayan,92020
Davao City,1St District - Councilor,"Abellera, Nilo De Guia",Nilo,Lakas-Christian Muslim Democrats,93140
Davao City,1St District,"Militar, Bonifacio Ecraela",Boni,Partido Demokratiko Pilipino-Lakas ng Bayan,95220
Davao City,1St District - Councilor,"Lavina, Peter Tiu",Pete,Liberal Party,97395
Davao City,1St District - Councilor,"Librado-Trinidad, Angela Alonsabe",Angging,Bayan Muna,101121
Davao City,1St District - Councilor,"Braga, Pilar Caneda",Bingbong,Lakas-Christian Muslim Democrats,105068
Davao City,1St District - Councilor,"Avila, Leonardo Iii Ramos",Happy,Lakas-Christian Muslim Democrats,110592
Davao City,1St District - Councilor,"Acosta, Maria Belen Sunga",Mabel,Partido Demokratiko Pilipino-Lakas ng Bayan,119312
Davao City,2Nd District  - Councilor,"Reta, Susan Isabel Calimbas",Bel,Nationalist People's Coalition,65998
Davao City,2Nd District  - Councilor,"Monteverde, Tomas IV Joyce",Tomasing,Nationalist People's Coalition,67654
Davao City,2Nd District  - Councilor,"Cabling, Arnolfo Ricardo Babao",Nonong,Partido Demokratiko Pilipino-Lakas ng Bayan,67694
Davao City,2Nd District  - Councilor,"Bangoy, Samuel Bustos",Ding Bangoy,Nationalist People's Coalition,71004
Davao City,2Nd District  - Councilor,"Apostol, Dante Laude",Dante,Independent,72524
Davao City,2Nd District  - Councilor,"Dayanghirang, Danilo Castillo",Danny,Partido Demokratiko Pilipino-Lakas ng Bayan,78151
Davao City,2Nd District  - Councilor,"Mahipus, Diosdado Angelo Abello",Toto,Lakas-Christian Muslim Democrats,79419
Davao City,2Nd District  - Councilor,"Bonguyan, Louie John Jose",John-John,Lakas-Christian Muslim Democrats,84500
Davao City,3Rd District- Councilor,"Baluran, Conrado Calimbayan",Conde,Partido Demokratiko Pilipino-Lakas ng Bayan,61158
Davao City,3Rd District- Councilor,"Villafuerte, Jose Louie Papas",Louie,Partido Demokratiko Pilipino-Lakas ng Bayan,61212
Davao City,3Rd District- Councilor,"Bello, Karlo Santos",Kaloy,Lakas-Christian Muslim Democrats,62150
Davao City,3Rd District- Councilor,"Zozobrado, Rachel Paradela",Baby,Lakas-Christian Muslim Democrats,63140
Davao City,3Rd District- Councilor,"Advincula, Victorio Sabulana",Vic,Lakas-Christian Muslim Democrats,64655
Davao City,3Rd District- Councilor,"Al-Ag, Wilberto Echavez",Nonoy,Partido Demokratiko Pilipino-Lakas ng Bayan,69536
Davao City,3Rd District- Councilor,"Dalodo-Ortiz, Myrna Gerolin",Myrna Dalodo,Partido Demokratiko Pilipino-Lakas ng Bayan,75039
Davao City,3Rd District- Councilor,"Mata, Teresita Cayanong",Tessie Marañon,Independent,54892
Digos City,Mayor,"Latasa, Arsenio Agonia",Boy,Nationalist People's Coalition,36639
Digos City,Vice-Mayor,"Penas, Joseph Roble",Jojo,Nationalist People's Coalition,42376
Digos City,Councilor,"Crispino, Romualdo Chin",Romy,Nationalist People's Coalition,26541
Digos City,Councilor,"Cadungog, Victoriano Pace",Vic,Nationalist People's Coalition,28956
Digos City,Councilor,"Hermosisima, Reynaldo Seton",Rey,Nationalist People's Coalition,29505
Digos City,Councilor,"Dumogho, Salvador III Lim",Badong,Nationalist People's Coalition,29770
Digos City,Councilor,"Llanos, Raul Enriquez",Daddy Raul,Nationalist People's Coalition,29893
Digos City,Councilor,"Taruc, Rosito Carpentero",Power,Nationalist People's Coalition,30031
Digos City,Councilor,"Gabutero, Lani Montero",Lani,Nationalist People's Coalition,36083
Digos City,Councilor,"Navidad, Myra Dahlia Mejares",May-May,Nationalist People's Coalition,33030
Digos City,Councilor,"Cagas, Josef Fortich",Jojo,Nationalist People's Coalition,38902
Digos City,Councilor,"Molina, Esther Sarabillo",Esther,Independent,23356
Don Marcelino,Mayor,"Johnson, John Harvey",John,Nationalist People's Coalition,6045
Don Marcelino,Vice-Mayor,"Maruya, Michael Ang",Mike,-,5316
Don Marcelino,Councilor,"Sasuman, Ruel Jerome  Albores",Jerry,Lakas-Kabalikat ng Malayang Pilipino,4015
Don Marcelino,Councilor,"Llanto, Reynold Garte",Noli-Nol,Lakas-Kabalikat ng Malayang Pilipino,4045
Don Marcelino,Councilor,"Ismael, Baning Matub",Ning,Nationalist People's Coalition,4299
Don Marcelino,Councilor,"Bautista, Renato Sumbo",Ren/Nat,Nationalist People's Coalition,4383
Don Marcelino,Councilor,"Mallari, Medeline Joyce",Medy,Lakas-Kabalikat ng Malayang Pilipino,4536
Don Marcelino,Councilor,"Johnson, Stephen Perkins",Steve,Nationalist People's Coalition,4789
Don Marcelino,Councilor,"Blangket, Annie Maway",An-An,Nationalist People's Coalition,6975
Don Marcelino,Councilor,"Gesoro, Wilson Villaflor",Wil,Nationalist People's Coalition,3871
Jose Abad Santos Trinidad,Mayor,"Wangkay, Alex Bangoyan",Zander Kahn,Lakas-Kabalikat ng Malayang Pilipino,10620
Jose Abad Santos Trinidad,Vice-Mayor,"Guillermo, Mario Alvar",Mg,Nationalist People's Coalition,9590
Jose Abad Santos Trinidad,Councilor,"Gimagan, Larry Boca",Mr. Kulambo,Lakas-Kabalikat ng Malayang Pilipino,5610
Jose Abad Santos Trinidad,Councilor,"Medel, Alfredo Fernandez",Fred,Lakas-Kabalikat ng Malayang Pilipino,5724
Jose Abad Santos Trinidad,Councilor,"Day, Gregorio I Talima",Greg,Lakas-Kabalikat ng Malayang Pilipino,5836
Jose Abad Santos Trinidad,Councilor,"Wangkay, Junius Bangoyan",Onyos,Lakas-Kabalikat ng Malayang Pilipino,6729
Jose Abad Santos Trinidad,Councilor,"Atay, Joaquin Sr. Concordas",Jessie,Nationalist People's Coalition,7462
Jose Abad Santos Trinidad,Councilor,"Pelonio, Leonardo Estilla",Ato,Lakas-Kabalikat ng Malayang Pilipino,7535
Jose Abad Santos Trinidad,Councilor,"Tagalog, Anecito Enero",Cito,Nationalist People's Coalition,7872
Jose Abad Santos Trinidad,Councilor,"Sioco, Ester Lachica",Ter,Independent,7908
Kiblawan,Mayor,"Wangkay, Alex Bangoyan",Zander Kahn,Lakas-Kabalikat ng Malayang Pilipino,10620
Kiblawan,Vice-Mayor,"Guillermo, Mario Alvar",Mg,Nationalist People's Coalition,9590
Kiblawan,Councilor,"Gimagan, Larry Boca",Mr. Kulambo,Lakas-Kabalikat ng Malayang Pilipino,5610
