city-or_municipality,position,name,nickname,party_affiliation,votes_obtained
Baganga,Mayor,"Nazareno, Remigio Garcia",Reming,Independent,9021
Baganga,Vice-Mayor,"Monday, Cecilio Postrero",Kap Celio,Lakas-Christian Muslim Democrats,9983
Baganga,Councilor,"Monday, Jo-Ann Pudpud",Joan,Lakas-Kabalikat ng Malayang Pilipino,6364
Baganga,Councilor,"Manguiob, Fernando Laurente",Andot,Lakas-Christian Muslim Democrats,6546
Baganga,Councilor,"Tambilawan, Anna Louise Rico",Analoy,Lakas-Kabalikat ng Malayang Pilipino,7020
Baganga,Councilor,"Pasic, Majencio Sango",Pasic,Lakas-Kabalikat ng Malayang Pilipino,8279
Baganga,Councilor,"Manguiob, Leo Lowell Ferrando",Boyet,Lakas-Christian Muslim Democrats,8634
Baganga,Councilor,"Licong, Calixto Jr. Cubero",Jon-Jon,Lakas-Christian Muslim Democrats,5487
Baganga,Councilor,"Mara, Adela Salomon",Del,Lakas-Kabalikat ng Malayang Pilipino,6280
Baganga,Councilor,"Morales, Isagani Sr. Aguilon",Kap Ganing,Lakas-Christian Muslim Democrats,6433
Banaybanay,Mayor,"Mejos, Pedro Tubio",Pete,Lakas-Christian Muslim Democrats,7614
Banaybanay,Vice-Mayor,"Bagayas, Demetrio Cifra",Dem,Lakas-Kabalikat ng Malayang Pilipino,8176
Banaybanay,Councilor,"Dignos, Rogelio Abella",Dodong,Lakas-Christian Muslim Democrats,6841
Banaybanay,Councilor,"Celmar, Bernardo Jr. Ybas",Jun,Lakas-Christian Muslim Democrats/Kampi,6861
Banaybanay,Councilor,"Alingalan, Flores Matoza",Flong,Lakas-Christian Muslim Democrats,7258
Banaybanay,Councilor,"Bagaoisan, Concordio Dumbrigue",Bagao,Lakas-Kabalikat ng Malayang Pilipino,7264
Banaybanay,Councilor,"Mamukid, Casilongan Kibo",Lolong,Lakas-Kabalikat ng Malayang Pilipino,7331
Banaybanay,Councilor,"Teves, Liezel Salagao",Cel,Lakas-Kabalikat ng Malayang Pilipino,7673
Banaybanay,Councilor,"Patricio, Glicerio Jr. Olan-Olan",Jun  Patricio,Lakas-Christian Muslim Democrats,8334
Banaybanay,Councilor,"Tambuang, Roger Mabaya",Roger,Lakas-Kabalikat ng Malayang Pilipino,6250
Boston,Mayor,"Rosit, Ramie Butulan",Ram,Lakas-Christian Muslim Democrats,3668
Boston,Vice-Mayor,"Monredondo, Amie Butulan",Mie,Lakas-Christian Muslim Democrats,3018
Boston,Councilor,"Castres, Judith Bermudez",Dodong,Lakas-Christian Muslim Democrats,2450
Boston,Councilor,"Rosit, Rebecco Butulan",Rebing,Lakas-Christian Muslim Democrats,2466
Boston,Councilor,"Canete, Robenas  Valenzona",Ben,Lakas-Christian Muslim Democrats,2484
Boston,Councilor,"Alac, Luisa Cabrera",Lou-La,Lakas-Christian Muslim Democrats,2702
Boston,Councilor,"De Jesus, Allen Sarino",Len,Lakas-Christian Muslim Democrats,2794
Boston,Councilor,"Aquilino, Larry Latiban",Lar,Lakas-Christian Muslim Democrats,2856
Boston,Councilor,"Altizo, Alex Vertudazo",Susin,Lakas-Kabalikat ng Malayang Pilipino,3045
Boston,Councilor,"Dumaguete, Norberto Paguyan",Bert,Lakas-Christian Muslim Democrats,2143
Caraga,Mayor,"Mori, Alicia Benitez",Alice,Lakas-Kabalikat ng Malayang Pilipino,5528
Caraga,Vice-Mayor,"Burgos, Andresito Santos",Sitoy,Lakas-Kabalikat ng Malayang Pilipino,5831
Caraga,Councilor,"Matilac, Florida Nawa",Flor,Lakas-Christian Muslim Democrats,3544
Caraga,Councilor,"Gambong, Filadelfo Sobiaco",Opong,Lakas-Kabalikat ng Malayang Pilipino,4444
Caraga,Councilor,"Duma-An, William Sobiaco",Willie Boy,Independent,5146
Caraga,Councilor,"Cayetano, Vilie Clovis Matucol",Vis,Lakas-Christian Muslim Democrats,3838
Caraga,Councilor,"Calig-Onan, Rican Turlao",Rican,Lakas-Kabalikat ng Malayang Pilipino,5982
Caraga,Councilor,"Basoc, Jose Guisongan",Peping,Lakas-Christian Muslim Democrats,3752
Caraga,Councilor,"Bantayan, Mae Santos",Mae,Lakas-Christian Muslim Democrats,4026
Caraga,Councilor,"Pagsac, Eutiquio Jr. Baguiohanon",Dodong,Lakas-Kabalikat ng Malayang Pilipino,4230
Cateel,Mayor,"Nunez, Camilo Toroba",Miloy,Lakas-Kabalikat ng Malayang Pilipino,7770
Cateel,Vice-Mayor,"Castro, Isidro Sibayan",Isid,Lakas-Kabalikat ng Malayang Pilipino,7947
Cateel,Councilor,"Valenzuela, Lerma Manog",Lerma,Lakas-Kabalikat ng Malayang Pilipino,4827
Cateel,Councilor,"Espirituoso, Conrada Rivas",Conring,Lakas-Kabalikat ng Malayang Pilipino,5326
Cateel,Councilor,"Go, Edred Balbido",Eldred,Lakas-Christian Muslim Democrats,5497
Cateel,Councilor,"Reyes, Alicio Ebrano",Al,Lakas-Christian Muslim Democrats,5991
Cateel,Councilor,"Magno, Nemesio Iii Carreon",Nong-Nong,Independent,7099
Cateel,Councilor,"Chua, Wilbur Yu",Maning,Lakas-Kabalikat ng Malayang Pilipino,7694
Cateel,Councilor,"Nunez, Erlinda Calanas",Linda,Lakas-Kabalikat ng Malayang Pilipino,7706
Cateel,Councilor,"Mondares, Roy Serenoso",Roy,Lakas-Kabalikat ng Malayang Pilipino,4371
Governor Generoso,Mayor,"Orencia, Vicente Danog",Enting,Lakas-Kabalikat ng Malayang Pilipino,9704
Governor Generoso,Vice-Mayor,"Cielo, Virgilio Dela Cerna",Dodong,Lakas-Christian Muslim Democrats,8773
Governor Generoso,Councilor,"Ortega, Angelita Calamba",Lita,Lakas-Kabalikat ng Malayang Pilipino,6179
Governor Generoso,Councilor,"Catada, Nestor Delgado",Ness,Lakas-Kabalikat ng Malayang Pilipino,6283
Governor Generoso,Councilor,"Anasco, Maxiquel Inojales",Kingking,Lakas-Kabalikat ng Malayang Pilipino,6316
Governor Generoso,Councilor,"Inojales, Edgardo Caguisa",Ed,Independent,6840
Governor Generoso,Councilor,"Maunas, Jose Batoc",Joe,Lakas-Christian Muslim Democrats,6986
Governor Generoso,Councilor,"Musa, Basser Talib",Asing,Laban ng Demokratikong Pilipino,7263
Governor Generoso,Councilor,"Te, Mateo Jr. Peleno",Julie,Lakas-Christian Muslim Democrats,7298
Governor Generoso,Councilor,"Galas, Ernesto Lumacuas",Estong,Lakas-Kabalikat ng Malayang Pilipino,5319
Lupon,Mayor,"Lim, Domingo Abordo",Doming,Lakas-Christian Muslim Democrats,13316
Lupon,Vice-Mayor,"Maralit, Juan Jr. Ariola",Jun,Lakas-Kabalikat ng Malayang Pilipino,12459
Lupon,Councilor,"Angsinco, Cenen Austria",Bebot,Lakas-Christian Muslim Democrats,9915
Lupon,Councilor,"Salazar, Bernardita Saguimpa",Didith,Lakas-Christian Muslim Democrats,9998
Lupon,Councilor,"Simbahon, Robert Robedillo",Bert,Lakas-Christian Muslim Democrats,10179
Lupon,Councilor,"Pacetes, Benjamin Jr. Barol",Bong,Lakas-Christian Muslim Democrats,10537
Lupon,Councilor,"Bote, Romeo Jr. Rada",Jun,Lakas-Christian Muslim Democrats,11255
Lupon,Councilor,"Suriba, Reynaldo Pasion",Rey,Lakas-Christian Muslim Democrats,12084
Lupon,Councilor,"Roflo, Capistrano Jr. Vidal",Dennis,Lakas-Christian Muslim Democrats,13131
Lupon,Councilor,"Evangelista, Kent Lim",Kent,Lakas-Kabalikat ng Malayang Pilipino,9671
Manay,Mayor,"Dayanghirang, Antero Jr. Lechoncito",Nol,Lakas-Kabalikat ng Malayang Pilipino,11008
Manay,Vice-Mayor,"Silveron, Vicente Sr. Pusta",Enting,Lakas-Kabalikat ng Malayang Pilipino,9775
Manay,Councilor,"Bandigan, Winston Ortiz",Bucoy,Lakas-Kabalikat ng Malayang Pilipino,5620
Manay,Councilor,"Manuay, Alvino Tuba",Vinoy,Lakas-Kabalikat ng Malayang Pilipino,5911
Manay,Councilor,"Masinadiong, Ferdinand Mamdaro",Dinan,Lakas-Kabalikat ng Malayang Pilipino,6162
Manay,Councilor,"Lahora, Alfonso Jr. Dela Cruz",Benjie,Lakas-Christian Muslim Democrats,6274
Manay,Councilor,"Quibo, Panfilo Magbutong",Kundiman,Lakas-Kabalikat ng Malayang Pilipino,6754
Manay,Councilor,"Dayanghirang, Samuel Castillo",Abing,Lakas-Kabalikat ng Malayang Pilipino,6954
Manay,Councilor,"Ompang, Jurgen Joy Delos Reyes",Doc,-,7924
Manay,Councilor,"Tengson, Honesto Apostol",Nes,Lakas-Kabalikat ng Malayang Pilipino,5432
Mati City,Mayor,"Dayanghirang, Antero Jr. Lechoncito",Nol,Lakas-Kabalikat ng Malayang Pilipino,11008
Mati City,Vice-Mayor,"Silveron, Vicente Sr. Pusta",Enting,Lakas-Kabalikat ng Malayang Pilipino,9775
Mati City,Councilor,"Bandigan, Winston Ortiz",Bucoy,Lakas-Kabalikat ng Malayang Pilipino,5620
Mati City,Councilor,"Manuay, Alvino Tuba",Vinoy,Lakas-Kabalikat ng Malayang Pilipino,5911
Mati City,Councilor,"Masinadiong, Ferdinand Mamdaro",Dinan,Lakas-Kabalikat ng Malayang Pilipino,6162
Mati City,Councilor,"Lahora, Alfonso Jr. Dela Cruz",Benjie,Lakas-Christian Muslim Democrats,6274
Mati City,Councilor,"Quibo, Panfilo Magbutong",Kundiman,Lakas-Kabalikat ng Malayang Pilipino,6754
Mati City,Councilor,"Dayanghirang, Samuel Castillo",Abing,Lakas-Kabalikat ng Malayang Pilipino,6954
Mati City,Councilor,"Ompang, Jurgen Joy Delos Reyes",Doc,-,7924
Mati City,Councilor,"Tengson, Honesto Apostol",Nes,Lakas-Kabalikat ng Malayang Pilipino,5432
Tarragona,Mayor,"Uy, Samuel Lopez",Sammy,Lakas-Kabalikat ng Malayang Pilipino,5766
Tarragona,Vice-Mayor,"Joseph, Rosalinda Macagubang",Linda,-,3181
Tarragona,Councilor,"Tesoy, Joeber Estanislao",Jun-Jun,Lakas-Christian Muslim Democrats,3567
Tarragona,Councilor,"Tagaunsod, Lorimar Maybano",Lory,Lakas-Christian Muslim Democrats,3465
Tarragona,Councilor,"Bulaong, Art Benjie Calipusan",Art,Lakas-Christian Muslim Democrats,3478
Tarragona,Councilor,"Pusta, Merly Manlitoc",Merly,Lakas-Kabalikat ng Malayang Pilipino,3551
Tarragona,Councilor,"Tigian, Zosimo Tinong",Imo,Lakas-Christian Muslim Democrats,3561
Tarragona,Councilor,"Tinong, Eduardo Fajardo ",Eddie,Lakas-Kabalikat ng Malayang Pilipino,3644
Tarragona,Councilor,"Masagnay, Bonifacio Landong",Boning,Lakas-Kabalikat ng Malayang Pilipino,4115
Tarragona,Councilor,"Marianito, Rodolfo Langgam",Boroy,-,3441
