city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bagumbayan,Mayor,"Bito-Onon, Bernardita Regla",Maam Bee,-,7367
Bagumbayan,Vice- Mayor,"Biadora, Jonalette De Pedro",Neneng,Lakas-Christian Muslim Democrats,6696
Bagumbayan,Councilor,"Lagnaoda, Greg Mendoza",Bobong,Nationalist People's Coalition,3932
Bagumbayan,Councilor,"Insular, Joefrin Bedano",Tangi,Liberal Party,4149
Bagumbayan,Councilor,"Asug, Esteban Dela Cruz",Bantay,Liberal Party,4624
Bagumbayan,Councilor,"Catiwalaan, Justino Agan",Chief,Liberal Party,4722
Bagumbayan,Councilor,"Insular, Glenn Busayong",Nonoy,-,4888
Bagumbayan,Councilor,"Forro, Jerald Nieva",JP,-,4970
Bagumbayan,Councilor,"Caspe, Leonardo Robles",Narding,-,5470
Bagumbayan,Councilor,"Bulawan, Manuel Sr. Cepada",Gold,Nationalist People's Coalition,3923
Columbio,Mayor,"Bermudez, Edwin Flora",Sir Ed,Lakas-Kabalikat ng Malayang Pilipino,7884
Columbio,Vice- Mayor,"Musali, Amirh Mangelen",Bing,Lakas-Kabalikat ng Malayang Pilipino,7313
Columbio,Councilor,"Baira, Jo-Mari Carbonell",Joms,Lakas-Kabalikat ng Malayang Pilipino,3694
Columbio,Councilor,"Bernardino, Nelia Clarin",Mam Nel,-,4112
Columbio,Councilor,"Salendab, Abdulmullah Akmad",Bobby Ulama,Independent,4268
Columbio,Councilor,"Manibpel, Nayda Saira Markay",Mamot,Lakas-Kabalikat ng Malayang Pilipino,4493
Columbio,Councilor,"Soralla, Sofronio Falcis",Bebot,Independent,4705
Columbio,Councilor,"Latip, Caniangca Tingkal",Canny,-,3923
Columbio,Councilor,"Mangelen, Kentol Macungay",Tol,-,4100
Columbio,Councilor,"Madidis, Ali Alagasi",Al,Lakas-Kabalikat ng Malayang Pilipino,3560
Esperanza,Mayor,"Latog, Romulo Jr. Lucero",Ledong,Lakas-Kabalikat ng Malayang Pilipino,12819
Esperanza,Vice- Mayor,"Madalogdog, Eleanor Dangdang",Bebing,Lakas-Kabalikat ng Malayang Pilipino,11939
Esperanza,Councilor,"Kalahi, Myra Jade Escleto",May,Independent,7559
Esperanza,Councilor,"Acana, Lazaro Latorilla",Larry,Lakas-Kabalikat ng Malayang Pilipino,8304
Esperanza,Councilor,"Gumana, Neser Nesthur Ray Hofilena",Soysoy,Lakas-Kabalikat ng Malayang Pilipino,6224
Esperanza,Councilor,"Lagsub, Morito Sabanilla",Orit,Lakas-Kabalikat ng Malayang Pilipino,6493
Esperanza,Councilor,"Fornan, Cesar Latog",Czar,Lakas-Kabalikat ng Malayang Pilipino,7168
Esperanza,Councilor,"Embon, Antonio Sr. Eresuela",Tony,Lakas-Kabalikat ng Malayang Pilipino,7230
Esperanza,Councilor,"Gegone, Wilma Gerapusco",Neneng,Lakas-Kabalikat ng Malayang Pilipino,7527
Esperanza,Councilor,"Villarin, Nestor Gayosa",Boy,Lakas-Kabalikat ng Malayang Pilipino,7836
Isulan,Mayor,"Pallasigue, Diosdado Gonzales",Dado,-,12076
Isulan,Vice- Mayor,"Armada, Arnold Hernaez",Nold,Lakas-Kabalikat ng Malayang Pilipino,12510
Isulan,Councilor,"Apiado, Carlo Forro",Don,Lakas-Kabalikat ng Malayang Pilipino,9607
Isulan,Councilor,"Aristoza, Rogie Esmad",Rogie,Lakas-Kabalikat ng Malayang Pilipino,9732
Isulan,Councilor,"Collado, Ana Fe Mana-Ay",Cute,Lakas-Kabalikat ng Malayang Pilipino,9962
Isulan,Councilor,"Dela Cerna, Leonidas Labanero",Nidz,Nationalist People's Coalition,10978
Isulan,Councilor,"Segura, Elno Solidanio",Wawat,-,11292
Isulan,Councilor,"Distor, Estarlito Marcelino",Dodoy,Lakas-Kabalikat ng Malayang Pilipino,12212
Isulan,Councilor,"Valencia, Joselito Magallon",Lito,Nationalist People's Coalition,14819
Isulan,Councilor,"Castillo, Lord Dean Hagoriles",Lalay,Lakas-Kabalikat ng Malayang Pilipino,9216
Kalamansig,Mayor,"Garcia, Rolando Panes",Rolly,Nationalist People's Coalition,5852
Kalamansig,Vice- Mayor,"Concha, Joaquin Toledo",Jiji,-,5886
Kalamansig,Councilor,"Aguelo, Dionesio Moreno",Lolong,-,3388
Kalamansig,Councilor,"Sajili, Orlie Lagayan",Olong,Nationalist People's Coalition,3440
Kalamansig,Councilor,"Tan, Bienvenido Vocales",Ben,Nationalist People's Coalition,3737
Kalamansig,Councilor,"Somoza, Jordan Arimas",Jords,Independent,3980
Kalamansig,Councilor,"Posadas, Ferdinand Sr. Sales",Fanad,-,4139
Kalamansig,Councilor,"Buenaflor, Anthony Manzo",Toni,Nationalist People's Coalition,4480
Kalamansig,Councilor,"Buenaflor, Carlito Tan",Bibing,Nationalist People's Coalition,4905
Kalamansig,Councilor,"Mastura, Pendatun Guiabar",Dats,Nationalist People's Coalition,4594
Lambayong Mariano Marcos,Mayor,"Abalos, Ramon Madriaga",Mon,Lakas-Kabalikat ng Malayang Pilipino,14473
Lambayong Mariano Marcos,Vice- Mayor,"Agduma, Florante Lucas",Flor,Lakas-Kabalikat ng Malayang Pilipino,11273
Lambayong Mariano Marcos,Councilor,"Toreja, Aida Lacorte",Aida,Lakas-Kabalikat ng Malayang Pilipino,7637
Lambayong Mariano Marcos,Councilor,"Raguindin, Pedrito Rapisora",Pedring,Lakas-Kabalikat ng Malayang Pilipino,8439
Lambayong Mariano Marcos,Councilor,"Duque, Eduardo Mansalindan",Eddie,Lakas-Kabalikat ng Malayang Pilipino,8618
Lambayong Mariano Marcos,Councilor,"Ancheta, Editha Lucero",Edith,Lakas-Kabalikat ng Malayang Pilipino,9074
Lambayong Mariano Marcos,Councilor,"Recinto, Joseph Leo Esteves",Popot,Lakas-Kabalikat ng Malayang Pilipino,9785
Lambayong Mariano Marcos,Councilor,"Abellera, Jonathan Manzano",Atan,Lakas-Kabalikat ng Malayang Pilipino,10255
Lambayong Mariano Marcos,Councilor,"Guerrero, Arnold Agduma",Arnold,Lakas-Kabalikat ng Malayang Pilipino,10951
Lambayong Mariano Marcos,Councilor,"Catajay, Noel Ancuna",Nonoy,Partido ng Demokratikong Pilipino-Lakas ng Bayan,7288
Lebak,Mayor,"Delasan, Gerardo Sarino",Gerry,Lakas-Kabalikat ng Malayang Pilipino,10995
Lebak,Vice- Mayor,"Freires, Manuel Cabalfin",Maning,Nationalist People's Coalition,10682
Lebak,Councilor,"Gorieza, Pilar Paris",Ilang,Lakas-Kabalikat ng Malayang Pilipino,7531
Lebak,Councilor,"Fresco, Simon Jr. Necesito",Nonoy,Lakas-Kabalikat ng Malayang Pilipino,7661
Lebak,Councilor,"Vegas, Ramon Padasas",Mon,Lakas-Kabalikat ng Malayang Pilipino,8641
Lebak,Councilor,"Almirante, Renato Alonsabe",Toto,Nationalist People's Coalition,8754
Lebak,Councilor,"Tacadao, Roberto Acuna",Dodoy,Nationalist People's Coalition,9323
Lebak,Councilor,"Saratao, Eduardo Uy",Ed,Independent,9454
Lebak,Councilor,"Besana, Dionesio Begas",Jun,Nationalist People's Coalition,9517
