city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bayugan City,Mayor,"Asis, Magdalena Aninon",Alit,Lakas-Christian Muslim Democrats,16054
Bayugan City,Vice-Mayor,"Efren, Genesis Sr. Esma",Gigi,Lakas-Kampi,14461
Bayugan City,Councilor,"Estrada, Cornelio Baya",Nonoy,Independent,13374
Bayugan City,Councilor,"Paway, Fortunato II Almeda",Jun,Independent,8767
Bayugan City,Councilor,"Cortez, Jocelyn Gaballo",Jojo,Lakas-Kampi,9117
Bayugan City,Councilor,"Cogollodo, Allan Reyes",Allan,Lakas-Christian Muslim Democrats,9368
Bayugan City,Councilor,"Asis, Kirk Aninon",Kirk,Lakas-Christian Muslim Democrats,10082
Bayugan City,Councilor,"Hinlo, Edgardo Donasco",Eddie,Lakas-Christian Muslim Democrats E-Team Unity,10662
Bayugan City,Councilor,"Honculada, Gilbert Mariscal",Daryl,Lakas-Christian Muslim Democrats E-Team Unity,10847
Bayugan City,Councilor,"Estuya, Jeremias Arreza",Mano,Lakas-Christian Muslim Democrats E-Team Unity,13465
Bunawan,Mayor,"Elorde, Glbert Granada",Toto,Lakas-Christian Muslim Democrats,8779
Bunawan,Vice-Mayor,"Heje, Martin Johnson Jr. Julao",Jun,Lakas-Christian Muslim Democrats,5855
Bunawan,Councilor,"Barrios, Leonardo Jr. Velasquez",Sonny,Lakas-Christian Muslim Democrats,5600
Bunawan,Councilor,"Jabeguero, Jessica Prochina",Tata,Lakas-Christian Muslim Democrats,4502
Bunawan,Councilor,"Nuer, Ronald Baldos",Boboy,Lakas-Christian Muslim Democrats,4772
Bunawan,Councilor,"Jainar, Jannes Viajar",Poks,Lakas-Christian Muslim Democrats,4903
Bunawan,Councilor,"Canoy, Esperidion Tormis",Bonjing,Lakas-Christian Muslim Democrats,5423
Bunawan,Councilor,"Ong, Lorelie Reyes",Lore,Lakas-Christian Muslim Democrats,5443
Bunawan,Councilor,"Domingo, Candido Jr. Puspos",Nonoy,Lakas-Christian Muslim Democrats,5451
Bunawan,Councilor,"Amador, Ernesto Jr. Plaza",Jing,Lakas-Christian Muslim Democrats,5814
Esperanza,Mayor,"Manpatilan, Leonida Putong",Nida,-,10224
Esperanza,Vice-Mayor,"Layugan, Apolonio Varquez",Pol,Lakas-Christian Muslim Democrats,6721
Esperanza,Councilor,"Ligcuban, Rosmundo Pesitas",Toto,Lakas-Christian Muslim Democrats,7015
Esperanza,Councilor,"Bagsican, Teodoro Antigua",Master,Lakas-Christian Muslim Democrats,7121
Esperanza,Councilor,"Siohan, Eric Rey G.",-,-,6221
Esperanza,Councilor,"Resare, Igmedio Toribio",Igme,Lakas-Christian Muslim Democrats,4821
Esperanza,Councilor,"Manpatilan, Jerry Delanto",Jerry,Lakas-Christian Muslim Democrats,5537
Esperanza,Councilor,"Callanta, Rene Cortes",Idol,Lakas-Christian Muslim Democrats,5666
Esperanza,Councilor,"Baguio, Teresita Lagrimas",Tessie,-,7924
Esperanza,Councilor,"Fabular, Wilberto Quijada",Wil,Lakas-Christian Muslim Democrats,6567
Loreto,Mayor,"Magadan, Romeo Sr. Otero",Ym,United Opposition,4322
Loreto,Vice-Mayor,"Legaspi, George Sistona",Joy,Partido Demokratiko Sosyalista ng Pilipinas,4860
Loreto,Councilor,"Lozada, Amado Jr. Legaspi",Jun,United Opposition,4694
Loreto,Councilor,"Ingking, Pedro Balatero",Pedring,United Opposition,3496
Loreto,Councilor,"Daday, Ma Marley Calixto",Inday,United Opposition,3568
Loreto,Councilor,"Plaza, Joel Dingle",Jp,Lakas-Christian Muslim Democrats,3807
Loreto,Councilor,"Canacio, Nestor Deretcho",Tor,Independent,3819
Loreto,Councilor,"Angwas, Inego Jr. Quejada",Jun,United Opposition,3872
Loreto,Councilor,"Irisari, Allan Quijada",Bobong,Lakas-Christian Muslim Democrats,4710
Loreto,Councilor,"Puig, Rick Lagulay",Nono,United Opposition,4048
Prosperidad,Mayor,"Corvera, Nestor Lalisan",Bebot,Lakas-Christian Muslim Democrats,17522
Prosperidad,Vice-Mayor,"Galdiano, Donato Corvera",Nats,Lakas-Christian Muslim Democrats,14765
Prosperidad,Councilor,"Sabado, Luisito Abadingo",Luning,Lakas-Christian Muslim Democrats,9089
Prosperidad,Councilor,"Balad-On, Emma Panogon",Rb,Lakas-Christian Muslim Democrats,9205
Prosperidad,Councilor,"Auxtero, Samson Loterte",Tata,Independent,10806
Prosperidad,Councilor,"Ronquillo, Nieva Corvera",Vicvic,Lakas-Christian Muslim Democrats,11167
Prosperidad,Councilor,"Mabras, Florentino Jr. Pendon",Jun,Lakas-Christian Muslim Democrats,11626
Prosperidad,Councilor,"Bastareche, Edelberto Dayrocas",Toto,Lakas-Christian Muslim Democrats,11669
Prosperidad,Councilor,"Mellana, Frederick Mark Plaza",Eric Plaza,Lakas-Christian Muslim Democrats,11945
Prosperidad,Councilor,"Tecson, Franklin Morgado",Frank,Lakas-Christian Muslim Democrats,8695
Rosario,Mayor,"Rodriguez, Emiliano Estrella",Emil,Partido Demokratiko Sosyalista ng Pilipinas,6271
Rosario,Vice-Mayor,"Petalcorin, Antonio Enriquez",Boy,Lakas-Christian Muslim Democrats,5789
Rosario,Councilor,"Quintana, Ferdinand Ocite",Boyet,Lakas-Kampi,4592
