city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Barobo,Mayor,"Ronquillo, Arturo Dobluis",Dodoy,-,8245
Barobo,Vice- Mayor,"Caybot, Matias Verdum",Toto,Liberal Party,6327
Barobo,Councilor,"Balahay, Richard Botona",Rb,Liberal Party,6826
Barobo,Councilor,"Sabatin, Rogelio Gascon",Roger,Liberal Party,7228
Barobo,Councilor,"Payot, Rowel Balahay",Rowel,Liberal Party,8033
Barobo,Councilor,"Dandan, Doris Fudalan",Mam,Lakas-Kabalikat ng Malayang Pilipino,9028
Barobo,Councilor,"Pama, Joey Soriano",Joey,Liberal Party,9461
Barobo,Councilor,"San Pablo, Vicente Sarceda",Jade,Lakas-Kabalikat ng Malayang Pilipino,10361
Barobo,Councilor,"Bernal, Allan Curada",Bong,Lakas-Kabalikat ng Malayang Pilipino,10669
Barobo,Councilor,"Orillaneda, Dulce Corazon Aglupos",Dulce,Liberal Party,6038
Bayabas,Mayor,"Giron, Florecita Garcia",Flory,-,2260
Bayabas,Vice- Mayor,"Limbaro, Maria  Clarita Garcia",Babie,-,2538
Bayabas,Councilor,"Lozada, Alban Simacon",Ban,-,1803
Bayabas,Councilor,"Sarvida, Rodrigo Limbaro",Tete,-,1892
Bayabas,Councilor,"Deligero, Carlosito Cahatian",Lolol,-,1946
Bayabas,Councilor,"Lozada, Japhet Leopardo Jr. Pimentel",Bong-Bong,-,2147
Bayabas,Councilor,"Laurente, Lucille Yu",Lucille,-,2157
Bayabas,Councilor,"Denzo, Elpedio Garcia",Pedat,-,2462
Bayabas,Councilor,"Cahatian, Reparato Jr. Acierto",Joy,-,2808
Bayabas,Councilor,"Quijada, Redito Lozada",Rey,-,1788
Bislig City,Mayor,"Tan, Alberto Morales",Bert,Partido ng Demokratikong Pilipino-Lakas ng Bayan,12645
Bislig City,Vice- Mayor,"Cejoco, Conrad Castillo",Attorney,-,23576
Bislig City,Councilor,"Cacayan, Romeo Fabria",Romy,United Opposition,9517
