city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Akbar,Mayor,"Sali, Alih Awal",Alex,Lakas-Kampi,3344
Akbar,Vice-Mayor,"Sali, Paisal Awal",Pai,Lakas-Kampi,3263
Akbar,Councilor,"Monbo, Jabbal Ibrahim",Baleng,Lakas-Kampi,1411
Akbar,Councilor,"Salih, Sappali Masnun",Arwasim,Lakas-Kampi,1611
Akbar,Councilor,"Muslimin, Nurie Eloh",Salman,Lakas-Kampi,2154
Akbar,Councilor,"Alam, Sali Hakim",Intong,Lakas-Kampi,2543
Akbar,Councilor,"Birung, Mohammad Abdulla",Mhadz,Lakas-Kampi,2607
Akbar,Councilor,"Hakimin, Bassam Atalon",Sam,Lakas-Kampi,2671
Akbar,Councilor,"Antih, Gamal Hirayat",Gamz,Lakas-Kampi,2679
Akbar,Councilor,"Sali, Imraki Samputoh",Kotoy,Lakas-Kampi,2979
Hadji Mohammad Ajul,Mayor,"Pawaki, Talib Garingan",Thals,Lakas-Kampi,7288
Hadji Mohammad Ajul,Vice-Mayor,"Saluwan, Abdulsuhud Parajan",Big Boy,Lakas-Kampi,5520
Hadji Mohammad Ajul,Councilor,"Adam, Alih Asali",Alex,Lakas-Kampi,4148
Hadji Mohammad Ajul,Councilor,"Lamla, Maimuna Sali",May,Nacionalista Party,4637
Hadji Mohammad Ajul,Councilor,"Sahim, Harkin Sabdani",Boy,Independent,4726
Hadji Mohammad Ajul,Councilor,"Sali, Samir Anjalin",Samir,Lakas-Kampi,4945
Hadji Mohammad Ajul,Councilor,"Undaring, Majid Aman",Michael,Lakas-Kampi,5036
Hadji Mohammad Ajul,Councilor,"Camlian, Basit Jalilul",King,Independent,5314
Hadji Mohammad Ajul,Councilor,"Muntasil, Nur-amin Narimin",Ponsong,Lakas-Kampi,5619
Hadji Mohammad Ajul,Councilor,"Alano, Muruwa Pawaki",Lady Ariane,Lakas-Kampi,6751
Hadji Muhtamad,Mayor,"Abdulmajid, Anwar Muhtamad",Tutuh,Lakas-Kampi,2239
Hadji Muhtamad,Vice-Mayor,"Ascali, Isara Mansul",Yang,Independent,2137
Hadji Muhtamad,Councilor,"Allama, Abdulmaser Jamil",Masing,Lakas-Kampi,1536
Hadji Muhtamad,Councilor,"Wahab, Alano Hasim",Alano,Independent,1544
Hadji Muhtamad,Councilor,"Julkipli, Puraida Indanan",Puray,Independent,1580
Hadji Muhtamad,Councilor,"Mohammad, Mufti Ascali",Mega,Puwersa ng Masang Pilipino,1654
Hadji Muhtamad,Councilor,"Alih, Max Asmaluddin",Max,Liberal Party,1710
Hadji Muhtamad,Councilor,"Ahmad, Ijil Bairulla",Jing,Lakas-Kampi,1727
Hadji Muhtamad,Councilor,"Hasan, Singh Unaid",Singang,Liberal Party,1774
Hadji Muhtamad,Councilor,"Hasim, Seymor Alpad",Imong,Nacionalista Party,1863
