city_or_municipality,position,name,nickanme,party_affiliation,votes_obtained
Bacolod-Kalawi Bacol,Mayor,"Dipatuan, Diarangan Ringka",Jaffar,Lakas-Kampi,3701
Bacolod-Kalawi Bacol,Vice-Mayor,"Ampuan, Abdullah Carnain-Alulong",Ping,Liberal Party,1489
Bacolod-Kalawi Bacol,Councilor,"Sumbi, Mayaman Inguan",Maya,Lakas-Kampi,1647
Bacolod-Kalawi Bacol,Councilor,"Datu, Pacs Daroyodun",Pacs,Independent,1702
Bacolod-Kalawi Bacol,Councilor,"Tarosan, Habib Bali",Saripada,Lakas-Kampi,1798
Bacolod-Kalawi Bacol,Councilor,"Abdulmanan, Sihabudden Ditucalan",Sihab,Lakas-Kampi,1993
Bacolod-Kalawi Bacol,Councilor,"Daroyodun, Oding Malangkayan",Cabu,OP,2001
Bacolod-Kalawi Bacol,Councilor,"Aloyod, Acasa Said",Ustadz,Lakas-Kampi,2038
Bacolod-Kalawi Bacol,Councilor,"Acsaran, Magie Tarusan",Esmail,Lakas-Kampi,2077
Bacolod-Kalawi Bacol,Councilor,"Amanoddin, Tamim Cali",Ibrahim,Lakas-Kampi,2349
Balindong Watu,Mayor,"Bagul-Mangondato, Raysalam Mapupuno",Rai,Lakas-Kampi,5953
Balindong Watu,Vice-Mayor,"Maba, Abdulrahman Bato Taralbi",Abusaif,Lakas-Kampi,4766
Balindong Watu,Councilor,"Sarip, Hassanor Macarimpas",Ron Ron,Independent,4212
Balindong Watu,Councilor,"Ayaon, Macaayong Mamocan",Ayo,Independent,4309
Balindong Watu,Councilor,"Pasagi, Aldoabdulghani Macarambon",Aldo,Lakas-Kampi,4315
Balindong Watu,Councilor,"Manalocon, Salahoden Mauna-Malik",Oden,Lakas-Kampi,4405
Balindong Watu,Councilor,"Dimaporo Rashid, Junile Mimbala Didaagun Usman",Jun-Jun,Independent,4635
Balindong Watu,Councilor,"Mamari, Mohammad Hanif Dalidig",Popoy,Lakas-Kampi,4818
Balindong Watu,Councilor,"Camid, Muliloda Mulok",Hanil,Independent,5079
