city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Bongao,Mayor,"Que, Jasper Shia",Jas,Lakas-Kampi,11559
Bongao,Vice-Mayor,"Jumdail, Leila Muharani",La,Independent,11648
Bongao,Councilor,"Ibbo, Jun Que",Jun,Lakas-Kampi,7760
Bongao,Councilor,"Jowak, Pajiji Ismael",Padjing,Independent,7807
Bongao,Councilor,"Aksan, Marvin Jaafar",Mar,Independent,8096
Bongao,Councilor,"Karanain, Arula Amin",Rustom,Lakas-Kampi,8313
Bongao,Councilor,"Jumdail, Abdulsaid Bahari",Said,Independent,9134
Bongao,Councilor,"Ladjahali, Edzfar Sali",Papay,Independent,9447
Bongao,Councilor,"Nuridjan, Sophia Abduhadi",Barlie,Independent,9759
Bongao,Councilor,"Que, Albert Tan",Bert,Lakas-Kampi,12780
Languyan,Mayor,"Sali, Yshmael Ismail",Mang,Nationalist People's Coalition,5499
Languyan,Vice-Mayor,"Matba, Hasbi Durie",Amby,Nationalist People's Coalition,4900
Languyan,Councilor,"Ladjahasan, Amilkhan Amilkasan",Kan,Nationalist People's Coalition,2981
Languyan,Councilor,"Isnang, Bonjing Hajihil",Bons,Liberal Party,3125
Languyan,Councilor,"Idlasan, Said Abdula",Taks,Nationalist People's Coalition,3920
Languyan,Councilor,"Kaidal, Hattam Aradji",Panglima,Liberal Party,4040
Languyan,Councilor,"Matba, Mashur Taiyab",Mash,Nationalist People's Coalition,4066
Languyan,Councilor,"Samsurin, Mammah Majaji",Mao,Nationalist People's Coalition,4072
Languyan,Councilor,"Durie, Mujebor Daman",Mujib,Nationalist People's Coalition,4280
Languyan,Councilor,"Hamsani, Bensali Hadjirul",Bhen,Nationalist People's Coalition,4891
Mapun Cagayan De Tawi-Tawi,Mayor,"Muksin, Kennedy Husein",Ken,Lakas-Kampi,2788
Mapun Cagayan De Tawi-Tawi,Vice-Mayor,"Tan, Nickerson Lim",Nonong,Lakas-Kampi,3268
Mapun Cagayan De Tawi-Tawi,Councilor,"Omar, Nuraiya Mustapa",Toyyong,Lakas-Kampi,2222
Mapun Cagayan De Tawi-Tawi,Councilor,"Lao, Charles Tan",Roy,Lakas-Kampi,2297
Mapun Cagayan De Tawi-Tawi,Councilor,"Kuyong, Anong Tawasil",Nong,Lakas-Kampi,2319
Mapun Cagayan De Tawi-Tawi,Councilor,"Nasir, Manding Muklia",Ayung,Liberal Party,2328
Mapun Cagayan De Tawi-Tawi,Councilor,"Alsad, Rujin Nujul",Ujik,Liberal Party,2722
Mapun Cagayan De Tawi-Tawi,Councilor,"Canizares, Carl Lao",Carl,Lakas-Kampi,2784
Mapun Cagayan De Tawi-Tawi,Councilor,"Sarail, Pilarica Elvinia",Pinky,Lakas-Kampi,2892
Mapun Cagayan De Tawi-Tawi,Councilor,"Ibrahim, Julhari Abdurahman",Tottoh,Lakas-Kampi,3130
Panglima Sugala Balimbing,Mayor,"Sahali, Nurbert Maquiso",Toto,Lakas-Kampi,12805
Panglima Sugala Balimbing,Vice-Mayor,"Habe, Nasser Muhajil",Nash,Nacionalista Party,12062
Panglima Sugala Balimbing,Councilor,"Buligan, Abdulwahab Ibrahim",Wahab,Lakas-Kampi,3739
Panglima Sugala Balimbing,Councilor,"Sammani, Taib Uddah",Ibs,Nacionalista Party,4590
Panglima Sugala Balimbing,Councilor,"Jaji, Bensil Ulong",Ben,Nacionalista Party,4825
Panglima Sugala Balimbing,Councilor,"Yacob, Abdulmodin Matolo",Bombie,Lakas-Kampi,4926
Panglima Sugala Balimbing,Councilor,"Jarah, Ibrahim Ibba",Bench,Lakas-Kampi,5564
Panglima Sugala Balimbing,Councilor,"Jamasali, William Cabaha",Willie,Nacionalista Party,6643
Panglima Sugala Balimbing,Councilor,"Abdurajan, Najir Hussin",Najz,Lakas-Kampi,6913
Panglima Sugala Balimbing,Councilor,"Cabarrubias, Nestor, Sr. Camilo",Nestor,Nacionalista Party,7100
Sapa-Sapa,Mayor,"Mohammad-Ali, Alsaggab Lee",Otong,Lakas-Kampi,3018
Sapa-Sapa,Vice-Mayor,"Shalim, Kadong Asamad",Kadz,Independent,2260
Sapa-Sapa,Councilor,"Hussin, Amrosi Gayong",Ams,Lakas-Kampi,2465
Sapa-Sapa,Councilor,"Bara, Akmid Ligaddong",Aks,Lakas-Kampi,2574
Sapa-Sapa,Councilor,"Mohammad Ali, Margani Gayong",Mar,Lakas-Kampi,2604
Sapa-Sapa,Councilor,"Edris, ParSr.am Busan",Adam,Independent,2624
Sapa-Sapa,Councilor,"Arap, Rosna Nasir",Ros,Nacionalista Party,2639
Sapa-Sapa,Councilor,"Joe, Benita Lee",Beni,Lakas-Kampi,2857
Sapa-Sapa,Councilor,"Aldam, Nulamin Dacullo",Namin,Lakas-Kampi,3039
