city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Bangued,Mayor,"Luna, Ryan Seares",Negro,Independent,10579
Bangued,Vice-Mayor,"Seares, Allan Peralta",Allan,Lakas-Kampi,11366
Bangued,Councilor,"Benedito, W Sayo",Bekong,Laban ng Demokratikong Pilipino,7100
Bangued,Councilor,"Barras, Anthony Valera",Tony,Laban ng Demokratikong Pilipino,7428
Bangued,Councilor,"Bachiller, Christopher Joy Lopez",Chris,Laban ng Demokratikong Pilipino,7699
Bangued,Councilor,"Lo, Jaime Alvarez",Jaime,Independent,8824
Bangued,Councilor,"Valera, Joseph Domino Acosta",Doms,Lakas-Kampi,9101
Bangued,Councilor,"Bigornia, Angelito Barras",Lito,Lakas-Kampi,9200
Bangued,Councilor,"Adame, Danilo Abella",Danny,Lakas-Kampi,9211
Bangued,Councilor,"Borja, Salvacion Bejarin",Salve,Lakas-Kampi,9311
Boliney,Mayor,"Balao-as, Ronald Stimson",Onad,Lakas-Kampi,1589
Boliney,Vice-Mayor,"Stimson, Querico Samonte",Iskong,Nacionalista Party,1535
Boliney,Councilor,"Boy-os, Lino Tulagan",Tingli,Lakas-Kampi,1135
Boliney,Councilor,"Timmangen, Hailey Magallis",Hailey,Lakas-Kampi,1289
Boliney,Councilor,"Sianen, Dominador Insik",Magay,Lakas-Kampi,1344
Boliney,Councilor,"Luis, Benjun Pio",Allang,Nacionalista Party,1416
Boliney,Councilor,"Stimson, Edmund Dela Rosa",Malolos,Independent,1421
Boliney,Councilor,"Balao-As, Dumlao Dakiwag",Dumlao,Lakas-Kampi,1444
Boliney,Councilor,"Agsallong, Arnold Lizalis",Allupog,Nacionalista Party,1446
Boliney,Councilor,"Lumawig, Irenio Angel Eway",Renio,Independent,1470
Bucay,Mayor,"Barona, Victorino, Jr. Berras",Jun,Liberal Party,5776
Bucay,Vice-Mayor,"Bernardez, Rudolfo Iv Alzate",Rex,Lakas-Kampi,5059
Bucay,Councilor,"Beltran, Alberto Pilar",Ambot,Lakas-Kampi,4090
Bucay,Councilor,"Gonzales, Victor Hugo Paligutan",Hugo,Liberal Party,4135
Bucay,Councilor,"Bernardez, Nathan Crisologo",Bosi,Lakas-Kampi,4204
Bucay,Councilor,"Tadeo, Alexander Peralta",Alex,Lakas-Kampi,4229
Bucay,Councilor,"Bersalona, Manuel Macabeo",Noling,Lakas-Kampi,4276
Bucay,Councilor,"Astudillo, Aniceto Jordani Gonzales",Jordan,Independent,4277
Bucay,Councilor,"Palcon, Juan Sebastian",Johnny,Liberal Party,4497
Bucay,Councilor,"Fernandez, Niciela Bernales",Ciela,Lakas-Kampi,4765
Bucloc,Mayor,"Cardenas, Gody Hermoso",Gody,Lakas-Kampi,1023
