city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Calanasan Bayag,Mayor,"Bulut, Elias Kirtug",Ely,Nacionalista Party,5454
Calanasan Bayag,Vice-Mayor,"Lawat, Martin Lucero Bunot",Mart,Independent,5312
Calanasan Bayag,Councilor,"Saleng, Ernesto Abangon",Ernie,Independent,2338
Calanasan Bayag,Councilor,"Aquino, Alibert Mangalao",Ebet,Independent,3318
Calanasan Bayag,Councilor,"Cosip, Francisca Martes",Francing,Independent,3573
Calanasan Bayag,Councilor,"Andres, Gerry Martes",Gerry,Independent,3614
Calanasan Bayag,Councilor,"Batil, Vernie Sipagara",Villy,Independent,3940
Calanasan Bayag,Councilor,"Marrero, Promencio Dunglay",Promen,Independent,4002
Calanasan Bayag,Councilor,"Romero, Shirley Kirtug",Sheng,Independent,4178
Calanasan Bayag,Councilor,"Agubo, Joey Canipas",Dungit,Independent,4693
Conner,Mayor,"Dangoy, Leonardo Daodaoen",Boy,Independent,5425
Conner,Vice-Mayor,"Begtang, Randy Ruel Domingo",Randy,Lakas-Kampi,5740
Conner,Councilor,"Betat, Alison Tinacba",Alie,Nacionalista Party,3237
Conner,Councilor,"Abawag, Nicholas Balonggay",Nick,Independent,3252
Conner,Councilor,"Daligdig, Leoncio Kelang",Iyok,Independent,3296
Conner,Councilor,"Sapaen, Daisydidem Aswigue",Didem,Nacionalista Party,3375
Conner,Councilor,"Fawas, Ralph, Jr. Kittong",Liswid,Lakas-Kampi,3502
Conner,Councilor,"Delwasen, Saul Dela Pena",Saul,Independent,3851
Conner,Councilor,"Baguec, Norma Collado",Nor,Lakas-Kampi,3985
Conner,Councilor,"Soriano, Rito Talay",Rito,Independent,5030
Flora,Mayor,"De San Jose, Efren Usita",Shell,Lakas-Kampi,3749
Flora,Vice-Mayor,"Juan, Rodolfo Bautista",Rudy,Lakas-Kampi,2752
Flora,Councilor,"Tungpalan, Anastacio, Sr.. Agngarayngay",Goyo,Nacionalista Party,1962
Flora,Councilor,"Caluducan, Victoriano Pascua",Vic,Lakas-Kampi,2035
Flora,Councilor,"Conde, Florendo Domingo",Flor,Nacionalista Party,2068
Flora,Councilor,"Valiente, Edmar Curammeng",Eddie,Lakas-Kampi,2200
Flora,Councilor,"Pascua, Jessie Rigon",Jes,Nacionalista Party,2237
